證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 其他營業收入,　　　 其他營業收入淨額,　　 其他營業成本
1103,2015年第3季,,,                291530,,                108986,,                              0,,                148306,                548822,,,                386868,,                 55709,,                              0,,                154072,                596649,                -47827,                -47827,,,                  8364,,                 96547,                104911,,                  6074,               -146664,,,                311663,,               -422650,,                 63191,,                -39344,               -213522,               -360186,,                -43210,               -316976,               -316976,,,                350626,             -3115400,                 57958,             -2822732,             -2822732,             -3139708,,               -321700,                  4724,,             -3044874,                -94834,,                             -0.50,                             -0.50,,                             -0.50,                             -0.50,,,,,,,,,
1103,2015年第2季,,,                455884,,                110376,,                              0,,                171175,                737435,,,                533777,,                 54640,,                              0,,                156702,                745119,                 -7684,                 -7684,,,                 12189,,                 88420,                100609,,                 39907,                -68386,,,                341477,,                -11575,,                 51729,,                 -9849,                268324,                199938,,                 84254,                115684,                115684,,,                -64441,             -1207176,                -10580,             -1261037,             -1261037,             -1145353,,                108282,                  7402,,             -1101107,                -44246,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,
1103,2015年01月01日至2015年09月30日,,,              1145627,,                328495,,                              0,,                483490,              1957612,,,              1457239,,                162092,,                              0,,                469457,              2088788,               -131176,               -131176,,,                 38193,,                277429,                315622,,                 45981,               -400817,,,                689846,,               -437211,,                167200,,                -54413,                 31022,               -369795,,                 14787,               -384582,               -384582,,,                 43806,             -4570530,                  7121,             -4533845,             -4533845,             -4918427,,               -401198,                 16616,,             -4768291,               -150136,,                             -0.62,                             -0.62,,                             -0.62,                             -0.62,,,,,,,,,
1103,2015年01月01日至2015年06月30日,,,                854097,,                219509,,                              0,,                335184,              1408790,,,              1070371,,                106383,,                              0,,                315385,              1492139,                -83349,                -83349,,,                 29829,,                180882,                210711,,                 39907,               -254153,,,                378183,,                -14561,,                104009,,                -15069,                244544,                 -9609,,                 57997,                -67606,                -67606,,,               -306820,             -1455130,                -50837,             -1711113,             -1711113,             -1778719,,                -79498,                 11892,,             -1723417,                -55302,,                             -0.12,                             -0.12,,                             -0.12,                             -0.12,,,,,,,,,
1103,2015年01月01日至2015年03月31日,,,                398213,,                109133,,                              0,,                164009,                671355,,,                536594,,                 51743,,                              0,,                158683,                747020,                -75665,                -75665,,,                 17640,,                 92462,                110102,,,               -185767,,,                 36706,,                 -2986,,                 52280,,                 -5220,                -23780,               -209547,,                -26257,               -183290,               -183290,,,               -242379,               -247954,                -40257,               -450076,               -450076,               -633366,,               -187780,                  4490,,               -622310,                -11056,,                             -0.29,                             -0.29,,                             -0.29,                             -0.29,,,,,,,,,
1103,2014年第3季,,,                552168,,                103624,,                              0,,                252710,                908502,,,                604863,,                 53188,,                              0,,                228805,                886856,                 21646,                 21646,,,                 12267,,                100514,                112781,,                              0,                -91135,,,                271941,,                 63195,,                 51357,,                   -232,                283547,                192412,,                 12564,                179848,                179848,,,                148993,                -80371,                 24274,                 44348,                 44348,                224196,,                153838,                 26010,,                195830,                 28366,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,,
1103,2014年第2季,,,                513947,,                 94354,,                              0,,                281772,                890073,,,                526419,,                 53373,,                              0,,                236984,                816776,                 73297,                 73297,,,                  7604,,                139052,                146656,,                              0,                -73359,,,                334821,,               -143516,,                 43538,,                 -2100,                145667,                 72308,,                 26516,                 45792,                 45792,,,               -239373,             -1708649,                -39439,             -1908583,             -1908583,             -1862791,,                 35662,                 10130,,             -1806340,                -56451,,                              0.06,                              0.06,,                              0.06,                              0.06,,,,,,,,,
1103,2014年度,,,              2492946,,                397504,,                 21636,,              1025600,              3937686,,,              2569610,,                212599,,                 13003,,                923088,              3718300,                219386,                219386,,,                 45915,,                432320,                478235,,                              0,               -258849,,,                727550,,               -248417,,                193067,,                -17916,                268150,                  9301,,                -44487,                 53788,                 53788,,,,,,,             -1045280,               -991492,,                 16343,                 37445,,               -988148,                 -3344,,                              0.03,                              0.03,,                              0.03,                              0.03,                610930,             -1515104,                 -8191,,                 -4579,               -128336,,,
1103,2014年01月01日至2014年09月30日,,,              1735548,,                290278,,                 21636,,                770542,              2818004,,,              1795497,,                158149,,                 13003,,                698049,              2664698,                153306,                153306,,,                 29493,,                330894,                360387,,                              0,               -207081,,,                634983,,                -56331,,                138426,,                -10214,                430012,                222931,,                 31495,                191436,                191436,,,                147393,             -1457743,                 22900,             -1333250,             -1333250,             -1141814,,                150116,                 41320,,             -1140794,                 -1020,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,,
1103,2014年01月01日至2014年06月30日,,,              1183380,,                186654,,                 21636,,                517832,              1909502,,,              1190634,,                104961,,                 13003,,                469244,              1777842,                131660,                131660,,,                 17226,,                230380,                247606,,                              0,               -115946,,,                363042,,               -119526,,                 87069,,                 -9982,                146465,                 30519,,                 18931,                 11588,                 11588,,,                 -1600,             -1377372,                 -1374,             -1377598,             -1377598,             -1366010,,                 -3722,                 15310,,             -1336624,                -29386,,                             -0.01,                             -0.01,,                             -0.01,                             -0.01,,,,,,,,,
