證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 稀釋繼續營業單位淨利（淨損）,　　 租賃成本,　　　 租賃成本合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 其他綜合損益,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 租賃收入,　　　 銷貨成本,　　　 租賃成本,　　　 廉價購買利益,　 停業單位損益,　　 停業單位損益合計
2038,2014年01月01日至2014年03月31日,,,              3094474,,,,                 11332,              3105806,,,              3093890,,                  2490,              3096380,                  9426,                  9426,,,                 28151,,                 19009,,                    409,                 47569,                -38143,,,                  3560,                  3560,,                 -6019,,                 10613,                -13072,                -51215,,                 -8507,                -42708,                -42708,                -42708,,                -42194,                   -514,,                -42194,                   -514,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,,,,,,,,,,,,,,,,
2038,2013年第3季,,,              2595333,,                  6950,,                  8705,              2610988,,,              2594020,,                  1234,              2596992,                 13996,                 13996,,,                 25933,,                 19187,,                    387,                 45507,                -31511,,,                    529,                    529,,                  9650,,                 15815,                 -5636,                -37147,,                 -4655,                -32492,                -32492,                -32492,,                -33742,                  1250,,                -33742,                  1250,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,,                  1738,,,,                              0,                              0,,,,,,,,,
2038,2013年第2季,,,              2490141,,                  8719,,                  7587,              2506447,,,              2536067,,                  2414,              2540088,                -33641,                -33641,,,                 25403,,                 17893,,                    440,                 43736,                -77377,,,                  2024,                  2024,,                  2797,,                 13615,                 -8794,                -86171,,                -12530,                -73641,                -73641,                -73641,,                -74843,                  1202,,                -74843,                  1202,,                             -0.43,                             -0.43,,                             -0.43,                             -0.43,,                  1607,,,,,,,,,,,,,,
2038,2013年度,,,             11775795,,                 28291,,                 38063,             11842149,,,             11658527,,                  7822,             11674243,                167906,                167906,,,                111901,,                 77899,,                  1791,                191591,                -23685,,,                  9957,                  9957,,                  1791,,                 57012,                -45264,                -68949,,                 -9126,                -59823,                -59823,                -54298,,                -65184,                  5361,,                -59659,                  5361,,                             -0.38,                             -0.38,,                             -0.38,                             -0.38,,                  7894,,                  6656,                  1131,                  5525,,,,,,,,,,
2038,2013年07月01日至2013年09月30日,,,              2595333,,                  6950,,                  8705,              2610988,,,              2594020,,                  1234,              2596992,                 13996,                 13996,,,                 25933,,                 19187,,                    387,                 45507,                -31511,,,                    529,                    529,,                  9650,,                 15815,                 -5636,                -37147,,                 -4655,                -32492,                -32492,                -32492,,                -33742,                  1250,,                -33742,                  1250,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,,                  1738,,,,,,,,,,,,                              0,,
2038,2013年04月01日至2013年06月30日,,,              2490141,,                  8719,,                  7587,              2506447,,,              2536067,,                  2414,              2540088,                -33641,                -33641,,,                 25403,,                 17893,,                    440,                 43736,                -77377,,,,                  2024,,                  2797,,                 13615,                 -8794,                -86171,,                -12530,                -73641,                -73641,                -73641,,                -74843,                  1202,,                -74843,                  1202,,                             -0.43,                             -0.43,,                             -0.43,                             -0.43,,                  1607,,,,,,,,,,,,,,
2038,2013年01月01日至2013年12月31日,,,             11775795,,                 28291,,                 38063,             11842149,,,             11658527,,                  7822,             11674243,                167906,                167906,,,                111901,,                 77899,,                  1791,                191591,                -23685,,,                  9957,                  9957,,                  1791,,                 57012,                -45264,                -68949,,                 -9126,                -59823,                -59823,                -54298,,                -65184,                  5361,,                -59659,                  5361,,                             -0.38,                             -0.38,,                             -0.38,                             -0.38,,                  7894,,                  6656,                  1131,                  5525,,,,,,,,                              0,,                              0
2038,2013年01月01日至2013年09月30日,,,              8140433,,                 24367,,                 26043,              8190843,,,              8115318,,                  5569,              8126709,                 64134,                 64134,,,                 81878,,                 58841,,                  1271,                141990,                -77856,,,                 10777,                 10777,,                  2037,,                 44066,                -31252,               -109108,,                -14953,                -94155,                -94155,                -94155,,                -98749,                  4594,,                -98749,                  4594,,                             -0.57,                             -0.57,,                             -0.57,                             -0.57,,                  5822,,,,                              0,                              0,,,,,,,,,
2038,2013年01月01日至2013年06月30日,,,              5545100,,                 17417,,                 17338,              5579855,,,              5521298,,                  4335,              5529717,                 50138,                 50138,,,                 55945,,                 39654,,                    884,                 96483,                -46345,,,                 10248,                 10248,,                 -7613,,                 28251,                -25616,                -71961,,                -10298,                -61663,                -61663,                -61663,,                -65007,                  3344,,                -65007,                  3344,,                             -0.38,                             -0.38,,                             -0.38,                             -0.38,,                  4084,,,,,,,,,,,,,,
2038,2013年01月01日至2013年03月31日,,,              3054959,,                  8698,,                  9751,              3073408,,,              2985231,,                  1921,              2989629,                 83779,                 83779,,,                 30542,,                 21761,,                    444,                 52747,                 31032,,,                  8224,                  8224,,                -10410,,                 14636,                -16822,                 14210,,                  2232,                 11978,                 11978,                 11978,,                  9836,                  2142,,                  9836,                  2142,,                              0.06,                              0.06,,                              0.06,,,                  2477,,,,,,,              3054959,              3054959,                  8698,              2985231,                  2477,,,
2038,2012年07月01日至2012年09月30日,,,              2950095,,                  2902,,                  7972,              2960969,,,              2932803,,                  1643,              2934835,                 26134,                 26134,,,                 25927,,                 18463,,                    404,                 44794,                -18660,,,                  4682,                 17814,,                    589,,                  9154,                  9249,                 -9411,,                 -3907,                 -5504,                 -5504,                 -5504,,                 -7008,                  1504,,                 -7008,                  1504,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,                    389,,,,,,,,,,,,                 13132,,
2038,2012年04月01日至2012年06月30日,,,              3390251,,                              0,,                  9765,              3400016,,,              3346374,,                  2850,              3349224,                 50792,                 50792,,,                 29594,,                 17286,,                    411,                 47291,                  3501,,,,                  1080,,                  2903,,                  7603,                 -3620,                   -119,,                  4344,                 -4463,                 -4463,                 -4463,,                 -4463,                              0,,                 -4463,                              0,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,,                              0,,,,,,,,,,,,,,
2038,2012年01月01日至2012年12月31日,,,             12845156,,                 11651,,                 37973,             12894780,,,             12630755,,                  9194,             12641520,                253260,                253260,,,                111564,,                 79411,,                  1715,                192690,                 60570,,,                 13551,                 26683,,                 14235,,                 34319,                  6599,                 67169,,                  4831,                 62338,                 62338,                 53122,,                 58656,                  3682,,                 49440,                  3682,,                              0.32,                              0.32,,                              0.32,                              0.32,,                  1571,,                -11104,                 -1888,                 -9216,,,,,,,,                 13132,,                              0
2038,2012年01月01日至2012年09月30日,,,              9797999,,                  2902,,                 29309,              9830210,,,              9664093,,                  7346,              9671828,                158382,                158382,,,                 83720,,                 55356,,                  1316,                140392,                 17990,,,                 11523,                 24655,,                  1921,,                 23576,                  3000,                 20990,,                  5602,                 15388,                 15388,                 15388,,                 13884,                  1504,,                 13884,                  1504,,                              0.08,                              0.08,,                              0.08,                              0.08,,                    389,,,,,,,,,,,,                 13132,,
2038,2012年01月01日至2012年06月30日,,,              6847904,,                              0,,                 21337,              6869241,,,              6731290,,                  5703,              6736993,                132248,                132248,,,                 57793,,                 36893,,                    912,                 95598,                 36650,,,,                  6841,,                  1332,,                 14422,                 -6249,                 30401,,                  9509,                 20892,                 20892,                 20892,,                 20892,                              0,,                 20892,                              0,,                              0.11,                              0.11,,                              0.11,                              0.11,,                              0,,,,,,,,,,,,,,
2038,2012年01月01日至2012年03月31日,,,              3457653,,                              0,,                 11572,              3469225,,,              3384916,,                  2853,              3387769,                 81456,                 81456,,,                 28199,,                 19607,,                    501,                 48307,                 33149,,,,                  5761,,                 -1571,,                  6819,                 -2629,                 30520,,                  5165,                 25355,                 25355,                 25355,,                 25355,                              0,,                 25355,                              0,,                              0.14,                              0.14,,                              0.14,                              0.14,,                              0,,,,,,,,,,,,,,
