證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 貼現及放款利息收入,　　　　 存放及拆放同業利息收入（銀行存款利息收入）,　　　　 拆放銀行及同業利息收入,　　　　 投資有價證券利息收入（持有票債券利息收入）,　　　　 信用卡循環利息收入,　　　　 其他利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 存款利息費用,　　　　 央行及同業存款利息費用,　　　　 結構型商品利息費用,　　　　 負債性特別股股息,　　　　 發行債券利息費用,　　　　 其他利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費收入,　　　　　 放款手續費收入,　　　　　 承購帳款手續費收入,　　　　　 信託業務收入,　　　　　 信用卡手續費收入,　　　　　 其他手續費收入,　　　　　 手續費收入合計,　　　　 手續費費用,　　　　　 代理費用,　　　　　 其他手續費費用,　　　　　 手續費費用合計,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　　 透過損益按公允價值衡量之金融資產股利收入,　　　　　 透過損益按公允價值衡量之金融資產利息收入,　　　　　 透過損益按公允價值衡量之金融資產處分利益,　　　　　 透過損益按公允價值衡量之金融資產評價利益,　　　　　 透過損益按公允價值衡量之金融負債處分利益,　　　　　 透過損益按公允價值衡量之金融負債評價利益,　　　　　 透過損益按公允價值衡量之金融資產及負債利益合計,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　　 透過損益按公允價值衡量之金融資產處分損失,　　　　　 透過損益按公允價值衡量之金融資產評價損失,　　　　　 透過損益按公允價值衡量之金融負債處分損失,　　　　　 透過損益按公允價值衡量之金融負債評價損失,　　　　　 透過損益按公允價值衡量之金融資產及負債損失合計,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　　 備供出售金融資產處分利益,　　　　　 備供出售金融資產之已實現利益合計,　　　　 備供出售金融資產之已實現損失,　　　　　 備供出售金融資產處分損失,　　　　　 備供出售金融資產之已實現損失合計,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換利益,　　　　　 兌換利益,　　　　　 兌換利益合計,　　　　 兌換損失,　　　　　 兌換損失,　　　　　 兌換損失合計,　　　　 兌換損益,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨損益,　　　　　 以成本衡量之金融資產利益,　　　　　 以成本衡量之金融資產淨損益,　　　　 無活絡市場之債務商品淨投資損益,　　　　　 無活絡市場之債務工具投資利益,　　　　　 無活絡市場之債務工具投資損失,　　　　　 無活絡市場之債務工具淨投資損益合計,　　　　 營業資產出租淨損益,　　　　　 營業資產租金收入,　　　　　 營業資產出租淨損益,　　　　 資產報廢損失,　　　　　 資產報廢損失,　　　　　 資產報廢損失合計,　　　　 其他什項損益,　　　　　 其他什項收入,　　　　　 其他什項支出,　　　　　 其他什項損益,　　　　 其他利息以外收益,　　　　 其他利息以外損失,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 放款呆帳費用,　　 保證責任準備提存,　　 其他各項提存,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 短期員工福利,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊費用,　　　 攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 員工訓練費用,　　　 租金,　　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 停業單位損益,　　 停業單位營業稅前損益 ,　　 停業單位資產或處分群組處分損益（稅前）,　　 停業單位資產或處分群組按公允價值減出售成本衡量損益（稅前）,　　 與停業單位損益組成部分相關之所得稅(費用)利益 ,　　 停業單位損益合計,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　　 備供出售金融資產股利收入,　　　　　 以成本衡量之金融資產損失,　　　　　 無活絡市場之債務商品投資利益,　　　　　 無活絡市場之債務商品投資損失,　　　　　 無活絡市場之債務商品淨投資損益,　　　　 財產交易淨損益,　　　　　 財產交易利益,　　　　　 財產交易淨損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算損益,　　 與其他綜合損益組成部分相關之所得稅 ,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額,　　 收益,　　 費損 
2849,2015年第3季,,,,              1570128,                 92774,                 55895,                156648,                 14071,                  4713,              1894229,,                570847,                 23290,                 23630,                 99697,                 94526,                    832,                812822,              1081407,,,,                224919,                 17329,                 90517,                 27949,                172112,                532826,,                  7732,                 11574,                 19306,                513520,,,                  3676,                 59993,                949546,              2218338,                530117,                              0,              3761670,,                560568,                              0,                782613,              2024542,              3367723,                393947,,,                 42103,                 42103,,                              0,                              0,                 42103,,,              3508994,              3508994,,              3524455,              3524455,                -15461,,,                 16395,                 16395,,                              0,                              0,                              0,,                      9,                      9,,                  1093,                 -1093,,                    386,                     65,                    321,                 16790,                  1158,                 15632,                949741,              2031148,,                204179,                 14764,                 49816,                268759,,,                513950,                513950,,                 24825,                 10464,                 35289,,                  1307,                 76175,                250874,                328356,                877595,,                884794,                -89449,                795345,,                              0,                              0,                              0,                              0,                              0,,                884794,                -89449,                795345,,,                127143,                232864,                -21614,                338393,                338393,,              1244801,               -111063,              1133738,,                795345,                              0,,              1133738,                              0,,                              0.46,                              0.46,,                              0.45,                              0.45,,,,,,,,,,,,,,,,
2849,2015年第2季,,,,              1575853,                 95304,                 62559,                124870,                  8921,                 11976,              1879483,,                572964,                 22375,                 17933,                 99696,                 85924,                    825,                799717,              1079766,,,,                233381,                 38646,                143393,                 28157,                177504,                621081,,                  7811,                 13853,                 21664,                599417,,,                  1074,                 49657,                467687,                              0,                511431,                691781,              1721630,,                489661,                606498,                323020,                              0,              1419179,                302451,,,                  6321,                  6321,,                              0,                              0,                  6321,,,              3714837,              3714837,,              3806057,              3806057,                -91220,,,                    404,                    404,,,,,,                      8,                      8,,                    822,                   -822,,                  1953,                     94,                  1859,                  2365,                    916,                  1449,                818418,              1898184,,                -32756,                -12327,                  2244,                -42839,,,                511819,                511819,,                 24949,                 10361,                 35310,,                  1710,                 75843,                254297,                331850,                878979,,              1062044,               -327240,                734804,,                              0,                              0,                              0,                              0,                              0,,              1062044,               -327240,                734804,,,                -14770,                -78576,                  2511,                -90835,                -90835,,                968698,               -324729,                643969,,                734804,                              0,,                643969,                              0,,                              0.43,                              0.43,,                              0.42,                              0.42,,,,,,,,,,,,,,,,
2849,2015年01月01日至2015年09月30日,,,,              4690259,                280691,                194880,                384285,                 43477,                 28563,              5622155,,              1747322,                 73759,                 60650,                299090,                262345,                  2416,              2445582,              3176573,,,,                673466,                 71064,                363594,                 84119,                551114,              1743357,,                 22878,                 38414,                 61292,              1682065,,,                  4750,                165646,              2067122,              1799952,              1476907,                              0,              5514377,,              1472153,                              0,              1528991,              1602513,              4603657,                910720,,,                 70510,                 70510,,                              0,                              0,                 70510,,,             10888881,             10888881,,             10962912,             10962912,                -74031,,,                 16799,                 16799,,                              0,                              0,                              0,,                     26,                     26,,                  2764,                 -2764,,                  2503,                    159,                  2344,                 19328,                  2923,                 16405,              2605669,              5782242,,                471201,                 15749,                100426,                587376,,,              1497004,              1497004,,                 74215,                 31995,                106210,,                  3397,                225570,                749380,                978347,              2581561,,              2613305,               -478821,              2134484,,                              0,                              0,                              0,                              0,                              0,,              2613305,               -478821,              2134484,,,                 52403,                316740,                 -8908,                360235,                360235,,              2982448,               -487729,              2494719,,              2134484,                              0,,              2494719,                              0,,                              1.27,                              1.27,,                              1.22,                              1.22,,,,,,,,,,,,,,,,
2849,2015年01月01日至2015年06月30日,,,,              3120131,                187917,                138985,                227637,                 23838,                 29418,              3727926,,              1176475,                 50469,                 37020,                199393,                167819,                  1584,              1632760,              2095166,,,,                448547,                 53735,                273077,                 56170,                379002,              1210531,,                 15146,                 26840,                 41986,              1168545,,,                  1074,                105653,              1117577,                              0,                946789,                422029,              2593122,,                911584,                418387,                746378,                              0,              2076349,                516773,,,                 28407,                 28407,,                              0,                              0,                 28407,,,              7379887,              7379887,,              7438457,              7438457,                -58570,,,                    404,                    404,,,,,,                     17,                     17,,                  1671,                 -1671,,                  2117,                     94,                  2023,                  2538,                  1765,                    773,              1655928,              3751094,,                267022,                    985,                 50610,                318617,,,                983054,                983054,,                 49390,                 21531,                 70921,,                  2091,                149395,                498505,                649991,              1703966,,              1728511,               -389372,              1339139,,                              0,                              0,                              0,                              0,                              0,,              1728511,               -389372,              1339139,,,                -74740,                 83876,                 12706,                 21842,                 21842,,              1737647,               -376666,              1360981,,              1339139,                              0,,              1360981,                              0,,                              0.80,                              0.80,,                              0.77,                              0.77,,,,,,,,,,,,,,,,
2849,2015年01月01日至2015年03月31日,,,,              1544278,                 92613,                 76426,                102767,                 14917,                 17442,              1848443,,                603511,                 28094,,                 99697,                 81895,                 19846,                833043,              1015400,,,,                215166,                 15089,                129684,                 28013,                201498,                589450,,                  7335,                 12987,                 20322,                569128,,,                              0,                 55996,                649890,                188111,                435358,,              1329355,,                421923,,                423358,                269752,              1115033,                214322,,,                 22086,                 22086,,                              0,                              0,                 22086,,,              3665050,              3665050,,              3632400,              3632400,                 32650,,,,,,,,,,                      9,                      9,,                    849,                   -849,,                    164,                              0,                    164,                    173,                    849,                   -676,                837510,              1852910,,                299778,                 13312,                 48366,                361456,,,                471235,                471235,,                 24441,                 11170,                 35611,,                    381,                 73552,                244208,                318141,                824987,,                666467,                -62132,                604335,,                              0,                              0,                              0,                              0,                              0,,                666467,                -62132,                604335,,,                -59970,                162452,                 10195,                112677,                112677,,                768949,                -51937,                717012,,                604335,                              0,,                717012,                              0,,                              0.36,                              0.36,,                              0.35,                              0.35,,,,,,,,,,,,,,,,
2849,2014年第3季,,,,              1565823,                126374,                 91986,                143396,                 16509,                  8069,              1952157,,                629455,                 34623,                              0,                 99697,                 83475,                    974,                848224,              1103933,,,,                224093,                 17654,                178559,                 28722,                167354,                616382,,                  7743,                 15435,                 23178,                593204,,,                  3819,                 15005,                398562,                 35964,                267010,                              0,                720360,,                262466,                              0,                535273,                731573,              1529312,               -808952,,,                 11286,                 11286,,                 74136,                 74136,                -62850,,,              4413977,              4413977,,              3530958,              3530958,                883019,,,                 14797,                 14797,,                 25216,                              0,                 25216,,                      9,                      9,,                  1589,                 -1589,,                    402,                     25,                    377,                 40424,                  1614,                 38810,                643231,              1747164,,                103218,                  5558,                 -7222,                101554,,,                476004,                476004,,                 25192,                 11100,                 36292,,                    946,                 72484,                268005,                341435,                853731,,                791879,               -126694,                665185,,                              0,                              0,                              0,                              0,                              0,,                791879,               -126694,                665185,,,                 30053,                -41868,                 -5109,                -16924,                -16924,,                780064,               -131803,                648261,,                665185,                              0,,                648261,                              0,,                              0.39,                              0.39,,                              0.38,                              0.38,,,,,,,,,,,,,,,,
2849,2014年第2季,,,,              1510682,                130194,                 49062,                165666,                 16704,                 20778,              1893086,,                631718,                 45917,                              0,                 99696,                 82404,                  1921,                861656,              1031430,,,,                241457,                 32772,                169227,                 30653,                165539,                639648,,                  8104,                 14624,                 22728,                616920,,,                    245,                 40912,                498110,                              0,                202227,                 70105,                811599,,                293878,                 18372,                296287,                              0,                608537,                203062,,,                 34910,                 34910,,                 20221,                 20221,                 14689,,,              3445313,              3445313,,              3529986,              3529986,                -84673,,,                  2741,                  2741,,,,,,                      7,                      7,,                  1608,                 -1608,,                  2686,                  2145,                    541,                  5434,                  3753,                  1681,                751679,              1783109,,               -163543,                  1189,                 -2128,               -164482,,,                479206,                479206,,                 24066,                 11222,                 35288,,                  1765,                 72038,                203097,                276900,                791394,,              1156197,               -170769,                985428,,                              0,                              0,                              0,                              0,                              0,,              1156197,               -170769,                985428,,,                -27883,                 70483,                  4740,                 47340,                 47340,,              1198797,               -166029,              1032768,,                985428,                              0,,              1032768,                              0,,                              0.58,                              0.58,,                              0.55,                              0.55,,,,,,,,,,,,,,,,
2849,2014年度,,,,              6107106,                506730,                240757,                594467,                 66059,                 46365,              7561484,,              2510074,                158564,,                398787,                331209,                 24035,              3422669,              4138815,,,,                968907,                117334,                708491,                121646,                654581,              2570959,,                 31182,                 57701,                 88883,              2482076,,,                  4064,                136668,              2087318,              1008161,              1164925,                              0,              4401136,,              1228903,                              0,              2189510,                967528,              4385941,                 15195,,,                241024,                256627,,                175081,                175081,                 81546,,,             15282418,             15282418,,             14857452,             14857452,                424966,,,                 17538,                 17538,,,,,,                     28,                     28,,                  4046,                 -4046,,                  4064,                  2171,                  1893,                 47873,                  6217,                 41656,              3045439,              7184254,,                165775,                 43200,                -11930,                197045,,,              1893512,              1893512,,                 98312,                 44039,                142351,,                  4428,                290579,                927415,              1222422,              3258285,,              3728924,               -527445,              3201479,,                              0,                              0,                              0,                              0,                              0,,              3728924,               -527445,              3201479,,,,,,,,,              4301638,               -550245,,,              3201479,                              0,,              3751393,                              0,,                              1.91,                              1.91,,                              1.80,                              1.80,                 15603,                              0,                 26243,                              0,                 26243,,                              0,                              0,                107883,                438594,                 26237,                -22800,                549914,              3751393,,
2849,2014年01月01日至2014年09月30日,,,,              4527652,                386542,                177220,                485100,                 50211,                 40096,              5666821,,              1899207,                125694,                              0,                299090,                247463,                  2895,              2574349,              3092472,,,,                695220,                 87700,                492764,                 90448,                484842,              1850974,,                 24130,                 45354,                 69484,              1781490,,,                  4064,                 95031,              1262079,                654036,                761843,                              0,              2777053,,                857385,                              0,              1312290,                963495,              3133170,               -356117,,,                 70204,                 70204,,                126635,                126635,                -56431,,,             11319669,             11319669,,             10595218,             10595218,                724451,,,                 17538,                 17538,,                 25216,                              0,                 25216,,                     19,                     19,,                  3222,                 -3222,,                  2755,                  2170,                    585,                 45528,                  5392,                 40136,              2133529,              5226001,,                 92726,                 14094,                  5877,                112697,,,              1422110,              1422110,,                 72955,                 33598,                106553,,                  2961,                216580,                659422,                878963,              2407626,,              2705678,               -388660,              2317018,,                              0,                              0,                              0,                              0,                              0,,              2705678,               -388660,              2317018,,,                 20774,                187483,                 -3532,                204725,                204725,,              2913935,               -392192,              2521743,,              2317018,                              0,,              2521743,                              0,,                              1.38,                              1.38,,                              1.31,                              1.31,,,,,,,,,,,,,,,,
2849,2014年01月01日至2014年06月30日,,,,              2961829,                260168,                 85234,                341704,                 33702,                 32027,              3714664,,              1269752,                 91071,                              0,                199393,                163988,                  1921,              1726125,              1988539,,,,                471127,                 70046,                314205,                 61726,                317488,              1234592,,                 16387,                 29919,                 46306,              1188286,,,                    245,                 80027,                863516,                618072,                494833,                              0,              2056693,,                594919,                              0,                777017,                231922,              1603858,                452835,,,                 58918,                 58918,,                 52499,                 52499,                  6419,,,              6905692,              6905692,,              7064260,              7064260,               -158568,,,                  2741,                  2741,,,,,,                     10,                     10,,                  1633,                 -1633,,                  2353,                  2145,                    208,                  5104,                  3778,                  1326,              1490298,              3478837,,                -10492,                  8536,                 13099,                 11143,,,                946106,                946106,,                 47763,                 22498,                 70261,,                  2015,                144096,                391417,                537528,              1553895,,              1913799,               -261966,              1651833,,                              0,                              0,                              0,                              0,                              0,,              1913799,               -261966,              1651833,,,                 -9279,                229351,                  1577,                221649,                221649,,              2133871,               -260389,              1873482,,              1651833,                              0,,              1873482,                              0,,                              0.98,                              0.98,,                              0.93,                              0.93,,,,,,,,,,,,,,,,
