證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨折讓,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
3588,2015年第3季,,,,                281489,                281489,                  2970,                278519,                278519,,,                181625,                181625,                181625,                 96894,                              0,                 96894,,,                  7488,,                 18667,,                 50665,                 76820,                 20074,,,,                  4137,                  4137,,                 16572,                 20709,                 40783,,                  5823,                 34960,                 34960,,,                    365,                              0,                    365,                    365,                 35325,,                 34960,,                 35325,,                              0.77,,                              0.76,,,,,,,
3588,2015年第2季,,,,                262050,                262050,                              0,                258278,                258278,,,                163834,                163834,                163834,                 94444,,                 94444,,,                  7088,,                 18184,,                 43367,                 68639,                 25805,,,,                  3987,                  3987,,                 -3129,                    858,                 26663,,                  4924,                 21739,                 21739,,,                    -74,                   -576,                   -650,                   -650,                 21089,,                 21739,,                 21089,,                              0.48,,                              0.47,                  3772,,,,,,
3588,2015年01月01日至2015年09月30日,,,,                784430,                784430,                 10598,                773832,                773832,,,                487523,                487523,                487523,                286309,                              0,                286309,,,                 21861,,                 53691,,                138408,                213960,                 72349,,,,                 11775,                 11775,,                 11040,                 22815,                 95164,,                 17473,                 77691,                 77691,,,                    229,                   -680,                   -451,                   -451,                 77240,,                 77691,,                 77240,,                              1.71,,                              1.66,,,,,,,
3588,2015年01月01日至2015年06月30日,,,,                502941,                502941,                              0,                495313,                495313,,,                305898,                305898,                305898,                189415,,                189415,,,                 14373,,                 35024,,                 87743,                137140,                 52275,,,,                  7638,                  7638,,                 -5532,                  2106,                 54381,,                 11650,                 42731,                 42731,,,                   -136,                   -680,                   -816,                   -816,                 41915,,                 42731,,                 41915,,                              0.94,,                              0.92,                  7628,,,,,,
3588,2015年01月01日至2015年03月31日,,,,                240891,                240891,,                237035,                237035,,,                142064,                142064,                142064,                 94971,,                 94971,,,                  7285,,                 16840,,                 44376,                 68501,                 26470,,,,                  3651,                  3651,,                 -2403,                  1248,                 27718,,                  6726,                 20992,                 20992,,,                    -62,                   -104,                   -166,                   -166,                 20826,,                 20992,,                 20826,,                              0.46,,                              0.46,                  3856,                              0,                              0,,,,
3588,2014年第3季,,,,                295531,                295531,                  3413,                292118,                292118,,,                190016,                190016,                190016,                102102,                              0,                102102,,,                  7920,,                 16842,,                 49181,                 73943,                 28159,,,,                  3413,                  3413,,                  6144,                  9557,                 37716,,                  5454,                 32262,                 32262,,,                    199,                    299,                    498,                    498,                 32760,,                 32262,,                 32760,,                              0.71,,                              0.70,,,,,,,
3588,2014年第2季,,,,                277482,                277482,                              0,                273336,                273336,,,                175410,                175410,                175410,                 97926,,                 97926,,,                  7298,,                 16846,,                 43765,                 67909,                 30017,,,,                  3519,                  3519,,                 -4829,                 -1310,                 28707,,                  4108,                 24599,                 24599,,,                   -231,                    408,                    177,                    177,                 24776,,                 24599,,                 24776,,                              0.54,,                              0.53,                  4146,,,,,,
3588,2014年度,,,,              1088992,              1088992,                  2786,              1073126,              1073126,,,                689209,                689209,                689209,                383917,,                383917,,,                 29153,,                 68644,,                178788,                276585,                107332,,,,,                 13608,,                 13332,                 26940,                134272,,                 30135,                104137,                104137,,,,,,                  1373,                105510,,                104137,,                105510,,                              2.30,,                              2.25,                 13080,,,                 30135,                    199,                    456,                    718
3588,2014年01月01日至2014年09月30日,,,,                829540,                829540,                 12058,                817482,                817482,,,                525234,                525234,                525234,                292248,                              0,                292248,,,                 22009,,                 51271,,                134826,                208106,                 84142,,,,                 10279,                 10279,,                  3726,                 14005,                 98147,,                 14277,                 83870,                 83870,,,                     13,                    222,                    235,                    235,                 84105,,                 83870,,                 84105,,                              1.86,,                              1.82,,,,,,,
3588,2014年01月01日至2014年06月30日,,,,                534009,                534009,                              0,                525364,                525364,,,                335218,                335218,                335218,                190146,,                190146,,,                 14089,,                 34429,,                 85645,                134163,                 55983,,,,                  6866,                  6866,,                 -2418,                  4448,                 60431,,                  8823,                 51608,                 51608,,,                   -186,                    -77,                   -263,                   -263,                 51345,,                 51608,,                 51345,,                              1.14,,                              1.13,                  8645,,,,,,
