證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　　　 銷貨收入,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
1108,2015年第3季,,              1133105,,                957589,                175516,                175516,,,                 28008,,                 33863,                 61871,,                              0,                              0,                113645,,,,                    677,                  2427,                  6692,                  4017,                 13813,,                    -31,                 -1203,                  4341,,                              0,                              0,                 -5575,,                 10701,                 10701,                 -2463,                111182,,                 17122,                 94060,,                 -3426,                 90634,,,                  1590,                  1554,                  3144,                  3144,                 93778,,                 91780,                 -1146,,                 94954,                 -1176,,                              0.23,,                              0.23,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2015年第2季,,              1346059,,              1041486,                304573,                304573,,,                 30563,,                 46292,                 76855,,,                 -9647,                218071,,,,                    845,                  2432,                  5453,                  1188,                  9918,,                    124,                  2564,                 12014,,,                              0,                 -9326,,                 11429,                 11429,                -10837,                207234,,                 53379,                153855,,,                153855,,,                   -186,                -12250,                -12436,                -12436,                141419,,                159250,                 -5395,,                146692,                 -5273,,                              0.39,,                              0.39,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2015年01月01日至2015年09月30日,,              3765704,,              3011971,                753733,                753733,,,                 85731,,                108753,                194484,,                      4,                      4,                559253,,,,                  2135,                  7292,                 12145,                  5929,                 27501,,                  4155,                    435,                 12785,,                  3185,                  3185,                -11380,,                 33986,                 33986,                -17865,                541388,,                102442,                438946,,                -39452,                399494,,,                  1676,                 -9343,                 -7667,                 -7667,                391827,,                407328,                 -7834,,                399392,                 -7565,,                              1.01,,                              1.00,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2015年01月01日至2015年06月30日,,              2636961,,              2062912,                574049,                574049,,,                 60500,,                 87393,                147893,,,                 -9647,                416509,,,,                  1460,                  4865,                  5453,                  2100,                 13878,,                  4290,                  2937,                 16532,,,                  3185,                -12490,,                 23717,                 23717,                -22329,                394180,,                 85320,                308860,,,                308860,,,                     86,                -10897,                -10811,                -10811,                298049,,                315548,                 -6688,,                304438,                 -6389,,                              0.78,,                              0.78,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2015年01月01日至2015年03月31日,,              1290902,,              1021426,                269476,                269476,,,                 29937,,                 41101,                 71038,,,,                198438,,,,                    615,                  2433,,                    912,                  3960,,                  4166,                    373,                  4518,,,                  3185,                 -3164,,                 12288,                 12288,                -11492,                186946,,                 31941,                155005,,,                155005,,,                    272,                  1353,                  1625,                  1625,                156630,,                156298,                 -1293,,                157746,                 -1116,,                              0.39,,                              0.38,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,
1108,2014年第3季,,              1236683,,              1061583,                175100,                175100,,,                 31355,,                 35730,                 67085,,                              0,                              0,                108015,,,,                    366,                  3217,                  2271,                  7402,                 13256,,                 -1858,                 -5233,                  3298,,                              0,                              0,                -10389,,                 14524,                 14524,                -11657,                 96358,,                 19165,                 77193,,                              0,                 77193,,,                 -2399,                -10542,                -12941,                -12941,                 64252,,                 81378,                 -4185,,                 68982,                 -4730,,                              0.20,,                              0.20,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2014年第2季,,              1276260,,              1077310,                198950,                198950,,,                 33370,,                 32974,                 66344,,,                              0,                132606,,,,                  1096,                  1673,                  4265,                  1199,                  8233,,                 46457,                  7120,                  3035,,,                              0,                 50542,,                 14801,                 14801,                 43974,                176580,,                 26172,                150408,,,                150408,,,                    620,                 -8942,                 -8322,                 -8322,                142086,,                151560,                 -1152,,                142920,                   -834,,                              0.37,,                              0.37,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2014年度,,              5099198,,              4360174,                739024,                739024,,,                139773,,                158685,                298458,,,,                440566,,,,                  2894,                  8116,,                 17530,                 28540,,                 44621,                 -4050,                 13266,,,,                 27305,,                 58351,                 58351,                 -2506,                438060,,                 70993,                367067,,,                367067,,,,,,                 11775,                378842,,                379540,                -12473,,                390167,                -11325,,                              0.94,,                              0.93,,,,,,,,                  1239,                 -4101,                 14637,,,,,,,,,,,,,,,
1108,2014年01月01日至2014年09月30日,,              3732290,,              3191802,                540488,                540488,,,                 95835,,                101063,                196898,,                              0,                              0,                343590,,,,                  2101,                  7275,                  6536,                  9777,                 25689,,                 44621,                   -197,                  9617,,                              0,                              0,                 34807,,                 44769,                 44769,                 15727,                359317,,                 63206,                296111,,                              0,                296111,,,                  4142,                -13274,                 -9132,                 -9132,                286979,,                305953,                 -9842,,                294783,                 -7804,,                              0.76,,                              0.75,,,,,,,,,,,,,,,,,,,,,,,,,
1108,2014年01月01日至2014年06月30日,,              2495607,,              2130219,                365388,                365388,,,                 64480,,                 65333,                129813,,,                              0,                235575,,,,                  1735,                  4058,                  4265,                  2375,                 12433,,                 46479,                  5036,                  6319,,,                              0,                 45196,,                 30245,                 30245,                 27384,                262959,,                 44041,                218918,,,                218918,,,                  6541,                 -2732,                  3809,                  3809,                222727,,                224575,                 -5657,,                225801,                 -3074,,                              0.55,,                              0.55,,,,,,,,,,,,,,,,,,,,,,,,,
