證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　 與其他綜合損益組成部分相關之所得稅
1519,2014年01月01日至2014年03月31日,,,                886648,,,                 62470,                 62470,                949118,,,                663885,,                 62935,                 62935,                726820,                222298,                222298,,,                124831,,                 25742,,                 19424,                169997,                 52301,,,                    981,,                  6394,,                  3897,                  3897,,                 -1812,                  1666,                 53967,,                 10861,                 43106,                 43106,,,                  3158,                -10075,                    842,                 -6075,                 -6075,                 37031,,                 43148,                    -42,,                 37004,                     27,,                              0.17,                              0.17,,                              0.16,                              0.16,,,,,,,,,,,
1519,2013年第3季,,,                946916,,,                 44360,                 44360,                991276,,,                763372,,                 44800,                 44800,                808172,                183104,                183104,,,                 70397,,                 19864,,                 17684,                107945,                 75159,,,                  1937,,                 -3188,,                  4568,                  4568,,                              0,                 -5819,                 69340,,                 14838,                 54502,                 54502,,,,,,,                 12149,                 66651,,                 53512,                    990,,                 65692,                    959,,                              0.21,                              0.21,,                              0.21,                              0.21,                 -2126,                 14275,                              0,,,,,,,,
1519,2013年第2季,,,              1264854,,,                 14099,                 14099,              1278953,,,              1040331,,                 18784,                 18784,              1059115,                219838,                219838,,,                146744,,                 23395,,                 22628,                192767,                 27071,,,                    366,,                  1696,,                  4466,                  4466,,                              0,                 -2404,                 24667,,                  5380,                 19287,                 19287,,,,,,,                 -3865,                 15422,,                 19357,                    -70,,                 15411,                     11,,                              0.07,                              0.07,,                              0.07,                              0.07,                  4270,                 -8400,                    265,,,                  3994,                  2298,,,,
1519,2013年度,,,              4285406,,,                164943,                164943,              4450349,,,              3571640,,                179006,                179006,              3750646,                699703,                699703,,,                387588,,                101877,,                 90161,                579626,                120077,,,                 16332,,                 25867,,                 17923,                 17923,,                              0,                 24276,                144353,,                 28909,                115444,                115444,,,,,,,                 31778,                147222,,                114480,                    964,,                145901,                  1321,,                              0.44,                              0.44,,                              0.44,                              0.44,                 11921,                 11100,                              0,                 10551,                 -1794,,,,,,
1519,2013年07月01日至2013年09月30日,,,                946916,,,                 44360,                 44360,                991276,,,                763372,,                 44800,                 44800,                808172,                183104,                183104,,,                 70397,,                 19864,,                 17684,                107945,                 75159,,,                     71,,                 -1322,,                  4568,                  4568,,,                 -5819,                 69340,,                 14838,                 54502,                 54502,,,,,,,                 12149,                 66651,,                 53512,                    990,,                 65692,                    959,,                              0.21,                              0.21,,                              0.21,                              0.21,                 -2126,                 14275,,,,,,,                     71,,
1519,2013年04月01日至2013年06月30日,,,              1264854,,,                 14099,                 14099,              1278953,,,              1040331,,                 18784,                 18784,              1059115,                219838,                219838,,,                146744,,                 23395,,                 22628,                192767,                 27071,,,                    366,,                  1696,,                  4466,                  4466,,,                 -2404,                 24667,,                  5380,                 19287,                 19287,,,,,,,                 -3865,                 15422,,                 19357,                    -70,,                 15411,                     11,,                              0.07,                              0.07,,                              0.07,                              0.07,                  4270,                 -8400,                    265,,,,,,                    366,,
1519,2013年01月01日至2013年12月31日,,,              4285406,,,                164943,                164943,              4450349,,,              3571640,,                179006,                179006,              3750646,                699703,                699703,,,                387588,,                101877,,                 90161,                579626,                120077,,,                 16332,,                 25867,,                 17923,                 17923,,,                 24276,                144353,,                 28909,                115444,                115444,,,,,,,                 31778,                147222,,                114480,                    964,,                145901,                  1321,,                              0.44,                              0.44,,                              0.44,                              0.44,                 11921,                 11100,,                 10551,,                  6560,                -19307,,,                 16332,                  1794
1519,2013年01月01日至2013年09月30日,,,              3110051,,,                 69320,                 69320,              3179371,,,              2553949,,                 87111,                 87111,              2641060,                538311,                538311,,,                308049,,                 66721,,                 66250,                441020,                 97291,,,                  2619,,                 23978,,                 13923,                 13923,,                              0,                 12674,                109965,,                 23574,                 86391,                 86391,,,,,,,                 25254,                111645,,                 85869,                    522,,                110851,                    794,,                              0.33,                              0.33,,                              0.33,                              0.33,                  8129,                 17125,                              0,,,,,,,,
1519,2013年01月01日至2013年06月30日,,,              2163135,,,                 24960,                 24960,              2188095,,,              1790577,,                 42311,                 42311,              1832888,                355207,                355207,,,                237652,,                 46857,,                 48566,                333075,                 22132,,,                    449,,                 27399,,                  9355,                  9355,,                              0,                 18493,                 40625,,                  8736,                 31889,                 31889,,,,,,,                 13105,                 44994,,                 32357,                   -468,,                 45159,                   -165,,                              0.12,                              0.12,,                              0.12,                              0.12,                 10255,                  2850,                              0,,,                  8128,                -19271,,,,
1519,2013年01月01日至2013年03月31日,,,                898281,,,                 10861,                 10861,                909142,,,                750246,,                 23527,                 23527,                773773,                135369,                135369,,,                 90908,,                 23462,,                 25938,                140308,                 -4939,,,                    199,,                 25587,,                  4889,                  4889,,                              0,                 20897,                 15958,,                  3356,                 12602,                 12602,,,,,,,                 16970,                 29572,,                 13000,                   -398,,                 29748,                   -176,,                              0.05,                              0.05,,                              0.05,                              0.05,                  5985,                 11250,                   -265,,,                  4134,                -21453,,                    199,,
1519,2012年07月01日至2012年09月30日,,,              1356282,,,                 69499,                 69499,              1425781,,,              1133837,,                 68515,                 68515,              1202352,                223429,                223429,,,                148048,,                 21070,,                 24415,                193533,                 29896,,,                     85,,                 12642,,                  6293,                  6293,,,                  6434,                 36330,,                 12560,                 23770,                 23770,,,,,,,                  7643,                 31413,,                 23770,                              0,,                 31413,                              0,,                              0.09,                              0.09,,                              0.09,                              0.09,                 -4132,                 11775,,,,,,,                     85,,
1519,2012年04月01日至2012年06月30日,,,              1157801,,,                              0,                              0,              1157801,,,                969673,,                 10418,                 10418,                980091,                177710,                177710,,,                153222,,                 21137,,                 16604,                190963,                -13253,,,                     95,,                 -5188,,                  6891,                  6891,,,                -11984,                -25237,,                 -3391,                -21846,                -21846,,,,,,,                 -7235,                -29081,,                -21846,                              0,,                -29081,                              0,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,                  1415,                 -8650,                              0,,,,,,                     95,,
1519,2012年01月01日至2012年12月31日,,,              4358978,,,                163408,                163408,              4522386,,,              3646917,,                163290,                163290,              3810207,                712179,                712179,,,                460055,,                 92200,,                 89103,                641358,                 70821,,,                 28980,,                 21918,,                 26332,                 26332,,,                 24566,                 95387,,                 20223,                 75164,                 75164,,,,,,,                -17695,                 57469,,                 75164,                              0,,                 57469,                              0,,                              0.29,                              0.29,,                              0.29,                              0.29,                 -7309,                  7350,,                -21369,,                 13893,                 -8025,,,                 28980,                 -3633
1519,2012年01月01日至2012年09月30日,,,              3062628,,,                 69505,                 69505,              3132133,,,              2615884,,                 83255,                 83255,              2699139,                432994,                432994,,,                368005,,                 64286,,                 66555,                498846,                -65852,,,                    363,,                 20531,,                 20094,                 20094,,,                    800,                -65052,,                 -3766,                -61286,                -61286,,,,,,,                 13248,                -48038,,                -61286,                              0,,                -48038,                              0,,                             -0.23,                             -0.23,,                             -0.23,                             -0.23,                 -7302,                 20550,,,,,,,                    363,,
1519,2012年01月01日至2012年06月30日,,,              1706346,,,                      6,                      6,              1706352,,,              1482047,,                 14740,                 14740,              1496787,                209565,                209565,,,                219957,,                 43216,,                 42140,                305313,                -95748,,,                    278,,                  7889,,                 13801,                 13801,,,                 -5634,               -101382,,                -16326,                -85056,                -85056,,,,,,,                  5605,                -79451,,                -85056,                              0,,                -79451,                              0,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,                 -3170,                  8775,                              0,,,,,,                    278,,
1519,2012年01月01日至2012年03月31日,,,                548545,,,                      6,                      6,                548551,,,                512374,,                  4322,                  4322,                516696,                 31855,                 31855,,,                 66735,,                 22079,,                 25536,                114350,                -82495,,,                    183,,                 13077,,                  6910,                  6910,,,                  6350,                -76145,,                -12935,                -63210,                -63210,,,,,,,                 12840,                -50370,,                -63210,                              0,,                -50370,                              0,,                             -0.24,                             -0.24,,                              0.00,                              0.00,                 -4585,                 17425,                              0,,,,,,                    183,,
