證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 租賃成本,　　　 租賃成本,　　　 租賃成本合計,　　　 利息費用,　　　 薪資支出,　　　 租金支出,　　　 文具用品,　　　 旅費,　　　 郵電費,　　　 修繕費,　　　 廣告費,　　　 水電瓦斯費,　　　 保險費,　　　 交際費,　　　 稅捐,　　　 伙食費,　　　 職工福利,　　　 佣金支出,　　　 其他費用,　　　 薪資支出[duplicate]38,　　　 租金支出[duplicate]39,　　　 文具用品[duplicate]40,　　　 旅費[duplicate]41,　　　 郵電費[duplicate]42,　　　 修繕費[duplicate]43,　　　 廣告費[duplicate]44,　　　 水電瓦斯費[duplicate]45,　　　 保險費[duplicate]46,　　　 交際費[duplicate]47,　　　 捐贈,　　　 稅捐[duplicate]49,　　　 折舊,　　　 各項攤提,　　　 伙食費[duplicate]52,　　　 職工福利[duplicate]53,　　　 訓練費,　　　 其他費用[duplicate]55,　　 當期所得稅費用（利益）,　　 其他營業成本,　　　 薪資支出[duplicate]35,　　　 文具用品[duplicate]37,　　　 旅費[duplicate]38,　　　 郵電費[duplicate]39,　　　 廣告費[duplicate]41,　　　 水電瓦斯費[duplicate]42,　　　 保險費[duplicate]43,　　　 交際費[duplicate]44,　　　 稅捐[duplicate]46,　　　 伙食費[duplicate]49,　　　 保全費,　　　 其他費用[duplicate]53,　　　 處分不動產、廠房及設備損失
2539,2014年01月01日至2014年03月31日,,,                    772,                    772,,,                159985,                  1021,                158964,                158964,                159736,,,                107864,                107864,                108150,                 51586,                 51586,,,                 23364,,                  7347,                 30711,                 20875,,,                    383,                    383,,                     -2,,                  1768,                 -1387,                 19488,,,                  2423,                 17065,                 17065,                 17065,,,                              0.07,,,,,                    286,                    286,                  1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2013年第3季,,,                    802,                    802,,,                              0,                     12,                    -12,                    -12,                    790,,,                 -1680,                 -1680,                 -1680,                  2470,                  2470,,,                  4647,,                  5471,                 10118,                 -7648,,,                  1301,                  1301,,                   -412,,                  1375,                   -486,                 -8134,,,                 -2028,                 -6106,                 -6106,                 -6106,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 -2028,,,,,,,,,,,,,,
2539,2013年第2季,,,                    787,                    787,,,                957690,                  2555,                955135,                955135,                955922,,,                616876,                616876,                617447,                338475,                338475,,,                 50754,,                  9774,                 60528,                277947,,,                  1267,                  1267,,                              0,,                    854,                    413,                278360,,,                 20831,                257529,                257529,                257529,,,                              1.37,,,,,                    571,                    571,                    854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2013年度,,,                  3210,                  3210,,,              3120368,                  3056,              3117312,              3117312,              3120522,,,              1868736,              1868736,              1868736,              1251786,              1251786,,,                136652,,                 43055,                179707,              1072079,,,                  4511,                  4511,,                  1410,,                  5260,                    661,              1072740,,,                 81866,                990874,                990874,                990874,,                              4.15,                              4.15,,                              4.15,                              4.15,,,,,                  2418,                      4,                     19,                     22,                     55,                              0,                 46934,                    133,                    138,                     29,                     52,                     52,                     12,                 86013,                    771,                 22417,                  1099,                    130,                    147,                    320,                  1317,                      3,                    374,                    532,                  1150,                    206,                  7222,                    882,                    134,                    168,                  2003,                    119,                  4832,                 81866,,,,,,,,,,,,,,
2539,2013年07月01日至2013年09月30日,,,                    802,                    802,,,                              0,                     12,                    -12,                    -12,                    790,,,                 -1634,                 -1634,                 -1634,                  2424,                  2424,,,                  4647,,                  5471,                 10118,                 -7694,,,                  1301,                  1301,,                   -412,,                  1375,                   -486,                 -8180,,,                 -2074,                 -6106,                 -6106,                 -6106,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 -2074,,,,,,,,,,,,,,
2539,2013年04月01日至2013年06月30日,,,                    787,                    787,,,                957690,                  2555,                955135,                955135,                955922,,,                622095,                622095,                622095,                333827,                333827,,,                 50754,,                  9774,                 60528,                273299,,,                  1267,                  1267,,                              0,,                    854,                    413,                273712,,,                 16183,                257529,                257529,                257529,,                              1.56,                              1.56,,                              1.55,                              1.55,,,,,                    288,                    156,                      2,                      1,                     17,                    165,                 19990,                     50,                     28,                     24,                     55,                     11,                    178,                 30067,                    221,,,,,,,,,,,                              0,,                    260,                     29,,,                      8,,                 16183,,                  5870,                     53,                     38,                     76,                      3,                     50,                    130,                    330,                  1140,                     40,                              0,                  1248,
2539,2013年01月01日至2013年12月31日,,,                  3210,                  3210,,,              3120368,                  3056,              3117312,              3117312,              3120522,,,              1881185,              1881185,              1884263,              1236259,              1236259,,,                136652,,                 43055,                179707,              1056552,,,,                  4511,,                  1410,,                  5260,                    661,              1057213,,,                 66339,                990874,                990874,                990874,,                              5.27,                              5.27,,                              5.27,                              5.27,,                  1878,                  1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 66339,                  1200,,,,,,,,,,,,,
2539,2013年01月01日至2013年09月30日,,,                  2371,                  2371,,,                957690,                  2568,                955122,                955122,                957493,,,                616070,                616070,                616070,                341423,                341423,,,                 66748,,                 20359,                 87107,                254316,,,                  3564,                  3564,,                   -412,,                  2730,                    422,                254738,,,                 18803,                235935,                235935,                235935,,                              0.99,                              0.99,,                              0.99,                              0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 18803,,,,,,,,,,,,,,
2539,2013年01月01日至2013年06月30日,,,                  1569,                  1569,,,                957690,                  2556,                955134,                955134,                956703,,,                616476,                616476,                617750,                338953,                338953,,,                 62101,,                 14888,                 76989,                261964,,,                  2263,                  2263,,                              0,,                  1355,                    908,                262872,,,                 20831,                242041,                242041,                242041,,,                              1.29,,,,,                  1274,                  1274,                  1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2013年01月01日至2013年03月31日,,,                    782,                    782,,,                              0,                      1,                     -1,                     -1,                    781,,,                              0,                              0,                    303,                    478,                    478,,,                 11347,,                  5114,                 16461,                -15983,,,                    996,                    996,,                              0,,                    501,                    495,                -15488,,,                              0,                -15488,                -15488,                -15488,,,                             -0.08,,,,,                    303,                    303,                    501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,2012年07月01日至2012年09月30日,,,                    765,                    765,,,                465569,                              0,                465569,                465569,                466334,,,                330947,                330947,                330947,                135387,                135387,,,                 21316,,                  9307,                 30623,                104764,,,                    701,                    701,,                     -2,,                              0,                    699,                105463,,,                              0,                105463,                105463,                105463,,                              0.56,                              0.56,,                              0.56,                              0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,,,,,,,
2539,2012年04月01日至2012年06月30日,,,                    708,                    708,,,                237613,                  1413,                236200,                236200,                236908,,,                162186,                162186,                162186,                 74722,                 74722,,,                 11634,,                  5971,                 17605,                 57117,,,                  1064,                  1064,,                     -1,,                     32,                  1031,                 58148,,,                    157,                 57991,                 57991,                 57991,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,,                              0,                     80,                              0,                              0,                              0,                    278,                              0,                              0,                              0,                              0,                      1,                              0,                     18,                 11633,                              0,,,,,,,,,,,                              0,,                    143,                     23,,,                              0,,                    157,,                  2065,                     38,                      9,                     74,                              0,                    167,                    222,                    225,                  1001,                     85,                    201,                  1342,
2539,2012年01月01日至2012年12月31日,,,                  2963,                  2963,,,              1643821,                  2244,              1641577,              1641577,              1644540,,,              1146374,              1146374,              1147610,                496930,                496930,,,                 93658,,                 29271,                122929,                374001,,,,                  7064,,                    -33,,                  1340,                  5691,                379692,,,                    157,                379535,                379535,                379535,,                              2.02,                              2.02,,                              2.02,                              2.02,,                  1236,                  1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                    157,                              0,,,,,,,,,,,,,
2539,2012年01月01日至2012年09月30日,,,                  2177,                  2177,,,              1626093,                  2208,              1623885,              1623885,              1626062,,,              1134817,              1134817,              1134817,                491245,                491245,,,                 41321,,                 21416,                 62737,                428508,,,                  2597,                  2597,,                     -6,,                  1071,                  1520,                430028,,,                    157,                429871,                429871,                429871,,                              2.29,                              2.29,,                              2.28,                              2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                    157,,,,,,,,,,,,,,
2539,2012年01月01日至2012年06月30日,,,                  1412,                  1412,,,              1160524,                  2208,              1158316,              1158316,              1159728,,,                803870,                803870,                803870,                355858,                355858,,,                 20005,,                 12109,                 32114,                323744,,,                  1896,                  1896,,                     -4,,                  1071,                    821,                324565,,,                    157,                324408,                324408,                324408,,                              1.96,                              1.96,,                              1.96,                              1.96,,,,,                              0,                    139,                              0,                              0,                              0,                    358,                              0,                              0,                              0,                              0,                      1,                              0,                    249,                 19973,                     31,,,,,,,,,,,                              0,,                    276,                     46,,,                     29,,                    157,,                  5190,                     52,                     12,                    139,                              0,                    213,                    410,                    364,                  1780,                    153,                    201,                  2498,
2539,2012年01月01日至2012年03月31日,,,                    704,                    704,,,                922911,                    795,                922116,                922116,                922820,,,                641381,                641381,                641684,                281136,                281136,,,                  8371,,                  6138,                 14509,                266627,,,                    832,                    832,,                     -3,,                  1039,                   -210,                266417,,,,                266417,                266417,                266417,,,                              1.81,,,,,                    303,                    303,                  1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                      3
