證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 佣金收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 銷貨成本,　　 國外營運機構財務報表換算之兌換差額,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計
2466,2014年01月01日至2014年06月30日,,,                496912,,,,,                 15248,                512160,,,                465524,                465524,                 46636,                 46636,,,                 30758,,                 81873,,                  4637,                117268,                -70632,,,                 12493,                 12493,,                  2294,,                 21359,                 -6572,                -77204,,                  3662,                -80866,                -80866,,,                  1920,                  1920,                  1920,                -78946,,                -81728,                    862,,                -79808,                    862,,                             -0.60,                465524,,,,,
2466,2014年01月01日至2014年03月31日,,,                220776,,,,,                  9839,                230615,,,,                207244,                 23371,                 23371,,,                 13993,,                 44300,,                    933,                 59226,                -35855,,,,                  6380,,                 20926,,                 10362,                 16944,                -18911,,                  5743,                -24654,                -24654,,,,,                 33290,                  8636,,                -24932,                    278,,                  8358,                    278,,                             -0.18,,                 33290,,,,
2466,2013年第3季,,,                507825,,,                  1270,                  1270,                  1270,                509095,,,                519872,                519872,                -10777,                -10777,,,                 31363,,                 37536,,                  2929,                 71828,                -82605,,,                 36074,                 36074,,                -41990,,                  8788,                -14704,                -97309,,                  9339,               -106648,               -106648,,,,,                -42115,               -148763,,               -106331,                   -317,,               -148446,                   -317,,                             -0.78,,                -42115,,,,
2466,2013年第2季,,,                249935,,,,,                 14625,                264560,,,                231298,                231298,                 33262,                 33262,,,                 16365,,                 33347,,                  3001,                 52713,                -19451,,,                  2241,                  2241,,                 -4025,,                  9804,                -11588,                -31039,,                    924,                -31963,                -31963,,,,,                 13014,                -18949,,                -32176,                    213,,                -19162,                    213,,                             -0.24,                231298,                 13014,,                              0,,                              0
2466,2013年度,,,              1297451,,,,,                 48155,              1345606,,,              1240578,              1240578,                105028,                105028,,,                 78052,,                145483,,                 11431,                234966,               -129938,,,                 51527,                 51527,,                 -9826,,                 34720,                  6981,               -122957,,                -21063,               -101894,               -101894,,,,,                 17318,                -84576,,               -102255,                    361,,                -84937,                    361,,                             -0.75,,                 17318,,,,
2466,2013年07月01日至2013年09月30日,,,                507825,,,                  1270,                  1270,                  1270,                509095,,,                519872,                519872,                -10777,                -10777,,,                 31363,,                 39972,,                  2929,                 74264,                -85041,,,                 36074,                 36074,,                 11564,,                  8788,                 38850,                -46191,,                 -4664,                -41527,                -41527,,,,,                -38427,                -79954,,                -41210,                   -317,,                -79637,                   -317,,                             -0.30,,                -38427,,,,
2466,2013年04月01日至2013年06月30日,,,                249935,,,,,                 14625,                264560,,,                231298,                231298,                 33262,                 33262,,,                 16365,,                 35794,,                  3001,                 55160,                -21898,,,                  2241,                  2241,,                  5302,,                  9804,                 -2261,                -24159,,                 -2027,                -22132,                -22132,,,,,                 11444,                -10688,,                -22345,                    213,,                -10901,                    213,,                             -0.16,                231298,                 11444,,                              0,,                              0
2466,2013年01月01日至2013年12月31日,,,              1297451,,,,,                 48155,              1345606,,,              1240578,              1240578,                105028,                105028,,,                 78052,,                163626,,                 11431,                253109,               -148081,,,                 51527,                 51527,,                111138,,                 34720,                127945,                -20136,,                  1312,                -21448,                -21448,,,,,                 13328,                 -8120,,                -21809,                    361,,                 -8481,                    361,,                             -0.16,,                 13328,,,,
2466,2013年01月01日至2013年09月30日,,,                949407,,,                 42967,                 42967,                 42967,                992374,,,                937296,                937296,                 55078,                 55078,,,                 61973,,                108002,,                  9024,                178999,               -123921,,,                 40923,                 40923,,                -40152,,                 24679,                -23908,               -147829,,                 17254,               -165083,               -165083,,,,,                 11067,               -154016,,               -164967,                   -116,,               -153900,                   -116,,                             -1.21,,                 11067,,,,
2466,2013年01月01日至2013年06月30日,,,                441582,,,,,                 41697,                483279,,,                417424,                417424,                 65855,                 65855,,,                 30610,,                 70466,,                  6095,                107171,                -41316,,,                  4849,                  4849,,                  1838,,                 15891,                 -9204,                -50520,,                  7915,                -58435,                -58435,,,,,                 53182,                 -5253,,                -58636,                    201,,                 -5454,                    201,,                             -0.43,                417424,                 53182,,                              0,,                              0
2466,2013年01月01日至2013年03月31日,,,                191647,,,,,                 27072,                218719,,,,                186126,                 32593,                 32593,,,                 14245,,                 37119,,                  3094,                 54458,                -21865,,,,                  2608,,                  5863,,                  6087,                  2384,                -19481,,                  6991,                -26472,                -26472,,,,,                 40168,                 13696,,                -26460,                    -12,,                 13708,                    -12,,                             -0.19,,                 40168,,,,
2466,2012年07月01日至2012年09月30日,,,                971214,,,                  4187,                  4187,                  4187,                975401,,,                977426,                977426,                 -2025,                 -2025,,,                 19599,,                 31044,,                  2656,                 53299,                -55324,,,                  2788,                  2788,,                 34312,,                  7328,                 29772,                -25552,,                 -3577,                -21975,                -21975,,,,,                -24185,                -46160,,                -21975,                              0,,                -46160,                              0,,                             -0.16,,                -24185,,,,
2466,2012年04月01日至2012年06月30日,,,                332949,,,,,                  3990,                336939,,,                310939,                310939,                 26000,                 26000,,,                 10134,,                 41422,,                  4053,                 55609,                -29609,,,                  8054,                  8054,,                  4599,,                 11820,                    833,                -28776,,                 -2669,                -26107,                -26107,,,,,                 11679,                -14428,,                -26107,                              0,,                -14428,                              0,,                             -0.19,                310939,                 11679,,                              0,,                              0
2466,2012年01月01日至2012年12月31日,,,              1859944,,,,,                 19182,              1879126,,,              1823073,              1823073,                 56053,                 56053,,,                 80809,,                203962,,                 13420,                298191,               -242138,,,                 20288,                 20288,,                 72698,,                 37305,                 55681,               -186457,,                -10022,               -176435,               -176435,,,,,                -47044,               -223479,,               -176435,                              0,,               -223479,                              0,,                             -1.29,,                -47044,,,,
2466,2012年01月01日至2012年09月30日,,,              1506434,,,                 14370,                 14370,                 14370,              1520804,,,              1484053,              1484053,                 36751,                 36751,,,                 42802,,                111033,,                  9946,                163781,               -127030,,,                 14214,                 14214,,                 80871,,                 26413,                 68672,                -58358,,                 -4623,                -53735,                -53735,,,,,                -40245,                -93980,,                -53735,                              0,,                -93980,                              0,,                             -0.39,,                -40245,,,,
2466,2012年01月01日至2012年06月30日,,,                535220,,,,,                 10183,                545403,,,                506627,                506627,                 38776,                 38776,,,                 23203,,                 79989,,                  7290,                110482,                -71706,,,                 11426,                 11426,,                 46559,,                 19085,                 38900,                -32806,,                 -1046,                -31760,                -31760,,,,,                -16060,                -47820,,                -31760,                              0,,                -47820,                              0,,                             -0.23,                506627,                -16060,,                              0,,                              0
2466,2012年01月01日至2012年03月31日,,,                202271,,,,,                  6193,                208464,,,,                195688,                 12776,                 12776,,,                 13069,,                 38567,,                  3237,                 54873,                -42097,,,,                  3372,,                 41960,,                  7265,                 38067,                 -4030,,                  1623,                 -5653,                 -5653,,,,,                -27739,                -33392,,                 -5653,                              0,,                -33392,                              0,,                             -0.04,,                -27739,,,,
