證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1902,2015年第3季,,,              1496993,              1496993,,,              1335690,              1335690,                161303,                161303,,,                 84402,,                 51513,                135915,                 25388,,,                 31483,,                 81601,,                  6937,,                 16156,                122303,                147691,,                 72052,                 75639,                 75639,,,                102389,,                 10138,                 17434,                 95093,                 95093,                170732,,                 71977,                  3662,,                157097,                 13635,,                              0.18,,,,,,,,,,,
1902,2015年第2季,,,              1733772,              1733772,,,              1471935,              1471935,                261837,                261837,,,                102801,,                 52004,                154805,                107032,,,                 13998,,                -61870,,                  6134,,                 18743,                -35263,                 71769,,                 -4901,                 76670,                 76670,,,                -66609,,                 -7835,                -11801,                -62643,                -62643,                 14027,,                 73581,                  3089,,                 20447,                 -6420,,                              0.18,,,,,,,,,,,
1902,2015年01月01日至2015年09月30日,,,              4704530,              4704530,,,              4052317,              4052317,                652213,                652213,,,                270484,,                168416,                438900,                213313,,,                 59764,,                -31411,,                 20312,,                 51601,                 59642,                272955,,                 75344,                197611,                197611,,,                  5423,,                 -2168,                  1151,                  2104,                  2104,                199715,,                185858,                 11753,,                191479,                  8236,,                              0.46,,,,,,,,,,,
1902,2015年01月01日至2015年06月30日,,,              3207537,              3207537,,,              2716627,              2716627,                490910,                490910,,,                186082,,                116903,                302985,                187925,,,                 28281,,               -113012,,                 13375,,                 35445,                -62661,                125264,,                  3292,                121972,                121972,,,                -96966,,                -12306,                -16283,                -92989,                -92989,                 28983,,                113881,                  8091,,                 34382,                 -5399,,                              0.28,,,,,,,,,,,
1902,2015年01月01日至2015年03月31日,,,,              1473765,,,,              1244692,                229073,                229073,,,                 83281,,                 64899,                148180,                 80893,,,                 14283,,                -51142,,                  7241,,                 16702,                -27398,                 53495,,                  8193,                 45302,                 45302,,,                -30357,,                 -4471,                 -4482,                -30346,                -30346,                 14956,,                 40300,                  5002,,                 13935,                  1021,,                              0.10,                              0.10,,,,,,,,,,
1902,2014年第3季,,,              1872202,              1872202,,,              1654403,              1654403,                217799,                217799,,,                 88619,,                 56940,                145559,                 72240,,,                 31083,,                -10850,,                  8281,,                 20735,                 32687,                104927,,                 29787,                 75140,                 75140,,,                 48518,,                  6955,                  8101,                 47372,                 47372,                122512,,                 70770,                  4370,,                110321,                 12191,,                              0.18,,,,,,,,,,,
1902,2014年第2季,,,              1599893,              1599893,,,              1480208,              1480208,                119685,                119685,,,                 93753,,                 71360,                165113,                -45428,,,                 26773,,                 -8943,,                  8291,,                 21950,                 31489,                -13939,,                 -8373,                 -5566,                 -5566,,,                -67483,,                 -2562,                -10158,                -59887,                -59887,                -65453,,                -10067,                  4501,,                -59660,                 -5793,,                             -0.03,,,,,,,,,,,
1902,2014年度,,,,              6764178,,,,              5823628,                940550,                940550,,,                374074,,                248316,                622390,                318160,,,                 76842,,               -329872,,                 32185,,                 80622,               -204593,                113567,,                 75364,                 38203,                 38203,,,,,,,,                108597,                146800,,                 19974,                 18229,,                113707,                 33093,,                              0.05,                              0.05,                112815,                  2961,,                 11777,                 18956,,,,,
1902,2014年01月01日至2014年09月30日,,,              4983094,              4983094,,,              4527713,              4527713,                455381,                455381,,,                268550,,                201150,                469700,                -14319,,,                 74381,,                -16420,,                 25472,,                 60961,                 93450,                 79131,,                 24485,                 54646,                 54646,,,                 36739,,                  4393,                  6115,                 35017,                 35017,                 89663,,                 41368,                 13278,,                 71225,                 18438,,                              0.10,,,,,,,,,,,
1902,2014年01月01日至2014年06月30日,,,              3110892,              3110892,,,              2873310,              2873310,                237582,                237582,,,                179931,,                144210,                324141,                -86559,,,                 43298,,                 -5570,,                 17191,,                 40226,                 60763,                -25796,,                 -5302,                -20494,                -20494,,,                -11779,,                 -2562,                 -1986,                -12355,                -12355,                -32849,,                -29402,                  8908,,                -39096,                  6247,,                             -0.07,,,,,,,,,,,
