證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2468,2015年第3季,,,                250673,,                 86392,                337065,,,                216103,,                 74474,                290577,                 46488,                 46488,,                 39089,                  7399,,,                  3557,                  3557,,                  4150,,                      5,                  7702,                 15101,,                  1784,                 13317,                 13317,,,                  2683,                 -4615,                   -784,                 -1148,                 -1148,                 12169,,                 13317,,                 12169,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,
2468,2015年第2季,,,                290085,,                 74526,                364611,,,                252826,,                 62519,                315345,                 49266,                 49266,,                 36034,                 13232,,,                  3137,                  3137,,                   -986,,                      4,                  2147,                 15379,,                  1308,                 14071,                 14071,,,                 -1094,                 -2432,                   -414,                 -3112,                 -3112,                 10959,,                 14071,,                 10959,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,
2468,2015年01月01日至2015年09月30日,,,                778488,,                242044,              1020532,,,                676476,,                205781,                882257,                138275,                138275,,                112051,                 26224,,,                  9966,                  9966,,                  1917,,                     14,                 11869,                 38093,,                  4615,                 33478,                 33478,,,                    882,                 -7919,                 -1346,                 -5691,                 -5691,                 27787,,                 33478,,                 27787,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,
2468,2015年01月01日至2015年06月30日,,,                527815,,                155652,                683467,,,                460373,,                131307,                591680,                 91787,                 91787,,                 72962,                 18825,,,                  6409,                  6409,,                 -2233,,                      9,                  4167,                 22992,,                  2831,                 20161,                 20161,,,                 -1801,                 -3304,                   -562,                 -4543,                 -4543,                 15618,,                 20161,,                 15618,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,
2468,2015年01月01日至2015年03月31日,,,                237730,,                 81126,                318856,,,                207547,,                 68788,                276335,                 42521,                 42521,,                 36928,                  5593,,,,                  3272,,                 -1247,,                      5,                  2020,                  7613,,                  1523,                  6090,                  6090,,,                   -707,                   -872,                   -148,                 -1431,                 -1431,                  4659,,                  6090,,                  4659,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,
2468,2014年第3季,,,                277438,,                 96199,                373637,,,                247136,,                 81646,                328782,                 44855,                 44855,,                 36926,                  7929,,,                  2453,                  2453,,                  3602,,                    444,                  5611,                 13540,,                  2202,                 11338,                 11338,,,                    905,                    538,                    495,                    948,                    948,                 12286,,                 11338,,                 12286,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,
2468,2014年第2季,,,                288454,,                 61672,                350126,,,                253100,,                 61724,                314824,                 35302,                 35302,,                 36674,                 -1372,,,                  2478,                  2478,,                   -279,,                    495,                  1704,                    332,,                    935,                   -603,                   -603,,,                 -4654,                  2243,                   -103,                 -2308,                 -2308,                 -2911,,                   -603,,                 -2911,,                             -0.01,                             -0.01,,                             -0.01,                             -0.01,,,,,
2468,2014年度,,,              1195626,,                335787,              1531413,,,              1039799,,                307967,              1347766,                183647,                183647,,                152675,                 30972,,,                 13472,                 13472,,                  9432,,                  1674,                 21230,                 52202,,                 10164,                 42038,                 42038,,,,,,,                  1898,                 43936,,                 42038,,                 43936,,                              0.60,                              0.60,,                              0.60,                              0.60,                   -143,                  2948,                     86,                   -993,
2468,2014年01月01日至2014年09月30日,,,                869880,,                260999,              1130879,,,                766954,,                238737,              1005691,                125188,                125188,,                112141,                 13047,,,                  7609,                  7609,,                  4443,,                  1586,                 10466,                 23513,,                  4865,                 18648,                 18648,,,                 -2556,                  2352,                    878,                 -1082,                 -1082,                 17566,,                 18648,,                 17566,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,
2468,2014年01月01日至2014年06月30日,,,                592442,,                164800,                757242,,,                519818,,                157091,                676909,                 80333,                 80333,,                 75215,                  5118,,,                  5156,                  5156,,                    841,,                  1142,                  4855,                  9973,,                  2663,                  7310,                  7310,,,                 -3461,                  1814,                    383,                 -2030,                 -2030,                  5280,,                  7310,,                  5280,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,
