證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 確定福利計畫精算利益（損失）,　　 稀釋繼續營業單位淨利（淨損）
2547,2014年第3季,,                964258,,                566061,                398197,                398197,,,                159568,,                232187,,                    249,                392004,                  6193,,,                 47554,,                 -9895,,                100241,                -62582,                -56389,,                 51028,               -107417,               -107417,,                    653,                    653,               -106764,,               -110899,                  3482,,               -110246,                  3482,,                             -0.13,,                              0.00,,,
2547,2014年第2季,,                820016,,                477345,                342671,                342671,,,                201850,,                210633,,,                412483,                -69812,,,                 59677,,                 -9234,,                 88752,                -38309,               -108121,,                 46811,               -154932,               -154932,,                   -484,                   -484,               -155416,,               -158000,                  3068,,               -158484,                  3068,,                             -0.18,,,                             -0.18,,
2547,2014年01月01日至2014年09月30日,,              2519903,,              1357214,              1162689,              1162689,,,                460316,,                734857,,                    249,              1195422,                -32733,,,                152874,,                -19859,,                276719,               -143704,               -176437,,                121969,               -298406,               -298406,,                     61,                     61,               -298345,,               -308885,                 10479,,               -308824,                 10479,,                             -0.35,,                              0.00,,,
2547,2014年01月01日至2014年06月30日,,              1555645,,                791153,                764492,                764492,,,                300748,,                502670,,,                803418,                -38926,,,                105320,,                 -9964,,                176478,                -81122,               -120048,,                 70941,               -190989,               -190989,,                   -592,                   -592,               -191581,,               -197986,                  6997,,               -198578,                  6997,,                             -0.23,,,                             -0.23,,
2547,2014年01月01日至2014年03月31日,,                735629,,                313808,                421821,                421821,,,                 98898,,                292037,,,                390935,                 30886,,,                 45643,,                   -730,,                 87726,                -42813,                -11927,,                 24130,                -36057,                -36057,,                   -108,                   -108,                -36165,,                -39986,                  3929,,                -40094,                  3929,,                             -0.05,,,                             -0.05,,
2547,2013年第3季,,             23372420,,             14061428,              9310992,              9310992,,,                138621,,                292841,,                              0,                431462,              8879530,,,                 49716,,                  3220,,                186873,               -133937,              8745593,,                 13138,              8732455,              8732455,,                   -437,                   -437,              8732018,,              8730495,                  1960,,              8730058,                  1960,,                             10.13,,                              9.47,,,
2547,2013年第2季,,                442517,,                145000,                297517,                297517,,,                158848,,                273725,,,                432573,               -135056,,,                 65331,,                 -7285,,                242626,               -184580,               -319636,,                 14956,               -334592,               -334592,,                    377,                    377,               -334215,,               -334918,                    326,,               -334541,                    326,,                             -0.40,,,                             -0.40,,
2547,2013年07月01日至2013年09月30日,,             23372420,,             14061428,              9310992,              9310992,,,                138621,,                292841,,,                431462,              8879530,,,                 49716,,                  3220,,                186873,               -133937,              8745593,,                 13138,              8732455,              8732455,,                   -437,                   -437,              8732018,,              8730495,                  1960,,              8730058,                  1960,,                             10.34,,                              9.65,                             10.34,,                              9.65
2547,2013年04月01日至2013年06月30日,,                442517,,                145000,                297517,                297517,,,                158848,,                273725,,,                432573,               -135056,,,                 65331,,                 -7285,,                242626,               -184580,               -319636,,                 14956,               -334592,               -334592,,                    377,                    377,               -334215,,               -334918,                    326,,               -334541,                    326,,                             -0.41,,,,,
2547,2013年01月01日至2013年12月31日,,             30391438,,             17832896,             12558542,             12558542,,,                620030,,              1155863,,,              1775893,             10782649,,,                225088,,                -26900,,                748541,               -550353,             10232296,,                 85342,             10146954,             10146954,,                    733,                   -678,             10146276,,             10139438,                  7516,,             10138760,                  7516,,                             12.01,,                             11.24,                             12.01,                 -1411,                             11.24
2547,2013年01月01日至2013年09月30日,,             24264555,,             14342684,              9921871,              9921871,,,                424268,,                831793,,                              0,              1256061,              8665810,,,                160822,,                  2080,,                652171,               -489269,              8176541,,                 36144,              8140397,              8140397,,                    152,                    152,              8140549,,              8137441,                  2956,,              8137593,                  2956,,                              9.49,,                              8.85,,,
2547,2013年01月01日至2013年06月30日,,                892135,,                281256,                610879,                610879,,,                285647,,                538952,,,                824599,               -213720,,,                111106,,                 -1140,,                465298,               -355332,               -569052,,                 23006,               -592058,               -592058,,                    589,                    589,               -591469,,               -593054,                    996,,               -592465,                    996,,                             -0.71,,,                             -0.71,,
2547,2013年01月01日至2013年03月31日,,                449618,,                136256,                313362,                313362,,,                126799,,                265227,,,                392026,                -78664,,,                 45775,,                  6145,,                222672,               -170752,               -249416,,                  8050,               -257466,               -257466,,                    212,                    212,               -257254,,               -258136,                    670,,               -257924,                    670,,                             -0.31,,,                             -0.31,,
2547,2012年07月01日至2012年09月30日,,                385451,,                 89922,                295529,                295529,,,                190082,,                231630,,,                421712,               -126183,,,                145314,,                 14295,,                158732,                    877,               -125306,,                 15530,               -140836,               -140836,,                    -77,                    -77,               -140913,,               -138388,                 -2448,,               -138465,                 -2448,,                             -0.17,,                              0.00,                             -0.17,,                              0.00
2547,2012年04月01日至2012年06月30日,,                358252,,                105920,                252332,                252332,,,                106654,,                277499,,,                384153,               -131821,,,                 81966,,                 17321,,                 89749,                  9538,               -122283,,                 78964,               -201247,               -201247,,                     39,                     39,               -201208,,               -198779,                 -2468,,               -198740,                 -2468,,                             -0.25,,,,,
2547,2012年01月01日至2012年12月31日,,              1667111,,                407984,              1259127,              1259127,,,              1166769,,              1086443,,,              2253212,               -994085,,,                420907,,                 13000,,                624737,               -190830,             -1184915,,                200005,             -1384920,             -1384920,,                   -450,                 -4353,             -1389273,,             -1377143,                 -7777,,             -1381456,                 -7817,,                             -1.71,,                              0.00,                             -1.71,                 -3903,                              0.00
2547,2012年01月01日至2012年09月30日,,              1123998,,                290473,                833525,                833525,,,                380654,,                751089,,,              1131743,               -298218,,,                299214,,                 16834,,                436875,               -120827,               -419045,,                102983,               -522028,               -522028,,                   -448,                   -448,               -522476,,               -515622,                 -6406,,               -516070,                 -6406,,                             -0.64,,                              0.00,                             -0.64,,                              0.00
