證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 利息費用,　　　 外幣兌換利益,　　　 什項支出,　　 本期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　　 其他收入－其他,　　 當期所得稅費用（利益）,　　 確定福利計畫精算利益（損失）,　　　 銷貨退回,　　　 銷貨折讓,　　 其他收益,　　 其他費損,　　　 外幣兌換損失,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計
8222,2015年第3季,,,,                220296,                220296,                220296,                220296,,,                178079,                178079,                178079,                 42217,                 42217,,,                  4224,,                 10888,,                 12078,                 27190,                 15027,,,                    192,,                 21072,,                  1586,                 19678,                 34705,,                  4615,                 30090,                 30090,                 30090,,                              0.44,,                              0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222,2015年第2季,,,,                244574,                244574,                244574,                244574,,,,,                192947,                 51627,                 51627,,,                  4329,,                  9084,,                  8710,                 22123,                 29504,,,                    192,,                 -3329,,                  1672,                 -4809,                 24695,,                  3757,                 20938,                 20938,                 20938,,                              0.31,,                              0.31,,                              0,,                     72,                     72,                    120,                  1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222,2015年01月01日至2015年09月30日,,,,                671331,                671331,                671331,                671331,,,                535886,                535886,                535886,                135445,                135445,,,                 12579,,                 28856,,                 30412,                 71847,                 63598,,,                    536,,                 15239,,                  5011,                 10764,                 74362,,                  9345,                 65017,                 65017,                 65017,,                              0.96,,                              0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222,2015年01月01日至2015年06月30日,,,,                451035,                451035,                451035,                451035,,,,,                357807,                 93228,                 93228,,,                  8355,,                 17968,,                 18334,                 44657,                 48571,,,                    344,,                 -5833,,                  3425,                 -8914,                 39657,,                  4730,                 34927,                 34927,                 34927,,                              0.52,,                              0.51,,                              0,,                    104,                    104,                    240,                  3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222,2015年01月01日至2015年03月31日,,,,                206461,                206461,                206461,                206461,,,                164860,                164860,                164860,                 41601,                 41601,,,                  4026,,                  8884,,                  9624,                 22534,                 19067,,,                    152,,                 -2504,,                  1753,                 -4105,                 14962,,                    973,                 13989,                 13989,                 13989,,                              0.21,,                              0.21,,                              0,,                     32,                     32,                    120,                  1753,                 -2255,                    249,                    973,,                              0,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,
8222,2014年第3季,,,,                194244,                194244,                194244,                194244,,,                156801,                156801,                156801,                 37443,                 37443,,,                  4358,,                  9353,,                  9698,                 23409,                 14034,,,                    123,,                  3617,,                  2151,                  1589,                 15623,,                  1607,                 14016,                 14016,                 14016,,                              0.23,,                              0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222,2014年第2季,,,,                204177,                204177,                204177,                204177,,,,,                165553,                 38624,                 38624,,,                  3871,,                  8124,,                  8950,                 20945,                 17679,,,                    163,,                 -3875,,                  2081,                 -5793,                 11886,,                    760,                 11126,                 11126,                 11126,,                              0.18,,                              0.18,,                              0,,                     42,                     42,                    121,                  2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222,2014年度,,,,                767878,                767878,                767878,                767878,,,                635310,                635310,                635310,                132568,                132568,,,                 16872,,                 34726,,                 36481,                 88079,                 44489,,,                    566,,                 11566,,                  8245,                  3887,                 48376,,                  6166,                 42210,                 42210,                 42840,,                              0.68,,                              0.68,,                              0,,                     85,                     85,                    481,                  8245,                 12451,                    885,,,                              0,,,,,,,,,,,,,                    630,                              0,                  6166,                    630,,,,,,,,
8222,2014年上半年度,,,,                386083,                386083,                386083,                386083,,,,,                323140,                 62943,                 62943,,,                  8466,,                 16115,,                 16277,                 40858,                 22085,,,                    284,,                    231,,                  4101,                 -3586,                 18499,,                  2464,                 16035,                 16035,                 16035,,                              0.26,,                              0.26,,                              0,,                     43,                     43,                    241,                  4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222,2014年01月01日至2014年09月30日,,,,                580327,                580327,                580327,                580327,,,                479941,                479941,                479941,                100386,                100386,,,                 12824,,                 25468,,                 25975,                 64267,                 36119,,,                    407,,                  3848,,                  6252,                 -1997,                 34122,,                  4071,                 30051,                 30051,                 30051,,                              0.49,,                              0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
