證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 當期所得稅費用（利益）
1909,2015年第3季,,              6933989,,              5526842,              1407147,              1407147,,,                266221,,                274369,,                212687,                753277,                653870,,,                101218,,               -212190,,                178620,,                 -8860,               -298452,                355418,,                 95779,                259639,                259639,,,                 41636,                   -528,,                207169,                 94220,                154057,                154057,                413696,,                260874,                 -1235,,                373580,                 40116,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2015年第2季,,              6860781,,              5569630,              1291151,              1291151,,,                314962,,                227363,,                180296,                722621,                568530,,,                 38813,,                -80996,,                167946,,                122107,                -88022,                480508,,                139285,                341223,                341223,,,                -13987,                   -467,,               -265379,                -29759,               -250074,               -250074,                 91149,,                337886,                  3337,,                101869,                -10720,,                              0.41,                              0.41,,,                              0.41,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2015年01月01日至2015年09月30日,,             20422201,,             16601874,              3820327,              3820327,,,                860832,,                736929,,                562798,              2160559,              1659768,,,                183440,,               -324837,,                528153,,                103384,               -566166,              1093602,,                311881,                781721,                781721,,,                 18579,                 -1333,,               -391226,                 44492,               -418472,               -418472,                363249,,                775754,                  5967,,                339234,                 24015,,                              0.93,                              0.93,,                              0.93,                              0.93,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2015年01月01日至2015年06月30日,,             13488212,,             11075032,              2413180,              2413180,,,                594611,,                462560,,                350111,              1407282,              1005898,,,                 82222,,               -112647,,                349533,,                112244,               -267714,                738184,,                216102,                522082,                522082,,,                -23057,                   -805,,               -598395,                -49728,               -572529,               -572529,                -50447,,                514880,                  7202,,                -34346,                -16101,,                              0.62,                              0.62,,,                              0.62,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2015年01月01日至2015年03月31日,,              6627431,,              5505402,              1122029,              1122029,,,                279649,,                235197,,                169815,                684661,                437368,,,                 43409,,                -31651,,                181587,,                 -9863,               -179692,                257676,,                 76817,                180859,                180859,,,                 -9070,                   -338,,               -333016,                -19969,               -322455,               -322455,               -141596,,                176994,                  3865,,               -136215,                 -5381,,                              0.21,                              0.21,,                              0.21,                              0.21,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,
1909,2014年第3季,,              7024051,,              5674557,              1349494,              1349494,,,                276635,,                213842,,                223430,                713907,                635587,,,                 78563,,                185345,,                197652,,                 -9760,                 56496,                692083,,                208518,                483565,                483565,,,                 25614,                    -20,,                373552,                 48874,                350272,                350272,                833837,,                460445,                 23120,,                785036,                 48801,,                              0.58,                              0.58,,                              0.58,                              0.58,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2014年第2季,,              6901743,,              5484891,              1416852,              1416852,,,                320367,,                230216,,                216544,                767127,                649725,,,                 33870,,                -16528,,                214999,,                130043,                -67614,                582111,,                136390,                445721,                445721,,,                -18477,                     65,,                -29850,                -35691,                -12571,                -12571,                433150,,                425478,                 20243,,                431238,                  1912,,                              0.54,                              0.54,,,                              0.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2014年度,,             27487942,,             22199819,              5288123,              5288123,,,              1160343,,              1326571,,                767762,              3254676,              2033447,,,                247192,,               -387568,,                804022,,                106281,               -838117,              1195330,,                319251,                876079,                876079,,,,,,,,,                314585,              1190664,,                873633,                  2446,,              1152723,                 37941,,                              1.09,                              1.09,,                              1.09,                              1.09,,,,,,,,,,                 35532,                    -30,                -16539,,                362248,                 66626,,,,,,,,,,,
1909,2014年01月01日至2014年09月30日,,             20360407,,             16377764,              3982643,              3982643,,,                867393,,                662147,,                598661,              2128201,              1854442,,,                149573,,               -272946,,                609765,,                118732,               -614406,              1240036,,                342873,                897163,                897163,,,                  3444,                    -89,,                220931,                  6957,                217329,                217329,              1114492,,                870765,                 26398,,              1084504,                 29988,,                              1.10,                              1.10,,                              1.10,                              1.10,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2014年01月01日至2014年06月30日,,             13336356,,             10703207,              2633149,              2633149,,,                590758,,                448305,,                375231,              1414294,              1218855,,,                 71010,,               -458291,,                412113,,                128492,               -670902,                547953,,                134355,                413598,                413598,,,                -22170,                    -69,,               -152621,                -41917,               -132943,               -132943,                280655,,                410320,                  3278,,                299468,                -18813,,                              0.52,                              0.52,,,                              0.52,,,,,,,,,,,,,,,,,,,,,,,,,,
