證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
2365,2015年第3季,,,              1404309,,                  5482,              1409791,,,              1124230,                  9354,              1133584,                276207,                276207,,,                129674,,                118132,,                 36567,                284373,                 -8166,,,,                  2344,                  2344,,                 48520,,                  2879,                  2879,,                  6510,                 54495,                 46329,,                 16518,                 29811,                 29811,,,                 50516,                -39448,,                    781,                    550,                 11299,                 11299,                 41110,,                 31234,                 -1423,,                 42582,                 -1472,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,
2365,2015年第2季,,,              1562380,,                     35,              1562415,,,              1249791,                    445,              1250236,                312179,                312179,,,                139626,,                101539,,                 35823,                276988,                 35191,,,,                  3409,                  3409,,                 12046,,                  3203,                  3203,,                   -886,                 11366,                 46557,,                 12635,                 33922,                 33922,,,                -11757,                -52174,,                 -3712,                   -217,                -67426,                -67426,                -33504,,                 32826,                  1096,,                -34318,                    814,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,
2365,2015年01月01日至2015年09月30日,,,              4497849,,                  6280,              4504129,,,              3586347,                  9884,              3596231,                907898,                907898,,,                410472,,                321364,,                125438,                857274,                 50624,,,,                  9320,                  9320,,                 66480,,                  9200,                  9200,,                  4426,                 71026,                121650,,                 36669,                 84981,                 84981,,,                 28930,                -58595,,                 -4070,                    225,                -33960,                -33960,                 51021,,                 85648,                   -667,,                 51775,                   -754,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,,,
2365,2015年01月01日至2015年06月30日,,,              3093540,,                    798,              3094338,,,              2462117,                    530,              2462647,                631691,                631691,,,                280798,,                203232,,                 88871,                572901,                 58790,,,,                  6976,                  6976,,                 17960,,                  6321,                  6321,,                 -2084,                 16531,                 75321,,                 20151,                 55170,                 55170,,,                -21586,                -19147,,                 -4851,                   -325,                -45259,                -45259,                  9911,,                 54414,                    756,,                  9193,                    718,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,,,
2365,2015年01月01日至2015年03月31日,,,              1531160,,                    763,              1531923,,,              1212326,                     85,              1212411,                319512,                319512,,,                141172,,                101693,,                 53048,                295913,                 23599,,,,                  3567,                  3567,,                  5914,,                  3118,                  3118,,                 -1198,                  5165,                 28764,,                  7516,                 21248,                 21248,,,                 -9829,                 33027,,                 -1139,                   -108,                 22167,                 22167,                 43415,,                 21588,                   -340,,                 43511,                    -96,,                              0.07,                              0.07,,                              0.07,                              0.07,,                              0,,,,,,,
2365,2014年第3季,,,              1959804,,                  2198,              1962002,,,              1598001,                  2105,              1600106,                361896,                361896,,,                192916,,                116321,,                 47701,                356938,                  4958,,,,                  4026,                  4026,,                 74562,,                  4447,                  4447,,                  3548,                 77689,                 82647,,                  7626,                 75021,                 75021,,,                 13910,                 -1741,,                  2031,                 -3706,                 17906,                 17906,                 92927,,                 68883,                  6138,,                 86789,                  6138,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,,
2365,2014年第2季,,,              1813023,,                    261,              1813284,,,              1484888,                    790,              1485678,                327606,                327606,,,                153213,,                119901,,                 39714,                312828,                 14778,,,,                  4768,                  4768,,                -33432,,                  1386,                  1386,,                 11538,                -18512,                 -3734,,                  8810,                -12544,                -12544,,,                -18489,                    356,,                 -1614,                   -267,                -19480,                -19480,                -32024,,                -11513,                 -1031,,                -30416,                 -1608,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,,,,,,,,
2365,2014年度,,,              7594719,,                  4124,              7598843,,,              6180231,                 11952,              6192183,              1406660,              1406660,,,                613116,,                477156,,                199166,              1289438,                117222,,,,                 17591,                 17591,,                 27973,,                 11415,                 11415,,                 14738,                 48887,                166109,,                 39167,                126942,                126942,,,,,,,,,                110713,                237655,,                125348,                  1594,,                236420,                  1235,,                              0.42,                              0.42,,                              0.42,                              0.42,,                              0,                 52039,                 53828,,                  5842,                   -996,,
2365,2014年01月01日至2014年09月30日,,,              5680924,,                  2553,              5683477,,,              4626027,                  5228,              4631255,              1052222,              1052222,,,                514028,,                348749,,                138340,              1001117,                 51105,,,,                 13475,                 13475,,                 55308,,                  7664,                  7664,,                 12788,                 73907,                125012,,                 32472,                 92540,                 92540,,,                 17302,                 43629,,                  3610,                 -3437,                 67978,                 67978,                160518,,                 87731,                  4809,,                155901,                  4617,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,,,,
2365,2014年01月01日至2014年06月30日,,,              3721120,,                    355,              3721475,,,              3028026,                  3123,              3031149,                690326,                690326,,,                321112,,                232428,,                 90639,                644179,                 46147,,,,                  9449,                  9449,,                -19254,,                  3217,                  3217,,                  9240,                 -3782,                 42365,,                 24846,                 17519,                 17519,,,                  3392,                 45370,,                  1579,                    269,                 50072,                 50072,                 67591,,                 18848,                 -1329,,                 69112,                 -1521,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,,
