證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額
1477,2015年第3季,,              6986801,,              5378171,              1608630,              1608630,,,                520152,,                383833,                903985,                704645,,,                 21675,,                 80295,,                 12913,,                 -9509,                 79548,                784193,,                148501,                635692,                635692,,,                              0,                              0,                              0,,                223882,                              0,                223882,                223882,                859574,,                628476,                  7216,,                850942,                  8632,,                              3.17,,                              3.11,,,,,,,
1477,2015年第2季,,              4975268,,              3868292,              1106976,              1106976,,,                305314,,                220676,                525990,                580986,,,                 18513,,                -36958,,                  9647,,                 -6626,                -34718,                546268,,                107428,                438840,                438840,,,                              0,                              0,                              0,,                -34883,                              0,                -34883,                -34883,                403957,,                432629,                  6211,,                397623,                  6334,,                              2.18,,                              2.14,,,,,,,
1477,2015年01月01日至2015年09月30日,,             17744097,,             13531174,              4212923,              4212923,,,              1238740,,                918961,              2157701,              2055222,,,                 56575,,                 52858,,                 35875,,                -15393,                 58165,              2113387,,                396489,              1716898,              1716898,,,                              0,                              0,                              0,,                156593,                              0,                156593,                156593,              1873491,,              1701454,                 15444,,              1856731,                 16760,,                              8.59,,                              8.41,,,,,,,
1477,2015年01月01日至2015年06月30日,,             10757296,,              8153003,              2604293,              2604293,,,                718588,,                535128,              1253716,              1350577,,,                 34900,,                -27437,,                 22962,,                 -5884,                -21383,              1329194,,                247988,              1081206,              1081206,,,                              0,                              0,                              0,,                -67289,                              0,                -67289,                -67289,              1013917,,              1072978,                  8228,,              1005789,                  8128,,                              5.42,,                              5.31,,,,,,,
1477,2015年01月01日至2015年03月31日,,              5782028,,              4284711,              1497317,              1497317,,,                413274,,                314452,                727726,                769591,,,                 16387,,                  9521,,                 13315,,                    742,                 13335,                782926,,                140560,                642366,                642366,,,                              0,                              0,                              0,,                -32406,                              0,                -32406,                -32406,                609960,,                640349,                  2017,,                608166,                  1794,,                              3.35,,                              3.28,,,,,,,
1477,2014年第3季,,              5952094,,              4747104,              1204990,              1204990,,,                361151,,                262275,                623426,                581564,,,                 18643,,                 -3037,,                 14429,,                 -3413,                 -2236,                579328,,                119151,                460177,                460177,,,                 -4971,                              0,                 -4971,,                 57006,                              0,                 57006,                 52035,                512212,,                458693,                  1484,,                510620,                  1592,,                              2.47,,                              2.42,,,,,,,
1477,2014年第2季,,              4354585,,              3377016,                977569,                977569,,,                270495,,                219156,                489651,                487918,,,                  7428,,                -36373,,                 15390,,                 -8692,                -53027,                434891,,                 83804,                351087,                351087,,,                 -4970,                              0,                 -4970,,                -57492,                              0,                -57492,                -62462,                288625,,                351081,                      6,,                289035,                   -410,,                              1.99,,                              1.94,,,,,,,
1477,2014年度,,             20888798,,             16361727,              4527071,              4527071,,,              1380488,,              1059543,              2440031,              2087040,,,                 77941,,                 11686,,                 58215,,                -23580,                  7832,              2094872,,                389420,              1705452,              1705452,,,,,,,,,,                154393,              1859845,,              1705256,                    196,,              1858766,                  1079,,                              9.62,,                              9.28,                154393,                              0,,,,,
1477,2014年01月01日至2014年09月30日,,             15519860,,             12077812,              3442048,              3442048,,,              1018662,,                757582,              1776244,              1665804,,,                 30067,,                -22047,,                 46749,,                -17773,                -56502,              1609302,,                309236,              1300066,              1300066,,,                -14912,                              0,                -14912,,                 35043,                              0,                 35043,                 20131,              1320197,,              1299176,                    890,,              1319531,                    666,,                              7.26,,                              7.05,,,,,,,
1477,2014年01月01日至2014年06月30日,,              9567766,,              7330708,              2237058,              2237058,,,                657511,,                495307,              1152818,              1084240,,,                 11424,,                -19010,,                 32320,,                -14360,                -54266,              1029974,,                190085,                839889,                839889,,,                 -9941,                              0,                 -9941,,                -21963,                              0,                -21963,                -31904,                807985,,                840483,                   -594,,                808911,                   -926,,                              4.79,,                              4.64,,,,,,,
