證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　　 銷貨收入,　　　 廉價購買利益,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
2475,2015年第3季,,,             11593018,             11593018,,,             12100264,             12100264,               -507246,               -507246,,,                252032,,                648603,,              1012934,              1913569,,                              0,             -2420815,,,                382722,,               -556632,,                825751,,                   -956,             -1000617,             -3421432,,                 62780,             -3484212,             -3484212,,,                -32980,               -598951,,                              0,                -82484,               -549447,               -549447,             -4033659,,             -3667954,                183742,,             -4055034,                 21375,,                             -0.57,,                             -0.57,,,,,,,,,,,,,,,
2475,2015年第2季,,,             11450285,             11450285,,,             11900290,             11900290,               -450005,               -450005,,,                247746,,                608436,,                980665,              1836847,,,             -2286852,,,                457901,,              1831287,,                854935,,                 -9726,              1424527,               -862325,,                337094,             -1199419,             -1199419,,,               -414280,                -84760,,                 -1111,                -78780,               -421371,               -421371,             -1620790,,             -1203876,                  4457,,             -1621027,                    237,,                             -0.19,,                             -0.19,,,,,,,,,,,,,,,
2475,2015年01月01日至2015年09月30日,,,             36274066,             36274066,,,             36445876,             36445876,               -171810,               -171810,,,                733978,,              2028294,,              3156338,              5918610,,                              0,             -6090420,,,              1345528,,              1876816,,              2478467,,                -13640,                730237,             -5360183,,                562925,             -5923108,             -5923108,,,             -1166400,               -714308,,                 -3628,               -268066,             -1616270,             -1616270,             -7539378,,             -5997710,                 74602,,             -7354979,               -184399,,                             -0.93,,                             -0.93,,,,,,,,,,,,,,,
2475,2015年01月01日至2015年06月30日,,,             24681048,             24681048,,,             24345612,             24345612,                335436,                335436,,,                481946,,              1379691,,              2143404,              4005041,,,             -3669605,,,                962806,,              2433448,,              1652716,,                -12684,              1730854,             -1938751,,                500145,             -2438896,             -2438896,,,             -1133420,               -115357,,                 -3628,               -185582,             -1066823,             -1066823,             -3505719,,             -2329756,               -109140,,             -3299945,               -205774,,                             -0.36,,                             -0.36,,,,,,,,,,,,,,,
2475,2015年01月01日至2015年03月31日,,,             13230763,             13230763,,,,             12445322,                785441,                785441,,,                234200,,                771255,,              1162739,              2168194,,,             -1382753,,,                504905,,                602161,,                797781,,                 -2958,                306327,             -1076426,,                163051,             -1239477,             -1239477,,,               -719140,                -30597,,                 -2517,               -106802,               -645452,               -645452,             -1884929,,             -1125880,               -113597,,             -1678918,               -206011,,                             -0.17,,                             -0.17,,             13466210,                 41675,                193772,,,,,,,,,,,
2475,2014年第3季,,,             13168873,             13168873,,,             11795320,             11795320,              1373553,              1373553,,,                691933,,                689494,,              1157794,              2539221,,                              0,             -1165668,,,                264656,,                  7958,,                617073,,                    675,               -343784,             -1509452,,                  3709,             -1513161,             -1513161,,,                455792,                595580,,                   -146,                130845,                920381,                920381,               -592780,,             -1593340,                 80179,,               -989200,                396420,,                             -0.24,,                             -0.24,,,,,,,,,,,,,,,
2475,2014年第2季,,,             13871110,             13871110,,,             11860735,             11860735,              2010375,              2010375,,,                252758,,                623764,,              1002975,              1879497,,,                130878,,,                375601,,                270624,,                571610,,                  3527,                 78142,                209020,,                194020,                 15000,                 15000,,,               -461017,                503027,,                 -3257,                 13415,                 25338,                 25338,                 40338,,                 -3976,                 18976,,                 25155,                 15183,,                              0.00,,                              0.00,,,,,,,,,,,,,,,
2475,2014年度,,,             56391377,             56391377,,,             50013775,             50013775,              6377602,              6377602,,,              1428556,,              2511914,,              4546803,              8487273,,,             -2109671,,,              1670691,,               -435024,,              2444484,,                    662,             -1208155,             -3317826,,                337231,             -3655057,             -3655057,,,,,,,,,              1684485,             -1970572,,             -3981524,                326467,,             -2826872,                856300,,                             -0.61,,                             -0.61,,             57480136,                225972,                862787,             57480136,                              0,              1670691,              1199484,                694537,                  7451,,                  7550,                224537,,
2475,2014年01月01日至2014年09月30日,,,             42012521,             42012521,,,             35905357,             35905357,              6107164,              6107164,,,              1194442,,              1991185,,              3330380,              6516007,,                              0,               -408843,,,              1254775,,               -181815,,              1650233,,                  3528,               -573745,               -982588,,                196740,             -1179328,             -1179328,,,                399697,              1318734,,                   -496,                225411,              1492524,              1492524,                313196,,             -1515665,                336337,,               -444222,                757418,,                             -0.23,,                             -0.23,,,,,,,,,,,,,,,
2475,2014年01月01日至2014年06月30日,,,             28843648,             28843648,,,             24110037,             24110037,              4733611,              4733611,,,                502509,,              1301691,,              2172586,              3976786,,,                756825,,,                990119,,               -189773,,              1033160,,                  2853,               -229961,                526864,,                193031,                333833,                333833,,,                -56095,                723154,,                   -350,                 94566,                572143,                572143,                905976,,                 77675,                256158,,                544978,                360998,,                              0.01,,                              0.01,,,,,,,,,,,,,,,
