證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資性不動產利益,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 減損損失,　　　　 減損損失合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2405,2015年第3季,,,,              1483194,                  7608,              1475586,              1475586,,,              1290097,              1290097,                185489,                185489,,,                 96573,,                 52894,,                 81434,                230901,,                    367,                -45045,,,,                  2390,                    186,                  4475,                  2620,                  9671,,,                   -116,                 -6436,                  1427,                -10920,                  2941,,                  1979,                  1979,                 10633,                -34412,,                    450,                -34862,                -34862,,,,,,                179282,                 -3417,                175865,                175865,                141003,,                -33799,                 -1063,,                141441,                   -438,,                             -0.10,                             -0.10,,,,,,,,,,,,,,,,
2405,2015年第2季,,,,              1231585,                  5566,              1226019,              1226019,,,              1088881,              1088881,                137138,                137138,,,                 81497,,                 54726,,                 86485,                222708,,                 -1830,                -87400,,,,                  3164,                    185,,                  1949,                  5298,,,                     34,                -13299,                  2566,                -11850,                 -3981,,                    831,                    831,                    486,                -86914,,                 -7664,                -79250,                -79250,,,,,,                -29845,                -19918,                -49763,                -49763,               -129013,,                -78842,                   -408,,               -128937,                    -76,,                             -0.23,                             -0.23,,,,,,,,,,,,,,,,
2405,2015年度,,,,              5055627,                 28461,              5027166,              5027166,,,              4342544,              4342544,                684622,                684622,,,                413851,,                204723,,                319067,                937641,,                 -1502,               -254521,,,,                 10220,                    750,                  4475,                 10561,                 26006,,                              0,                    -68,                    573,                  7470,                   -306,                 -6659,,                  3901,                  3901,                 15446,               -239075,,                -22015,               -217060,               -217060,,,                     -3,                     -3,,                 96575,                -13529,                 83046,                 83043,               -134017,,               -213442,                 -3618,,               -132522,                 -1495,,                             -0.63,                             -0.63,,,,,,,,,,,,,,,,
2405,2015年01月01日至2015年09月30日,,,,              3891560,                 19609,              3871951,              3871951,,,              3395381,              3395381,                476570,                476570,,,                302033,,                162373,,                246557,                710963,,                 -1587,               -235980,,,,                  8747,                    557,                  4475,                  6428,                 20207,,,                    -17,                 -6946,                  5681,                -10980,                 -1664,,                  3782,                  3782,                 14761,               -221219,,                -19792,               -201427,               -201427,,,,,,                100948,                -41558,                 59390,                 59390,               -142037,,               -198899,                 -2528,,               -141215,                   -822,,                             -0.59,                             -0.59,,,,,,,,,,,,,,,,
2405,2015年01月01日至2015年06月30日,,,,              2408366,                 12001,              2396365,              2396365,,,              2105284,              2105284,                291081,                291081,,,                205460,,                109479,,                165123,                480062,,                 -1954,               -190935,,,,                  6357,                    371,,                  3808,                 10536,,,                     99,                   -510,                  4254,                    -60,                 -4605,,                  1803,                  1803,                  4128,               -186807,,                -20242,               -166565,               -166565,,,,,,                -78334,                -38141,               -116475,               -116475,               -283040,,               -165100,                 -1465,,               -282656,                   -384,,                             -0.49,                             -0.49,,,,,,,,,,,,,,,,
2405,2015年01月01日至2015年03月31日,,,,              1176781,                  6435,              1170346,              1170346,,,              1016403,              1016403,                153943,                153943,,,                123963,,                 54753,,                 78638,                257354,,                   -124,               -103535,,,,                  3193,                    186,,                  1859,                  5238,,,                     65,                 12789,                  1688,                 11790,                   -624,,                    972,                    972,                  3642,                -99893,,                -12578,                -87315,                -87315,,,,,,                -48489,                -18223,                -66712,                -66712,               -154027,,                -86258,                 -1057,,               -153719,                   -308,,                             -0.25,                             -0.25,,                              0.00,                              0.00,,,,,,,,,,,,,
2405,2014年第3季,,,,              1503043,                  9464,              1493579,              1493579,,,              1317200,              1317200,                176379,                176379,,,                136950,,                 76352,,                 81188,                294490,,                  1281,               -116830,,,,                  3977,                    523,                  4362,                  6331,                 15193,,,                     34,                 -1476,                  2010,                    190,                 -3642,,                  2093,                  2093,                  9458,               -107372,,                -11212,                -96160,                -96160,,,,,,                 40075,                -27903,                 12172,                 12172,                -83988,,                -86657,                 -9503,,                -75480,                 -8508,,                             -0.25,                             -0.25,,,,,,,,,,,,,,,,
2405,2014年第2季,,,,              1888839,                 13257,              1875582,              1875582,,,              1656575,              1656575,                219007,                219007,,,                 72158,,                 66767,,                 86472,                225397,,                              0,                 -6390,,,,                  2441,                    995,,                  1455,                  4891,,,                  1063,                  9682,                  2950,                  7160,                    635,,                  3667,                  3667,                  1859,                 -4531,,                 28573,                -33104,                -33104,,,,,,                -57227,                -18962,                -76189,                -76189,               -109293,,                -31452,                 -1652,,               -107696,                 -1597,,                             -0.09,                             -0.09,,,,,,,,,,,,,,,,
2405,2014年度,,,,              6828877,                 61082,              6767795,              6767795,,,              5857724,              5857724,                910071,                910071,,,                496896,,                236730,,                313726,              1047352,,                  2256,               -135025,,,,                 12355,                  2439,                  4362,                 18293,                 37449,,                 15431,               -150588,                    339,                 12968,                  4444,               -152230,,                 10881,                 10881,               -125662,               -260687,,                 -4969,               -255718,               -255718,,,                     -5,                     -5,,                149184,                111648,                260832,                260827,                  5109,,               -247419,                 -8299,,                 11945,                 -6836,,                             -0.71,                             -0.71,,,,,,,,,,,,,,,,
2405,2014年01月01日至2014年09月30日,,,,              5526914,                 31691,              5495223,              5495223,,,              4746410,              4746410,                748813,                748813,,,                389328,,                200889,,                245496,                835713,,                  2358,                -84542,,,,                  8173,                  2093,                  4362,                 10951,                 25579,,,               -150679,                  3063,                  7717,                  2433,               -157766,,                  9490,                  9490,               -141677,               -226219,,                 15925,               -242144,               -242144,,,,,,                 43740,                 85144,                128884,                128884,               -113260,,               -235194,                 -6950,,               -107951,                 -5309,,                             -0.67,                             -0.67,,,,,,,,,,,,,,,,
2405,2014年01月01日至2014年06月30日,,,,              4023871,                 22227,              4001644,              4001644,,,              3429210,              3429210,                572434,                572434,,,                252378,,                124537,,                164308,                541223,,                  1077,                 32288,,,,                  4196,                  1570,,                  4620,                 10386,,,               -150713,                  4539,                  5707,                  2243,               -154124,,                  7397,                  7397,               -151135,               -118847,,                 27137,               -145984,               -145984,,,,,,                  3665,                113047,                116712,                116712,                -29272,,               -148537,                  2553,,                -32471,                  3199,,                             -0.43,                             -0.43,,,,,,,,,,,,,,,,
2405,2014年01月01日至2014年03月31日,,,,              2135032,                  8970,              2126062,              2126062,,,              1772635,              1772635,                353427,                353427,,,                180220,,                 57770,,                 77836,                315826,,                  1077,                 38678,,,,                  1755,                    575,,                  3165,                  5495,,,               -151776,                 -5143,                  2757,                 -4917,               -154759,,                  3730,                  3730,               -152994,               -114316,,                 -1436,               -112880,               -112880,,,,,,                 60892,                132009,                192901,                192901,                 80021,,               -117085,                  4205,,                 75225,                  4796,,                             -0.34,                             -0.34,,                              0.00,                              0.00,,,,,,,,,,,,,
