證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）
2028,2015年第3季,,                695055,,                995650,               -300595,               -300595,,,                 14642,,                 16539,                 31181,               -331776,,,                 19023,,               -155681,,                 30715,               -167373,               -499149,,                 16202,               -515351,               -515351,               -515351,,                             -1.50,,,
2028,2015年第2季,,              1693469,,              1839771,               -146302,               -146302,,,                 31111,,                 19665,                 50776,               -197078,,,                    999,,                 -2660,,                 23929,                -25590,               -222668,,,               -222668,               -222668,               -222668,,                             -0.65,,,
2028,2015年01月01日至2015年09月30日,,              4521918,,              5093739,               -571821,               -571821,,,                 86940,,                 56301,                143241,               -715062,,,                 20697,,               -154155,,                 78638,               -212096,               -927158,,                 16202,               -943360,               -943360,               -943360,,                             -2.75,,,
2028,2015年01月01日至2015年06月30日,,              3826863,,              4098089,               -271226,               -271226,,,                 72298,,                 39762,                112060,               -383286,,,                  1674,,                  1526,,                 47923,                -44723,               -428009,,,               -428009,               -428009,               -428009,,                             -1.25,,,
2028,2015年01月01日至2015年03月31日,,              2133394,,              2258318,               -124924,               -124924,,,                 41187,,                 20097,                 61284,               -186208,,,                    675,,                  4186,,                 23994,                -19133,               -205341,,,               -205341,               -205341,               -205341,,                             -0.60,,,
2028,2014年第3季,,              2410319,,              2494530,                -84211,                -84211,,,                 30719,,                 22046,                 52765,               -136976,,,                    912,,                 -1863,,                 23011,                -23962,               -160938,,                              0,               -160938,               -160938,               -160938,,                             -0.57,,,
2028,2014年第2季,,              2496367,,              2610638,               -114271,               -114271,,,                 44826,,                 21564,                 66390,               -180661,,,                  1506,,                  1506,,                 20743,                -17731,               -198392,,,               -198392,               -198392,               -198392,,                             -0.75,,,
2028,2014年度,,             10009160,,             10263473,               -254313,               -254313,,,                172806,,                 97673,                270479,               -524792,,,                  5700,,                 -3799,,                 90172,                -88271,               -613063,,,               -613063,               -613063,               -607623,,                             -2.06,,                  5440,                  5440
2028,2014年01月01日至2014年09月30日,,              7434633,,              7640304,               -205671,               -205671,,,                127964,,                 71216,                199180,               -404851,,,                  4492,,                 -5648,,                 65299,                -66455,               -471306,,                              0,               -471306,               -471306,               -471306,,                             -1.67,,,
2028,2014年01月01日至2014年06月30日,,              5024314,,              5145774,               -121460,               -121460,,,                 97245,,                 49170,                146415,               -267875,,,                  3580,,                 -3785,,                 42288,                -42493,               -310368,,,               -310368,               -310368,               -310368,,                             -1.17,,,
2028,2014年01月01日至2014年03月31日,,              2527947,,              2535136,                 -7189,                 -7189,,,                 52419,,                 27606,                 80025,                -87214,,,                  2074,,                 -5291,,                 21545,                -24762,               -111976,,,               -111976,               -111976,               -111976,,                             -0.42,,,
2028,2013年第3季,,              2357386,,              2440820,                -83434,                -83434,,,                 29583,,                 25436,                 55019,               -138453,,,                  1569,,                 -9982,,                 20710,                -29123,               -167576,,                              0,               -167576,               -167576,               -167576,,                             -0.63,,,
2028,2013年第2季,,              2981478,,              2991760,                -10282,                -10282,,,                 48685,,                 24398,                 73083,                -83365,,,                  1584,,                 -3173,,                 19008,                -20597,               -103962,,                              0,               -103962,               -103962,               -103962,,                             -0.39,,,
2028,2013年度,,             10418424,,             10565922,               -147498,               -147498,,,                162507,,                 91044,                253551,               -401049,,,                195754,,                -68365,,                 80805,                 46584,               -354465,,,               -354465,               -354465,               -358710,,                             -1.34,,                 -4245,                 -4245
2028,2013年07月01日至2013年09月30日,,              2357386,,              2440820,                -83434,                -83434,,,                 29583,,                 25436,                 55019,               -138453,,,                  1569,,                 -9982,,                 20710,                -29123,               -167576,,                              0,               -167576,               -167576,               -167576,,                             -0.63,,,
2028,2013年04月01日至2013年06月30日,,              2981478,,              2991760,                -10282,                -10282,,,                 48685,,                 24398,                 73083,                -83365,,,                  1584,,                 -3173,,                 19008,                -20597,               -103962,,                              0,               -103962,               -103962,               -103962,,                             -0.39,,,
2028,2013年01月01日至2013年12月31日,,             10418424,,             10565922,               -147498,               -147498,,,                162507,,                 91044,                253551,               -401049,,,                195754,,                -68365,,                 80805,                 46584,               -354465,,                              0,               -354465,               -354465,               -358710,,                             -1.34,,                 -4245,                 -4245
