證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
2542,2015年第3季,,              4148672,,              3045572,              1103100,              1103100,,,                249498,,                254494,                503992,                599108,,,                229288,,               -276952,,                 46766,                -94430,                504678,,                 45830,                458848,                458848,,,                              0,                              0,,                    235,                -16728,                -16493,                -16493,                442355,,               -105304,                564152,,               -121797,                564152,,                             -0.09,,                             -0.09,,,,,
2542,2015年第2季,,              1469493,,              1020445,                449048,                449048,,,                227867,,                229838,                457705,                 -8657,,,                 65504,,                -82197,,                 32149,                -48842,                -57499,,                257177,               -314676,               -314676,,,                              0,                              0,,                    -86,                    225,                    139,                    139,               -314537,,               -282339,                -32337,,               -282200,                -32337,,                             -0.32,,                             -0.32,,,,,
2542,2015年01月01日至2015年09月30日,,             15031174,,             10039580,              4991594,              4991594,,,                735518,,                751130,              1486648,              3504946,,,                338808,,               -270952,,                122156,                -54300,              3450646,,                487707,              2962939,              2962939,,,                -17460,                -17460,,                    -42,                 -9529,                 -9571,                -27031,              2935908,,              2318092,                644847,,              2291061,                644847,,                              2.01,,                              2.01,,,,,
2542,2015年01月01日至2015年06月30日,,             10882502,,              6994008,              3888494,              3888494,,,                486020,,                496636,                982656,              2905838,,,                109520,,                  6000,,                 75390,                 40130,              2945968,,                441877,              2504091,              2504091,,,                -17460,                -17460,,                   -277,                  7199,                  6922,                -10538,              2493553,,              2423396,                 80695,,              2412858,                 80695,,                              2.73,,                              2.73,,,,,
2542,2015年01月01日至2015年03月31日,,              9413009,,              5973563,              3439446,              3439446,,,                258153,,                266798,                524951,              2914495,,,                 44016,,                 88197,,                 43241,                 88972,              3003467,,                184700,              2818767,              2818767,,,                -17460,                -17460,,                   -191,                  6974,                  6783,                -10677,              2808090,,              2705735,                113032,,              2695058,                113032,,                              3.05,,                              3.05,,,,,
2542,2014年第3季,,             18655009,,             11122797,              7532212,              7532212,,,                841606,,                325831,              1167437,              6364775,,,                 76562,,                  8644,,                 76409,                  8797,              6373572,,                185362,              6188210,              6188210,,,                              0,                              0,,                    747,                    631,                  1378,                  1378,              6189588,,              5952238,                235972,,              5953616,                235972,,                              5.17,,                              5.16,,,,,
2542,2014年第2季,,              8087897,,              4909003,              3178894,              3178894,,,                355508,,                264061,                619569,              2559325,,,                 32543,,                -12184,,                 81216,                -60857,              2498468,,                302037,              2196431,              2196431,,,                              0,                              0,,                 -1172,                  6922,                  5750,                  5750,              2202181,,              2182496,                 13935,,              2188246,                 13935,,                              2.46,,                              2.46,,,,,
2542,2014年度,,             37515171,,             23312300,             14202871,             14202871,,,              1873089,,              1054687,              2927776,             11275095,,,                152182,,                 61095,,                316370,               -103093,             11172002,,                425141,             10746861,             10746861,,,,,,,,,                 11019,             10757880,,             10132936,                613925,,             10143955,                613925,,                             11.44,,                             11.41,,                              0,                    471,                 10548,                              0
2542,2014年01月01日至2014年09月30日,,             29663692,,             17849475,             11814217,             11814217,,,              1341128,,                791905,              2133033,              9681184,,,                125859,,                  3891,,                240167,               -110417,              9570767,,                522077,              9048690,              9048690,,,                              0,                              0,,                   -156,                  5823,                  5667,                  5667,              9054357,,              8787549,                261141,,              8793216,                261141,,                              7.63,,                              7.61,,,,,
2542,2014年01月01日至2014年06月30日,,             11008683,,              6726678,              4282005,              4282005,,,                499522,,                466074,                965596,              3316409,,,                 49297,,                 -4753,,                163758,               -119214,              3197195,,                336715,              2860480,              2860480,,,                              0,                              0,,                   -903,                  5192,                  4289,                  4289,              2864769,,              2835311,                 25169,,              2839600,                 25169,,                              3.20,,                              3.19,,,,,
2542,2014年01月01日至2014年03月31日,,              2920786,,              1817675,              1103111,              1103111,,,                144014,,                202013,                346027,                757084,,,                 16754,,                  7431,,                 82542,                -58357,                698727,,                 34678,                664049,                664049,,,                              0,                              0,,                    269,                 -1730,                 -1461,                 -1461,                662588,,                652815,                 11234,,                651354,                 11234,,                              0.74,,                              0.74,,,,,
2542,2013年第3季,,              4701879,,              3149359,              1552520,              1552520,,,                345611,,                191934,                537545,              1014975,,,                 16104,,                 35616,,                 85033,                -32996,                981979,,                 77871,                904108,                904108,,,,,,,,,                  5149,                909257,,                907843,                 -3735,,                912992,                 -3735,,                              1.02,,                              1.02,,                    317,                   -126,                  5275,
2542,2013年第2季,,              4775290,,              2890342,              1884948,              1884948,,,                482316,,                193085,                675401,              1209547,,,                 27303,,                 12471,,                 93020,                -53472,              1156075,,                514783,                641292,                641292,,,,,,,,,                -11143,                630149,,                657900,                -16608,,                646757,                -16608,,                              1.11,,                              1.11,,                   -226,                    297,                -11440,
