證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2516,2014年01月01日至2014年03月31日,,              2707973,,              2570862,                137111,                137111,,                 49788,                 87323,,,                  5650,,                 10274,,                  7283,,,                  8641,                 95964,,                 17597,                 78367,                 78367,,,                 -2669,                 -7200,                              0,                 -9869,                 -9869,                 68498,,                 77879,                    488,,                 68788,                   -290,,                              0.34,,                              0.34,,,,
2516,2013年第3季,,              2632012,,              2527753,                104259,                104259,,                 32003,                 72256,,,                  4721,,                  5656,,                  6871,,,                  3506,                 75762,,                  4551,                 71211,                 71211,,,,,,,                 -6770,                 64441,,                 69840,                  1371,,                 63416,                  1025,,                              0.25,,                              0.25,                 -6770,                              0,,                              0
2516,2013年第2季,,              2422551,,              2612250,               -189699,               -189699,,                 40091,               -229790,,,                  5813,,                  9491,,                  5853,,,                  9451,               -220339,,                  4911,               -225250,               -225250,,,,,,,                  4342,               -220908,,               -227062,                  1812,,               -223659,                  2751,,                             -0.99,,                             -0.99,                 10742,                 -6400,,
2516,2013年度,,             10184253,,             10075544,                108709,                108709,,                175016,                -66307,,,                 23385,,                 57369,,                 25434,,,                 55320,                -10987,,                 17135,                -28122,                -28122,,,,,,,                 44965,                 16843,,                -34654,                  6532,,                  7580,                  9263,,                             -0.15,,                             -0.15,                 33200,                  4400,                  7365,                              0
2516,2013年07月01日至2013年09月30日,,              2632012,,              2527753,                104259,                104259,,                 32003,                 72256,,,                  4721,,                  5656,,                  6871,,,                  3506,                 75762,,                  4551,                 71211,                 71211,,,,,,,                 -6770,                 64441,,                 69840,                  1371,,                 63416,                  1025,,                              0.25,,                              0.25,                 -6770,                              0,,
2516,2013年04月01日至2013年06月30日,,              2422551,,              2612250,               -189699,               -189699,,                 40091,               -229790,,,                  5813,,                  9491,,                  5853,,,                  9451,               -220339,,                  4911,               -225250,               -225250,,,,,,,                  4342,               -220908,,               -227062,                  1812,,               -223659,                  2751,,                             -0.99,,                             -0.99,                 10742,                 -6400,,
2516,2013年01月01日至2013年12月31日,,             10184253,,             10075544,                108709,                108709,,                175016,                -66307,,,                 23385,,                 57369,,                 25434,,,                 55320,                -10987,,                 17135,                -28122,                -28122,,,,,,,                 44965,                 16843,,                -34654,                  6532,,                  7580,                  9263,,                             -0.15,,                             -0.15,                 33200,                  4400,                  7365,                              0
2516,2013年01月01日至2013年09月30日,,              7037504,,              7034294,                  3210,                  3210,,                111192,               -107982,,,                 16067,,                 16185,,                 17933,,,                 14319,                -93663,,                 21082,               -114745,               -114745,,,,,,,                 22841,                -91904,,               -119910,                  5165,,                -98895,                  6991,,                             -0.44,,                             -0.44,                 22341,                    500,,                              0
2516,2013年01月01日至2013年06月30日,,              4405492,,              4506541,               -101049,               -101049,,                 79189,               -180238,,,                 11346,,                 10529,,                 11062,,,                 10813,               -169425,,                 16531,               -185956,               -185956,,,,,,,                 29611,               -156345,,               -189750,                  3794,,               -162311,                  5966,,                             -0.82,,                             -0.82,                 29111,                    500,,
2516,2013年01月01日至2013年03月31日,,              1982941,,              1894291,                 88650,                 88650,,                 39098,                 49552,,,                  5533,,                  1038,,                  5209,,,                  1362,                 50914,,                 11620,                 39294,                 39294,,,,,,,                 25269,                 64563,,                 37312,                  1982,,                 61348,                  3215,,                              0.16,,                              0.16,                 18369,                  6900,,                              0
2516,2012年07月01日至2012年09月30日,,              1868114,,              1809255,                 58859,                 58859,,                 27627,                 31232,,,                  2617,,                  6261,,                  3370,,,                  5508,                 36740,,                  8040,                 28700,                 28700,,,,,,,                 -4389,                 24311,,                 27294,                  1406,,                 22945,                  1366,,                              0.12,,                              0.12,                 -4889,                    500,,
2516,2012年04月01日至2012年06月30日,,              2216057,,              2082675,                133382,                133382,,                 41160,                 92222,,,                  5503,,                    135,,                  3700,,,                  1938,                 94160,,                 27941,                 66219,                 66219,,,,,,,                 -5283,                 60936,,                 64162,                  2057,,                 59002,                  1934,,                              0.29,,                              0.29,                  1617,                 -6900,,
2516,2012年01月01日至2012年12月31日,,              8530383,,              8180700,                349683,                349683,,                155833,                193850,,,                 23814,,                 31882,,                 16109,,,                 39587,                233437,,                 64311,                169126,                169126,,,,,,,                -40767,                128359,,                162398,                  6728,,                122397,                  5962,,                              0.69,,                              0.69,                -17160,                    100,                -23707,                              0
2516,2012年01月01日至2012年09月30日,,              5851470,,              5596390,                255080,                255080,,                100200,                154880,,,                 15308,,                  9178,,                 11995,,,                 12491,                167371,,                 44388,                122983,                122983,,,,,,,                -15417,                107566,,                117762,                  5221,,                103283,                  4283,,                              0.51,,                              0.51,                -16917,                  1500,,
2516,2012年01月01日至2012年06月30日,,              3983356,,              3787135,                196221,                196221,,                 72573,                123648,,,                 12691,,                  2917,,                  8625,,,                  6983,                130631,,                 36348,                 94283,                 94283,,,,,,,                -11028,                 83255,,                 90468,                  3815,,                 80338,                  2917,,                              0.41,,                              0.41,                -12028,                  1000,,
2516,2012年01月01日至2012年03月31日,,              1767299,,              1704460,                 62839,                 62839,,                 31413,                 31426,,,                  7188,,                  2782,,                  4925,,,                  5045,                 36471,,                  8407,                 28064,                 28064,,,,,,,                 -5745,                 22319,,                 26306,                  1758,,                 21336,                    983,,                              0.12,,                              0.12,                -13645,                  7900,,
