證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 與可能重分類之項目相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　 未實現銷貨（損）益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　 當期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　　 天然氣銷貨收入（天然氣業）,　　　 專櫃銷貨收入（百貨業適用）,　　　 分期付款銷貨收入,　　　 銷貨退回
2458,2014年01月01日至2014年06月30日,,,              3816891,,                  2035,              3818926,,              2052828,              1766098,                  2354,              1768452,,,                261370,,                165594,,                604327,              1031291,                737161,,,                 48745,,,                 95151,                  7666,                  9977,                     80,                              0,                              0,,                              0,                              0,                112714,,                     89,,                  3878,                 -3878,                157492,                894653,,                159565,                735088,                735088,,,                   -265,                 85360,,,                  2983,                 88078,                 88078,                823166,,                781956,                -46868,,                870025,                -46859,,                              1.90,                              1.90,,                              1.88,                              1.88,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
2458,2014年01月01日至2014年03月31日,,,              1705093,,                    493,              1705586,,                922675,                782911,                    671,                783582,,,                 98979,,                 80255,,                296053,                475287,                308295,,,                 15215,,,,                 31343,                  6826,                     58,,,,,,                 38111,,                     11,,                  2357,                 -2357,                 50958,                359253,,                 64483,                294770,                294770,,,,,,,,,                112471,                407241,,                319607,                -24837,,                431940,                -24699,,                              0.78,                              0.78,,                              0.78,                              0.78,,,,,              1715169,                 10076,,,,,,,,,,                    713,                110353,,                  1405,                              0,,,,
2458,2013年第3季,,,              1893626,,                  1813,              1895439,,              1064641,                830798,,                829951,,,                118172,,                 98520,,                288820,                505512,                324439,,,                 12949,,                              0,                  8396,                              0,                  7227,                  9644,                     18,,,                  4539,                  4539,                -20167,,                     86,,                  3435,                 -3435,                -10739,                313700,,                 37915,                275785,                275785,,,,,,,,,                -51320,                224465,,                294350,                -18565,,                243163,                -18698,,                              0.72,                              0.72,,                              0.71,                              0.71,                 21589,,,,              1981232,                 87606,,,,                    847,,,,,,                    200,                -49747,,                 -1773,,,,,
2458,2013年第2季,,,              2157050,,                  3389,              2160439,,              1134622,              1025817,                     21,              1025838,,,                 90665,,                107324,,                277019,                475008,                550830,,,                 13325,,,                              0,                  6569,                  1037,                  6440,                     15,,,,,                  1151,,                    113,,                  6373,                 -6373,                  7990,                558820,,                 89835,                468985,                468985,,,,,,,,,                -18057,                450928,,                487355,                -18370,,                469278,                -18350,,                              1.18,                              1.18,,                              1.16,                              1.16,,,,,              2206056,                 49006,,,,,,,,,,                   -310,                -18370,,                    623,                              0,,,,
2458,2013年度,,,              7794533,,,              7794533,,              4217956,              3576577,,              3574257,,,                371395,,                368683,,              1172753,              1912831,              1661426,,,                 61550,,                              0,                  8396,                 29180,                 10894,                 24016,                     34,,,                 11348,                 11348,                 13072,,                    558,,,                -15711,                 58353,              1719779,,                252840,              1466939,              1466939,,,,,,,,,                  9874,              1476813,,              1545693,                -78754,,              1555593,                -78780,,                              3.80,                              3.80,,                              3.74,                              3.74,,,,              7965650,              7965650,                171117,,              4217956,              4217956,                  2320,,                              0,                252840,,                              0,                  2273,                  7071,,                    530,,,,,
2458,2013年07月01日至2013年09月30日,,,              1895439,,,              1895439,,              1064641,                830798,,                829951,,,                118172,,                 98520,,                288820,                505512,                324439,,,                 12949,,,                  8396,                              0,                  2688,                  9644,                     18,,,,,                -20167,,                     86,,                  3435,                 -3435,                -10739,                313700,,                 37915,                275785,                275785,,,,,,,,,                -51320,                224465,,                294350,                -18565,,                243163,                -18698,,                              0.72,                              0.72,,                              0.71,                              0.71,                 21589,,,,              1983045,                 87606,,,,                    847,,,,,,                    200,                -49747,,                 -1773,,,,,
2458,2013年04月01日至2013年06月30日,,,              2160439,,,              2160439,,              1134622,              1025817,,              1025838,,,                 90665,,                105848,,                278495,                475008,                550830,,,                 13325,,,,                  6569,                  1037,                  6440,                     15,,,                              0,                              0,                  1151,,                    113,,                  6373,                 -6373,                  7990,                558820,,                 89835,                468985,                468985,,,,,,,,,                -18057,                450928,,                487355,                -18370,,                469278,                -18350,,                              1.18,                              1.18,,                              1.16,                              1.16,,,,,,,,,,                    -21,,,,,,                   -310,                -18370,,                    623,,,,,
2458,2013年01月01日至2013年12月31日,,,              7794533,,,              7794533,,              4217956,              3576577,,              3574257,,,                371395,,                368683,,              1172753,              1912831,              1661426,,,                 61550,,,                  8396,                 29180,                 10894,                 24016,                     34,,,                 11348,                 11348,                 13072,,                    558,,                 15711,                -15711,                 58353,              1719779,,                252840,              1466939,              1466939,,,,,,,,,                  9874,              1476813,,              1545693,                -78754,,              1555593,                -78780,,                              3.80,                              3.80,,                              3.74,                              3.74,,,,              7965650,              7965650,                171117,,              4217956,              4217956,                  2320,,                              0,                252840,,,                  2273,                  7071,,                    530,,                              0,                              0,                              0,                              0
2458,2013年01月01日至2013年09月30日,,,              5915534,,                  6740,              5922274,,              3174189,              2748085,,              2746382,,,                284287,,                311062,,                863449,              1458798,              1287584,,,                 36859,,                              0,                  8396,                 20066,                 10988,                 22538,                     33,,,                  4539,                  4539,                 12340,,                    386,,                 12643,                -12643,                 36170,              1323754,,                202857,              1120897,              1120897,,,,,,,,,                 -4463,              1116434,,              1175679,                -54782,,              1171262,                -54828,,                              2.89,                              2.89,,                              2.86,                              2.86,                              0,,,,              6064230,                148696,,,,                  1703,,,,,,                  1154,                 -5790,,                    173,,,,,
2458,2013年01月01日至2013年06月30日,,,              4021908,,                  4927,              4026835,,              2109548,              1917287,                   -856,              1916431,,,                166115,,                208780,,                578391,                953286,                963145,,,                 23910,,,                              0,                 41655,                  3761,                 12894,                     15,,,,,                 32507,,                    300,,                  9208,                 -9208,                 46909,              1010054,,                164942,                845112,                845112,,,,,,,,,                 46857,                891969,,                881329,                -36217,,                928099,                -36130,,                              2.18,                              2.18,,                              2.15,                              2.15,,,,,              4082998,                 61090,,,,,,,,,,                    954,                 43957,,                  1946,                              0,,,,
2458,2013年01月01日至2013年03月31日,,,              1864859,,                  1538,              1866397,,                974927,                891470,                   -877,                890593,,,                 75450,,                101456,,                301372,                478278,                412315,,,                 10585,,,,                 35086,                  2724,                  6454,,,,,,                 31356,,                    187,,                  2835,                 -2835,                 38919,                451234,,                 75107,                376127,                376127,,,,,,,,,                 64914,                441041,,                393974,                -17847,,                458821,                -17780,,                              0.99,                              0.99,,                              0.96,                              0.96,,,,,              1876942,                 12083,,,,,,,,,,                  1264,                 62327,,                  1323,                              0,,,,
2458,2012年07月01日至2012年09月30日,,,              2036258,,,              2036258,,              1177511,                858747,,                856021,,,                 71585,,                 99938,,                318969,                490492,                365529,,,                 12496,,,                              0,                              0,                 15466,                 19792,                              0,,,,,                -16864,,                     30,,                  3902,                 -3902,                 -8300,                357229,,                 33848,                323381,                323381,,,,,,,,,                -12811,                310570,,                338795,                -15414,,                326178,                -15608,,                              0.87,                              0.87,,                              0.87,                              0.87,                 12538,,,,              2060241,                 23983,,,,                  2726,,,,,,                   -968,                -11670,,                   -173,,,,,
2458,2012年04月01日至2012年06月30日,,,              1886423,,,              1886423,,              1183437,                702986,,                701852,,,                 50030,,                 78044,,                252565,                380639,                321213,,,                 26126,,,,                  2304,                  1011,                  5314,                              0,,,                 10689,                 10689,                -12688,,                     49,,                  8760,                 -8760,                  4629,                325842,,                 54788,                271054,                271054,,,,,,,,,                -28763,                242291,,                285991,                -14937,,                257153,                -14862,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,,,,,,                  1134,,,,,,                     45,                -28065,,                   -743,,,,,
2458,2012年01月01日至2012年12月31日,,,              7367072,,,              7367072,,              4372139,              2994933,,              2995761,,,                246324,,                355596,,              1090179,              1692099,              1303662,,,                 82483,,,                              0,                -36276,                  8741,                 19019,                  1077,,,                 15951,                 15951,                -63582,,                    257,,                 21215,                -21215,                 -2571,              1301091,,                222704,              1078387,              1078387,,,,,,,,,                 57758,              1136145,,              1147696,                -69309,,              1205725,                -69580,,                              2.95,                              2.95,,                              2.92,                              2.92,,,,              7427711,              7427711,                 60639,,              4372139,              4372139,                   -828,,                              0,                222704,,,                 -2062,                 61645,,                 -1825,,                              0,                              0,                              0,                              0
2458,2012年01月01日至2012年09月30日,,,              5459541,,,              5459541,,              3289635,              2169906,,              2166507,,,                179482,,                252250,,                811879,              1243611,                922896,,,                 53330,,,                              0,                              0,                  5788,                 21008,                              0,,,,,                -43378,,                    155,,                 16602,                -16602,                 -6805,                916091,,                147441,                768650,                768650,,,,,,,,,                 29789,                798439,,                815183,                -46533,,                845218,                -46779,,                              2.11,                              2.11,,                              2.09,                              2.09,                 28158,,,,              5503203,                 43662,,,,                  3399,,,,,,                 -1508,                 33450,,                 -2153,,,,,
2458,2012年01月01日至2012年06月30日,,,              3423283,,,              3423283,,              2112124,              1311159,,              1310486,,,                107897,,                152312,,                492910,                753119,                557367,,,                 40834,,,,                -15620,                  6273,                  1215,                              0,,,                 15951,                 15951,                -26513,,                    125,,                 12700,                -12700,                  1496,                558863,,                113593,                445270,                445270,,,,,,,,,                 42600,                487870,,                476389,                -31119,,                519041,                -31171,,                              1.23,                              1.23,,                              1.22,                              1.22,,,,,,,,,,                    673,,,,,,                   -540,                 45120,,                 -1980,,,,,
2458,2012年01月01日至2012年03月31日,,,              1385286,,                151574,              1536860,,                928687,                608173,,                608634,,,                 57867,,                 74268,,                240345,                372480,                236154,,,                 14708,,,,                -17924,                  5262,                  1163,,,,,,                -13825,,                     76,,                  3940,                 -3940,                 -3133,                233021,,                 58805,                174216,                174216,,,,,,,,,                 71363,                245579,,                190398,                -16182,,                261888,                -16309,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,,              1398189,                 12903,,,,                   -461,,,,,,                   -585,                 73185,,                 -1237,,,,,
