證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 銷貨成本,　 未實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1515,2015年第3季,,,,              1154585,              1154585,                              0,                 27236,              1127349,              1127349,,,                845764,                845764,                281585,                281585,,,                 87324,,                 39575,,                 34616,                161515,                120070,,,                  8648,,                 27144,,                 11502,,                    320,                 24610,                144680,,                 24396,                120284,                120284,,,                 40176,                -13435,                  6830,                 19911,                 19911,                140195,,                119111,                  1173,,                138609,                  1586,,                              0.66,,,,,,
1515,2015年第2季,,,,                686619,                686619,                    980,                    353,                685286,                685286,,,                543125,                543125,                142161,                142161,,,                 58845,,                 38867,,                 32371,                130083,                 12078,,,                 31211,,                -19807,,                 11078,,                     92,                    418,                 12496,,                 22499,                -10003,                -10003,,,                -13868,                -56879,                 -2358,                -68389,                -68389,                -78392,,                -10887,                    884,,                -79184,                    792,,                             -0.06,,,,,,
1515,2015年01月01日至2015年09月30日,,,,              2639040,              2639040,                  1028,                 55276,              2582736,              2582736,,,              2002923,              2002923,                579813,                579813,,,                224980,,                115716,,                 98342,                439038,                140775,,,                 52621,,                  9741,,                 34578,,                    537,                 28321,                169096,,                 42196,                126900,                126900,,,                  5447,                -48698,                    926,                -44177,                -44177,                 82723,,                125468,                  1432,,                 81050,                  1673,,                              0.69,,,,,,
1515,2015年01月01日至2015年06月30日,,,,              1484455,              1484455,                  1028,                 28040,              1455387,              1455387,,,              1157159,              1157159,                298228,                298228,,,                137656,,                 76141,,                 63726,                277523,                 20705,,,                 43973,,                -17403,,                 23076,,                    217,                  3711,                 24416,,                 17800,                  6616,                  6616,,,                -34729,                -35263,                 -5904,                -64088,                -64088,                -57472,,                  6357,                    259,,                -57559,                     87,,                              0.04,,,,,,
1515,2015年01月01日至2015年03月31日,,,,                797836,                797836,                     48,                 27687,                770101,                770101,,,                614034,                614034,                156067,                156067,,,                 78811,,                 37274,,                 31355,                147440,                  8627,,,                 12762,,                  2404,,                 11998,,                    125,                  3293,                 11920,,                 -4699,                 16619,                 16619,,,                -20861,                 21616,                 -3546,                  4301,                  4301,                 20920,,                 17244,                   -625,,                 21625,                   -705,,                              0.10,                614034,,,,,
1515,2014年第3季,,,,              1093211,              1093211,                     47,                 39528,              1053636,              1053636,,,                847380,                847380,                206256,                206256,,,                 77238,,                 37294,,                 33699,                148231,                 58025,,,                  5974,,                 15019,,                 11815,,                    114,                  9292,                 67317,,                 11500,                 55817,                 55817,,,                 21084,                -44856,                  3584,                -27356,                -27356,                 28461,,                 56151,                   -334,,                 28673,                   -212,,                              0.31,,,,,,
1515,2014年第2季,,,,                844169,                844169,                    612,                 10689,                832868,                832868,,,                675066,                675066,                157802,                157802,,,                 76748,,                 35731,,                 33085,                145564,                 12238,,,                 12285,,                 -4407,,                 11021,,                    273,                 -2870,                  9368,,                 11976,                 -2608,                 -2608,,,                -11346,                -40463,                 -1929,                -49880,                -49880,                -52488,,                 -2811,                    203,,                -52572,                     84,,                             -0.02,,,,,,
1515,2014年度,,,,              3704266,              3704266,                    740,                 97261,              3606265,              3606265,,,              2892140,              2892140,                714125,                714125,,,                335251,,                134603,,                123907,                593761,                120364,,,                 15613,,                 81817,,                 44868,,                    608,                 53170,                173534,,                 27451,                146083,                146083,,,,,,,                -88989,                 57094,,                147866,                 -1783,,                 58491,                 -1397,,                              0.81,,                              0,                 70783,               -131756,                -15983,                 12033
1515,2014年01月01日至2014年09月30日,,,,              2625422,              2625422,                    688,                 62210,              2562524,              2562524,,,              2083586,              2083586,                478938,                478938,,,                209800,,                106501,,                 99229,                415530,                 63408,,,                 20818,,                 36836,,                 33099,,                    427,                 24982,                 88390,,                 25585,                 62805,                 62805,,,                 10361,               -152293,                  1761,               -143693,               -143693,                -80888,,                 63637,                   -832,,                -80175,                   -713,,                              0.35,,,,,,
1515,2014年01月01日至2014年06月30日,,,,              1532211,              1532211,                    641,                 22682,              1508888,              1508888,,,              1236206,              1236206,                272682,                272682,,,                132562,,                 69207,,                 65530,                267299,                  5383,,,                 14844,,                 21817,,                 21284,,                    313,                 15690,                 21073,,                 14085,                  6988,                  6988,,,                -10723,               -107437,                 -1823,               -116337,               -116337,               -109349,,                  7486,                   -498,,               -108848,                   -501,,                              0.04,,,,,,
