證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2360,2015年第3季,,,,              2504749,                  1640,                  5051,              2498058,              2498058,,,              1361320,              1361320,              1136738,                     44,              1136694,,,                357367,,                180938,,                231785,                770090,                366604,,,,                  8199,                  7103,                 27973,                 24022,                 67297,,                    276,                              0,                134189,                              0,                  4452,                              0,                  2640,,                              0,                              0,                127373,,                 10615,                 10615,,                 26558,                210613,                577217,,                101041,                476176,                476176,,,                126710,                 18944,,                 -1468,                144186,                144186,                620362,,                481853,                 -5677,,                622461,                 -2099,,                              1.28,                              1.28,,                              1.21,                              1.21,,,,,,,
2360,2015年第2季,,,,              2712574,                    316,                  2772,              2709486,              2709486,,,,              1569361,              1140125,                    202,              1139923,,,                352187,,                150546,,                220517,                723250,                416673,,,,                  7521,                  5753,                              0,                 13114,                 26388,,                    249,                      3,,                              0,                  1132,,                  1863,,                              0,                              0,                -19012,,                 10552,                 10552,,                 31806,                 28630,                445303,,                 74165,                371138,                371138,,,                -25426,                -91340,,                 -6056,               -122822,               -122822,                248316,,                381251,                -10113,,                259032,                -10716,,                              1.01,                              1.01,,                              0.96,                              0.96,                 16269,,,,,,
2360,2015年第1季,,,,              1998029,                 71068,                  3198,              1923763,              1923763,,,,              1126520,                797243,,                797243,,,                327944,,                144171,,                193945,                666060,                131183,,,,                  5200,                  6542,,                 37941,                 49683,,                  1066,                     11,                              0,                    224,                  1620,,,,                              0,                              0,                -36719,,,                 10368,,                  9587,                 12183,                143366,,                 29809,                113557,                113557,,,                -32717,                -26328,,                  7362,                -51683,                -51683,                 61874,,                123338,                 -9781,,                 72133,                -10259,,                              0.33,                              0.33,,                              0.32,                              0.32,                 36400,,,,,,
2360,2015年01月01日至2015年09月30日,,,,              7215352,                 73024,                 11021,              7131307,              7131307,,,              4057201,              4057201,              3074106,                    246,              3073860,,,              1037498,,                475655,,                646247,              2159400,                914460,,,,                 20920,                 19398,                 27973,                 75077,                143368,,                  1591,                     14,                 81520,                              0,                  7204,                              0,                  4279,,                              0,                              0,                 71642,,                 31535,                 31535,,                 67951,                251426,              1165886,,                205015,                960871,                960871,,,                 68567,                -98724,,                   -162,                -30319,                -30319,                930552,,                986442,                -25571,,                953626,                -23074,,                              2.62,                              2.62,,                              2.48,                              2.48,,,,,,,
2360,2015年01月01日至2015年06月30日,,,,              4710603,                 71384,                  5970,              4633249,              4633249,,,,              2695881,              1937368,                    202,              1937166,,,                680131,,                294717,,                414462,              1389310,                547856,,,,                 12721,                 12295,                              0,                 51055,                 76071,,                  1315,                     14,,                              0,                  2752,,                  1639,,                              0,                              0,                -55731,,                 20920,                 20920,,                 41393,                 40813,                588669,,                103974,                484695,                484695,,,                -58143,               -117668,,                  1306,               -174505,               -174505,                310190,,                504589,                -19894,,                331165,                -20975,,                              1.34,                              1.34,,                              1.28,                              1.28,                 52669,,,,,,
2360,2014年第3季,,,,              3089220,                 10541,                 12385,              3066294,              3066294,,,              1805493,              1805493,              1260801,                              0,              1260801,,,                351506,,                190168,,                222758,                764432,                496369,,,,                  5342,                  6432,                  2079,                  2096,                 15949,,                              0,                  3189,                 37502,                    509,                  3815,                     70,                              0,,                              0,                              0,                 37315,,                  9741,                  9741,,                 26880,                 70403,                566772,,                 83191,                483581,                483581,,,                 37022,                -97829,,                 -4112,                -64919,                -64919,                418662,,                487194,                 -3613,,                421571,                 -2909,,                              1.30,                              1.30,,                              1.21,                              1.21,,,,,,,
2360,2014年第2季,,,,              2636881,                  4385,                  5002,              2627494,              2627494,,,,              1626235,              1001259,                              0,              1001259,,,                320722,,                144348,,                199225,                664295,                336964,,,,                  5583,                  8471,                 30726,                 13918,                 58698,,                    864,                 10858,,                  3996,                  1274,,                              0,,                              0,                              0,                -25770,,                  5407,                  5407,,                 27445,                 54966,                391930,,                 64157,                327773,                327773,,,                -45048,                -41668,,                  3495,                -83221,                -83221,                244552,,                333290,                 -5517,,                250806,                 -6254,,                              0.89,                              0.89,,                              0.86,                              0.86,                 40214,,,,,,
2360,2014年第1季,,,,              2023343,                  4251,                 12991,              2006101,              2006101,,,,              1250162,                755939,,                755939,,,                275137,,                155550,,                181716,                612403,                143536,,,,                  5632,                  6064,,                  4964,                 16660,,                    263,                  1411,                 26959,                    828,                    462,,,,                  2410,                  2410,                 26589,,,                  3228,,                 13983,                 54004,                197540,,                 25158,                172382,                172382,,,                 35817,                 11391,,                    503,                 47711,                 47711,                220093,,                178788,                 -6406,,                225709,                 -5616,,                              0.48,                              0.48,,                              0.47,                              0.47,                              0,,,,,,
2360,2014年度,,,,             10374332,                 22007,                 45240,             10307085,             10307085,,,,              6261181,              4045904,,              4045904,,,              1289279,,                706423,,                830941,              2826643,              1219261,,,,                 24192,                 27497,                 34325,                 84272,                170286,,                  2852,                 17325,                 94921,                  5455,                 24504,,,,                 15500,                 15500,                 80549,,,                 31300,,                 82578,                302113,              1521374,,                227318,              1294056,              1294056,,,,,,,,                  4259,              1298315,,              1316444,                -22388,,              1318051,                -19736,,                              3.51,                              3.51,,                              3.30,                              3.30,,                 82578,                 92057,                -63697,                -27360,,                  3259
2360,2014年01月01日至2014年09月30日,,,,              7749444,                 19177,                 30378,              7699889,              7699889,,,              4681890,              4681890,              3017999,                              0,              3017999,,,                947365,,                490066,,                603699,              2041130,                976869,,,,                 16557,                 20967,                 32805,                 20978,                 91307,,                  1057,                 15458,                 24247,                  5333,                  5551,                              0,                              0,,                  2410,                  2410,                 38134,,                 18376,                 18376,,                 68308,                179373,              1156242,,                172506,                983736,                983736,,,                 27791,               -128106,,                   -114,               -100429,               -100429,                883307,,                999272,                -15536,,                898086,                -14779,,                              2.66,                              2.66,,                              2.56,                              2.56,,,,,,,
