證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　 其他綜合損益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
6201,2015年第3季,,                795989,,                634003,                161986,                161986,,,                 22223,,                 62475,,                 29987,                114685,                 47301,,,                  5154,,                 45361,,                     16,                     16,                 50499,                 97800,,                 18417,                 79383,                 79383,,,                 34379,                  5844,                 28535,                 28535,                107918,,                 79383,,                107918,,                              0.89,                              0.89,,                              0.88,,,,,,,,,
6201,2015年第2季,,                830509,,                660087,                170422,                170422,,,                 27132,,                 54260,,                 30658,                112050,                 58372,,,                  7769,,                 -2020,,                     44,                     44,                  5705,                 64077,,                 14399,                 49678,                 49678,,,                -12301,                 -2091,                -10210,                -10210,                 39468,,                 49678,,                 39468,,                              0.56,                              0.56,,                              0.55,,,,,,,,,
6201,2015年01月01日至2015年09月30日,,              2420948,,              1920148,                500800,                500800,,,                 81812,,                172140,,                 90246,                344198,                156602,,,                 19210,,                 42283,,                    151,                    151,                 61342,                217944,,                 44319,                173625,                173625,,,                 13936,                  2369,                 11567,                 11567,                185192,,                173625,,                185192,,                              1.95,                              1.95,,                              1.93,,,,,,,,,
6201,2015年01月01日至2015年06月30日,,              1624959,,              1286145,                338814,                338814,,,                 59589,,                109665,,                 60259,                229513,                109301,,,                 14056,,                 -3078,,                    135,                    135,                 10843,                120144,,                 25902,                 94242,                 94242,,,                -20443,                 -3475,                -16968,                -16968,                 77274,,                 94242,,                 77274,,                              1.06,                              1.06,,                              1.05,,,,,,,,,
6201,2015年01月01日至2015年03月31日,,                794450,,                626058,                168392,                168392,,,                 32457,,                 55405,,                 29601,                117463,                 50929,,,                  6287,,                 -1058,,                     91,                     91,                  5138,                 56067,,                 11503,                 44564,                 44564,,,                 -8142,                 -1384,                 -6758,                 -6758,                 37806,,                 44564,,                 37806,,                              0.50,                              0.50,,                              0.50,,,,,,,,,
6201,2014年第3季,,                905832,,                750187,                155645,                155645,,,                 27291,,                 55177,,                 31378,                113846,                 41799,,,                  6544,,                 15093,,                     82,                     82,                 21555,                 63354,,                 14394,                 48960,                 48960,,,                 21957,                  3733,                 18224,                 18224,                 67184,,                 48960,,                 67184,,                              0.55,                              0.55,,                              0.55,,,,,,,,,
6201,2014年第2季,,                919919,,                756817,                163102,                163102,,,                 26624,,                 50859,,                 30531,                108014,                 55088,,,                  4058,,                 -4519,,                    213,                    213,                   -674,                 54414,,                  9589,                 44825,                 44825,,,                -17568,                 -2987,                -14581,                -14581,                 30244,,                 44825,,                 30244,,                              0.50,                              0.50,,                              0.50,,,,,,,,,
6201,2014年度,,              3567149,,              2957798,                609351,                609351,,,                112338,,                219281,,                125609,                457228,                152123,,,                 21779,,                 21179,,                    567,                    567,                 42391,                194514,,                 39040,                155474,                155474,,,,,,                  4406,                159880,,                155474,,                159880,,                              1.74,                              1.74,,                              1.73,                 28958,                -23650,                    902,,,,,,
6201,2014年01月01日至2014年09月30日,,              2689280,,              2234548,                454732,                454732,,,                 80637,,                163218,,                 94380,                338235,                116497,,,                 14315,,                  7734,,                    498,                    498,                 21551,                138048,,                 29430,                108618,                108618,,,                    726,                    123,                    603,                    603,                109221,,                108618,,                109221,,                              1.22,                              1.22,,                              1.22,,,,,,,,,
6201,2014年01月01日至2014年06月30日,,              1783448,,              1484361,                299087,                299087,,,                 53346,,                108041,,                 63002,                224389,                 74698,,,                  7771,,                 -7359,,                    416,                    416,                     -4,                 74694,,                 15036,                 59658,                 59658,,,                -21231,                 -3610,                -17621,                -17621,                 42037,,                 59658,,                 42037,,                              0.67,                              0.67,,                              0.67,,,,,,,,,
6201,2014年01月01日至2014年03月31日,,                863529,,                727544,                135985,                135985,,,                 26722,,                 57182,,                 32471,                116375,                 19610,,,                  3713,,                 -2840,,                    203,                    203,                    670,                 20280,,                  5447,                 14833,                 14833,,,                 -3663,                   -623,                 -3040,                 -3040,                 11793,,                 14833,,                 11793,,                              0.17,                              0.17,,                              0.17,,,,,,,,,
6201,2013年第3季,,                977991,,                838137,                139854,                139854,,,                 28058,,                 61976,,                 33900,                123934,                 15920,,,                  3281,,                 -3781,,                     95,                     95,                   -595,                 15325,,                  5080,                 10245,                 10245,,,,,,                 -8436,                  1809,,                 10245,,                  1809,,                              0.11,                              0.11,,                              0.11,                -10163,,                 -1727,,,,,,
6201,2013年第2季,,                978013,,                826190,                151823,                151823,,,                 28740,,                 57914,,                 30562,                117216,                 34607,,,                  3606,,                  2419,,                    143,                    143,                  5882,                 40489,,                 13312,                 27177,                 27177,,,,,,                 12750,                 39927,,                 27177,,                 39927,,                              0.30,                              0.30,,                              0.30,                 15361,,                  2611,,,,,,
6201,2013年度,,              3642635,,              3054448,                588187,                588187,,,                116790,,                237464,,                131223,                485477,                102710,,,                 13920,,                 15762,,                    491,                    491,                 29191,                131901,,                 29111,                102790,                102790,,,,,,                 48987,                151777,,                102790,,                151777,,                              1.15,                              1.15,,                              1.15,                 52901,                  6119,                 10033,,,,,,
