證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2009,2015年第3季,,,                709460,                709460,,                801754,                -92294,                -92294,,                 16472,               -108766,,,                  3183,,                -40674,,                  3526,,                      6,                -41011,               -149777,,                -18235,               -131542,               -131542,,,               -436430,                              0,               -436430,               -436430,               -567972,,                             -0.37,,                             -0.37,,,,,,
2009,2015年第2季,,,                837398,                837398,,                837239,                    159,                    159,,                 16061,                -15902,,,                  2822,,                -29569,,                  3459,,                      2,                -30204,                -46106,,                 -2699,                -43407,                -43407,,,               -204614,,               -204614,               -204614,               -248021,,                             -0.12,,                             -0.12,,,,,,
2009,2015年01月01日至2015年09月30日,,,              2496782,              2496782,,              2655097,               -158315,               -158315,,                 49071,               -207386,,,                  8710,,               -121050,,                 10722,,                     -2,               -123064,               -330450,,                -35552,               -294898,               -294898,,,               -709400,                              0,               -709400,               -709400,             -1004298,,                             -0.82,,                             -0.82,,,,,,
2009,2015年01月01日至2015年06月30日,,,              1787322,              1787322,,              1853343,                -66021,                -66021,,                 32599,                -98620,,,                  5527,,                -80376,,                  7196,,                     -8,                -82053,               -180673,,                -17317,               -163356,               -163356,,,               -272970,,               -272970,               -272970,               -436326,,                             -0.45,,                             -0.45,,,,,,
2009,2015年01月01日至2015年03月31日,,,                949924,                949924,,              1016104,                -66180,                -66180,,                 16538,                -82718,,,                  2705,,                -50807,,                  3737,,                    -10,                -51849,               -134567,,                -14618,               -119949,               -119949,,,                -68356,                              0,                -68356,                -68356,               -188305,,                             -0.33,,                             -0.33,,,,,,
2009,2014年第3季,,,              1144541,              1144541,,              1118775,                 25766,                 25766,,                 17682,                  8084,,,                 12563,,                 -3638,,                  3936,,                 -3086,                  1903,                  9987,,                  1072,                  8915,                  8915,,,               -148958,                              0,               -148958,               -148958,               -140043,,                              0.02,,                              0.02,,,,,,
2009,2014年第2季,,,                967627,                967627,,                969545,                 -1918,                 -1918,,                 19168,                -21086,,,                148791,,                 56993,,                  3119,,                    -47,                202618,                181532,,                 16232,                165300,                165300,,,                -72240,,                -72240,                -72240,                 93060,,                              0.46,,                              0.46,,,,,,
2009,2014年度,,,              4087759,              4087759,,              4052881,                 34878,                 34878,,                 71499,                -36621,,,                166806,,                 34057,,                 13949,,                 -3192,                183722,                147101,,                 13027,                134074,                134074,,,,,,               -279229,               -145155,,                              0.37,,                              0.37,               -270216,                 -9014,,                      1,                      1,
2009,2014年01月01日至2014年09月30日,,,              3093966,              3093966,,              3079295,                 14671,                 14671,,                 52918,                -38247,,,                164175,,                 36392,,                  9942,,                 -3184,                187441,                149194,,                 13134,                136060,                136060,,,               -205490,                              0,               -205490,               -205490,                -69430,,                              0.38,,                              0.38,,,,,,
2009,2014年01月01日至2014年06月30日,,,              1949425,              1949425,,              1960520,                -11095,                -11095,,                 35236,                -46331,,,                151612,,                 40030,,                  6006,,                    -98,                185538,                139207,,                 12062,                127145,                127145,,,                -56532,,                -56532,                -56532,                 70613,,                              0.35,,                              0.35,,,,,,
