證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
1340,2015年第3季,,                852023,,                573376,                278647,                278647,,,                  5701,,                 13983,,                  6263,                 25947,                252700,,,                 19808,,                 35671,,                    802,                 54677,                307377,,                 43223,                264154,                264154,,,                217402,                217402,                217402,                481556,,                264154,,                481556,,                              2.30,                              2.30,,                              2.30,                              2.30,,,
1340,2015年第2季,,                834023,,                549540,                284483,                284483,,,                  6926,,                 18839,,                  5508,                 31273,                253210,,,                 25141,,                 -8081,,                    945,                 16115,                269325,,                 47409,                221916,                221916,,,                -72829,                -72829,                -72829,                149087,,                221916,,                149087,,                              2.51,                              2.51,,                              2.50,                              2.50,,,
1340,2015年01月01日至2015年09月30日,,              2278102,,              1510431,                767671,                767671,,,                 17352,,                 51391,,                 17383,                 86126,                681545,,,                 54196,,                 27205,,                  2686,                 78715,                760260,,                120787,                639473,                639473,,,                 96707,                 96707,                 96707,                736180,,                639473,,                736180,,                              5.57,                              5.57,,                              5.55,                              5.55,,,
1340,2015年01月01日至2015年06月30日,,              1426079,,                937055,                489024,                489024,,,                 11651,,                 37408,,                 11120,                 60179,                428845,,,                 34388,,                 -8466,,                  1884,                 24038,                452883,,                 77564,                375319,                375319,,,               -120695,               -120695,               -120695,                254624,,                375319,,                254624,,                              4.25,                              4.25,,                              4.23,                              4.23,,,
1340,2015年01月01日至2015年03月31日,,                592056,,                387515,                204541,                204541,,,                  4725,,                 18569,,                  5612,                 28906,                175635,,,                  9247,,                   -385,,                    939,                  7923,                183558,,                 30155,                153403,                153403,,,                -47866,                -47866,                -47866,                105537,,                153403,,                105537,,                              1.74,                              1.74,,                              1.73,                              1.73,,,
1340,2014年第3季,,                840208,,                520072,                320136,                320136,,,                  5824,,                 18879,,                  4174,                 28877,                291259,,,                  2636,,                 -1410,,                  1275,                    -49,                291210,,                 46941,                244269,                244269,,,                112770,                112770,                112770,                357039,,                244269,,                357039,,                              2.13,                              2.13,,                              2.12,                              2.12,,,
1340,2014年第2季,,                807863,,                504497,                303366,                303366,,,                  5917,,                 19812,,                  4089,                 29818,                273548,,,                  2508,,                 -2464,,                  1303,                 -1259,                272289,,                 45041,                227248,                227248,,,                -83082,                -83082,                -83082,                144166,,                227248,,                144166,,                              2.57,                              2.57,,                              2.57,                              2.57,,,
1340,2014年度,,              3094505,,              1935442,              1159063,              1159063,,,                 27901,,                 83741,,                 18515,                130157,              1028906,,,                 10148,,                 74653,,                  5127,                 79674,              1108580,,                174324,                934256,                934256,,,,,                173623,              1107879,,                934256,,              1107879,,                             10.60,                             10.60,,                             10.57,                             10.57,                173623,,
1340,2014年01月01日至2014年09月30日,,              2165835,,              1361639,                804196,                804196,,,                 15378,,                 62340,,                 13553,                 91271,                712925,,,                  7261,,                 69967,,                  4020,                 73208,                786133,,                124679,                661454,                661454,,,                 19758,                 19758,                 19758,                681212,,                661454,,                681212,,                              5.78,                              5.78,,                              5.77,                              5.77,,,
1340,2014年01月01日至2014年06月30日,,              1325627,,                841567,                484060,                484060,,,                  9554,,                 43461,,                  9379,                 62394,                421666,,,                  4625,,                 71377,,                  2745,                 73257,                494923,,                 77738,                417185,                417185,,,                -93012,                -93012,                -93012,                324173,,                417185,,                324173,,                              4.75,                              4.75,,                              4.74,                              4.74,,,
