證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
3419,2015年第3季,,,                611427,                611427,,,                493514,                493514,                117913,                117913,,,                 39374,,                 44193,,                 34099,                117666,,                   -378,                   -378,                   -131,,,                  3444,,                  9974,,                  2859,,                 -4789,                  5770,                  5639,,                    -23,                  5662,,                              0,                  5662,,,                 72953,                 72953,                 72953,                 78615,,                  5662,,                 78615,,                              0.05,                              0.00,                              0.05,,                              0.05,                              0.00,                              0.05,,,,,,,,,,,,
3419,2015年第2季,,,                461434,                461434,,,                383352,                383352,                 78082,                 78082,,,                 39734,,                 47203,,                 33737,                120674,,                   -127,                   -127,                -42719,,,                  4710,,                   -586,,                  2609,,                -10488,                 -8973,                -51692,,                 -2592,                -49100,,                              0,                -49100,,,                 -7947,                 -7947,                 -7947,                -57047,,                -49100,,                -57047,,                             -0.41,                              0.00,                             -0.41,,                             -0.41,                              0.00,                             -0.41,,,,,,,,,,,,
3419,2015年01月01日至2015年09月30日,,,              1563327,              1563327,,,              1265351,              1265351,                297976,                297976,,,                116194,,                135708,,                 98317,                350219,,                   -965,                   -965,                -53208,,,                 15222,,                 10995,,                  8539,,                -18296,                   -618,                -53826,,                 -2615,                -51211,,                              0,                -51211,,,                 53234,                 53234,                 53234,                  2023,,                -51211,,                  2023,,                             -0.44,                              0.00,                             -0.44,,                             -0.44,                              0.00,                             -0.44,,,,,,,,,,,,
3419,2015年01月01日至2015年06月30日,,,                951900,                951900,,,                771837,                771837,                180063,                180063,,,                 76820,,                 91515,,                 64218,                232553,,                   -587,                   -587,                -53077,,,                 11778,,                  1021,,                  5680,,                -13507,                 -6388,                -59465,,                 -2592,                -56873,,                              0,                -56873,,,                -19719,                -19719,                -19719,                -76592,,                -56873,,                -76592,,                             -0.48,                              0.00,                             -0.48,,                             -0.48,                              0.00,                             -0.48,,,,,,,,,,,,
3419,2015年01月01日至2015年03月31日,,,                490466,                490466,,,                388485,                388485,                101981,                101981,,,                 37086,,                 44312,,                 30481,                111879,,,                   -460,                -10358,,,                  7068,,                  1607,,                  3071,,                 -3019,                  2585,                 -7773,,                              0,                 -7773,,                              0,                 -7773,,,                -11772,                -11772,                -11772,                -19545,,                 -7773,,                -19545,,                             -0.06,                              0.00,                             -0.06,,                             -0.06,                              0.00,                             -0.06,                              0,                              0,                              0,                              0,,,,,,,,
3419,2014年第3季,,,                533734,                533734,,,                428623,                428623,                105111,                105111,,,                 34937,,                 47502,,                 31995,                114434,,                    -19,                    -19,                 -9342,,,                  6007,,                  5907,,                  3623,,                 -9348,                 -1057,                -10399,,                   -445,                 -9954,,                              0,                 -9954,,,                 25908,                 25908,                 25908,                 15954,,                 -9954,,                 15954,,                             -0.08,                              0.00,                             -0.08,,                             -0.08,                              0.00,                             -0.08,,,,,,,,,,,,
3419,2014年第2季,,,                504811,                504811,,,                426307,                426307,                 78504,                 78504,,,                 34845,,                 50328,,                 28740,                113913,,                     84,                     84,                -35325,,,                  5910,,                 -1097,,                  4368,,                  4094,                  4539,                -30786,,                     -2,                -30784,,                 29204,                 -1580,,,                -28614,                -28614,                -28614,                -30194,,                 -1580,,                -30194,,                             -0.26,                              0.25,                             -0.01,,                             -0.26,                              0.25,                             -0.01,,,,,,,,,,,,
3419,2014年度,,,              2074092,              2074092,,,              1691836,              1691836,                382256,                382256,,,                138455,,                184261,,                123381,                446097,,                  1287,                  1287,                -62554,,,                 22834,,                 11758,,                 14559,,                -15533,                  4500,                -58054,,                    647,                -58701,,                 22847,                -35854,,,,,                 32726,                 -3128,,                -35854,,                 -3128,,                             -0.48,                              0.19,                             -0.29,,                             -0.48,                              0.19,                             -0.29,                              0,                              0,                              0,                              0,                 33111,                   -385,,,,,,
3419,2014年01月01日至2014年09月30日,,,              1516944,              1516944,,,              1251776,              1251776,                265168,                265168,,,                100440,,                137708,,                 89857,                328005,,                    708,                    708,                -62129,,,                 15691,,                  4801,,                 11712,,                 -5254,                  3526,                -58603,,                   -261,                -58342,,                 22847,                -35495,,,                 -2822,                 -2822,                 -2822,                -38317,,                -35495,,                -38317,,                             -0.49,                              0.19,                             -0.30,,                             -0.49,                              0.19,                             -0.30,,,,,,,,,,,,
3419,2014年01月01日至2014年06月30日,,,                983210,                983210,,,                823153,                823153,                160057,                160057,,,                 65503,,                 90206,,                 57862,                213571,,                    727,                    727,                -52787,,,                  9684,,                 -1106,,                  8089,,                  4094,                  4583,                -48204,,                    184,                -48388,,                 22847,                -25541,,,                -28730,                -28730,                -28730,                -54271,,                -25541,,                -54271,,                             -0.40,                              0.19,                             -0.21,,                             -0.40,                              0.19,                             -0.21,,,,,,,,,,,,
