證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3004,2015年第3季,,,,                373920,                373920,                373920,                373920,,                244111,                129809,                129809,,,                  8103,,                 39197,,                 15309,                 62609,                 67200,,,                    211,,                 16644,,                  2441,                 14414,                 81614,,                 12121,                 69493,                 69493,,,                  3403,                    579,                  2824,                  2824,                 72317,,                 69493,                              0,,                 72317,                              0,,                              1.32,,                              1.32,,,
3004,2015年第2季,,,,                370496,                370496,                370496,                370496,,                248929,                121567,                121567,,,                  7304,,                 34773,,                 14550,                 56627,                 64940,,,                    200,,                 -4084,,                  2716,                 -6600,                 58340,,                 10545,                 47795,                 47795,,,                   -775,                   -132,                   -643,                   -643,                 47152,,                 47795,                              0,,                 47152,                              0,,                              0.91,,                              0.91,,,
3004,2015年01月01日至2015年09月30日,,,,              1099452,              1099452,              1099452,              1099452,,                723871,                375581,                375581,,,                 23697,,                110051,,                 44220,                177968,                197613,,,                    674,,                  6149,,                  8501,                 -1678,                195935,,                 32145,                163790,                163790,,,                  1345,                    229,                  1116,                  1116,                164906,,                163790,                              0,,                164906,                              0,,                              3.11,,                              3.11,,,
3004,2015年01月01日至2015年06月30日,,,,                725532,                725532,                725532,                725532,,                479760,                245772,                245772,,,                 15594,,                 70854,,                 28911,                115359,                130413,,,                    463,,                -10495,,                  6060,                -16092,                114321,,                 20024,                 94297,                 94297,,,                 -2058,                   -350,                 -1708,                 -1708,                 92589,,                 94297,                              0,,                 92589,                              0,,                              1.79,,                              1.79,,,
3004,2015年01月01日至2015年03月31日,,,,                355036,                355036,                355036,                355036,,                230831,                124205,                124205,,,                  8290,,                 36081,,                 14361,                 58732,                 65473,,,                    263,,                 -6411,,                  3344,                 -9492,                 55981,,                  9479,                 46502,                 46502,,,                 -1283,                   -218,                 -1065,                 -1065,                 45437,,                 46502,                              0,,                 45437,                              0,,                              0.88,,                              0.88,,,
3004,2014年第3季,,,,                347819,                347819,                347819,                347819,,                239465,                108354,                108354,,,                  7926,,                 37176,,                 19640,                 64742,                 43612,,,                    374,,               -192792,,                  4222,               -196640,               -153028,,                  7437,               -160465,               -160465,,,                  1003,                    170,                    833,                    833,               -159632,,               -160465,                              0,,               -159632,                              0,,                             -3.79,,                             -3.79,,,
3004,2014年第2季,,,,                334646,                334646,                334646,                334646,,                218013,                116633,                116633,,,                  7396,,                 38002,,                 14958,                 60356,                 56277,,,                    357,,                 -6501,,                  4542,                -10686,                 45591,,                 11142,                 34449,                 34449,,,                 -1200,                   -203,                   -997,                   -997,                 33452,,                 34449,                              0,,                 33452,                              0,,                              0.82,,                              0.81,,,
3004,2014年度,,,,,,,              1376535,,                908324,                468211,                468211,,,                 32164,,                160918,,                 66707,                259789,                208422,,,                  1477,,               -208128,,                 18260,               -224911,                -16489,,                 39247,                -55736,                -55736,,,,,,                 -5341,                -61077,,                -55736,                              0,,                -61077,                              0,,                             -1.32,,                             -1.32,                  2977,                 -9412,                 -1094
3004,2014年01月01日至2014年09月30日,,,,              1030626,              1030626,              1030626,              1030626,,                674883,                355743,                355743,,,                 23819,,                111076,,                 48100,                182995,                172748,,,                  1032,,               -192874,,                 13882,               -205724,                -32976,,                 33265,                -66241,                -66241,,,                    416,                     71,                    345,                    345,                -65896,,                -66241,                              0,,                -65896,                              0,,                             -1.57,,                             -1.57,,,
3004,2014年01月01日至2014年06月30日,,,,                682807,                682807,                682807,                682807,,                435418,                247389,                247389,,,                 15893,,                 73900,,                 28460,                118253,                129136,,,                    658,,                    -82,,                  9660,                 -9084,                120052,,                 25828,                 94224,                 94224,,,                   -587,                    -99,                   -488,                   -488,                 93736,,                 94224,                              0,,                 93736,                              0,,                              2.25,,                              2.21,,,
