證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨退回,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3312,2015年第3季,,,,              4429093,              4429093,                724436,              3704657,              3704657,,,              3577055,              3577055,              3577055,                127602,                127602,,,                167347,,                 15319,,                  6327,                188993,                -61391,,,                  1265,,                 -1094,,                  9398,,                    570,                 -8657,                -70048,,                 15657,                -85705,                -85705,,,                 83164,                 83164,                 83164,                 -2541,,                -39994,                -45711,,                 22699,                -25240,,                             -0.37,,                              0.00,,,,
3312,2015年第2季,,,,              3957398,              3957398,                148083,              3809315,              3809315,,,              3673217,              3673217,              3673217,                136098,                136098,,,                182357,,                 13948,,                  5395,                201700,                -65602,,,                    956,,                 -2600,,                  9530,,                    585,                -10589,                -76191,,                    184,                -76375,                -76375,,,                -17277,                -17277,                -17277,                -93652,,                -45609,                -30766,,                -57720,                -35932,,                             -0.48,,                              0.00,,,,
3312,2015年01月01日至2015年09月30日,,,,             12797798,             12797798,                906032,             11891766,             11891766,,,             11441343,             11441343,             11441343,                450423,                450423,,,                540438,,                 45461,,                 17189,                603088,               -152665,,,                  2661,,                 -4565,,                 29177,,                    341,                -30740,               -183405,,                 14731,               -198136,               -198136,,,                 51179,                 51179,                 51179,               -146957,,                -96052,               -102084,,                -57930,                -89027,,                             -0.89,,                              0.00,,,,
3312,2015年01月01日至2015年06月30日,,,,              8368705,              8368705,                181596,              8187109,              8187109,,,              7864288,              7864288,              7864288,                322821,                322821,,,                373091,,                 30142,,                 10862,                414095,                -91274,,,                  1396,,                 -3471,,                 19779,,                   -229,                -22083,               -113357,,                   -926,               -112431,               -112431,,,                -31985,                -31985,                -31985,               -144416,,                -56058,                -56373,,                -80629,                -63787,,                             -0.59,,                              0.00,,,,
3312,2015年01月01日至2015年03月31日,,,,              4411307,              4411307,                 33513,              4377794,              4377794,,,              4191071,              4191071,              4191071,                186723,                186723,,,                190734,,                 16194,,                  5467,                212395,                -25672,,,                    440,,                   -871,,                 10249,,                   -814,                -11494,                -37166,,                 -1110,                -36056,                -36056,,,                -14708,                -14708,                -14708,                -50764,,                -10449,                -25607,,                -22909,                -27855,,                             -0.11,,                             -0.11,,,,
3312,2014年第3季,,,,              5458579,              5458579,                 57904,              5400675,              5400675,,,              5187369,              5187369,              5187369,                213306,                213306,,,                 92722,,                 19467,,                  5726,                117915,                 95391,,,                  3373,,                      8,,                  7873,,                              0,                 -4492,                 90899,,                 17937,                 72962,                 72962,,,                 24218,                 24218,                 24218,                 97180,,                 49721,                 23241,,                 68537,                 28643,,                              0.55,,                              0.55,,,,
3312,2014年第2季,,,,              4090233,              4090233,                 69432,              4020801,              4020801,,,              3891250,              3891250,              3891250,                129551,                129551,,,                126505,,                 16827,,                  5420,                148752,                -19201,,,                  4504,,                   -860,,                  9117,,                              0,                 -5473,                -24674,,                 12446,                -37120,                -37120,,,                -23943,                -23943,                -23943,                -61063,,                -15290,                -21830,,                -34070,                -26993,,                             -0.17,,                             -0.16,,,,
3312,2014年度,,,,             18590840,             18590840,,             18319441,             18319441,,,,             17637903,             17637903,                681538,                681538,,,                439669,,                 69156,,                 19626,                528451,                153087,,,                 11303,,                   -462,,                 33023,,                   -522,                -22704,                130383,,                 43105,                 87278,                 87278,,,,,                 83946,                171224,,                 88209,                   -931,,                154999,                 16225,,                              0.93,,                              0.93,                271399,                 84154,                   -208,                              0
3312,2014年01月01日至2014年09月30日,,,,             13799590,             13799590,                191719,             13607871,             13607871,,,             13126684,             13126684,             13126684,                481187,                481187,,,                318184,,                 52485,,                 14657,                385326,                 95861,,,                 10624,,                 -3655,,                 23958,,                              0,                -16989,                 78872,,                 36069,                 42803,                 42803,,,                 23204,                 23204,                 23204,                 66007,,                 40547,                  2256,,                 59402,                  6605,,                              0.45,,                              0.45,,,,
3312,2014年01月01日至2014年06月30日,,,,              8341011,              8341011,                133815,              8207196,              8207196,,,              7939315,              7939315,              7939315,                267881,                267881,,,                225462,,                 33018,,                  8931,                267411,                    470,,,                  7251,,                 -3663,,                 16085,,                              0,                -12497,                -12027,,                 18132,                -30159,                -30159,,,                 -1014,                 -1014,                 -1014,                -31173,,                 -9174,                -20985,,                 -9135,                -22038,,                             -0.10,,                             -0.10,,,,
3312,2014年01月01日至2014年03月31日,,,,              4250778,              4250778,                 64383,              4186395,              4186395,,,              4048065,              4048065,              4048065,                138330,                138330,,,                 98957,,                 16191,,                  3511,                118659,                 19671,,,                  2747,,                 -2803,,                  6968,,                              0,                 -7024,                 12647,,                  5686,                  6961,                  6961,,,                 22929,                 22929,                 22929,                 29890,,                  6116,                    845,,                 24935,                  4955,,                              0.07,,                              0.07,,,,
3312,2013年第3季,,,,              4182819,              4182819,,              4134791,              4134791,,,,              3979790,              3979790,                155001,                155001,,,                 88616,,                 15642,,                  5221,                109479,                 45522,,,                  3439,,                 -2229,,                  2383,,,                 -1173,                 44349,,                 10551,                 33798,                 33798,,,,,                -14620,                 19178,,                 20560,                 13238,,                  8795,                 10383,,                              0.23,,                              0.23,                 48028,                -14620,,
3312,2013年第2季,,,,              3670502,              3670502,,              3624972,              3624972,,,,              3474735,              3474735,                150237,                150237,,,                 95308,,                 13913,,                  6862,                116083,                 34154,,,                    369,,                  2336,,                    993,,,                  1712,                 35866,,                 15116,                 20750,                 20750,,,,,                  7563,                 28313,,                 13998,                  6752,,                 20130,                  8183,,                              0.16,,                              0.16,                 45530,                  7563,,
3312,2013年度,,,,             15980639,             15980639,,             15749786,             15749786,,,,             15117532,             15117532,                632254,                632254,,,                365580,,                 70609,,                 22652,                458841,                173413,,,                  7615,,                  7550,,                  8032,,                              0,                  7133,                180546,,                 43695,                136851,                136851,,,,,                 26970,                163821,,                106460,                 30391,,                127837,                 35984,,                              1.17,,                              1.17,                230853,                 26278,                    692,                              0
3312,2013年07月01日至2013年09月30日,,,,              4182819,              4182819,,              4134791,              4134791,,,,              3979790,              3979790,                155001,                155001,,,                 88616,,                 15642,,                  5221,                109479,                 45522,,,                  3439,,                 -2229,,                  2383,,,                 -1173,                 44349,,                 10551,                 33798,                 33798,,,,,                -14620,                 19178,,                 20560,                 13238,,                  8795,                 10383,,                              0.23,,                              0.23,                 48028,                -14620,,
3312,2013年04月01日至2013年06月30日,,,,              3670502,              3670502,,              3624972,              3624972,,,,              3474735,              3474735,                150237,                150237,,,                 95308,,                 13913,,                  6862,                116083,                 34154,,,                    369,,                  2336,,                    993,,,                  1712,                 35866,,                 15116,                 20750,                 20750,,,,,                  7563,                 28313,,                 13998,                  6752,,                 20130,                  8183,,                              0.16,,                              0.16,                 45530,                  7563,,
3312,2013年01月01日至2013年12月31日,,,,             15980639,             15980639,,             15749786,             15749786,,,,             15117532,             15117532,                632254,                632254,,,                365580,,                 70609,,                 22652,                458841,                173413,,,                  7615,,                  7550,,                  8032,,,                  7133,                180546,,                 43695,                136851,                136851,,,,,                 26970,                163821,,                106460,                 30391,,                127837,                 35984,,                              1.17,,                              1.17,                230853,                 26278,                    692,                              0
3312,2013年01月01日至2013年09月30日,,,,             11125679,             11125679,,             10989676,             10989676,,,,             10541546,             10541546,                448130,                448130,,,                259132,,                 53304,,                 19162,                331598,                116532,,,                  5207,,                    624,,                  4387,,,                  1444,                117976,,                 31309,                 86667,                 86667,,,,,                 17518,                104185,,                 62437,                 24230,,                 76403,                 27782,,                              0.69,,                              0.69,                136003,                 17518,,
3312,2013年01月01日至2013年06月30日,,,,              6942860,              6942860,,              6854885,              6854885,,,,              6561756,              6561756,                293129,                293129,,,                170516,,                 37662,,                 13941,                222119,                 71010,,,                  1768,,                  2853,,                  2004,,,                  2617,                 73627,,                 20758,                 52869,                 52869,,,,,                 32138,                 85007,,                 41877,                 10992,,                 67608,                 17399,,                              0.48,,                              0.48,                 87975,                 32138,,
