證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2115,2015年第3季,,                580666,,                456674,                123992,                123992,,,                 19929,,                 38213,,                  5903,                 64045,                 59947,,,                 10759,,                 14451,,                  2412,                 22798,                 82745,,                 16428,                 66317,                 66317,,,                              0,                              0,,                 39765,                 39765,                 39765,                106082,,                 66317,,                106082,,                              0.89,,                              0.89,,,
2115,2015年第2季,,                647847,,                501937,                145910,                145910,,,                 22013,,                 34622,,                  5240,                 61875,                 84035,,,                  5388,,                 -1625,,                  2407,                  1356,                 85391,,                 20193,                 65198,                 65198,,,                              0,                              0,,                -35915,                -35915,                -35915,                 29283,,                 65198,,                 29283,,                              0.88,,                              0.83,,,
2115,2015年01月01日至2015年09月30日,,              1879285,,              1475082,                404203,                404203,,,                 65264,,                110661,,                 16785,                192710,                211493,,,                 26658,,                 11377,,                  7389,                 30646,                242139,,                 52328,                189811,                189811,,,                              0,                              0,,                  8262,                  8262,                  8262,                198073,,                189811,,                198073,,                              2.59,,                              2.48,,,
2115,2015年01月01日至2015年06月30日,,              1298619,,              1018408,                280211,                280211,,,                 45335,,                 72448,,                 10882,                128665,                151546,,,                 15899,,                 -3074,,                  4977,                  7848,                159394,,                 35900,                123494,                123494,,,                              0,                              0,,                -60711,                -60711,                -60711,                 62783,,                123494,,                 62783,,                              1.70,,                              1.65,,,
2115,2015年01月01日至2015年03月31日,,                650772,,                516471,                134301,                134301,,,                 23322,,                 37826,,                  5642,                 66790,                 67511,,,                 10511,,                 -1449,,                  2570,                  6492,                 74003,,                 15707,                 58296,                 58296,,,                -21075,                -21075,,                 -3721,                 -3721,                -24796,                 33500,,                 58296,,                 33500,,                              0.82,,                              0.82,,,
2115,2014年第3季,,                627904,,                494093,                133811,                133811,,,                 21384,,                 30729,,                  5280,                 57393,                 76418,,,                  5750,,                 -4458,,                  2211,                   -919,                 75499,,                 17325,                 58174,                 58174,,,                 29931,                 29931,,                 11875,                 11875,                 41806,                 99980,,                 58174,,                 99980,,                              0.82,,                              0.82,,,
2115,2014年第2季,,                696019,,                550817,                145202,                145202,,,                 23845,,                 31555,,                  5676,                 61076,                 84126,,,                  2984,,                  2047,,                  2195,                  2836,                 86962,,                 20097,                 66865,                 66865,,,                -31596,                -31596,,                   -865,                   -865,                -32461,                 34404,,                 66865,,                 34404,,                              0.94,,                              0.94,,,
2115,2014年度,,              2633761,,              2080065,                553696,                553696,,,                 94594,,                144496,,                 22312,                261402,                292294,,,                 18080,,                 -3600,,                  9065,                  5415,                297709,,                 67140,                230569,                230569,,,,,,,,                 57475,                288044,,                230569,,                288044,,                              3.25,,                              3.24,                 55060,                  2675,                    260
2115,2014年01月01日至2014年09月30日,,              1952995,,              1544164,                408831,                408831,,,                 69043,,                104326,,                 16282,                189651,                219180,,,                 12645,,                 -1864,,                  6578,                  4203,                223383,,                 50884,                172499,                172499,,,                 31875,                 31875,,                -22964,                -22964,                  8911,                181410,,                172499,,                181410,,                              2.43,,                              2.43,,,
2115,2014年01月01日至2014年06月30日,,              1325091,,              1050071,                275020,                275020,,,                 47659,,                 73597,,                 11002,                132258,                142762,,,                  6895,,                  2594,,                  4367,                  5122,                147884,,                 33559,                114325,                114325,,,                  1944,                  1944,,                -34839,                -34839,                -32895,                 81430,,                114325,,                 81430,,                              1.61,,                              1.61,,,
