證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 稀釋繼續營業單位淨利（淨損）
2208,2015年第3季,,              5327550,,              5137543,                190007,                190007,,,                 18424,,                 77433,,                 38094,                133951,                 56056,,,                 13888,,                 33877,,                  3733,,                   -118,                 43914,                 99970,,                 16059,                 83911,                 83911,                 83911,,                 81775,                  2136,,                 81775,                  2136,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,
2208,2015年第2季,,              5030042,,              4835747,                194295,                194295,,,                 19105,,                 82165,,                 21676,                122946,                 71349,,,                 14920,,                  6437,,                  1693,,                   -120,                 19544,                 90893,,                 23921,                 66972,                 66972,                 66972,,                 65682,                  1290,,                 65682,                  1290,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,
2208,2015年01月01日至2015年09月30日,,             16160912,,             15550003,                610909,                610909,,,                 55351,,                232710,,                106891,                394952,                215957,,,                 95330,,                 45945,,                  9913,,                   -522,                130840,                346797,,                 66735,                280062,                280062,                280062,,                276093,                  3969,,                276093,                  3969,,                              0.37,                              0.37,,                              0.37,                              0.37,,,,,
2208,2015年01月01日至2015年06月30日,,             10833362,,             10412460,                420902,                420902,,,                 36927,,                155277,,                 68797,                261001,                159901,,,                 81442,,                 12068,,                  6180,,                   -404,                 86926,                246827,,                 50676,                196151,                196151,                196151,,                194318,                  1833,,                194318,                  1833,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,
2208,2015年01月01日至2015年03月31日,,              5803320,,              5576713,                226607,                226607,,,                 17822,,                 73112,,                 47121,                138055,                 88552,,,                 66522,,                  5631,,                  4487,,                   -284,                 67382,                155934,,                 26755,                129179,                129179,                129179,,                128636,                    543,,                128636,                    543,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,
2208,2014年第3季,,              5883600,,              5639273,                244327,                244327,,,                 17914,,                 74354,,                 32775,                125043,                119284,,,                 15057,,                  1788,,                  4134,,                              0,                 12711,                131995,,                 24456,                107539,                107539,                107539,,                108820,                 -1281,,                108820,                 -1281,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,
2208,2014年第2季,,              5366292,,              5200816,                165476,                165476,,,                 17701,,                 67091,,                 21842,                106634,                 58842,,,                 23283,,                 19424,,                  3926,,                              0,                 38781,                 97623,,                 17374,                 80249,                 80249,                 80249,,                 78419,                  1830,,                 78419,                  1830,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,
2208,2014年度,,             25497653,,             24480596,              1017057,              1017057,,,                 70372,,                306035,,                134296,                510703,                506354,,,                 73696,,                -34194,,                 16248,,                    -93,                 23161,                529515,,                 75137,                454378,                454378,                471615,,                450782,                  3596,,                468019,                  3596,,                              0.61,                              0.61,,,                              0.61,,                 20768,                  3531,                 17237,                              0.61
2208,2014年01月01日至2014年09月30日,,             18419285,,             17830966,                588319,                588319,,,                 53704,,                209441,,                 74254,                337399,                250920,,,                 59625,,                -14231,,                 12039,,                              0,                 33355,                284275,,                 43666,                240609,                240609,                240609,,                239917,                    692,,                239917,                    692,,                              0.32,                              0.32,,                              0.32,                              0.32,,,,,
2208,2014年01月01日至2014年06月30日,,             12535685,,             12191693,                343992,                343992,,,                 35790,,                135087,,                 41479,                212356,                131636,,,                 44568,,                -16019,,                  7905,,                              0,                 20644,                152280,,                 19210,                133070,                133070,                133070,,                131097,                  1973,,                131097,                  1973,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,
2208,2014年01月01日至2014年03月31日,,              7169393,,              6990877,                178516,                178516,,,                 18089,,                 67996,,                 19637,                105722,                 72794,,,                 21285,,                -35443,,                  3979,,                              0,                -18137,                 54657,,                  1836,                 52821,                 52821,                 52821,,                 52678,                    143,,                 52678,                    143,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,
2208,2013年第3季,,              6085799,,              5970840,                114959,                114959,,,                 17038,,                 66988,,                 26697,                110723,                  4236,,,                 23900,,                 32979,,                  4186,,,                 52693,                 56929,,                  8557,                 48372,                 48372,                 48372,,                 48101,                    271,,                 48101,                    271,,                              0.06,                              0.06,,,                              0.06,,,,,                              0.06
2208,2013年第2季,,              6146797,,              5889207,                257590,                257590,,,                 21406,,                 72669,,                 17775,                111850,                145740,,,                 23646,,                 12488,,                  4183,,,                 31951,                177691,,                 25199,                152492,                152492,                152492,,                150316,                  2176,,                150316,                  2176,,                              0.20,                              0.20,,,                              0.20,,,,,                              0.20
2208,2013年度,,             24892573,,             24033879,                858694,                858694,,,                 88888,,                310214,,                117669,                516771,                341923,,,                 92285,,                 84917,,                 16722,,                              0,                160480,                502403,,                 62602,                439801,                439801,                478057,,                436902,                  2899,,                475158,                  2899,,                              0.59,                              0.59,,,                              0.59,,                 46092,                  7836,                 38256,                              0.59
