證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 非控制權益（綜合損益）,　 已實現銷貨（損）益,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資性不動產利益,　　　 處分不動產、廠房及設備損失,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 遞延所得稅費用（利益）
1303,2014年01月01日至2014年03月31日,,             77473959,,             70529634,              6944325,                  1759,              6942566,,,              2444941,,              1922651,              4367592,              2574974,,,                769741,,              2660038,,                539073,                539073,,              4979395,              4979395,              7870101,             10445075,,              1080350,              1080350,              9364725,              9364725,,,                   -316,                              0,                   -316,,              1878576,             -1872576,,               -516181,                 84476,               -594657,               -594973,              8769752,,              9328745,                 35980,,              8664347,,,                              1.18,                              1.18,                105405,,,,,,,,,,,,,,,,,,,,,
1303,2013年第3季,,             82243293,,             73041897,              9201396,                  5419,              9195977,,,              2538490,,              2058424,              4596914,              4599063,,,              1519220,,               -140025,,                628278,                628278,,              4163608,              4163608,              4914525,              9513588,,,              1507208,              8006380,              8006380,,,,,,,,,,,,,                485521,              8491901,,              8061283,                -54903,,              8546804,,,                              1.02,                              1.02,                -54903,,              1507208,             -2143805,              3516430,,               -951667,                    434,                -64129,,                410637,                694068,                414515,                -31647,                  2359,                -85862,                  9919,                 34794,,,,
1303,2013年第2季,,             74034602,,             66871747,              7162855,                 -7733,              7170588,,,              2369432,,              2163773,              4533205,              2637383,,,                907075,,                490813,,                554177,                554177,,              1561017,              1561017,              2404728,              5042111,,,              1290900,              3751211,              3751211,,,,,,,,,,,,,              8266808,             12018019,,              3776858,                -25647,,             12043667,,,                              0.48,                              0.48,                -25648,,              1290900,              1642400,              4134572,,              2522969,                   -236,                 32897,,                430084,                 18152,                458839,                  2286,                  1949,                531358,                  9235,                 54015,,,,
1303,2013年度,,            311005289,,            278338457,             32666832,                              0,             32661227,,,              9626789,,              8222295,             17849084,             14812143,,,              3972786,,              1646672,,,              2200700,,,             12726562,             16145320,             30957463,,,              5893763,             25063700,             25063700,,,,,,,,,,,,,             17778116,             42841816,,             25271588,               -207888,,             43049704,,,                              3.19,                              3.19,               -207888,                 -5605,              5893763,              5235320,             10266627,,              2371300,                 11245,                106376,,,,,,,,,,,,,
1303,2013年07月01日至2013年09月30日,,             82243293,,             73041897,              9201396,                  5419,              9195977,,,              2538490,,              2058424,              4596914,              4599063,,,              1519220,,               -140025,,,                628278,,              4163608,              4163608,              4914525,              9513588,,,              1507208,              8006380,              8006380,,,,,,,,,,,,,                485521,              8491901,,              8061283,                -54903,,              8546804,,,,                              1.02,                -54903,                              0,,             -2143805,              3516430,,               -951667,                    434,                -64129,,,,,,,,,,,,,
1303,2013年04月01日至2013年06月30日,,             74034602,,             66871747,              7162855,                              0,              7170588,,,              2369432,,              2163773,              4533205,              2637383,,,                907075,,                490813,,,                554177,,,              1561017,              2404728,              5042111,,,              1290900,              3751211,              3751211,,,,,,,,,,,,,              8266808,             12018019,,              3776858,                -25647,,             12043667,,,,                              0.48,                -25648,                  7733,,              1642400,              4134572,,              2522969,                   -236,                 32897,,,,,,,,,,,,,
1303,2013年01月01日至2013年12月31日,,            311005289,,            278338457,             32666832,                  5605,             32661227,,,              9626789,,              8222295,             17849084,             14812143,,,              3972786,,              1646672,,,              2200700,,             12726562,             12726562,             16145320,             30957463,,,              5893763,             25063700,             25063700,,,,,,,,,,,,,             17778116,             42841816,,             25271588,               -207888,,             43049704,,,,                              3.19,               -207888,                              0,,              5235320,             10266627,,              2371300,                 11245,                106376,,,,,,,,,,,,,
1303,2013年01月01日至2013年09月30日,,            230543005,,            205873118,             24669887,                  6438,             24663449,,,              7142433,,              6158686,             13301119,             11362330,,,              3157018,,              1268002,,              1699033,              1699033,,              8671746,              8671746,             11397733,             22760063,,,              4063497,             18696566,             18696566,,,,,,,,,,,,,             10341510,             29038076,,             18868859,               -172293,,             29210369,,,                              2.38,                              2.38,               -172293,,              4063497,              2653095,              5315438,,              2437560,                   -516,                 64067,,              1196523,                712220,              1248275,                382189,                  9183,              1012285,                 28560,                164215,,,,
1303,2013年01月01日至2013年06月30日,,            148299712,,            132831221,             15468491,                  1019,             15467472,,,              4603943,,              4100262,              8704205,              6763267,,,              1637798,,              1408027,,              1070755,              1070755,,              4508138,              4508138,              6483208,             13246475,,,              2556289,             10690186,             10690186,,,,,,,,,,,,,              9855989,             20546175,,             10807576,               -117390,,             20663565,,,                              1.36,                              1.36,               -117390,,              2556289,              4796900,              1799008,,              3389227,                   -950,                128196,,                785886,                 18152,                833760,                381978,                  4280,              1098147,                 18641,                 95019,,,,
1303,2013年01月01日至2013年03月31日,,             74265110,,             65959474,              8305636,                  8752,              8296884,,,              2234511,,              1936489,              4171000,              4125884,,,                733357,,                913791,,                515789,                515789,,              2947121,              2947121,              4078480,              8204364,,,              1265389,              6938975,              6938975,,,,,,,,,,,,,              1589181,              8528156,,              7030718,                -91743,,              8619899,,,                              0.89,                              0.89,                -91743,,              1265389,              3154500,             -2335564,,                866258,                   -714,                 95299,,                337844,,                395513,                379692,                  2331,                566789,                  9406,                 44427,                              0,                              0,,
1303,2012年07月01日至2012年09月30日,,             75052452,,             68055427,              6997025,                  4760,              6992265,,,              2415021,,              1868250,              4283271,              2708994,,,              3170437,,              1119220,,,                592749,,               -753446,               -753446,              2943462,              5652456,,,              1223733,              4428723,              4428723,,,,,,,,,,,,,               -297909,              4130814,,              4615205,               -186482,,              4317296,,,,                              0.58,               -186482,                              0,,             -1317407,              1044991,,                -92143,                              0,                -66650,,,,,,,,,,,,,
1303,2012年04月01日至2012年06月30日,,             74198442,,             67579089,              6619353,                              0,              6638502,,,              2324312,,              1869054,              4193366,              2445136,,,                943602,,                -19114,,,                582414,,,             -4925466,             -4583392,             -2138256,,,                793551,             -2931807,             -2931807,,,,,,,,,,,,,             -3901441,             -6833248,,             -2842726,                -89081,,             -6744166,,,,                             -0.36,                -89082,                 19149,,                778673,             -3381128,,             -1248399,                              0,                 50587,,,,,,,,,,,,,
1303,2012年01月01日至2012年12月31日,,            300710497,,            271588047,             29122450,                -17751,             29140201,,,              9156331,,              7336811,             16493142,             12647059,,,              6326228,,                -78987,,,              2374080,,            -10917469,            -10917469,             -7044308,              5602751,,,              1963268,              3639483,              3639483,,,,,,,,,,,,,             -4765901,             -1126418,,              4269200,               -629717,,               -496701,,,,                              0.54,               -629717,                              0,,             -3744532,             -1174761,,                 42558,                -28128,               -138962,,,,,,,,,,,,,
1303,2012年01月01日至2012年09月30日,,            228506627,,            205670652,             22835975,                -45278,             22881253,,,              7018840,,              5507500,             12526340,             10354913,,,              4923717,,                965263,,,              1796966,,             -8244344,             -8244344,             -4152330,              6202583,,,              3578957,              2623626,              2623626,,,,,,,,,,,,,             -2358798,                264828,,              2869920,               -246294,,                511122,,,,                              0.36,               -246294,                              0,,             -2960870,                737690,,               -249905,                              0,               -114287,,,,,,,,,,,,,
1303,2012年01月01日至2012年06月30日,,            153454175,,            137615225,             15838950,                              0,             15888988,,,              4603819,,              3639250,              8243069,              7645919,,,              1753280,,               -153957,,,              1204217,,,             -7490898,             -7095792,                550127,,,              2355224,             -1805097,             -1805097,,,,,,,,,,,,,             -2060889,             -3865986,,             -1745285,                -59812,,             -3806174,,,,                             -0.22,                -59812,                 50038,,             -1643463,               -307301,,               -157762,                              0,                -47637,,,,,,,,,,,,,
1303,2012年01月01日至2012年03月31日,,             79255733,,             70036136,              9219597,,              9250486,,,              2279507,,              1770196,              4049703,              5200783,,,                809678,,               -134843,,,                621803,,                              0,             -2565432,             -2512400,              2688383,,,              1561673,              1126710,              1126710,,,,,,,,,,,,,              1840552,              2967262,,              1097441,                 29269,,              2937992,,,,                              0.14,                 29270,                 30889,              1561673,             -2422136,              3073827,,              1090637,                              0,                -98224,,                442043,,                367635,                256122,,               -330877,                  2342,                 64677,                  2247,,              2565432,                              0
