證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　　 租金收入,　　　 處分投資利益,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
2369,2014年01月01日至2014年03月31日,,              1394727,,              1216766,                177961,                177961,,,                 20062,,                 75693,,                 38844,                134599,                 43362,,,,                    993,,                  9998,                 10991,,                              0,                  1570,                     60,                     14,                  1616,,                  2135,                  2135,                 10472,                 53834,,                 20385,                 33449,                 33449,,,                  7616,                 23350,                 30966,                 30966,                 64415,,                 37990,                 -4541,,                 68956,                 -4541,,,                              0.10,,,                              0.10,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,,
2369,2013年第3季,,              1491163,,              1290074,                201089,                201089,,,                 19945,,                 69617,,                 37762,                127324,                 73765,,,,                  1775,                 13398,                  8764,                 23937,,,                   -295,                   -162,                     41,                 -1689,,                  1861,                  1861,                 20387,                 94152,,                 20638,                 73514,                 73514,,,,,,                 -9953,                 63561,,                 75618,                 -2104,,                 65665,                 -2104,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,,                  1191,,                 -5554,                 -4399,,
2369,2013年第2季,,              1603383,,              1331054,                272329,                272329,,,                 20356,,                 70280,,                 41167,                131803,                140526,,,,                  2896,,                  8377,                 11273,,                    568,                  5190,                    -60,                     20,                  5678,,                  2091,                  2091,                 14860,                155386,,                 16222,                139164,                139164,,,,,,                 -2030,                137134,,                141889,                 -2725,,                139859,                 -2725,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,,,,,,,                 10996,                -13026,,
2369,2013年度,,              6047661,,              5150628,                897033,                897033,,,                 80144,,                285432,,                158390,                523966,                373067,,,,                  9567,                 13398,                 24607,                 49960,,,                 11480,,                    207,                 10781,,                  8468,                  8468,                 52273,                425340,,                 74025,                351315,                351315,,,,,,                 56213,                407528,,                361394,                -10079,,                417614,                -10086,,                              0.97,                              0.97,,                              0.96,                              0.96,,,,,,,,,,                  2388,                              0,                    456,                     36,                 30177,                 -3771,                 35932,                 -6125
2369,2013年07月01日至2013年09月30日,,              1491163,,              1290074,                201089,                201089,,,                 19945,,                 69617,,                 37762,                127324,                 73765,,,,                  1775,                 13398,                  8216,                 23937,,,                   -295,,                     41,                 -1689,,,                  1861,                 20387,                 94152,,                 20638,                 73514,                 73514,,,,,,                 -9953,                 63561,,                 75618,                 -2104,,                 65665,                 -2104,,,                              0.20,,,                              0.20,,,,,,,,,,                    548,,                  1191,                    162,                 -5554,                 -4399,,
2369,2013年04月01日至2013年06月30日,,              1603383,,              1331054,                272329,                272329,,,                 20356,,                 70280,,                 41167,                131803,                140526,,,,                  2896,,                  7685,                 11273,,                    568,                  5190,                    -60,                     20,                  5678,,                  2091,                  2091,                 14860,                155386,,                 16222,                139164,                139164,,,,,,                 -2030,                137134,,                141889,                 -2725,,                139859,                 -2725,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,,,                    692,,,,                 10996,                -13026,,
2369,2013年01月01日至2013年12月31日,,              6047661,,              5150628,                897033,                897033,,,                 80144,,                285432,,                158390,                523966,                373067,,,,                  9567,                 13398,                 24607,                 49960,,,                 11480,,                    207,                 10781,,                  8468,                  8468,                 52273,                425340,,                 74025,                351315,                351315,,,,,,                 56213,                407528,,                361394,                -10079,,                417614,                -10086,,                              0.97,                              0.97,,                              0.96,                              0.96,,,,,,,,,,                  2388,,                    456,                     36,                 30177,                 -3771,                 35932,                 -6125
2369,2013年01月01日至2013年09月30日,,              4525899,,              3866043,                659856,                659856,,,                 59934,,                206649,,                116439,                383022,                276834,,,,                  7497,                 13398,                 21794,                 42689,,,                  9506,                    -82,                    183,                  8785,,                  6881,                  6881,                 44593,                321427,,                 48398,                273029,                273029,,,,,,                 21180,                294209,,                278393,                 -5364,,                299573,                 -5364,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,,,,,,,,                    456,,                 21963,                   -783,,
2369,2013年01月01日至2013年06月30日,,              3034736,,              2575969,                458767,                458767,,,                 39989,,                137032,,                 78677,                255698,                203069,,,,                  5722,,                 13030,                 18752,,                    735,                  9801,                     80,                    142,                 10474,,                  5020,                  5020,                 24206,                227275,,                 27760,                199515,                199515,,,,,,                 31133,                230648,,                202775,                 -3260,,                233908,                 -3260,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,,,,,,                 27517,                  3616,,
2369,2013年01月01日至2013年03月31日,,              1431353,,              1244915,                186438,                186438,,,                 19633,,                 66752,,                 37510,                123895,                 62543,,,,                  2826,,                  4653,                  7479,,                    167,                  4611,                    140,                    122,                  4796,,                  2929,                  2929,                  9346,                 71889,,                 11538,                 60351,                 60351,,,,,,                 33163,                 93514,,                 60886,                   -535,,                 94049,                   -535,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,,,,,,,                 16521,                 16642,,
2369,2012年07月01日至2012年09月30日,,              1665489,,              1434595,                230894,                230894,,,                 20480,,                 72567,,                 30031,                123078,                107816,,,,                  2747,                  8907,                  2246,                 15299,,,                  4930,,                     24,                  4907,,,                  4079,                 16127,                123943,,                 12318,                111625,                111625,,,,,,                -17589,                 94036,,                110167,                  1458,,                 92578,                  1458,,,                              0.29,,,                              0.29,,,,,,,,,,                  1399,,                    302,                   -303,                -11169,                 -6420,,
2369,2012年04月01日至2012年06月30日,,              1793270,,              1454439,                338831,                338831,,,                 20047,,                 74190,,                 30526,                124763,                214068,,,,                  2928,,                  3296,                  7695,,                  3178,                 -2303,                   -225,                    131,                    519,,                  3500,                  3500,                  4714,                218782,,                 31419,                187363,                187363,,,,,,                 -8797,                178566,,                184535,                  2828,,                175738,                  2828,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,,,,,,,                  1471,,,,                  4140,                -12937,,
2369,2012年01月01日至2012年12月31日,,              6352558,,              5433558,                919000,                919000,,,                 79142,,                285079,,                131441,                495662,                423338,,,,                 11000,                  8953,                 20244,                 45522,,,                  4499,,                  1078,                  3768,,                 14443,                 14443,                 34847,                458185,,                 74465,                383720,                383720,,,,,,                 30626,                414346,,                379699,                  4021,,                410325,                  4021,,                              1.01,                              1.01,,                              1.00,                              1.00,,,,,,,,,,                  5325,,                     13,                   -360,                -21509,                 55098,                 -2347,                   -616
2369,2012年01月01日至2012年09月30日,,              4866490,,              4156662,                709828,                709828,,,                 60385,,                211676,,                 90349,                362410,                347418,,,,                  7848,                  8907,                 10887,                 32417,,,                  3540,,                  1057,                  2842,,,                 10639,                 24620,                372038,,                 51226,                320812,                320812,,,,,,                 27338,                348150,,                315963,                  4849,,                343301,                  4849,,,                              0.83,,,                              0.83,,,,,,,,,,                  4775,,                     12,                   -371,                -20648,                 47986,,
2369,2012年01月01日至2012年06月30日,,              3201001,,              2722067,                478934,                478934,,,                 39905,,                139109,,                 60318,                239332,                239602,,,,                  5101,,                  8641,                 17118,,                    290,                 -1390,                     68,                  1033,                 -2065,,                  6560,                  6560,                  8493,                248095,,                 38908,                209187,                209187,,,,,,                 44927,                254114,,                205796,                  3391,,                250723,                  3391,,                              0.55,                              0.55,,                              0.54,                              0.54,,,,,,,,,,                  3376,,,,                 -9479,                 54406,,
2369,2012年01月01日至2012年03月31日,,              1407731,,              1267628,                140103,                140103,,,                 19858,,                 64919,,                 29792,                114569,                 25534,,,,                  2173,,                  5345,                  9423,,                 -2888,                    913,                    293,                    902,                 -2584,,                  3060,                  3060,                  3779,                 29313,,                  7489,                 21824,                 21824,,,,,,                 53724,                 75548,,                 21261,                    563,,                 74985,                    563,,,                              0.06,,,                              0.06,,,,,,,,,,                  1905,,,,                -13619,                 67343,,
