證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
2440,2015年第3季,,                617272,,                572128,                 45144,                 45144,,,                 16606,,                 32732,,                  5564,                 54902,                 -9758,,,                  1130,,                 -1395,,                  4574,,                  1984,                 -2855,                -12613,,                  2575,                -15188,                -15188,,,                 19886,                -14978,                  3381,                  1527,                  1527,                -13661,,                -15188,,                -13661,,                             -0.11,,,,,,
2440,2015年第2季,,                639728,,                572173,                 67555,                 67555,,,                 14716,,                 30138,,                  4662,                 49516,                 18039,,,                  1196,,                  5616,,                  4435,,                   -264,                  2113,                 20152,,                  2445,                 17707,                 17707,,,                 -6405,                 12894,                 -1089,                  7578,                  7578,                 25285,,                 17707,,                 25285,,                              0.13,,,,,,
2440,2015年01月01日至2015年09月30日,,              1834148,,              1669068,                165080,                165080,,,                 45579,,                104216,,                 14879,                164674,                    406,,,                  3411,,                  4162,,                 13439,,                  1679,                 -4187,                 -3781,,                  5586,                 -9367,                 -9367,,,                  5138,                -35407,                  2057,                -32326,                -32326,                -41693,,                 -9367,,                -41693,,                             -0.07,,,,,,
2440,2015年01月01日至2015年06月30日,,              1216876,,              1096940,                119936,                119936,,,                 28973,,                 71484,,                  9315,                109772,                 10164,,,                  2281,,                  5557,,                  8865,,                   -305,                 -1332,                  8832,,                  3011,                  5821,                  5821,,,                -14748,                -20429,                 -1324,                -33853,                -33853,                -28032,,                  5821,,                -28032,,                              0.04,,,,,,
2440,2015年01月01日至2015年03月31日,,                577148,,                524767,                 52381,                 52381,,,                 14257,,                 41346,,                  4653,                 60256,                 -7875,,,                  1085,,                    -59,,                  4430,,                    -41,                 -3445,                -11320,,                    566,                -11886,                -11886,,,                 -8343,                -33323,                   -235,                -41431,                -41431,                -53317,,                -11886,,                -53317,,                             -0.09,,,,,,
2440,2014年第3季,,                610057,,                568963,                 41094,                 41094,,,                 20745,,                 31859,,                  4201,                 56805,                -15711,,,                    365,,                 18636,,                  4032,,                    812,                 15781,                     70,,                  3281,                 -3211,                 -3211,,,                  6953,                    730,                              0,                  7683,                  7683,                  4472,,                 -3211,,                  4472,,                             -0.02,,,,,,
2440,2014年第2季,,                631232,,                587040,                 44192,                 44192,,,                 17926,,                 32805,,                  4136,                 54867,                -10675,,,                  1861,,                  6830,,                  3391,,                   -867,                  4433,                 -6242,,                  1146,                 -7388,                 -7388,,,                -11588,                 -7973,                              0,                -19561,                -19561,                -26949,,                 -7388,,                -26949,,                             -0.05,,,,,,
2440,2014年度,,              2535812,,              2344105,                191707,                191707,,,                 71455,,                131732,,                 15197,                218384,                -26677,,,                  2676,,                 31465,,                 13960,,                  6034,                 26215,                   -462,,                 10755,                -11217,                -11217,,,,,,,                 32778,                 21561,,                -11217,,                 21561,,                             -0.08,                 29893,                  9708,                 -1741,                  5082,                              0,                              0
2440,2014年01月01日至2014年09月30日,,              1872901,,              1740468,                132433,                132433,,,                 51500,,                 96667,,                 11259,                159426,                -26993,,,                  1409,,                 14406,,                  9978,,                  1652,                  7489,                -19504,,                  6690,                -26194,                -26194,,,                  4297,                -20372,                              0,                -16075,                -16075,                -42269,,                -26194,,                -42269,,                             -0.19,,,,,,
2440,2014年01月01日至2014年06月30日,,              1262844,,              1171505,                 91339,                 91339,,,                 30755,,                 64808,,                  7058,                102621,                -11282,,,                  2487,,                 -5673,,                  5946,,                    840,                 -8292,                -19574,,                  3409,                -22983,                -22983,,,                 -2656,                -21102,                              0,                -23758,                -23758,                -46741,,                -22983,,                -46741,,                             -0.17,,,,,,
2440,2014年01月01日至2014年03月31日,,                631612,,                584465,                 47147,                 47147,,,                 12829,,                 32003,,                  2922,                 47754,                   -607,,,                    626,,                -12503,,                  2555,,                  1707,                -12725,                -13332,,                  2263,                -15595,                -15595,,,                  8932,                -13129,                              0,                 -4197,                 -4197,                -19792,,                -15595,,                -19792,,                             -0.11,,,,,,
2440,2013年第3季,,                582569,,                547630,                 34939,                 34939,,,                 22816,,                 34157,,                  7954,                 64927,                -29988,,,                    502,,                 13900,,                  2536,,                              0,                 11866,                -18122,,                  3055,                -21177,                -21177,,,,,,,                 -2897,                -24074,,                -20619,,                -22860,,                             -0.15,                 -6882,                  3985,,,                   -558,                 -1214
2440,2013年第2季,,                596585,,                513345,                 83240,                 83240,,,                 16179,,                 38908,,                  4915,                 60002,                 23238,,,                    518,,                -45379,,                  2576,,                              0,                -47437,                -24199,,                  1514,                -25713,                -25713,,,,,,,                -28564,                -54277,,                -23551,,                -52878,,                             -0.17,                  6281,                -34845,,,                 -2162,                 -1399
2440,2013年度,,              2171502,,              2033135,                138367,                138367,,,                 69275,,                146421,,                 20928,                236624,                -98257,,,                  2029,,                 32265,,                 10631,,                 -4389,                 19274,                -78983,,                  5346,                -84329,                -84329,,,,,,,                 46216,                -38113,,                -75963,,                -33143,,                             -0.55,                 29125,                 17387,                   -296,                              0,                 -8366,                 -4970
2440,2013年07月01日至2013年09月30日,,                582569,,                547630,                 34939,                 34939,,,                 22816,,                 34157,,                  7954,                 64927,                -29988,,,,,                 14402,,                  2536,,,                 11866,                -18122,,                  3055,                -21177,                -21177,,,,,,,                 -2897,                -24074,,                -20619,,                -22860,,                             -0.15,                 -6882,                  3985,,,                   -558,                 -1214
