證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 處分不動產、廠房及設備損失,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 什項支出,　　　 外幣兌換損失
4919,2015年第3季,,              1986624,,              1170627,                815997,                815997,,,                 66177,,                 88228,,                509399,                663804,                152193,,,,                  3977,                 10572,                  1839,                 16388,,                     26,                              0,                 24735,                -14991,                  9770,,                              0,                              0,,                              0,                 26158,                178351,,                 30065,                148286,                148286,,,,,,                 45025,                 45025,                 45025,                193311,,                148286,,                193311,,                              0.71,                              0.71,,                              0.71,                              0.71,,,,,,,,
4919,2015年第2季,,              1924091,,              1130144,                793947,                793947,,,                 62196,,                 90460,,                488158,                640814,                153133,,,,                  4453,                 41712,                  1533,                 47698,,                    413,                              0,                 -2093,                    716,                   -964,,                  1344,                  1344,,                              0,                 45390,                198523,,                 38124,                160399,                160399,,,,,,                  1635,                  1635,                  1635,                162034,,                160399,,                162034,,                              0.77,                              0.77,,                              0.76,                              0.76,,,,,,,,
4919,2015年度,,              7313387,,              4263860,              3049527,              3049527,,,                246434,,                346482,,              1970357,              2563273,                486254,,,,                 16656,                 52284,                  6568,                 75508,,                    891,                              0,                 21852,                -11176,                 11567,,                  1344,                  1344,,                              0,                 85731,                571985,,                102963,                469022,                469022,,,                -29644,                -29644,,                 17419,                 17419,                -12225,                456797,,                469022,,                456797,,                              2.26,                              2.26,,                              2.24,                              2.24,,,,,,,,
4919,2015年01月01日至2015年09月30日,,              5543008,,              3212575,              2330433,              2330433,,,                186217,,                262780,,              1466868,              1915865,                414568,,,,                 12189,                 52284,                  4865,                 69338,,                    786,                              0,                 20733,                -10456,                 11063,,                  1344,                  1344,,                              0,                 79057,                493625,,                 89174,                404451,                404451,,,,,,                 28267,                 28267,                 28267,                432718,,                404451,,                432718,,                              1.95,                              1.95,,                              1.92,                              1.92,,,,,,,,
4919,2015年01月01日至2015年06月30日,,              3556384,,              2041948,              1514436,              1514436,,,                120040,,                174552,,                957469,              1252061,                262375,,,,                  8212,                 41712,                  3026,                 52950,,                    760,                              0,                 -4002,                  4535,                  1293,,                  1344,                  1344,,                              0,                 52899,                315274,,                 59109,                256165,                256165,,,,,,                -16758,                -16758,                -16758,                239407,,                256165,,                239407,,                              1.23,                              1.23,,                              1.22,                              1.22,,,,,,,,
4919,2015年01月01日至2015年03月31日,,              1632293,,                911804,                720489,                720489,,,                 57844,,                 84092,,                469311,                611247,                109242,,,,                  3759,,                  1493,                  5252,,                    347,,                 -1909,,                  2257,,,,,                              0,                  7509,                116751,,                 20985,                 95766,                 95766,,,,,,                -18393,                -18393,                -18393,                 77373,,                 95766,,                 77373,,                              0.46,                              0.46,,                              0.46,                              0.46,                 -3819,,,,,,,
4919,2014年第3季,,              1792067,,              1054312,                737755,                737755,,,                 62440,,                 83265,,                489607,                635312,                102443,,,,                  4197,                     10,                  1170,                  5377,,                 -1066,                              0,                  7123,                 -8290,                 -2233,,                              0,                              0,,                  3528,                  6672,                109115,,                 21211,                 87904,                 87904,,,,,,                 -4825,                 -4825,                 -4825,                 83079,,                 87904,,                 83079,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,,,
4919,2014年第2季,,              1893628,,              1064777,                828851,                828851,,,                 64512,,                 98809,,                510990,                674311,                154540,,,,                  4095,                 39600,                  2225,                 45920,,                   -174,                      1,                 -4463,                  6684,                  2048,,                              0,                              0,,                  5648,                 53616,                208156,,                 27677,                180479,                180479,,,,,,                -15022,                -15022,                -15022,                165457,,                180479,,                165457,,                              0.87,                              0.87,,                              0.86,                              0.86,,,,,,,,
4919,2014年度,,              6821877,,              3925873,              2896004,              2896004,,,                249126,,                344211,,              1972682,              2566019,                329985,,,,                 16401,                 39610,                  5706,                 61717,,                 -1032,                 13183,                 24278,                -21898,                 14531,,                    238,                    238,,                 14564,                 90574,                420559,,                 77469,                343090,                343090,,,                 -6134,                 -6134,,                 19872,                 19872,                 13738,                356828,,                343090,,                356828,,                              1.65,                              1.65,,                              1.64,                              1.64,,,,,,,,
4919,2014年01月01日至2014年09月30日,,              5303325,,              3044350,              2258975,              2258975,,,                188381,,                266840,,              1495883,              1951104,                307871,,,,                 12310,                 39610,                  4558,                 56478,,                 -1226,                      1,                 11241,                -10464,                   -448,,                    238,                    238,,                 13846,                 69638,                377509,,                 64885,                312624,                312624,,,,,,                 -2267,                 -2267,                 -2267,                310357,,                312624,,                310357,,                              1.51,                              1.51,,                              1.49,                              1.49,,,,,,,,
