證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1727,2015年第3季,,                526439,,                449311,                 77128,                 77128,,,                 29489,,                 11968,,                  3844,                 45301,                 31827,,,                  1088,,                  1203,,                  1375,                    916,                 32743,,                  5900,                 26843,                 26843,,,                  3502,                    525,                  2977,                  2977,                 29820,,                 27031,                   -188,,                 29595,                    225,,                              0.25,,                              0.24,,,,,,,,,,,,,
1727,2015年第2季,,                583094,,                507813,                 75281,                 75281,,,                 29836,,                 11302,,                  3453,                 44591,                 30690,,,                    837,,                 -1048,,                  1485,                 -1696,                 28994,,                  4703,                 24291,                 24291,,,                   -644,                    -96,                   -548,                   -548,                 23743,,                 24118,                    173,,                 23650,                     93,,                              0.23,,                              0.23,,                              0,,,,,,,,,,,
1727,2015年01月01日至2015年09月30日,,              1644580,,              1426661,                217919,                217919,,,                 86008,,                 35266,,                 12197,                133471,                 84448,,,                  2807,,                    658,,                  4471,                 -1006,                 83442,,                 10405,                 73037,                 73037,,,                  1757,                    269,                  1488,                  1488,                 74525,,                 73284,                   -247,,                 74600,                    -75,,                              0.66,,                              0.66,,,,,,,,,,,,,
1727,2015年01月01日至2015年06月30日,,              1118141,,                977350,                140791,                140791,,,                 56519,,                 23298,,                  8353,                 88170,                 52621,,,                  1719,,                   -545,,                  3096,                 -1922,                 50699,,                  4505,                 46194,                 46194,,,                 -1745,                   -256,                 -1489,                 -1489,                 44705,,                 46253,                    -59,,                 45005,                   -300,,                              0.44,,                              0.44,,                              0,,,,,,,,,,,
1727,2015年01月01日至2015年03月31日,,                535047,,                469537,                 65510,                 65510,,,                 26683,,                 11996,,                  4900,                 43579,                 21931,,,                    882,,                    503,,                  1611,                   -226,                 21705,,                   -198,                 21903,                 21903,,,                 -1101,                   -160,                   -941,                   -941,                 20962,,                 22135,                   -232,,                 21355,                   -393,,                              0.21,,,,,                              0,                              0,,                              0,,                              0,,                              0,,,
1727,2014年第3季,,                564483,,                494966,                 69517,                 69517,,,                 28299,,                 11490,,                  5831,                 45620,                 23897,,,                  1441,,                   -427,,                  1165,                   -151,                 23746,,                  4053,                 19693,                 19693,,,                  1762,                    259,                  1503,                  1503,                 21196,,                 19684,                      9,,                 20949,                    247,,                              0.18,,                              0.18,,,,,,,,,,,,,
1727,2014年第2季,,                598753,,                511115,                 87638,                 87638,,,                 32590,,                 11130,,                  4704,                 48424,                 39214,,,                  1018,,                     17,,                  1325,                   -290,                 38924,,                  6121,                 32803,                 32803,,,                   -961,                   -138,                   -823,                   -823,                 31980,,                 32268,                    535,,                 31597,                    383,,                              0.32,,                              0.32,,                              0,,,,,,,,,,,
1727,2014年度,,              2226223,,              1909623,                316600,                316600,,,                118199,,                 45451,,                 21184,                184834,                131766,,,                  6264,,                    229,,                  5206,                  1287,                133053,,                 21323,                111730,                111730,,,,,,                  2282,                114012,,                110429,                  1301,,                112372,                  1640,,                              1.05,,,,,                              0,                              0,,                              0,,                              0,,                              0,                  2814,                   -134,                    398
1727,2014年01月01日至2014年09月30日,,              1634059,,              1403450,                230609,                230609,,,                 89782,,                 34375,,                 15431,                139588,                 91021,,,                  3318,,                 -1465,,                  3656,                 -1803,                 89218,,                 14573,                 74645,                 74645,,,                    552,                     87,                    465,                    465,                 75110,,                 73924,                    721,,                 74350,                    760,,                              0.67,,                              0.67,,,,,,,,,,,,,
1727,2014年01月01日至2014年06月30日,,              1069577,,                908485,                161092,                161092,,,                 61483,,                 22885,,                  9600,                 93968,                 67124,,,                  1878,,                 -1038,,                  2491,                 -1651,                 65473,,                 10521,                 54952,                 54952,,,                 -1209,                   -172,                 -1037,                 -1037,                 53915,,                 54240,                    712,,                 53401,                    514,,                              0.54,,                              0.54,,                              0,,,,,,,,,,,
