證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 其他營業成本,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 歸墊收入,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分無形資產利益,　　　 處分無形資產損失
2301,2015年第3季,,,,             57371106,                271010,              1103616,             55996480,             55996480,,,             48773827,             48773827,              7222653,              7222653,,,              1883750,,              1435099,,              1472314,              4791163,              2431490,,,,                287471,                 50815,                193119,                531405,,               -104166,                 70839,                106335,                360011,                -21985,,                 27544,               -292562,,                145282,                145282,,                 12444,                106005,              2537495,,                875671,              1661824,              1661824,,,              2865004,               -154138,                  3074,,                 86385,                415879,              2384446,              2384446,              4046270,,              1638553,                 23271,,              3882226,                164044,,                              0.71,                              0.71,,                              0.70,                              0.70,,,,,,,,,,,,,,,
2301,2015年第2季,,,,             53341329,                718769,              1068502,             51554058,             51646489,,,             45144500,             45183484,              6463005,              6463005,,,              2011052,,              1413438,,              1443104,              4867594,              1595411,,,,                278110,                 13248,                302226,                593584,,                    392,                 34854,                  9384,                127621,                 41640,,                121953,               -246584,,                141744,                141744,,                104852,                310108,              1905519,,                417200,              1488319,              1488319,,,               -988356,                -81270,                  3054,,                -39784,               -131537,               -974819,               -974819,                513500,,              1430523,                 57796,,                485570,                 27930,,                              0.62,                              0.62,,                              0.62,                              0.62,,                 92431,                 38984,,,,,,,,,,,,
2301,2015年第1季,,,,             52800392,                280482,              1034998,             51484912,             51540402,,,             45052432,             45078755,              6461647,              6461647,,,              1804798,,              1413460,,              1534163,              4752421,              1709226,,,,                315573,                              0,                295584,                611157,,                 22851,                -51803,                178137,                186113,                 17257,,                 27451,                -81636,,                147196,                147196,,                 15757,                398082,              2107308,,                414526,              1692782,              1692782,,,             -1150566,                -74430,                  5861,,                -35902,               -151993,             -1103044,             -1103044,                589738,,              1645748,                 47034,,                651335,                -61597,,                              0.71,                              0.71,,                              0.71,                              0.71,,                 55490,                 26323,,                              0,,,,,,,,,,
2301,2015年01月01日至2015年09月30日,,,,            163660748,              1270261,              3207116,            159183371,            159183371,,,            139036066,            139036066,             20147305,             20147305,,,              5699600,,              4261997,,              4449581,             14411178,              5736127,,,,                881154,                 64063,                790929,              1736146,,                -80923,                 53890,                293856,                673745,                 36912,,                176948,               -620782,,                434222,                434222,,                133053,                814195,              6550322,,              1707397,              4842925,              4842925,,,                726082,               -309838,                 11989,,                 10699,                132349,                306583,                306583,              5149508,,              4714824,                128101,,              5019131,                130377,,                              2.03,                              2.03,,                              2.00,                              2.00,,,,,,,,,,,,,,,
2301,2015年01月01日至2015年06月30日,,,,            106141721,                999251,              2103500,            103038970,            103186891,,,             90196932,             90262239,             12924652,             12924652,,,              3815850,,              2826898,,              2977267,              9620015,              3304637,,,,                593683,                 13248,                597810,              1204741,,                 23243,                -16949,                187521,                313734,                 58897,,                149404,               -328220,,                288940,                288940,,                120609,                708190,              4012827,,                831726,              3181101,              3181101,,,             -2138922,               -155700,                  8915,,                -75686,               -283530,             -2077863,             -2077863,              1103238,,              3076271,                104830,,              1136905,                -33667,,                              1.33,                              1.33,,                              1.32,                              1.32,,                147921,                 65307,,,,,,,,,,,,
2301,2014年第3季,,,,             62603528,                916094,              1079720,             60607714,             60607714,,,             53170700,             53170700,              7437014,              7437014,,,              2399532,,              1524387,,              1616963,              5540882,              1896132,,,,                324422,                 17619,                261939,                603980,,                357459,                -42286,                132822,                570408,                 -4768,,                981642,             -1099287,,                165168,                165168,,                 83236,               -577239,              1318893,,                570979,                747914,                747914,,,              1438304,               -229620,                  9053,,                 42080,                293717,                966100,                966100,              1714014,,              1549811,               -801897,,              2270111,               -556097,,                              0.67,                              0.67,,                              0.66,                              0.66,,,,,,,,,,,,,,,
2301,2014年第2季,,,,             59469143,                550928,                771040,             58147175,             58234367,,,             50333956,             50366578,              7867789,              7867789,,,              2271257,,              1593611,,              1637357,              5502225,              2365564,,,,                336447,                 21906,                304005,                662358,,                 42494,                -36743,                 52285,                296873,                 -1543,,                 75755,               -313049,,                169141,                169141,,                 32822,                212990,              2578554,,                560508,              2018046,              2018046,,,             -1309122,                 95745,                  8375,,                -41280,               -202217,             -1044065,             -1044065,                973981,,              2031173,                -13127,,              1204283,               -230302,,                              0.87,                              0.87,,                              0.87,                              0.87,,                 87192,                 32622,,,,,,,,,,,,
2301,2014年第1季,,,,             52886867,                492743,                713652,             51680472,             51741914,,,             45294024,             45320521,              6421393,              6421393,,,              2006918,,              1465748,,              1549917,              5022583,              1398810,,,,                372345,                    264,                365151,                737760,,                     60,                 38016,                   -570,                122025,                 24414,,                              0,               -108724,,                161452,                161452,,                -46549,                421035,              1819845,,                391571,              1428274,              1428274,,,                 28807,                172554,                 12035,,                 38567,                  4896,                247067,                247067,              1675341,,              1427677,                    597,,              1679585,                 -4244,,                              0.62,                              0.62,,                              0.62,                              0.62,,                 61442,                 26497,,                    209,,,,,,,,,,
2301,2014年度,,,,            236908189,              2947400,              3733656,            230227133,            230631974,,,            202260385,            202383002,             28248972,             28248972,,,              8794035,,              5953353,,              6372383,             21119771,              7129201,,,,              1357118,                 39824,              1305569,              2702511,,                468873,                 58022,                249729,                703177,                 77334,,              1444257,             -1448144,,                673634,                673634,,                 41056,                621789,              7750990,,              2071417,              5679573,              5679573,,,,,,,,,,              1952918,              7632491,,              6461659,               -782086,,              8307615,               -675124,,                              2.80,                              2.80,,                              2.76,                              2.76,,                404841,                122617,,,                              0,              2115652,                 53856,                 34980,                 27065,,                154687,                433322,,
2301,2014年01月01日至2014年09月30日,,,,            175108172,              1959765,              2564412,            170583995,            170583995,,,            148857798,            148857798,             21726197,             21726197,,,              6677707,,              4583740,,              4804237,             16065684,              5660513,,,,              1033214,                 39789,                931095,              2004098,,                400013,                -41013,                184537,                989306,                 18103,,              1057188,             -1521060,,                495761,                495761,,                 69509,                 56786,              5717299,,              1523060,              4194239,              4194239,,,                157984,                 38679,                 29463,,                 39367,                 96396,                169097,                169097,              4363336,,              5008663,               -814424,,              5153979,               -790643,,                              2.16,                              2.16,,                              2.14,                              2.14,,,,,,,,,,,,,,,
2301,2014年01月01日至2014年06月30日,,,,            112356010,              1043671,              1484692,            109827647,            109976281,,,             95627979,             95687098,             14289183,             14289183,,,              4278175,,              3059353,,              3187274,             10524802,              3764381,,,,                708792,                 22170,                669156,              1400118,,                 42554,                  1273,                 51715,                418898,                 22871,,                 75546,               -421773,,                330593,                330593,,                -13727,                634025,              4398406,,                952081,              3446325,              3446325,,,             -1280320,                268299,                 20410,,                 -2713,               -197321,               -797003,               -797003,              2649322,,              3458852,                -12527,,              2883868,               -234546,,                              1.49,                              1.49,,                              1.48,                              1.48,,                148634,                 59119,,,,,,,,,,,,
2301,2014年01月01日至2014年03月31日,,,,             52886867,                492743,                713652,             51680472,             51741914,,,             45293926,             45320423,              6421491,              6421491,,,              2006918,,              1465462,,              1549917,              5022297,              1399194,,,,                372345,                    264,                365151,                737760,,                     60,                 38016,                   -570,                122025,                 24414,,                              0,               -108724,,                161452,                161452,,                -46549,                421035,              1820229,,                391637,              1428592,              1428592,,,,,,,,,,                247062,              1675654,,              1427781,                    811,,              1679687,                 -4033,,                              0.62,                              0.62,,                              0.62,                              0.62,,                 61442,                 26497,,                    209,,                 28802,                172554,                 12035,,,                 38567,                  4896,,
