證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1473,2015年第3季,,              2562577,,              2225825,                336752,                336752,,,                224979,,                173455,,                 19126,                417560,                -80808,,,                 39879,,                 44504,,                  9462,                 74921,                 -5887,,                 16078,                -21965,                -21965,,,                137846,                    -80,                137766,                137766,                115801,,                 52537,                -74502,,                178447,                -62646,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,
1473,2015年第2季,,              1990495,,              1718368,                272127,                272127,,,                242035,,                162374,,                 18965,                423374,               -151247,,,                 66382,,                 -3071,,                 11153,                 52158,                -99089,,                 38581,               -137670,               -137670,,,                -33342,                    -33,                -33375,                -33375,               -171045,,                -33310,               -104360,,                -68942,               -102103,,                             -0.23,                             -0.23,,                             -0.23,                             -0.23,,,,,,
1473,2015年01月01日至2015年09月30日,,              7056809,,              5908565,              1148244,              1148244,,,                790642,,                508982,,                 57486,              1357110,               -208866,,,                160910,,                 31269,,                 31608,                160571,                -48295,,                 92265,               -140560,               -140560,,,                 77486,                 -1054,                 76432,                 76432,                -64128,,                 85742,               -226302,,                151284,               -215412,,                              0.59,                              0.59,,                              0.58,                              0.58,,,,,,
1473,2015年01月01日至2015年06月30日,,              4494232,,              3682740,                811492,                811492,,,                565663,,                335527,,                 38360,                939550,               -128058,,,                121031,,                -13235,,                 22146,                 85650,                -42408,,                 76187,               -118595,               -118595,,,                -60360,                   -974,                -61334,                -61334,               -179929,,                 33205,               -151800,,                -27163,               -152766,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,
1473,2015年01月01日至2015年03月31日,,              2503737,,              1964372,                539365,                539365,,,                323628,,                173153,,                 19395,                516176,                 23189,,,                 54649,,                -10164,,                 10993,                 33492,                 56681,,                 37606,                 19075,                 19075,,,                -27018,                   -941,                -27959,                -27959,                 -8884,,                 66515,                -47440,,                 41779,                -50663,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,,,
1473,2014年第3季,,              2182567,,              1814513,                368054,                368054,,,                300184,,                173838,,                 19659,                493681,               -125627,,,                 27270,,                 25724,,                 13466,                 39528,                -86099,,                 14891,               -100990,               -100990,,,                 56008,                     19,                 56027,                 56027,                -44963,,                 19940,               -120930,,                 60419,               -105382,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,
1473,2014年第2季,,              2009717,,              1647135,                362582,                362582,,,                303261,,                154420,,                 19905,                477586,               -115004,,,                 40434,,                  2719,,                 12941,                 30212,                -84792,,                 33621,               -118413,               -118413,,,                -50723,                    -97,                -50820,                -50820,               -169233,,                -34795,                -83618,,                -76170,                -93063,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,,,,,,
1473,2014年度,,              9137371,,              7487751,              1649620,              1649620,,,              1407225,,                667789,,                 83641,              2158655,               -509035,,,                133014,,                392480,,                 49949,                475545,                -33490,,                105059,               -138549,               -138549,,,,,,                110581,                -27968,,                141248,               -279797,,                230798,               -258766,,                              0.97,                              0.97,,                              0.97,                              0.97,,                              0,                128564,                 -8028,                -12664,                 -2709
1473,2014年01月01日至2014年09月30日,,              6904118,,              5561304,              1342814,              1342814,,,              1031275,,                479071,,                 61890,              1572236,               -229422,,,                 93448,,                 50907,,                 40009,                104346,               -125076,,                 96400,               -221476,               -221476,,,                 29820,                    -54,                 29766,                 29766,               -191710,,                 65878,               -287354,,                 89541,               -281251,,                              0.45,                              0.45,,                              0.45,                              0.45,,,,,,
1473,2014年01月01日至2014年06月30日,,              4721551,,              3746791,                974760,                974760,,,                731091,,                305233,,                 42231,              1078555,               -103795,,,                 66178,,                 25183,,                 26543,                 64818,                -38977,,                 81509,               -120486,               -120486,,,                -26188,                    -73,                -26261,                -26261,               -146747,,                 45938,               -166424,,                 29122,               -175869,,                              0.32,                              0.32,,                              0.31,                              0.31,,,,,,
