證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3515,2013年度,,             10360980,,              8131567,              2229413,              2229413,,,                432646,,                190539,,                451783,              1074968,              1154445,,,                 74125,,                 38571,,,,                              0,                112696,              1267141,,                209104,              1058037,              1058037,,,,,,                 58390,              1116427,,              1061415,                 -3378,,              1119805,                 -3378,,                              9.23,,                              9.15,,,,,                 86190,                -32622,                  5810,                    988
3515,2013年07月01日至2013年09月30日,,              2656349,,              2074578,                581771,                581771,,,                128268,,                 65037,,                101037,                294342,                287429,,,                 36946,,                -23800,,                              0,,,                 13146,                300575,,                 30856,                269719,                269719,,,,,,                -53514,                216205,,                271120,                 -1401,,                217606,                 -1401,,                              2.36,,                              2.35,,,,,                -50567,                 -2947,,
3515,2013年04月01日至2013年06月30日,,              2284875,,              1723306,                561569,                561569,,,                115680,,                 60193,,                 92624,                268497,                293072,,,                 34473,,                 24517,,                              0,,,                 58990,                352062,,                 64579,                287483,                287483,,,,,,                  5787,                293270,,                287852,                   -369,,                293639,                   -369,,                              2.50,,                              2.49,,,,,                 20543,                -14756,,
3515,2013年01月01日至2013年12月31日,,             10360980,,              8131567,              2229413,              2229413,,,                432646,,                190539,,                451783,              1074968,              1154445,,,                 74125,,                 38571,,                              0,,,                112696,              1267141,,                209104,              1058037,              1058037,,,,,,                 58390,              1116427,,              1061415,                 -3378,,              1119805,                 -3378,,                              9.23,,                              9.15,,,,,                 86190,                -32622,                  5810,                    988
3515,2013年01月01日至2013年09月30日,,              7934599,,              6189477,              1745122,              1745122,,,                355018,,                191846,,                285722,                832586,                912536,,,                 92776,,                  5962,,,,                              0,                 98738,              1011274,,                165728,                845546,                845546,,,,,,                 25568,                871114,,                847316,                 -1770,,                872884,                 -1770,,                              7.37,,                              7.31,,,,,                 57935,                -32367,,
3515,2013年01月01日至2013年06月30日,,              5278250,,              4114899,              1163351,              1163351,,,                226750,,                126809,,                184685,                538244,                625107,,,                 55830,,                 29762,,,,                              0,                 85592,                710699,,                134872,                575827,                575827,,,,,,                 79082,                654909,,                576196,                   -369,,                655278,                   -369,,                              5.01,,                              4.98,,,,,                108502,                -29420,,
3515,2013年01月01日至2013年03月31日,,              2993375,,              2391593,                601782,                601782,,,                111070,,                 66616,,                 92061,                269747,                332035,,,                 21357,,                  5245,,,,,                 26602,                358637,,                 70293,                288344,                288344,,,,,,                 73295,                361639,,                288344,                              0,,                361639,                              0,,                              2.51,,                              2.50,,,,,                 87959,                -14664,,
3515,2012年07月01日至2012年09月30日,,              2992061,,              2431990,                560071,                560071,,,                178559,,                 15600,,                 83922,                278081,                281990,,,                 16828,,                 -2028,,                              0,,,                 14800,                296790,,                 30396,                266394,                266394,,,,,,                -91487,                174907,,                266394,                              0,,                174907,                              0,,                              2.31,,                              2.31,,,,,                -64163,                -27324,,
3515,2012年04月01日至2012年06月30日,,              2259580,,              1799531,                460049,                460049,,,                 85873,,                 48885,,                 75463,                210221,                249828,,,                 11706,,                 -1344,,                              0,,,                 10362,                260190,,                 21452,                238738,                238738,,,,,,                 40174,                278912,,                238738,                              0,,                278912,                              0,,                              2.08,,                              2.07,,,,,                 39610,                    564,,
3515,2012年01月01日至2012年12月31日,,             10658237,,              8608076,              2050161,              2050161,,,                422728,,                219170,,                305476,                947374,              1102787,,,                 55514,,                 -1296,,                     46,,,                 54172,              1156959,,                121146,              1035813,              1035813,,,,,,               -126107,                909706,,              1035813,                              0,,                909706,                              0,,                              9.00,,                              8.92,,,,,               -127278,                  7399,                 -7504,                 -1276
3515,2012年01月01日至2012年09月30日,,              7967395,,              6396295,              1571100,              1571100,,,                368900,,                126058,,                241182,                736140,                834960,,,                 44288,,                   -184,,                     46,,,                 44058,                879018,,                 85854,                793164,                793164,,,,,,                -70098,                723066,,                793164,                              0,,                723066,                              0,,                              6.89,,                              6.85,,,,,                -99270,                 29172,,
3515,2012年01月01日至2012年06月30日,,              4975334,,              3964305,              1011029,              1011029,,,                190341,,                110458,,                157260,                458059,                552970,,,                 27460,,                  1844,,                     46,,,                 29258,                582228,,                 55458,                526770,                526770,,,,,,                 21389,                548159,,                526770,                              0,,                548159,                              0,,                              4.58,,                              4.56,,,,,                -35107,                 56496,,
3515,2012年01月01日至2012年03月31日,,              2715754,,              2164774,                550980,                550980,,,                104468,,                 61573,,                 81797,                247838,                303142,,,                 15754,,                  3188,,                     46,,,                 18896,                322038,,                 34006,                288032,                288032,,,,,,                -18785,                269247,,                288032,                              0,,                269247,                              0,,                              2.50,,                              2.50,,,,,                -74717,                 55932,,
