證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
2107,2015年第3季,,                347538,,                252533,                 95005,                 95005,,,                 13452,,                 30554,,                  3930,                 47936,                 47069,,,                 82723,,                167390,,                  7510,,                  4766,                247369,                294438,,                 39595,                254843,                254843,,,               -315853,                 -3074,               -312779,               -312779,                -57936,,                254843,                              0,,                -57936,                              0,,                              0.51,,                              0.51,,,,
2107,2015年第2季,,                567309,,                319120,                248189,                248189,,,                 24945,,                 42636,,                  3844,                 71425,                176764,,,                 12781,,                -31229,,                  4978,,                 -2513,                -25939,                150825,,                159819,                 -8994,                 -8994,,,                 14046,                    892,                 13154,                 13154,                  4160,,                 -8994,                              0,,                  4160,                              0,,                             -0.02,,                             -0.02,,,,
2107,2015年01月01日至2015年09月30日,,              1668912,,                906321,                762591,                762591,,,                 53347,,                115020,,                 11795,                180162,                582429,,,                106385,,                117826,,                 15380,,                 10326,                219157,                801586,,                209110,                592476,                592476,,,               -283629,                 -3141,               -280488,               -280488,                311988,,                592476,                              0,,                311988,                              0,,                              1.19,,                              1.19,,,,
2107,2015年01月01日至2015年06月30日,,              1321374,,                653788,                667586,                667586,,,                 39895,,                 84466,,                  7865,                132226,                535360,,,                 23662,,                -49564,,                  7870,,                  5560,                -28212,                507148,,                169515,                337633,                337633,,,                 32224,                    -67,                 32291,                 32291,                369924,,                337633,                              0,,                369924,                              0,,                              0.68,,                              0.68,,,,
2107,2015年01月01日至2015年03月31日,,                754065,,                334668,                419397,                419397,,,                 14950,,                 41830,,                  4021,                 60801,                358596,,,                 10881,,                -18335,,                  2892,,                  8073,                 -2273,                356323,,                  9696,                346627,                346627,,,                 18178,                   -959,                 19137,                 19137,                365764,,                346627,                              0,,                365764,                              0,,                              0.70,,                              0.70,,,,
2107,2014年第3季,,              1248580,,                415849,                832731,                832731,,,                 20439,,                 51822,,                  4476,                 76737,                755994,,,                 69645,,                 32728,,                    542,,                  2749,                104580,                860574,,                  2749,                857825,                857825,,,                 18976,                  1651,                 17325,                 17325,                875150,,                857825,                              0,,                875150,                              0,,                              1.72,,                              1.72,,,,
2107,2014年第2季,,              2607869,,                620233,              1987636,              1987636,,,                 20856,,                 62493,,                  4649,                 87998,              1899638,,,                 15005,,                -56217,,                    627,,                  4526,                -37313,              1862325,,                214420,              1647905,              1647905,,,                -24593,                   -425,                -24168,                -24168,              1623737,,              1647905,                              0,,              1623737,                              0,,                              3.32,,                              3.31,,,,
2107,2014年度,,              5543681,,              1841732,              3701949,              3701949,,,                114020,,                220849,,                 17366,                352235,              3349714,,,                103773,,                 54490,,                  2561,,                  5029,                160731,              3510445,,                241673,              3268772,              3268772,,,,,,                -35774,              3232998,,              3268779,                     -7,,              3233005,                     -7,,                              6.57,,                              6.56,                -31998,                 -2722,                  1054,
2107,2014年01月01日至2014年09月30日,,              4677968,,              1417963,              3260005,              3260005,,,                 79800,,                165173,,                 12161,                257134,              3002871,,,                 92886,,                -12395,,                  2142,,                  8112,                 86461,              3089332,,                238844,              2850488,              2850488,,,                -77958,                    199,                -78157,                -78157,              2772331,,              2850488,                              0,,              2772331,                              0,,                              5.73,,                              5.72,,,,
2107,2014年01月01日至2014年06月30日,,              3429388,,              1002114,              2427274,              2427274,,,                 59361,,                113351,,                  7685,                180397,              2246877,,,                 23241,,                -45123,,                  1600,,                  5363,                -18119,              2228758,,                236095,              1992663,              1992663,,,                -96934,                 -1452,                -95482,                -95482,              1897181,,              1992663,                              0,,              1897181,                              0,,                              4.01,,                              4.00,,,,
