證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 研究發展費用,　　　 研究發展費用合計
4904,2015年第3季,,             22983552,,             13114019,              9869533,              9869533,,,              4241478,,              1487037,              5728515,              4141018,,,                 30962,,               -115402,,                 97321,,                -66247,               -248008,              3893010,,                670113,              3222897,              3222897,,,                  2450,                -40695,                 18401,,                  3308,                -16536,                -16536,              3206361,,              3214783,                  8114,,              3198210,                  8151,,                              0.99,                              0.99,,                              0.99,                              0.99,,,,,,,,,
4904,2015年第2季,,             23636523,,             13779840,              9856683,              9856683,,,              4129666,,              1466612,              5596278,              4260405,,,                 32510,,               -305294,,                 89893,,                -72038,               -434715,              3825690,,                657391,              3168299,              3168299,,,                 -1250,                -35843,                  8426,,                 25191,                 -3476,                 -3476,              3164823,,              3157632,                 10667,,              3154240,                 10583,,                              0.97,                              0.97,,                              0.97,                              0.97,,,,,,,,,
4904,2015年01月01日至2015年09月30日,,             71404573,,             42110291,             29294282,             29294282,,,             12544199,,              4405965,             16950164,             12344118,,,                 92871,,               -508111,,                339996,,               -235159,               -990395,             11353723,,              1955590,              9398133,              9398133,,,                    264,                -75581,                 33530,,                 50497,                  8710,                  8710,              9406843,,              9357200,                 40933,,              9366026,                 40817,,                              2.87,                              2.87,,                              2.87,                              2.87,,,,,,,,,
4904,2015年01月01日至2015年06月30日,,             48421021,,             28996272,             19424749,             19424749,,,              8302721,,              2918928,             11221649,              8203100,,,                 61909,,               -392709,,                242675,,               -168912,               -742387,              7460713,,              1285477,              6175236,              6175236,,,                 -2186,                -34886,                 15129,,                 47189,                 25246,                 25246,              6200482,,              6142417,                 32819,,              6167816,                 32666,,                              1.89,                              1.89,,                              1.88,                              1.88,,,,,,,,,
4904,2015年01月01日至2015年03月31日,,             24784498,,             15216432,              9568066,              9568066,,,              4173055,,              1452316,              5625371,              3942695,,,                 29399,,                -87415,,                152782,,                -96874,               -307672,              3635023,,                628086,              3006937,              3006937,,,                   -936,                    957,                  6703,,                 21998,                 28722,                 28722,              3035659,,              2984785,                 22152,,              3013576,                 22083,,,                              0.92,,,                              0.91,,,,,,,,,
4904,2014年第3季,,             23248856,,             13679626,              9569230,              9569230,,,              4388895,,              1443738,              5832633,              3736597,,,                 42452,,               -200687,,                 87105,,                -19955,               -265295,              3471302,,                598418,              2872884,              2872884,,,                  3214,                 16476,                -10628,,                 -4225,                  4837,                  4837,              2877721,,              2857005,                 15879,,              2861514,                 16207,,                              0.88,                              0.88,,                              0.88,                              0.88,,,,,,,,,
4904,2014年第2季,,             22022176,,             12217984,              9804192,              9804192,,,              3616729,,              1750048,              5366777,              4437415,,,                 45893,,               -143894,,                 83999,,                -48958,               -230958,              4206457,,                722949,              3483508,              3483508,,,                 -2512,                -37190,                 11587,,                -12596,                -40711,                -40711,              3442797,,              3468792,                 14716,,              3428575,                 14222,,                              1.06,                              1.06,,                              1.06,                              1.06,,,,,,,,,
4904,2014年第1季,,             22864485,,             13481263,              9383222,              9383222,,,              3809252,,              1470913,              5280165,              4103057,,,                 38077,,               -212242,,                 83829,,                -38507,               -296501,              3806556,,                658261,              3148295,              3148295,,,,,,,,,                 -3391,              3144904,,              3109939,                 38356,,              3106439,                 38465,,,                              0.95,,,                              0.95,                    -42,                 26915,                -18363,,,                -11683,                    218,,
4904,2014年度,,             94175600,,             56153085,             38022515,             38022515,,,             17028833,,              5939929,             22968762,             15053753,,,                197469,,               -753464,,                345337,,               -167598,             -1068930,             13984823,,              2418028,             11566795,             11566795,,,,,,,,,                 12732,             11579527,,             11484149,                 82646,,             11496781,                 82746,,,                              3.52,,,                              3.52,                  3964,                 52463,                -41962,                 54266,,                -45593,                 10406,,
4904,2014年01月01日至2014年09月30日,,             68135517,,             39378925,             28756592,             28756592,,,             11815026,,              4664788,             16479814,             12276778,,,                126422,,               -556823,,                254933,,               -107420,               -792754,             11484024,,              1979628,              9504396,              9504396,,,                    660,                  5419,                -16840,,                -28504,                -39265,                -39265,              9465131,,              9435445,                 68951,,              9396237,                 68894,,                              2.90,                              2.90,,                              2.89,                              2.89,,,,,,,,,
4904,2014年01月01日至2014年06月30日,,             44886661,,             25699299,             19187362,             19187362,,,              7426131,,              3221050,             10647181,              8540181,,,                 83970,,               -356136,,                167828,,                -87465,               -527459,              8012722,,              1381210,              6631512,              6631512,,,                 -2554,                -11058,                 -6211,,                -24279,                -44102,                -44102,              6587410,,              6578440,                 53072,,              6534723,                 52687,,                              2.02,                              2.02,,                              2.02,                              2.02,,,,,,,,,
4904,2014年01月01日至2014年03月31日,,             22864485,,             13481315,              9383170,              9383170,,,              3809402,,              1471002,              5280404,              4102766,,,                 38077,,               -212242,,                 83829,,                -38507,               -296501,              3806265,,                658261,              3148004,              3148004,,,                    -42,                 26132,                -17798,,                -11683,                 -3391,                 -3391,              3144613,,              3109648,                 38356,,              3106148,                 38465,,,                              0.95,,,                              0.95,,,,,,,,,
4904,2013年第3季,,             22124259,,             12590595,              9533664,              9533664,,,              3881870,,              1384695,              5266565,              4267099,,,                 88667,,               -372053,,                 35380,,                -27968,               -346734,              3920365,,                713964,              3206401,              3206401,,,,,,,,,               -202981,              3003420,,              3187276,                 19125,,              2984595,                 18825,,,                              0.98,,,                              0.98,                 -1430,               -232455,                 39636,,,                 -9157,                   -425,,
4904,2013年第2季,,             22100586,,             12904500,              9196086,              9196086,,,              3901196,,              1303441,              5204637,              3991449,,,                 79431,,               -190336,,                 12291,,                -22559,               -145755,              3845694,,                698901,              3146793,              3146793,,,,,,,,,                 16829,              3163622,,              3132078,                 14715,,              3148507,                 15115,,,                              0.96,,,                              0.96,                  1820,                 52452,                -27698,,,                 -9231,                    514,,
4904,2013年第1季,,             22085787,,             13451001,              8634786,              8634786,,,              3574728,,              1492678,              5067406,              3567380,,,                 71060,,               -170080,,                 10623,,                -21482,               -131125,              3436255,,                626248,              2810007,              2810007,,,,,,,,,                  8434,              2818441,,              2782518,                 27489,,              2791310,                 27131,,,                              0.85,,,                              0.85,                 -1108,                125510,                -89930,,,                -23565,                  2473,,
