證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 遞延所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 共同控制下前手權益（淨利／損）
2637,2015年第3季,,              2839461,,              2155856,                683605,                683605,,                 75712,                607893,,,,                  6458,                  1447,                  7905,,                346074,                 17945,                              0,                    729,                  1377,                361913,,                251766,                251766,                118052,                725945,,                   -359,                   -359,                726304,                726304,,,              1251375,               -135086,              1116289,              1116289,              1842593,,                725569,                    735,,              1832224,                 10369,,                              1.43,,                              1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2015年第2季,,              2703903,,              2052067,                651836,                651836,,                 39994,                611842,,,,                 14623,                166508,                181131,,                              0,                 19961,                              0,                  1741,                 10714,                  5711,,                239542,                239542,                -52700,                559142,,                    -53,                    -53,                559195,                559195,,,                 21628,                  7585,                 29213,                 29213,                588408,,                561254,                 -2059,,                592629,                 -4221,,                              1.19,,                              1.05,,                              0,                  1795,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,
2637,2015年01月01日至2015年09月30日,,              8116419,,              6152866,              1963553,              1963553,,                173534,              1790019,,,,                 35494,                168800,                204294,,                508760,                 19502,                  3069,                  5821,                              0,                525510,,                701790,                701790,                 28014,              1818033,,                   -581,                   -581,              1818614,              1818614,,,              1132134,               -716391,                415743,                415743,              2234357,,              1812867,                  5747,,              2222924,                 11433,,                              3.70,,                              3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2015年01月01日至2015年06月30日,,              5276958,,              3997010,              1279948,              1279948,,                 97822,              1182126,,,,                 29036,                167353,                196389,,                162686,                  1557,                  4446,                  5092,                              0,                163597,,                450024,                450024,                -90038,              1092088,,                   -222,                   -222,              1092310,              1092310,,,               -119241,               -581305,               -700546,               -700546,                391764,,              1087298,                  5012,,                390700,                  1064,,                              2.26,,                              1.97,,                              0,                              0,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,
2637,2015年01月01日至2015年03月31日,,              2573055,,              1944943,                628112,                628112,,                 57828,                570284,,,,                 14413,                    845,                 15258,,                164481,,                 15160,                  3351,,                157886,,                210482,                210482,                -37338,                532946,,                   -169,                   -169,                533115,                533115,,,               -140869,               -588890,               -729759,               -729759,               -196644,,                526044,                  7071,,               -201929,                  5285,,                              1.10,,                              1.07,,                              0,,                 18404,,                              0,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
2637,2014年第3季,,              2284851,,              1824057,                460794,                460794,,                 37119,                423675,,,,                 21954,                 -1143,                 20811,,                              0,                126776,                 28678,                  7886,                              0,                147568,,                203912,                203912,                -35533,                388142,,                    -16,                    -16,                388158,                388158,,,              2253586,                292855,              2546441,              2546441,              2934599,,                377902,                 10256,,              2921658,                 12941,,                              0.82,,                              0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2014年第2季,,              2207017,,              1756194,                450823,                450823,,                 30257,                420566,,,,                 19893,                  1936,                 21829,,                  3391,                              0,                              0,                  6835,                  6117,                -10210,,                208873,                208873,               -197254,                223312,,                     12,                     12,                223300,                223300,,,               -778969,               -246767,             -1025736,             -1025736,               -802436,,                215398,                  7902,,               -807501,                  5065,,                              0.47,,                              0.44,,                              0,                              0,                    649,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,
2637,2014年度,,              9056880,,              7185367,              1871513,              1871513,,                141703,              1729810,,,,                 81831,                969835,              1051666,,                  9748,                286088,                 62632,                525914,,               -167446,,                810103,                810103,                 74117,              1803927,,,                    534,              1803393,              1803393,,,,,,              4608381,              6411774,,              1766657,                 36736,,              6365917,                 45857,,                              3.81,,                              3.48,,,,,,,,,,,,,,,,,,,,              4417103,                191769,                   -491,,,,,,
2637,2014年01月01日至2014年09月30日,,              6622759,,              5283393,              1339366,              1339366,,                104855,              1234511,,,,                 65889,                849508,                915397,,                  9691,                116834,                 26899,                512257,                              0,               -358833,,                603845,                603845,                -47281,              1187230,,                    139,                    139,              1187091,              1187091,,,              1419464,                  4354,              1423818,              1423818,              2610909,,              1161413,                 25678,,              2582320,                 28589,,                              2.51,,                              2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2014年01月01日至2014年06月30日,,              4337908,,              3459336,                878572,                878572,,                 67736,                810836,,,,                 43935,                850632,                894567,,                  9710,                              0,                              0,                504371,                  1779,               -506382,,                399933,                399933,                -11748,                799088,,                    155,                    155,                798933,                798933,,,               -834122,               -288501,             -1122623,             -1122623,               -323690,,                783511,                 15422,,               -339338,                 15648,,                              1.69,,                              1.54,,                              0,                              0,                  9942,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,
