證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2357,2014年01月01日至2014年03月31日,,            110335999,,             95525468,             14810531,             14810531,,,              4999927,,              2049012,,              2721737,              9770676,              5039855,,,                113775,,                178680,,                 34227,,                  5211,                263439,              5303294,,                880876,              4422418,              4422418,,,                              0,                              0,,                877884,              2759581,                339013,,                    192,                338558,              3638112,              3638112,              8060530,,              4361617,                 60801,,              7994813,                 65717,,                              5.87,                              5.87,,                              5.84,                              5.84,,,,,,,
2357,2013年第3季,,            118809707,,            103966625,             14843082,             14843082,,,              5253666,,              1865611,,              2637721,              9756998,              5086084,,,                574484,,                945461,,                 23812,,                 -1182,              1494951,              6581035,,              1609516,              4971519,              4971519,,,,,,,,,,,,,             -2726445,              2245074,,              4939947,                 31572,,              2209670,                 35404,,                              6.63,                              6.63,,                              6.62,                              6.62,               -608858,             -1240704,             -1098454,,,                  1488,               -220083
2357,2013年第2季,,             99732991,,             86240342,             13492649,             13492649,,,              5778535,,              1402986,,              2421859,              9603380,              3889269,,,                168959,,              1833543,,                 11486,,                  5261,              1996277,              5885546,,              1089469,              4796077,              4796077,,,,,,,,,,,,,              2832470,              7628547,,              4765437,                 30640,,              7598000,                 30547,,                              6.33,                              6.33,,                              6.31,                              6.31,                208355,              2639422,                127611,,,                131093,                274011
2357,2013年度,,            463286507,,            403316442,             59970065,             59970065,,,             21906256,,              7261486,,             10966313,             40134055,             19836010,,,              1713743,,              5256646,,                352266,,                571969,              7190092,             27026102,,              5494438,             21531664,             21531664,,,,,,,,,,,,,              4382949,             25914613,,             21449895,                 81769,,             25826521,                 88092,,                             28.66,                             28.66,,                             28.47,                             28.47,                797850,              3193282,                 57044,                 -6770,,                617033,                275490
2357,2013年07月01日至2013年09月30日,,            118809707,,            103966625,             14843082,             14843082,,,              5253666,,              1865611,,              2637721,              9756998,              5086084,,,                574484,,                945461,,                 23812,,                 -1182,              1494951,              6581035,,              1609516,              4971519,              4971519,,,,,,,,,,,,,             -2726445,              2245074,,              4939947,                 31572,,              2209670,                 35404,,                              6.63,                              6.63,,                              6.62,                              6.62,               -608858,             -1240704,             -1098454,,,                  1488,               -220083
2357,2013年04月01日至2013年06月30日,,             99732991,,             86240342,             13492649,             13492649,,,              5778535,,              1402986,,              2421859,              9603380,              3889269,,,                168959,,              1833543,,                 11486,,                  5261,              1996277,              5885546,,              1089469,              4796077,              4796077,,,,,,,,,,,,,              2832470,              7628547,,              4765437,                 30640,,              7598000,                 30547,,                              6.33,                              6.33,,                              6.31,                              6.31,                208355,              2639422,                127611,,,                131093,                274011
2357,2013年01月01日至2013年12月31日,,            463286507,,            403316442,             59970065,             59970065,,,             21906256,,              7261486,,             10966313,             40134055,             19836010,,,              1713743,,              5256646,,                352266,,                571969,              7190092,             27026102,,              5494438,             21531664,             21531664,,,,,,,,,,,,,              4382949,             25914613,,             21449895,                 81769,,             25826521,                 88092,,                             28.66,                             28.66,,                             28.47,                             28.47,                797850,              3193282,                 57044,                 -6770,,                617033,                275490
2357,2013年01月01日至2013年09月30日,,            332582478,,            289183979,             43398499,             43398499,,,             16220978,,              5275385,,              7552810,             29049173,             14349326,,,                849756,,              3999305,,                 63663,,                563264,              5348662,             19697988,,              3870732,             15827256,             15827256,,,,,,,,,,,,,              2229230,             18056486,,             15758528,                 68728,,             17980472,                 76014,,                             21.00,                             21.00,,                             20.86,                             20.86,                463950,              1411820,               -166323,,,                618250,                 98467
2357,2013年01月01日至2013年06月30日,,            213772771,,            185217354,             28555417,             28555417,,,             10967312,,              3409774,,              4915089,             19292175,              9263242,,,                275272,,              3053844,,                 39851,,                564446,              3853711,             13116953,,              2261216,             10855737,             10855737,,,,,,,,,,,,,              4955675,             15811412,,             10818581,                 37156,,             15770802,                 40610,,                             14.37,                             14.37,,                             14.28,                             14.28,              1072808,              2652524,                932131,,,                616762,                318550
2357,2013年01月01日至2013年03月31日,,            114039780,,             98977012,             15062768,             15062768,,,              5188777,,              2006788,,              2493230,              9688795,              5373973,,,                106313,,              1220301,,                 28365,,                559185,              1857434,              7231407,,              1171747,              6059660,              6059660,,,,,,,,,,,,,              2123205,              8182865,,              6053144,                  6516,,              8172802,                 10063,,                              8.04,                              8.04,,                              8.00,                              8.00,                864453,                 13102,                804520,,,                485669,                 44539
2357,2012年07月01日至2012年09月30日,,            121274475,,            105533990,             15740485,             15740485,,,              5993121,,              1779668,,              2265551,             10038340,              5702145,,,                518653,,              1081648,,                 21998,,                392183,              1970486,              7672631,,              1367454,              6305177,              6305177,,,,,,,,,,,,,             -3016328,              3288849,,              6284639,                 20538,,              3264908,                 23941,,                              8.35,                              8.35,,                              8.34,                              8.34,               -544441,                794921,             -2879399,,,               -339126,                 48283
2357,2012年04月01日至2012年06月30日,,            103772792,,             88921899,             14850893,             14850893,,,              5799858,,              1396298,,              2106483,              9302639,              5548254,,,                148353,,                489401,,                 23443,,                453223,              1067534,              6615788,,              1135780,              5480008,              5480008,,,,,,,,,,,,,              1808447,              7288455,,              5427671,                 52337,,              7250823,                 37632,,                              7.21,                              7.21,,                              7.19,                              7.19,                190157,               -418539,              2003842,,,                 94343,                 61356
2357,2012年01月01日至2012年12月31日,,            448684621,,            387566934,             61117687,             61117687,,,             24429068,,              6311286,,              8545473,             39285827,             21831860,,,                944432,,              2840464,,                 87587,,              1534044,              5231353,             27063213,,              4526035,             22537178,             22537178,,,,,,,,,,,,,               -403854,             22133324,,             22463572,                 73606,,             22061034,                 72290,,                             29.84,                             29.84,,                             29.68,                             29.68,             -1128920,              3276123,             -1646511,                 11558,,               -618524,                297580
2357,2012年01月01日至2012年09月30日,,            323597868,,            279367965,             44229903,             44229903,,,             16891218,,              4684437,,              6674562,             28250217,             15979686,,,                821171,,              2168224,,                 67274,,                852116,              3774237,             19753923,,              3242339,             16511584,             16511584,,,,,,,,,,,,,             -1975755,             14535829,,             16407768,                103816,,             14454010,                 81819,,                             21.80,                             21.80,,                             21.69,                             21.69,               -926596,              2029291,             -2324339,,,               -553489,                200622
2357,2012年01月01日至2012年06月30日,,            202323393,,            173833975,             28489418,             28489418,,,             10898097,,              2904769,,              4409011,             18211877,             10277541,,,                302518,,              1086576,,                 45276,,                459933,              1803751,             12081292,,              1874885,             10206407,             10206407,,,,,,,,,,,,,              1040573,             11246980,,             10123129,                 83278,,             11189102,                 57878,,                             13.45,                             13.45,,                             13.38,                             13.38,               -382155,              1234370,                555060,,,               -214363,                152339
2357,2012年01月01日至2012年03月31日,,             98550601,,             84912076,             13638525,             13638525,,,              5098239,,              1508471,,              2302528,              8909238,              4729287,,,                154165,,                597175,,                 21833,,                  6710,                736217,              5465504,,                739105,              4726399,              4726399,,,,,,,,,,,,,               -767874,              3958525,,              4695458,                 30941,,              3938279,                 20246,,                              6.24,                              6.24,,                              6.21,                              6.21,               -572312,              1652909,             -1448782,,,               -308706,                 90983
