證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3356,2015年第2季,,                512563,,                257918,                254645,                254645,,,                 73708,,                 33943,,                 56276,                163927,                 90718,,,                  7397,,                  1772,                  9169,                 99887,,                 17117,                 82770,                 82770,,,                 -3710,                 -3710,                 -3710,                 79060,,                 82961,                   -191,,                 79250,                   -190,,                              1.19,                              1.19,,                              1.17,                              1.17,,,
3356,2015年01月01日至2015年06月30日,,              1043754,,                506117,                537637,                537637,,,                137796,,                 64129,,                115060,                316985,                220652,,,                 11771,,                -38884,                -27113,                193539,,                 32470,                161069,                161069,,,                -11848,                -11848,                -11848,                149221,,                161497,                   -428,,                149657,                   -436,,                              2.31,                              2.31,,                              2.28,                              2.28,,,
3356,2015年01月01日至2015年03月31日,,                531191,,                248199,                282992,                282992,,,                 64088,,                 30186,,                 58784,                153058,                129934,,,                  4374,,                -40656,                -36282,                 93652,,                 15353,                 78299,                 78299,,,                 -8138,                 -8138,                 -8138,                 70161,,                 78536,                   -237,,                 70407,                   -246,,                              1.12,                              1.12,,                              1.11,                              1.11,,,
3356,2014年第3季,,                553254,,                264810,                288444,                288444,,,                 55563,,                 31152,,                 61319,                148034,                140410,,,                  3010,,                -11554,                 -8544,                131866,,                 21816,                110050,                110050,,,,,                  3898,                113948,,                110361,                   -311,,                114261,                   -313,,                              1.58,                              1.58,,                              1.57,                              1.57,                  3898,,
3356,2014年第2季,,                565894,,                269150,                296744,                296744,,,                 71232,,                 26798,,                 60603,                158633,                138111,,,                  4521,,                -17050,                -12529,                125582,,                 22260,                103322,                103322,,,                 -3194,                 -3194,                 -3194,                100128,,                103780,                   -458,,                100585,                   -457,,                              1.48,                              1.48,,                              1.47,                              1.47,,,
3356,2014年度,,              2222014,,              1044396,              1177618,              1177618,,,                256369,,                116442,,                246186,                618997,                558621,,,                 20003,,                 10205,                 30208,                588829,,                100177,                488652,                488652,,,,,                 17953,                506605,,                489784,                 -1132,,                507737,                 -1132,,                              7.00,                              7.00,,                              6.95,                              6.95,                 19273,                 -1591,                   -271
3356,2014年01月01日至2014年09月30日,,              1663678,,                776319,                887359,                887359,,,                184856,,                 87070,,                182771,                454697,                432662,,,                 10537,,                -10505,                     32,                432694,,                 71306,                361388,                361388,,,,,                  3918,                365306,,                362559,                 -1171,,                366476,                 -1170,,                              5.18,                              5.18,,                              5.12,                              5.12,                  3918,,
3356,2014年01月01日至2014年06月30日,,              1110424,,                511509,                598915,                598915,,,                129293,,                 55918,,                121452,                306663,                292252,,,                  7527,,                  1049,                  8576,                300828,,                 49490,                251338,                251338,,,                     20,                     20,                     20,                251358,,                252198,                   -860,,                252215,                   -857,,                              3.60,                              3.60,,                              3.57,                              3.57,,,
3356,2014年01月01日至2014年03月31日,,                544530,,                242359,                302171,                302171,,,                 58061,,                 29120,,                 60849,                148030,                154141,,,                  3006,,                 18099,                 21105,                175246,,                 27230,                148016,                148016,,,                  3214,                  3214,                  3214,                151230,,                148418,                   -402,,                151630,                   -400,,                              2.12,                              2.12,,                              2.11,                              2.11,,,
3356,2013年第3季,,                606551,,                277106,                329445,                329445,,,                 56773,,                 28541,,                 67512,                152826,                176619,,,                  3465,,                              0,                  3465,                180084,,                 30536,                149548,                149548,,,,,                 -1669,                147879,,                150235,                   -687,,                148573,                   -694,,                              2.15,                              2.15,,                              2.14,                              2.14,                 -1669,,
3356,2013年第2季,,                593511,,                260245,                333266,                333266,,,                 56004,,                 31060,,                 72907,                159971,                173295,,,                  2955,,                 10158,                 13113,                186408,,                 30152,                156256,                156256,,,,,                    389,                156645,,                157472,                 -1216,,                157861,                 -1216,,                              2.25,                              2.25,,                              2.23,                              2.23,                    389,,
3356,2013年度,,              2257972,,              1016519,              1241453,              1241453,,,                211899,,                112003,,                260801,                584703,                656750,,,                 12421,,                 32064,                 44485,                701235,,                122420,                578815,                578815,,,,,                   -256,                578559,,                582189,                 -3374,,                581943,                 -3384,,                              8.32,                              8.32,,                              8.28,                              8.28,                  1425,                 -2025,                   -344
3356,2013年07月01日至2013年09月30日,,                606551,,                277106,                329445,                329445,,,                 56773,,                 28541,,                 67512,                152826,                176619,,,                  3465,,                              0,                  3465,                180084,,                 30536,                149548,                149548,,,,,                 -1669,                147879,,                150235,                   -687,,                148573,                   -694,,                              2.36,                              2.36,,                              2.35,                              2.35,                 -1669,,
3356,2013年04月01日至2013年06月30日,,                593511,,                260245,                333266,                333266,,,                 56004,,                 31060,,                 72907,                159971,                173295,,,                  2955,,                 10158,                 13113,                186408,,                 30152,                156256,                156256,,,,,                    389,                156645,,                157472,                 -1216,,                157861,                 -1216,,                              2.48,                              2.48,,                              2.45,                              2.45,                    389,,
3356,2013年01月01日至2013年12月31日,,              2257972,,              1016519,              1241453,              1241453,,,                211899,,                112003,,                260801,                584703,                656750,,,                 12421,,                 32064,                 44485,                701235,,                122420,                578815,                578815,,,,,                   -256,                578559,,                582189,                 -3374,,                581943,                 -3384,,                              9.15,                              9.15,,                              9.10,                              9.10,                  1425,                 -2025,                   -344
3356,2013年01月01日至2013年09月30日,,              1698044,,                761273,                936771,                936771,,,                153889,,                 82099,,                193445,                429433,                507338,,,                  8884,,                 21776,                 30660,                537998,,                 91683,                446315,                446315,,,,,                  1684,                447999,,                449131,                 -2816,,                450822,                 -2823,,                              6.42,                              6.42,,                              6.38,                              6.38,                  1684,,
3356,2013年01月01日至2013年06月30日,,              1091493,,                484167,                607326,                607326,,,                 97116,,                 53558,,                125933,                276607,                330719,,,                  5419,,                 21776,                 27195,                357914,,                 61147,                296767,                296767,,,,,                  3353,                300120,,                298896,                 -2129,,                302249,                 -2129,,                              4.27,                              4.27,,                              4.23,                              4.23,                  3353,,
3356,2013年01月01日至2013年03月31日,,                497982,,                223922,                274060,                274060,,,                 41112,,                 22498,,                 53026,                116636,                157424,,,                  2464,,                 11618,                 14082,                171506,,                 30995,                140511,                140511,,,,,                  2964,                143475,,                141424,                   -913,,                144388,                   -913,,                              2.22,                              2.22,,                              2.22,                              2.22,                  2964,,
3356,2012年07月01日至2012年09月30日,,                500568,,                206957,                293611,                293611,,,                 44264,,                 24227,,                 66925,                135416,                158195,,,                  2048,,                    133,                  2181,                160376,,                 28038,                132338,                132338,,,,,                 -1642,                130696,,                133254,                   -916,,                131612,                   -916,,                              2.09,                              2.09,,                              2.08,                              2.08,                 -1642,,
3356,2012年04月01日至2012年06月30日,,                500509,,                212750,                287759,                287759,,,                 36470,,                 30872,,                 64041,                131383,                156376,,,                  3381,,                 -9595,                 -6214,                150162,,                 27316,                122846,                122846,,,,,                    241,                123087,,                123916,                 -1070,,                124157,                 -1070,,                              1.95,                              1.95,,                              1.94,                              1.94,                    241,,
3356,2012年01月01日至2012年12月31日,,              2013969,,                862358,              1151611,              1151611,,,                176004,,                109644,,                243835,                529483,                622128,,,                 10965,,                -16913,                 -5948,                616180,,                114153,                502027,                502027,,,,,                 -7653,                494374,,                507467,                 -5440,,                499814,                 -5440,,                              7.98,                              7.98,,                              7.91,                              7.91,                 -7999,                    346,                              0
3356,2012年01月01日至2012年09月30日,,              1441244,,                612400,                828844,                828844,,,                128035,,                 70133,,                186601,                384769,                444075,,,                  8670,,                -14192,                 -5522,                438553,,                 83595,                354958,                354958,,,,,                 -6072,                348886,,                359417,                 -4459,,                353345,                 -4459,,                              5.65,                              5.65,,                              5.61,                              5.61,                 -6072,,
3356,2012年01月01日至2012年06月30日,,                940676,,                405443,                535233,                535233,,,                 72984,,                 56693,,                119676,                249353,                285880,,,                  6622,,                -14325,                 -7703,                278177,,                 55557,                222620,                222620,,,,,                 -4430,                218190,,                226163,                 -3543,,                221733,                 -3543,,                              3.56,                              3.56,,                              3.53,                              3.53,                 -4430,,
3356,2012年01月01日至2012年03月31日,,                440167,,                192693,                247474,                247474,,,                 36514,,                 25821,,                 55635,                117970,                129504,,,                  3241,,                 -4730,                 -1489,                128015,,                 28241,                 99774,                 99774,,,,,                 -4671,                 95103,,                102247,                 -2473,,                 97576,                 -2473,,                              1.77,                              1.77,,                              1.77,                              1.77,                 -4671,,
