證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2401,2015年第3季,,              2236883,,              1331619,                905264,                905264,,,                 91810,,                152193,,                381925,                625928,,                    177,                279513,,,                 39690,,               -513714,,                 10059,,                 17352,               -466731,               -187218,,                 24827,               -212045,,                              0,               -212045,,,                              0,                              0,,                109743,               -114826,,                 -2331,                 -7414,                 -7414,               -219459,,               -298415,                 86370,,               -316053,                 96594,,                             -0.51,                              0.00,                             -0.51,,                             -0.51,                              0.00,                             -0.51,,,,,
2401,2015年第2季,,              2312432,,              1385479,                926953,                926953,,,                 99819,,                163710,,                461381,                724910,,                   -860,                201183,,,                 19429,,                -19237,,                  8298,,                 -6036,                -14142,                187041,,                 25613,                161428,,                              0,                161428,,,                              0,                              0,,                -37093,               -127620,,                  3194,               -161519,               -161519,                    -91,,                 93530,                 67898,,                -65013,                 64922,,                              0.16,                              0.00,                              0.16,,                              0.16,                              0.00,                              0.16,,,,,
2401,2015年01月01日至2015年09月30日,,              6413118,,              3817204,              2595914,              2595914,,,                278173,,                468664,,              1467470,              2214307,,                   -682,                380925,,,                 74472,,                174098,,                 26249,,                 11027,                233348,                614273,,                 58895,                555378,,                -27845,                527533,,,                  1606,                  1606,,                 46480,               -234406,,                    266,               -187660,               -186054,                341479,,                353164,                174369,,                162782,                178697,,                              0.65,                             -0.05,                              0.60,,                              0.65,                             -0.05,                              0.60,,,,,
2401,2015年01月01日至2015年06月30日,,              4176235,,              2485585,              1690650,              1690650,,,                186363,,                316471,,              1085545,              1588379,,                   -859,                101412,,,                 34782,,                687812,,                 16190,,                 -6325,                700079,                801491,,                 34068,                767423,,                -27845,                739578,,,                  1606,                  1606,,                -63263,               -119580,,                  2597,               -180246,               -178640,                560938,,                651579,                 87999,,                478835,                 82103,,                              1.15,                             -0.04,                              1.11,,                              1.15,                             -0.04,                              1.11,,,,,
2401,2015年01月01日至2015年03月31日,,              1863803,,              1100106,                763697,                763697,,,                 86544,,                152761,,                624164,                863469,,                      1,                -99771,,,                 15353,,                707049,,                  7892,,                   -289,                714221,                614450,,                  8455,                605995,,                -27845,                578150,,,                  1606,                  1606,,                -26170,                  8040,,                   -597,                -18727,                -17121,                561029,,                558049,                 20101,,                543848,                 17181,,                              0.95,,                              0.95,,                              1.00,,                              1.00,,,,,
2401,2014年第3季,,              2210440,,              1273581,                936859,                936859,,,                105648,,                138582,,                482844,                727074,,                    -28,                209757,,,                 49970,,                 78549,,                  8819,,                -15792,                103908,                313665,,                 18663,                295002,,                -88025,                206977,,,                              0,                              0,,                 76638,                -82587,,                  2773,                 -3176,                 -3176,                203801,,                163073,                 43904,,                154146,                 49655,,                              0.43,                             -0.15,                              0.28,,                              0.43,                             -0.15,                              0.28,,,,,
2401,2014年第2季,,              2241849,,              1306770,                935079,                935079,,,                107228,,                132852,,                471003,                711083,,                     -7,                223989,,,                 22206,,                 83541,,                  9833,,                 14702,                110616,                334605,,                 15464,                319141,,                -66446,                252695,,,                              0,                              0,,                -48366,               -151667,,                     68,               -199965,               -199965,                 52730,,                200339,                 52356,,                  4476,                 48254,,                              0.45,                             -0.11,                              0.34,,                              0.45,                             -0.11,                              0.34,,,,,
2401,2014年度,,              8709939,,              5164262,              3545677,              3545677,,,                418855,,                575418,,              2331300,              3325573,,                   -234,                219870,,,                130951,,                277909,,                 34825,,                 16659,                390694,                610564,,                 56614,                553950,,,                553950,,,,,,,,,,,                125036,                678986,,                422681,                131269,,                536639,                142347,,                              0.72,,                              0.72,,                              0.72,,                              0.72,                102578,                  7497,                  8849,,                  6112
2401,2014年01月01日至2014年09月30日,,              5912643,,              3434526,              2478117,              2478117,,,                303823,,                387643,,              1365837,              2057303,,                    -40,                420774,,,                 88560,,                221017,,                 26152,,                 36908,                320333,                741107,,                 39537,                701570,,               -241508,                460062,,,                              0,                              0,,                 11898,                 12476,,                  2847,                 27221,                 27221,                487283,,                371872,                 88190,,                397967,                 89316,,                              1.04,                             -0.41,                              0.63,,                              1.04,                             -0.41,                              0.63,,,,,
2401,2014年01月01日至2014年06月30日,,              3702203,,              2160945,              1541258,              1541258,,,                198175,,                249061,,                882993,              1330229,,                    -12,                211017,,,                 38590,,                142468,,                 17333,,                 52700,                216425,                427442,,                 20874,                406568,,               -153483,                253085,,,                              0,                              0,,                -64740,                 95063,,                     74,                 30397,                 30397,                283482,,                208799,                 44286,,                243821,                 39661,,                              0.62,                             -0.27,                              0.35,,                              0.62,                             -0.27,                              0.35,,,,,
