證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 處分投資利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 生物資產當期公允價值減出售成本之變動之利益
1735,2015年第3季,,                748376,,                605012,                143364,                143364,,,                 35644,,                 53131,,                 25521,                114296,                 29068,,,,                  1127,                  8627,                  9754,,                 10629,                    682,                              0,                  9947,,                  4411,                  4411,                 15290,                 44358,,                 15420,                 28938,                 28938,,,                 32387,                  6455,                 25932,                 25932,                 54870,,                 28938,                              0,,                 54870,                              0,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,
1735,2015年第2季,,                954462,,                753669,                200793,                200793,,,                 48271,,                 62297,,                 19193,                129761,                 71032,,,,                  1038,                  3233,                  4271,,,                    787,                  3812,                -10122,,                  5333,                  5333,                -11184,                 59848,,                 22829,                 37019,                 37019,,,                -11605,                 -2707,                 -8898,                 -8898,                 28121,,                 36239,                    780,,                 28605,                   -484,,                              0.36,                              0.36,,                              0.36,                              0.36,                  5523,,,,,
1735,2015年01月01日至2015年09月30日,,              2584000,,              2082157,                501843,                501843,,,                128840,,                173961,,                 61926,                364727,                137116,,,,                  3816,                 13599,                 17415,,                  2195,                  2464,                  3812,                 -4081,,                 20048,                 20048,                 -6714,                130402,,                 45930,                 84472,                 84472,,,                 13999,                  2696,                 11303,                 11303,                 95775,,                 88760,                 -4288,,                101921,                 -6146,,                              0.89,                              0.89,,                              0.89,                              0.89,,,,,,
1735,2015年01月01日至2015年06月30日,,              1835624,,              1477145,                358479,                358479,,,                 93196,,                120830,,                 36405,                250431,                108048,,,,                  2689,                  4972,                  7661,,,                  1782,                  3812,                -14028,,                 15637,                 15637,                -22004,                 86044,,                 30510,                 55534,                 55534,,,                -18388,                 -3759,                -14629,                -14629,                 40905,,                 59822,                 -4288,,                 47051,                 -6146,,                              0.60,                              0.60,,                              0.60,                              0.60,                  8434,,,,,
1735,2015年01月01日至2015年03月31日,,                881162,,                723476,                157686,                157686,,,                 44925,,                 58533,,                 17212,                120670,                 37016,,,,                  1651,                  1739,                  3390,,,                    995,,                 -3906,,                 10304,                 10304,                -10820,                 26196,,                  7681,                 18515,                 18515,,,                 -6783,                 -1052,                 -5731,                 -5731,                 12784,,                 23583,                 -5068,,                 18446,                 -5662,,                              0.24,                              0.24,,                              0.24,                              0.24,                  2911,,,,,
1735,2014年第3季,,              1110236,,                970654,                139582,                139582,,,                 46536,,                 58654,,                 18575,                123765,                 15817,,,,                  1334,                  3930,                  5264,,                 14622,                    773,                    -25,                 13874,,                  9663,                  9663,                  9475,                 25292,,                  9095,                 16197,                 16197,,,                 12450,                  1757,                 10693,                 10693,                 26890,,                 20885,                 -4688,,                 29875,                 -2985,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,
1735,2014年第2季,,              1238441,,              1086262,                152179,                152179,,,                 48485,,                 56758,,                 18073,                123316,                 28863,,,,                  1117,                  2364,                  3481,,,                  1347,                              0,                 -9309,,                  9964,                  9964,                -15792,                 13071,,                  9498,                  3573,                  3573,,,                -11701,                 -2433,                 -9268,                 -9268,                 -5695,,                  5649,                 -2076,,                 -2308,                 -3387,,                              0.06,                              0.06,,                              0.06,                              0.06,                  7962,,,,,
1735,2014年度,,              4492846,,              3909192,                583654,                583654,,,                197734,,                208739,,                 71279,                477752,                105902,,,,                  4204,                 10107,                 14311,,                 13031,                  5074,,                  7982,,                 39623,                 39623,                -17330,                 88572,,                 31792,                 56780,                 56780,,,,,,                 26492,                 83272,,                 74293,                -17513,,                 98551,                -15279,,                              0.75,                              0.75,,                              0.75,                              0.75,,                     25,                 32363,                   -901,                  4970,
1735,2014年01月01日至2014年09月30日,,              3352658,,              2943828,                408830,                408830,,,                140916,,                160210,,                 52250,                353376,                 55454,,,,                  3207,                  9884,                 13091,,                  1538,                  3046,                    -25,                 -1483,,                 31973,                 31973,                -20365,                 35089,,                 22898,                 12191,                 12191,,,                  9132,                    793,                  8339,                  8339,                 20530,,                 24888,                -12697,,                 33038,                -12508,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,,
1735,2014年01月01日至2014年06月30日,,              2242422,,              1973174,                269248,                269248,,,                 94380,,                101556,,                 33675,                229611,                 39637,,,,                  1873,                  5954,                  7827,,,                  2273,                              0,                -15357,,                 22310,                 22310,                -29840,                  9797,,                 13803,                 -4006,                 -4006,,,                 -3318,                   -964,                 -2354,                 -2354,                 -6360,,                  4003,                 -8009,,                  3163,                 -9523,,                              0.04,                              0.04,,                              0.04,                              0.04,                 13084,,,,,
1735,2014年01月01日至2014年03月31日,,              1003981,,                886912,                117069,                117069,,,                 45895,,                 44798,,                 15602,                106295,                 10774,,,,                    756,                  3590,                  4346,,,                    926,,                 -6048,,                 12346,                 12346,                -14048,                 -3274,,                  4305,                 -7579,                 -7579,,,                  8383,                  1469,                  6914,                  6914,                   -665,,                 -1646,                 -5933,,                  5471,                 -6136,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,                  5122,,,,,
1735,2013年第3季,,              1229291,,              1068355,                160936,                160936,,,                 46696,,                 46344,,                 16495,                109535,                 51401,,,,                    312,                  4187,                  4499,,                 -1737,                 11178,,                -12915,,                  9641,                  9641,                -18057,                 33344,,                 13321,                 20023,                 20023,,,,,,                 -4802,                 15221,,                 15051,                  4972,,                 11245,                  3976,,                              0.15,                              0.15,,                              0.15,                              0.15,,,                 -5580,,                   -778,
1735,2013年第2季,,              1209788,,              1063858,                145930,                145930,,,                 41146,,                 58199,,                 15253,                114598,                 31332,,,,                  1969,                  9115,                 11084,,                  8818,                  6032,,                  2786,,                 10676,                 10676,                  3194,                 34526,,                 11014,                 23512,                 23512,,,,,,                  4167,                 27679,,                 23945,                   -433,,                 26592,                  1087,,                              0.24,                              0.24,,                              0.24,                              0.24,,,                  4709,,                    542,
1735,2013年度,,              4726442,,              4162125,                564317,                564317,,,                182391,,                196075,,                 62630,                441096,                123221,,,,                  3718,                  9798,                 13516,,                 27916,                 23298,,                  4699,,                 45637,                 45637,                -27422,                 95799,,                 38477,                 57322,                 57322,,,,,,                 12584,                 69906,,                 66949,                 -9627,,                 73334,                 -3428,,                              0.69,                              0.69,,                              0.68,                              0.68,,                     81,                 16155,                   -214,                  3357,
1735,2013年07月01日至2013年09月30日,,              1229291,,              1068355,                160936,                160936,,,                 46696,,                 46344,,                 16495,                109535,                 51401,,,,                    312,                  4187,                  4499,,                 -1737,                 11178,,                -12915,,                  9641,                  9641,                -18057,                 33344,,                 13321,                 20023,                 20023,,,,,,                 -4802,                 15221,,                 15051,                  4972,,                 11245,                  3976,,                              0.15,                              0.15,,                              0.15,                              0.15,,                              0,                 -5580,,                   -778,
