證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 國外營運機構淨投資避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
4930,2015年第3季,,              4011129,,              3480171,                530958,                530958,,,                201286,,                198401,,                104171,                503858,                 27100,,,                 36747,,                 -4781,,                 10496,,                -11586,                  9884,                 36984,,                 11333,                 25651,                 25651,,,                230381,                 -7088,,                    447,                 30395,                193345,                193345,                218996,,                    -17,                 25668,,                141669,                 77327,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,
4930,2015年第2季,,              3123763,,              2681727,                442036,                442036,,,                187248,,                190892,,                 97378,                475518,                -33482,,,                 41428,,                 24777,,                  9501,,                -15430,                 41274,                  7792,,                 53343,                -45551,                -45551,,,                -60225,                  7170,,                    -44,                 -6931,                -46168,                -46168,                -91719,,                -55453,                  9902,,                -82157,                 -9562,,                             -0.41,                             -0.41,,                             -0.41,                             -0.41,,,,,,
4930,2015年01月01日至2015年09月30日,,             10429712,,              9042980,              1386732,              1386732,,,                577846,,                569763,,                292404,              1440013,                -53281,,,                113715,,                 74846,,                 27658,,                -34080,                126823,                 73542,,                 65046,                  8496,                  8496,,,                108004,                  2334,,                    291,                 15382,                 95247,                 95247,                103743,,                -55229,                 63725,,                 22450,                 81293,,                             -0.41,                             -0.41,,                             -0.41,                             -0.41,,,,,,
4930,2015年01月01日至2015年06月30日,,              6418583,,              5562809,                855774,                855774,,,                376560,,                371362,,                188233,                936155,                -80381,,,                 76968,,                 79627,,                 17162,,                -22494,                116939,                 36558,,                 53713,                -17155,                -17155,,,               -122377,                  9422,,                   -156,                -15013,                -98098,                -98098,               -115253,,                -55212,                 38057,,               -119219,                  3966,,                             -0.41,                             -0.41,,                             -0.41,                             -0.41,,,,,,
4930,2015年01月01日至2015年03月31日,,              3294820,,              2881082,                413738,                413738,,,                189312,,                180470,,                 90855,                460637,                -46899,,,                 35540,,                 54850,,                  7661,,                 -7064,                 75665,                 28766,,                    370,                 28396,                 28396,,,                -62152,                  2252,,                   -112,                 -8082,                -51930,                -51930,                -23534,,                    241,                 28155,,                -37062,                 13528,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,
4930,2014年第3季,,              3842586,,              3307615,                534971,                534971,,,                198736,,                177091,,                 89750,                465577,                 69394,,,                 81631,,                 45314,,                 22392,,                 -6965,                 97588,                166982,,                 25058,                141924,                141924,,,                 98774,                              0,,                     87,                 11991,                 86870,                 86870,                228794,,                 65918,                 76006,,                124459,                104335,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,
4930,2014年第2季,,              3186869,,              2740938,                445931,                445931,,,                177830,,                177004,,                 82587,                437421,                  8510,,,                 85157,,                 -5091,,                 21422,,                 -4240,                 54404,                 62914,,                 33093,                 29821,                 29821,,,               -127408,                              0,,                              0,                -14079,               -113329,               -113329,                -83508,,                  5760,                 24061,,                -62978,                -20530,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,
4930,2014年度,,             13666409,,             11801231,              1865178,              1865178,,,                738373,,                684984,,                330780,              1754137,                111041,,,                311991,,                766046,,                 69054,,                -24679,                984304,              1095345,,                 69448,              1025897,              1025897,,,,,,,,,                295025,              1320922,,                854939,                170958,,              1058258,                262664,,                              3.68,                              3.68,,                              3.67,                              3.67,                337362,                 -1224,                    369,,                    419,                 41901
4930,2014年01月01日至2014年09月30日,,             10065068,,              8681223,              1383845,              1383845,,,                542009,,                517567,,                239738,              1299314,                 84531,,,                272133,,                -45092,,                 55958,,                -13899,                157184,                241715,,                 51276,                190439,                190439,,,                 81181,                              0,,                     87,                 11145,                 70123,                 70123,                260562,,                 57791,                132648,,                112204,                148358,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,
4930,2014年01月01日至2014年06月30日,,              6222482,,              5373608,                848874,                848874,,,                343273,,                340476,,                149988,                833737,                 15137,,,                190502,,                -90406,,                 33566,,                 -6934,                 59596,                 74733,,                 26218,                 48515,                 48515,,,                -17593,                              0,,                              0,                   -846,                -16747,                -16747,                 31768,,                 -8127,                 56642,,                -12255,                 44023,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,,,,,
