證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
3038,2015年第3季,,                888001,,                722987,                165014,                165014,,,                 61120,,                 39327,,                 28125,                128572,,                    273,                 36715,,,                 14756,,                 77175,,                  4054,                 87877,                124592,,                 20936,                103656,                103656,,,                  9770,                -39496,                -29726,                -29726,                 73930,,                103065,                    591,,                 73442,                    488,,                              0.48,,                              0.47,,,,,,
3038,2015年第2季,,                906329,,                733090,                173239,                173239,,,                 51547,,                 37806,,                 22380,                111733,,                    273,                 61779,,,                  1582,,                 -2610,,                  4404,                 -5432,                 56347,,                 13492,                 42855,                 42855,,,                 -2518,                -13495,                -16013,                -16013,                 26842,,                 42613,                    242,,                 26956,                   -114,,                              0.20,,                              0.20,,                906329,                              0,,,
3038,2015年01月01日至2015年09月30日,,              2692027,,              2170647,                521380,                521380,,,                162994,,                113078,,                 75006,                351078,,                    820,                171122,,,                 17866,,                 76095,,                 12722,                 81239,                252361,,                 47829,                204532,                204532,,,                  4898,                -53436,                -48538,                -48538,                155994,,                204035,                    497,,                156046,                    -52,,                              0.94,,                              0.94,,,,,,
3038,2015年01月01日至2015年06月30日,,              1804026,,              1447660,                356366,                356366,,,                101874,,                 73751,,                 46881,                222506,,                    547,                134407,,,                  3110,,                 -1080,,                  8668,                 -6638,                127769,,                 26893,                100876,                100876,,,                 -4872,                -13940,                -18812,                -18812,                 82064,,                100970,                    -94,,                 82604,                   -540,,                              0.46,,                              0.46,,              1804026,                              0,,,
3038,2015年01月01日至2015年03月31日,,                897697,,                714570,                183127,                183127,,,                 50327,,                 35945,,                 24501,                110773,,                    274,                 72628,,,                  1528,,                  1530,,                  4264,                 -1206,                 71422,,                 13401,                 58021,                 58021,,,                 -2354,                   -445,                 -2799,                 -2799,                 55222,,                 58357,                   -336,,                 55648,                   -426,,                              0.27,,                              0.27,,                897697,,,,
3038,2014年第3季,,              1000580,,                853944,                146636,                146636,,,                 75195,,                 37367,,                 22220,                134782,,                    273,                 12127,,,                  8558,,                 33238,,                  5012,                 36784,                 48911,,                  7622,                 41289,                 41289,,,                  3161,                 -8617,                 -5456,                 -5456,                 35833,,                 41372,                    -83,,                 35787,                     46,,                              0.19,,                              0.19,,,,,,
3038,2014年第2季,,                994470,,                850232,                144238,                144238,,,                 45852,,                 33447,,                 21398,                100697,,                    273,                 43814,,,                  4188,,                 -4563,,                  4736,                 -5111,                 38703,,                  8258,                 30445,                 30445,,,                 -3628,                 11809,                  8181,                  8181,                 38626,,                 30445,                              0,,                 38712,                    -86,,                              0.14,,                              0.14,,                994470,                              0,,,
3038,2014年度,,              3919890,,              3352174,                567716,                567716,,,                227503,,                141804,,                 85101,                454408,,                  1094,                114402,,,                 18753,,                 99572,,                 19572,                 98753,                213155,,                 43162,                169993,                169993,,,,,,                  9283,                179276,,                170881,                   -888,,                180021,                   -745,,                              0.79,,                              0.79,,,,                  8448,                  4220,                 -3385
3038,2014年01月01日至2014年09月30日,,              3124390,,              2690499,                433891,                433891,,,                166849,,                105985,,                 64281,                337115,,                    820,                 97596,,,                 15002,,                 45296,,                 14995,                 45303,                142899,,                 26785,                116114,                116114,,,                  1292,                 10229,                 11521,                 11521,                127635,,                116480,                   -366,,                127970,                   -335,,                              0.54,,                              0.54,,,,,,
3038,2014年01月01日至2014年06月30日,,              2123810,,              1836555,                287255,                287255,,,                 91654,,                 68618,,                 42061,                202333,,                    547,                 85469,,,                  6444,,                 12058,,                  9983,                  8519,                 93988,,                 19163,                 74825,                 74825,,,                 -1869,                 18846,                 16977,                 16977,                 91802,,                 75108,                   -283,,                 92183,                   -381,,                              0.35,,                              0.35,,              2123810,                              0,,,
3038,2014年01月01日至2014年03月31日,,              1129340,,                986323,                143017,                143017,,,                 45802,,                 35171,,                 20663,                101636,,                    274,                 41655,,,                  2256,,                 16621,,                  5247,                 13630,                 55285,,                 10905,                 44380,                 44380,,,                  1759,                  7037,                  8796,                  8796,                 53176,,                 44663,                   -283,,                 53471,                   -295,,                              0.21,,                              0.21,,              1129340,,,,
3038,2013年第3季,,                891866,,                768524,                123342,                123342,,,                 52832,,                 37220,,                 21610,                111662,,                    311,                 11991,,,                  5137,,                 -8075,,                  4938,                 -7876,                  4115,,                  3290,                    825,                    825,,,,,,                  1292,                  2117,,                  1231,                   -406,,                  2560,                   -443,,                              0.01,,                              0.01,,                891866,,                 -1948,                  3240,
3038,2013年第2季,,                879084,,                752484,                126600,                126600,,,                 51493,,                 35204,,                 23828,                110525,,                    273,                 16348,,,                  1125,,                 13732,,                  4496,                 10361,                 26709,,                  7282,                 19427,                 19427,,,,,,                -12569,                  6858,,                 19463,                    -36,,                  6792,                     66,,                              0.09,,                              0.09,,                879084,,                  2690,                -15259,
3038,2013年度,,              3635599,,              3177366,                458233,                458233,,,                196706,,                143000,,                 89196,                428902,,                  1131,                 30462,,,                 10758,,                 39149,,                 19222,                 30685,                 61147,,                 11340,                 49807,                 49807,,,,,,                  4617,                 54424,,                 50694,                   -887,,                 55017,                   -593,,                              0.23,,                              0.23,,,,                  7621,                 -2379,                   -625
3038,2013年07月01日至2013年09月30日,,                891866,,                768524,                123342,                123342,,,                 52832,,                 37220,,                 21610,                111662,,                    311,                 11991,,,                  5137,,                 -8075,,                  4938,                 -7876,                  4115,,                  3290,                    825,                    825,,,,,,                  1292,                  2117,,                  1231,                   -406,,                  2560,                   -443,,                              0.01,,                              0.01,,                891866,,                 -1948,                  3240,
3038,2013年04月01日至2013年06月30日,,                879084,,                752484,                126600,                126600,,,                 51493,,                 35204,,                 23828,                110525,,                    273,                 16348,,,                  1125,,                 13732,,                  4496,                 10361,                 26709,,                  7282,                 19427,                 19427,,,,,,                -12569,                  6858,,                 19463,                    -36,,                  6792,                     66,,                              0.09,,                              0.09,,                879084,,                  2690,                -15259,
3038,2013年01月01日至2013年12月31日,,              3635599,,              3177366,                458233,                458233,,,                196706,,                143000,,                 89196,                428902,,                  1131,                 30462,,,                 10758,,                 39149,,                 19222,                 30685,                 61147,,                 11340,                 49807,                 49807,,,,,,                  4617,                 54424,,                 50694,                   -887,,                 55017,                   -593,,                              0.23,,                              0.23,,,,                  7621,                 -2379,                   -625
3038,2013年01月01日至2013年09月30日,,              2542934,,              2197660,                345274,                345274,,,                148274,,                105317,,                 67446,                321037,,                    858,                 25095,,,                  6881,,                 24332,,                 14142,                 17071,                 42166,,                 17359,                 24807,                 24807,,,,,,                 -3220,                 21587,,                 25437,                   -630,,                 22015,                   -428,,                              0.12,,                              0.12,,              2542934,,                  5285,                 -8505,
3038,2013年01月01日至2013年06月30日,,              1651068,,              1429136,                221932,                221932,,,                 95442,,                 68097,,                 45836,                209375,,                    547,                 13104,,,                  1744,,                 32407,,                  9204,                 24947,                 38051,,                 14069,                 23982,                 23982,,,,,,                 -4512,                 19470,,                 24206,                   -224,,                 19455,                     15,,                              0.11,,                              0.11,,              1651068,,                  7233,                -11745,
3038,2013年01月01日至2013年03月31日,,                771984,,                676652,                 95332,                 95332,,,                 43949,,                 32893,,                 22008,                 98850,,                    274,                 -3244,,,                    619,,                 18675,,                  4708,                 14586,                 11342,,                  6787,                  4555,                  4555,,,,,,                  8057,                 12612,,                  4743,                   -188,,                 12663,                    -51,,                              0.02,,                              0.02,,                771984,,                  4543,                  3514,
3038,2012年07月01日至2012年09月30日,,              1059978,,                927965,                132013,                132013,,,                 45787,,                 37935,,                 23425,                107147,,                    274,                 25140,,,                  2848,,                 -9964,,                  6558,                -13674,                 11466,,                  5377,                  6089,                  6089,,,,,,                 -4576,                  1513,,                  6011,                     78,,                  1442,                     71,,                              0.03,,                              0.03,,              1059978,,                 -1596,                 -2980,
