證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
6269,2013年04月01日至2013年06月30日,,              2189224,,              1652556,                536668,                536668,,,                 24368,,                 84079,,                187032,                295479,                241189,,,                 51176,,                 46805,,                 10688,                 87293,                328482,,                127319,                201163,                201163,,,,,                 37867,                239030,,                201163,,                239030,,                              1.06,                              1.06,,                              1.04,                              1.04,                 37867
6269,2013年01月01日至2013年12月31日,,             13605211,,             10377682,              3227529,              3227529,,,                126252,,                445759,,                606582,              1178593,              2048936,,,                240577,,                293774,,                 70852,                463499,              2512435,,                584637,              1927798,              1927798,,,,,                120582,              2048380,,              1927798,,              2048380,,                              9.64,                              9.64,,                              8.22,                              8.22,                120582
6269,2013年01月01日至2013年09月30日,,              8523773,,              6395284,              2128489,              2128489,,,                 81961,,                289829,,                457165,                828955,              1299534,,,                201959,,                 46168,,                 44565,                203562,              1503096,,                356888,              1146208,              1146208,,,,,                 71239,              1217447,,              1146208,,              1217447,,                              5.21,                              5.21,,                              4.89,                              4.89,                 71239
6269,2013年01月01日至2013年06月30日,,              4541889,,              3413185,              1128704,              1128704,,,                 46731,,                173421,,                306631,                526783,                601921,,,                117888,,                100178,,                 19999,                198067,                799988,,                216320,                583668,                583668,,,,,                115100,                698768,,                583668,,                698768,,                              2.93,                              2.93,,                              2.82,                              2.82,                115100
6269,2013年01月01日至2013年03月31日,,              2352665,,              1760629,                592036,                592036,,,                 22363,,                 89342,,                119599,                231304,                360732,,,                 66712,,                 53373,,                  9311,                110774,                471506,,                 89001,                382505,                382505,,,,,                 77233,                459738,,                382505,,                459738,,                              1.92,                              1.92,,                              1.82,                              1.82,                 77233
6269,2012年07月01日至2012年09月30日,,              2725606,,              1938664,                786942,                786942,,,                 31721,,                 95263,,                112753,                239737,                547205,,,                 50932,,               -142867,,                  8043,                -99978,                447227,,                101396,                345831,                345831,,,,,                -42407,                303424,,                345831,,                303424,,                              1.76,                              1.76,,                              1.71,                              1.71,                -42407
6269,2012年04月01日至2012年06月30日,,              1799680,,              1403232,                396448,                396448,,,                 19050,,                104594,,                114465,                238109,                158339,,,                140468,,                 35333,,                  7169,                168632,                326971,,                 90031,                236940,                236940,,,,,                  7753,                244693,,                236940,,                244693,,                              1.28,                              1.28,,                              1.25,                              1.25,                  7753
6269,2012年01月01日至2012年12月31日,,             11078968,,              8077337,              3001631,              3001631,,,                116559,,                443581,,                433442,                993582,              2008049,,,                316003,,                -56543,,                 28026,                231434,              2239483,,                533071,              1706412,              1706412,,,,,                -75732,              1630680,,              1706412,,              1630680,,                              8.72,                              8.72,,                              8.37,                              8.37,                -75732
6269,2012年01月01日至2012年09月30日,,              7122575,,              5195247,              1927328,              1927328,,,                 77881,,                314309,,                315576,                707766,              1219562,,,                242550,,               -162278,,                 18973,                 61299,              1280861,,                289096,                991765,                991765,,,,,                -85075,                906690,,                991765,,                906690,,                              5.09,                              5.09,,                              4.80,                              4.80,                -85075
6269,2012年01月01日至2012年06月30日,,              4396969,,              3256583,              1140386,              1140386,,,                 46160,,                219046,,                202823,                468029,                672357,,,                191618,,                -19411,,                 10930,                161277,                833634,,                187700,                645934,                645934,,,,,                -42668,                603266,,                645934,,                603266,,                              3.50,                              3.50,,                              3.43,                              3.43,                -42668
6269,2012年01月01日至2012年03月31日,,              2597289,,              1853351,                743938,                743938,,,                 27110,,                114452,,                 88358,                229920,                514018,,,                 51150,,                -54744,,                  3761,                 -7355,                506663,,                 97669,                408994,                408994,,,,,                -50421,                358573,,                408994,,                358573,,                              2.23,                              2.23,,                              2.19,                              2.19,                -50421
