證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產淨利益（損失）,　　　　 無活絡市場之債務商品投資淨利益（損失）,　　　　　 無活絡市場之債務商品投資淨利益（損失）,　　　　 出售承受擔保品淨利益（損失）,　　　　　 出售承受擔保品淨利益（損失）,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主[duplicate]61,　　 非控制股權,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　 母公司業主[duplicate]60,　　　　 手續費及佣金收入,　　　　　 手續費及佣金收入合計,　　　　 手續費費用及佣金支出,　　　　　 手續費費用及佣金支出合計,　　 母公司業主[duplicate]63,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　　 資產減損損失（迴轉利益）,　　 母公司業主[duplicate]66,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）[duplicate]72,　　 母公司業主[duplicate]65
2888,2015年第3季,,,             20433077,              1562390,             18870687,,,               -465230,,             24850016,,            -50161415,,                985868,,             -3390299,,             53328936,,                              0,,                -31758,,,                 53892,,                155707,,                              0,,                205461,                415060,             25531178,             44401865,,                374925,,             41094098,,              3600621,                478815,              1995071,              6074507,             -3141665,              1021882,             -2119783,             -2119783,,,                179756,            -11862051,                -17587,              1508014,            -10191868,            -10191868,            -12311651,,             -2219266,                 99483,,            -12470229,                158578,,                             -0.22,,                             -0.22,,,,,,,,,,,,,,,,,,,,
2888,2015年第2季,,,             19316135,              1570025,             17746110,,,               -610907,,             34111069,,              6759933,,                981249,,              3756001,,             -8989187,,                 -5293,,                -68600,,,                 48394,,              1087198,,                              0,,                362487,              1498079,             37432344,             55178454,,                362854,,             44990118,,              3552984,                498088,              2284206,              6335278,              3490204,               -496230,              2993974,              2993974,,,                -23194,             -6269908,                 13712,                760591,             -5518799,             -5518799,             -2524825,,              2895918,                 98056,,             -2530693,                  5868,,                              0.28,,                              0.26,,,,,,,,,,,,,,,,,,,,
2888,2015年第1季,,,             18809967,              1563519,             17246448,,,             -1218985,,             35798935,,              6096124,,              1700378,,              1909597,,            -10242404,,                246818,,                -55913,,,                 20472,,              2569992,,                              0,,                 73505,              2663969,             36898519,             54144967,,                338405,,             44083588,,              3155607,                510748,              1793324,              5459679,              4263295,               -665377,              3597918,              3597918,,,                -12056,              4440246,                 11729,               -520968,              3918951,              3918951,              7516869,,              3358769,                239149,,              7416412,                100457,,                              0.34,,                              0.31,,,,,,,,,,,,,,,,,,,,
2888,2015年01月01日至2015年09月30日,,,             58559179,              4695934,             53863245,,,             -2295122,,             94760020,,            -37305358,,              3667495,,              2275299,,             34097345,,                241525,,               -156271,,,                122758,,              3812897,,                              0,,                641453,              4577108,             99862041,            153725286,,              1076184,,            130167804,,             10308828,              1487651,              6072985,             17869464,              4611834,               -139725,              4472109,              4472109,,,                144506,            -13691713,                  7854,              1747637,            -11791716,            -11791716,             -7319607,,              4035421,                436688,,             -7584510,                264903,,                              0.40,,                              0.37,,,,,,,,,,,,,,,,,,,,
2888,2015年01月01日至2015年06月30日,,,             38126102,              3133544,             34992558,,,             -1829892,,             69910004,,             12856057,,              2681627,,              5665598,,            -19231591,,                241525,,               -124513,,,                 68866,,              3657190,,                              0,,                435992,              4162048,             74330863,            109323421,,                701259,,             89073706,,              6708207,              1008836,              4077914,             11794957,              7753499,             -1161607,              6591892,              6591892,,,                -35250,             -1829662,                 25441,                239623,             -1599848,             -1599848,              4992044,,              6254687,                337205,,              4885719,                106325,,                              0.61,,                              0.56,,,,,,,,,,,,,,,,,,,,
2888,2014年第3季,,,             17080582,              1537420,             15543162,,,               -959985,,             34995292,,            -10239503,,                959599,,              7267340,,              9676417,,                 48620,,                -48330,,,                 68248,,              1741129,,                              0,,                918795,              2728172,             44427622,             59970784,,                611780,,             47358126,,              3889819,                470338,              2523188,              6883345,              5117533,               -839507,              4278026,              4278026,,,                 36793,             -9485363,                -27282,              1106464,             -8369388,             -8369388,             -4091362,,              4205482,                 72544,,             -4254323,                162961,,                              0.41,,                              0.39,,,,,,,,,,,,,,,,,,,,
2888,2014年第2季,,,             16820863,              1497186,             15323677,,,               -531433,,             26339460,,              9609720,,                984296,,              4379523,,            -12734176,,                              0,,               -127733,,,                 27777,,              3654066,,                 21218,,                252949,              3956010,             31875667,             47199344,,                405457,,             38277137,,              3532838,                468677,              2152936,              6154451,              2362299,               -430175,              1932124,              1932124,,,                -28769,              5202688,                  1063,               -690521,              4484461,              4484461,              6416585,,              1521079,                411045,,              5930103,                486482,,                              0.15,,                              0.14,,,,,,,,,,,,,,,,,,,,
2888,2014年第1季,,,             16368681,              1460081,             14908600,,,                155156,,             19099008,,             -9425915,,                986973,,              2324603,,             12456513,,                 20081,,                 25314,,,                 -7475,,              1655527,,                  7592,,               -280737,              1374907,             27016640,             41925240,,                411071,,             34352861,,              3420961,                461967,              1555115,              5438043,              1723265,               -337562,              1385703,              1385703,,,                 17673,             -2038156,                191644,                277358,             -1551481,             -1551481,               -165778,,              1162872,                222831,,               -409641,                243863,,                              0.12,,                              0.11,,,,,,,,,,,,,,,,,,,,
2888,2014年度,,,             68733438,              6023659,             62709779,,,             -2587768,,             90603102,,            -31686395,,              3956382,,             12954142,,             39169373,,                -76958,,                107067,,,                 89200,,              8001183,,                 28810,,              1600432,              9719625,            122158570,            184868349,,              1906732,,            147888852,,             14867105,              1904285,              7936235,             24707625,,             -2443016,              7922124,              7922124,,,,,,,,,             11349987,,              6890355,              1031769,,,              1218406,,                              0.70,,                              0.65,             10365140,                155013,              5178678,             -1357740,                 -2267,               -545821,              3427863,             10131581,,,,,,,,,,,,
2888,2014年01月01日至2014年09月30日,,,             50270126,              4494687,             45775439,,,             -1336262,,             80433760,,            -10055698,,              2930868,,             13971466,,              9398754,,                 68701,,               -150749,,,                 88550,,              7050722,,                 28810,,                891007,              8059089,            103319929,            149095368,,              1428308,,            119988124,,             10843618,              1400982,              6231239,             18475839,              9203097,             -1607244,              7595853,              7595853,,,                 25697,             -6320831,                165425,                693301,             -5436408,             -5436408,              2159445,,              6889433,                706420,,              1266139,                893306,,                              0.67,,                              0.64,,,,,,,,,,,,,,,,,,,,
