證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 利息費用,　　　 處分投資利益,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3033,2015年第3季,,,,             10325479,             10325479,             10325479,             10325479,,,              9655485,              9655485,              9655485,                669994,                669994,,,                341192,,                106703,                447895,                222099,,,                 12852,                 12852,,                              0,                              0,                     75,                 41972,                  6458,                -48505,,                 30929,                -66582,                155517,,                 30038,                125479,                125479,,,                150662,                   -209,                 25612,                124841,                124841,                250320,,                125479,,                250320,,                              0.45,                              0.45,,                              0.44,                              0.44,,,,,,,,,
3033,2015年第2季,,,,              9105758,              9105758,              9105758,              9105758,,,              8547665,              8547665,              8547665,                558093,                558093,,,                306385,,                104534,                410919,                147174,,,                  2946,                  2946,,                 19130,                  2244,                      3,,                              0,                 21371,,                 26608,                 -2291,                144883,,                 35480,                109403,                109403,,,                -24825,                    -14,                 -4219,                -20620,                -20620,                 88783,,                109403,,                 88783,,                              0.40,                              0.40,,                              0.38,                              0.38,,,,,,,,,
3033,2015年01月01日至2015年09月30日,,,,             28419873,             28419873,             28419873,             28419873,,,             26603277,             26603277,             26603277,              1816596,              1816596,,,                949310,,                313118,              1262428,                554168,,,                 18431,                 18431,,                              0,                              0,                     81,                 16754,                  6916,                -23751,,                 89306,                -94626,                459542,,                105437,                354105,                354105,,,                 91266,                      3,                 15515,                 75754,                 75754,                429859,,                354105,,                429859,,                              1.28,                              1.28,,                              1.24,                              1.24,,,,,,,,,
3033,2015年01月01日至2015年06月30日,,,,             18094394,             18094394,             18094394,             18094394,,,             16947792,             16947792,             16947792,              1146602,              1146602,,,                608118,,                206415,                814533,                332069,,,                  5579,                  5579,,                 25218,                              0,                      6,,                    458,                 24754,,                 58377,                -28044,                304025,,                 75399,                228626,                228626,,,                -59396,                    212,                -10097,                -49087,                -49087,                179539,,                228626,,                179539,,                              0.84,                              0.84,,                              0.80,                              0.80,,,,,,,,,
3033,2015年01月01日至2015年03月31日,,,,              8988636,              8988636,              8988636,              8988636,,,              8400127,              8400127,              8400127,                588509,                588509,,,                301733,,                101881,                403614,                184895,,,                  2633,                  2633,,                  6088,                 -2702,                      3,,,                  3383,,                 31769,                -25753,                159142,,                 39919,                119223,                119223,,,                -34571,                    226,                 -5878,                -28467,                -28467,                 90756,,                119223,,                 90756,,                              0.44,                              0.44,,                              0.42,                              0.42,                 31769,,,,,,,,
3033,2014年第3季,,,,             10156000,             10156000,             10156000,             10156000,,,              9531530,              9531530,              9531530,                624470,                624470,,,                316275,,                112687,                428962,                195508,,,                  3048,                  3048,,                  6680,                    184,                  4574,                              0,                              0,                  2290,,                 31834,                -26496,                169012,,                 36543,                132469,                132469,,,                 45827,                    781,                              0,                 46608,                 46608,                179077,,                132469,,                179077,,                              0.50,                              0.50,,                              0.47,                              0.47,,,,,,,,,
3033,2014年第2季,,,,             10022466,             10022466,             10022466,             10022466,,,              9393784,              9393784,              9393784,                628682,                628682,,,                307322,,                114031,                421353,                207329,,,                  1880,                  1880,,                  4365,                    457,                 -1989,,                              0,                  6811,,                 33902,                -25211,                182118,,                 40581,                141537,                141537,,,                -48603,                    -76,                              0,                -48679,                -48679,                 92858,,                141537,,                 92858,,                              0.55,                              0.55,,                              0.50,                              0.50,,,,,,,,,
3033,2014年度,,,,             39932743,             39932743,             39932743,             39932743,,,             37473423,             37473423,             37473423,              2459320,              2459320,,,              1247086,,                447198,              1694284,                765036,,,                 14147,                 14147,,                 14164,                  4804,                  7233,,,                   -265,,                122168,               -108286,                656750,,                150837,                505913,                505913,,,,,,,                121217,                627130,,                505913,,                627130,,                              1.94,                              1.94,,                              1.78,                              1.78,,                              0,,                 12000,                 12000,                147092,                    412,                 -1543,                 24744
3033,2014年01月01日至2014年09月30日,,,,             29852384,             29852384,             29852384,             29852384,,,             28021542,             28021542,             28021542,              1830842,              1830842,,,                912830,,                328117,              1240947,                589895,,,                  7388,                  7388,,                 11570,                  4613,                  7174,                              0,                              0,                  9009,,                 88302,                -71905,                517990,,                108884,                409106,                409106,,,                 44565,                    752,                              0,                 45317,                 45317,                454423,,                409106,,                454423,,                              1.58,                              1.58,,                              1.44,                              1.44,,,,,,,,,
3033,2014年01月01日至2014年06月30日,,,,             19696384,             19696384,             19696384,             19696384,,,             18490012,             18490012,             18490012,              1206372,              1206372,,,                596555,,                215430,                811985,                394387,,,                  4340,                  4340,,                  4890,                  4429,                  2600,,                              0,                  6719,,                 56468,                -45409,                348978,,                 72341,                276637,                276637,,,                 -1262,                    -29,                              0,                 -1291,                 -1291,                275346,,                276637,,                275346,,                              1.08,                              1.08,,                              0.97,                              0.97,,,,,,,,,
