證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 廉價購買利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資損失,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 按攤銷後成本衡量之金融資產利息收入,　　　　 無活絡市場債務工具投資利息收入,　　　　 持有至到期日金融資產利息收入,　　　　 其他利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 權利金收入,　　　 股利收入,　　　 外幣兌換利益,　　　 外幣兌換損失,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 停業單位損益,　　 停業單位損益合計,　　　 手續費收入,　　　　 手續費收入合計,　　　 違約金收入,　　　 歸墊收入,　　　 壞帳轉回利益,　　　 沖銷逾期應付款利益,　　　 賠償損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　　　 無活絡市場債券投資利息收入,　　　　 由按攤銷後成本衡量之金融資產產生之手續費收益,　　　　 非以透過損益按公允價值衡量之金融負債所產生之手續費收益,　　　　 由信託及受託活動產生之手續費收益,　　　　 其他手續費收入,　　　 處分不動產、廠房及設備利益,　　　 處分投資性不動產利益,　　　 處分無形資產利益,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 按攤銷後成本衡量之金融負債利益,　　　 當期原始認列生物資產之利益,　　　 生物資產當期公允價值減出售成本之變動之利益,　　　 公允價值調整利益－投資性不動產,　　　 不動產、廠房及設備重估價利益,　　　 減損迴轉利益,　　　　 金融資產減損迴轉利益,　　　　 待出售非流動資產減損迴轉利益,　　　　 不動產、廠房及設備減損迴轉利益,　　　　 投資性不動產減損迴轉利益,　　　　 無形資產減損迴轉利益,　　　　 生物資產減損迴轉利益,　　　　 探勘及評估資產減損迴轉利益,　　　　 其他減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 非以透過損益按公允價值衡量之金融負債所產生之手續費費損,　　　　 由攤銷後成本衡量之金融資產產生之手續費費損,　　　　 由信託及受託活動產生之手續費費損,　　　　 手續費支出合計,　　　 停工損失,　　　 虧損性合約損失,　　　 保證合約損失,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資性不動產損失,　　　 處分無形資產損失,　　　 按攤銷後成本衡量之金融負債損失,　　　 當期原始認列生物資產之損失,　　　 生物資產當期公允價值減出售成本之變動之損失,　　　 公允價值調整損失－投資性不動產,　　　 不動產、廠房及設備重估價損失,　　　 無形資產重估價損失,　　　　 金融資產減損損失,　　　　 待出售非流動資產減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 投資性不動產減損損失,　　　　 無形資產減損損失,　　　　 生物資產減損損失,　　　　 探勘及評估資產減損損失,　　　 除列按攤銷後成本衡量之金融資產之利益,　　　 除列按攤銷後成本衡量之金融資產之損失,　　　 金融資產重分類利益,　　　 金融資產重分類損失,　　　 避險工具之利益－公允價值避險,　　　 歸因於所規避風險之被避險項目之利益－公允價值避險,　　　 現金流量避險無效而認列於損益之利益,　　　 現金流量避險有效而自權益轉列之利益,　　　 國外營運機構淨投資避險無效而認列於損益之利益,　　　 負債性特別股股息,　　　 避險工具之損失－公允價值避險,　　　 歸因於所規避風險之被避險項目之損失－公允價值避險,　　　 現金流量避險無效而認列於損益之損失,　　　 現金流量避險有效自權益轉列之損失,　　　 國外營運機構淨投資避險無效而認列於損益之損失,　　　 採用權益法認列之關聯企業及合資損失之份額
6239,2015年第3季,,,             10756323,             10756323,,              8689987,              2066336,              2066336,,,                 74055,,                255330,,                296099,                625484,              1440852,,,                              0,                339936,                339936,,                              0,,                131298,                131298,               -131298,,                 56069,                 56069,,                 28163,                 28163,                180732,              1621584,,                266685,              1354899,              1354899,,,                124972,                -97058,,                              0,                 27914,                 27914,              1382813,,              1095871,                259028,,              1123785,                259028,,                              1.42,,                              1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2015年第2季,,,             10243698,             10243698,,              8327883,              1915815,              1915815,,,                 68014,,                230489,,                267331,                565834,              1349981,,,                              0,                 -8681,                 15425,,,,,,                -34068,,,                 48188,,,                 32156,                -34675,              1315306,,                128748,              1186558,              1186558,,,                -22353,                 71112,,                              0,                 48759,                 48759,              1235317,,                926638,                259920,,                975397,                259920,,                              1.20,,                              1.19,,                 18785,                              0,                              0,                              0,                  3695,                 22480,                  1626,                              0,                              0,                 78979,                113047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2015年01月01日至2015年09月30日,,,             30430433,             30430433,,             24774663,              5655770,              5655770,,,                205643,,                698390,,                803223,              1707256,              3948514,,,                              0,                311477,                311477,,                              0,,                118381,                118381,               -118381,,                151341,                151341,,                 93185,                 93185,                134940,              4083454,,                512698,              3570756,              3570756,,,                 89990,                -25531,,                              0,                 64459,                 64459,              3635215,,              2793868,                776888,,              2858327,                776888,,                              3.62,,                              3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2015年01月01日至2015年06月30日,,,             19674110,             19674110,,             16084676,              3589434,              3589434,,,                131588,,                443060,,                507124,              1081772,              2507662,,,                              0,                 12917,                 55656,,,,,,                -71198,,,                 95272,,,                 65022,                -45792,              2461870,,                246013,              2215857,              2215857,,,                -34982,                 71527,,                              0,                 36545,                 36545,              2252402,,              1697997,                517860,,              1734542,                517860,,                              2.21,,                              2.19,,                 32562,                              0,                              0,                              0,                  7039,                 39601,                  3138,                              0,                              0,                239836,                311034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2015年01月01日至2015年03月31日,,,              9430412,              9430412,,              7756793,              1673619,              1673619,,,                 63574,,                212571,,                239793,                515938,              1157681,,,,                 21598,                 40231,,,,,,                -37130,,                 47084,                 47084,,,                 32866,                -11117,              1146564,,                117265,              1029299,              1029299,,,                -12629,                    415,,                              0,                -12214,                -12214,              1017085,,                771359,                257940,,                759145,                257940,,                              1.01,,                              1.00,,,,,,,                 17121,                  1512,,,                160857,                197987,,                              0,,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2014年第3季,,,             10458972,             10458972,,              8572206,              1886766,              1886766,,,                 79203,,                283045,,                319895,                682143,              1204623,,,                110494,                118810,                229304,,                 20215,,                 22724,                 22724,                -42939,,                 45433,                 45433,,                 34366,                 34366,                175298,              1379921,,                100397,              1279524,              1279524,,,                 41830,                -63540,,                 -4701,                -26411,                -26411,              1253113,,                958408,                321116,,                931997,                321116,,                              1.25,,                              1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2014年第2季,,,             10580372,             10580372,,              8666156,              1914216,              1914216,,,                192082,,                171705,,                240190,                603977,              1310239,,,                              0,                 13339,                 41544,,,,,,                -21982,,,                 49483,,,                 29922,                      1,              1310240,,                 85783,              1224457,              1224457,,,                -26935,                 -1244,,                              0,                -28179,                -28179,              1196278,,                898516,                325941,,                870337,                325941,,                              1.18,,                              1.17,,                 23285,                              0,                              0,                              0,                  3755,                 27040,                  1165,                              0,                              0,                 59934,                 81916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2014年度,,,             40039445,             40039445,,             33381281,              6658164,              6658164,,,                395352,,                920196,,              1110545,              2426093,              4232071,,,                110494,                 87262,                197756,,,,,,                352127,,,                192667,,,                166531,                523747,              4755818,,                329134,              4426684,              4426684,,,,,,,,                 45588,              4472272,,              3239521,              1187163,,              3288469,              1183803,,                              4.24,,                              4.22,,,,,,,                              0,                              0,                              0,                              0,                411523,,,,,                              0,,                              0,,,,                              0,                              0,                              0,                              0,                              0,                              0,                 59396,                 47500,                 14631,                -16475,,                    -68,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2014年01月01日至2014年09月30日,,,             30265861,             30265861,,             25123915,              5141946,              5141946,,,                336769,,                688413,,                825133,              1850315,              3291631,,,                110494,                210837,                321331,,                 20215,,                -46786,                -46786,                 26571,,                145486,                145486,,                131894,                131894,                334310,              3625941,,                254970,              3370971,              3370971,,,                  2713,                 16389,,                    -68,                 19034,                 19034,              3390005,,              2454362,                916609,,              2473396,                916609,,                              3.21,,                              3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,2014年01月01日至2014年06月30日,,,             19806889,             19806889,,             16551709,              3255180,              3255180,,,                257566,,                405368,,                505238,              1168172,              2087008,,,                              0,                 69510,                118375,,,,,,                 43162,,,                100053,,,                 97528,                159012,              2246020,,                154573,              2091447,              2091447,,,                -39117,                 79929,,                  4633,                 45445,                 45445,              2136892,,              1495954,                595493,,              1541399,                595493,,                              1.96,,                              1.95,,                 39240,                              0,                              0,                              0,                  7480,                 46720,                  2145,                              0,                              0,                211325,                168163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
