證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2912,2015年第3季,,             53425771,,             36342057,             17083714,             17083714,,,             12447421,,              2116803,             14564224,              2519490,,,                522483,,                -62950,,                 26738,,                353859,                786654,              3306144,,                555194,              2750950,              2750950,,,                              0,,                              0,                              0,,                232842,                -91899,,                -18253,                  3031,                119659,                119659,              2870609,,              2456413,                294537,,              2576072,                294537,,                              2.36,                              2.36,,                              2.36,                              2.36,,,,,,
2912,2015年第2季,,             51391231,,             34747867,             16643364,             16643364,,,             12054368,,              2072951,             14127319,              2516045,,,                311155,,                -23959,,                 25542,,                343720,                605374,              3121419,,                650591,              2470828,              2470828,,,                   -857,,                     77,                   -780,,                -88522,                -23316,,                -16815,                   -398,               -128255,               -129035,              2341793,,              2171000,                299828,,              2041965,                299828,,                              2.09,                              2.09,,                              2.08,                              2.08,,,,,,
2912,2015年第1季,,             48248674,,             33004716,             15243958,             15243958,,,             11033043,,              1947247,             12980290,              2263668,,,                392012,,                -55030,,                 23878,,                279014,                592118,              2855786,,                488744,              2367042,              2367042,,,                     77,,,                     77,,                -67756,                  8917,,,                  3684,                -62523,                -62446,              2304596,,              2109156,                257886,,              2046710,                257886,,                              2.03,                              2.03,,                              2.02,                              2.02,,,,,,
2912,2015年01月01日至2015年09月30日,,            153065676,,            104094640,             48971036,             48971036,,,             35534832,,              6137001,             41671833,              7299203,,,              1225650,,               -141939,,                 76158,,                976593,              1984146,              9283349,,              1694529,              7588820,              7588820,,,                   -780,,                     77,                   -703,,                 76564,               -106298,,                -35068,                  6317,                -71119,                -71822,              7516998,,              6736569,                852251,,              6664747,                852251,,                              6.48,                              6.48,,                              6.46,                              6.46,,,,,,
2912,2015年01月01日至2015年06月30日,,             99639905,,             67752583,             31887322,             31887322,,,             23087411,,              4020198,             27107609,              4779713,,,                703167,,                -78989,,                 49420,,                622734,              1197492,              5977205,,              1139335,              4837870,              4837870,,,                   -780,,                     77,                   -703,,               -156278,                -14399,,                -16815,                  3286,               -190778,               -191481,              4646389,,              4280156,                557714,,              4088675,                557714,,                              4.12,                              4.12,,                              4.10,                              4.10,,,,,,
2912,2014年第3季,,             52673265,,             36164786,             16508479,             16508479,,,             12101065,,              1669323,             13770388,              2738091,,,                488127,,                -70280,,                 22497,,                246192,                641542,              3379633,,                582391,              2797242,              2797242,,,                              0,,                              0,                              0,,                 71486,                -30782,,                 -3294,                 -4042,                 41452,                 41452,              2838694,,              2481301,                315941,,              2522753,                315941,,                              2.39,                              2.39,,                              2.39,                              2.39,,,,,,
2912,2014年第2季,,             49941789,,             34201125,             15740664,             15740664,,,             11063838,,              2073498,             13137336,              2603328,,,                325230,,                -55800,,                 23965,,                204667,                450132,              3053460,,                562483,              2490977,              2490977,,,                  4481,,                              0,                  4481,,                -70790,                   -757,,                    561,                   -411,                -70575,                -66094,              2424883,,              2195076,                295901,,              2128982,                295901,,                              2.11,                              2.11,,                              2.11,                              2.11,,,,,,
2912,2014年第1季,,             48110480,,             33401118,             14709362,             14709362,,,             10619209,,              1987581,             12606790,              2102572,,,                335853,,              1016921,,                 28161,,                237811,              1562424,              3664996,,                456849,              3208147,              3208147,,,                -12097,,,                -12097,,                 26818,                -15457,,,                  1003,                 10358,                 -1739,              3206408,,              2969808,                238339,,              2968069,                238339,,                              2.86,                              2.86,,                              2.85,                              2.85,,,,,,
2912,2014年度,,            207989021,,            141050853,             66938168,             66938168,,,             46404462,,              9936426,             56340888,             10597280,,,              1520972,,                444925,,                102628,,                149227,              2012496,             12609776,,              2367021,             10242755,             10242755,,,,,,,,,,,,,,                -55742,             10187013,,              9086015,              1156740,,              9030537,              1156476,,                              8.74,                              8.74,,                              8.72,                              8.72,                189485,                -66394,               -237724,,                 14639,                -44252
2912,2014年01月01日至2014年09月30日,,            150725535,,            103767029,             46958506,             46958506,,,             33865099,,              5730402,             39595501,              7363005,,,              1230196,,                890841,,                 74623,,                688670,              2735084,             10098089,,              1601723,              8496366,              8496366,,,                 -7616,,                              0,                 -7616,,                 27514,                -46996,,                 -2733,                 -3450,                -18765,                -26381,              8469985,,              7646185,                850181,,              7619804,                850181,,                              7.35,                              7.35,,                              7.34,                              7.34,,,,,,
