證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 手續費支出,　　　　 手續費支出合計,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）,　　 其他綜合損益,　　　 什項支出,　　　 利息費用,　　　　 其他利息收入
2530,2015年第3季,,                417798,,                310340,                107458,                107458,,,                 14981,,                 17891,                 32872,                 74586,,,                 16727,,                 -9211,,                  9672,                 -2156,                 72430,,                  5504,                 66926,                 66926,                 66926,,                 69460,                 -2534,,                 69460,                 -2534,,                              0.26,,                              0.26,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2015年第2季,,                  1983,,                              0,                  1983,                  1983,,,                    863,,                 17756,                 18619,                -16636,,,                  2025,,                  4044,,                  7600,                 -1531,                -18167,,                    693,                -18860,                -18860,                -18860,,                -16592,                 -2268,,                -16592,                 -2268,,                             -0.06,,                             -0.06,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2530,2015年01月01日至2015年09月30日,,                421775,,                310340,                111435,                111435,,,                 16575,,                 49486,                 66061,                 45374,,,                 19772,,                   -795,,                 24772,                 -5795,                 39579,,                  6197,                 33382,                 33382,                 33382,,                 40020,                 -6638,,                 40020,                 -6638,,                              0.15,,                              0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2015年01月01日至2015年06月30日,,                  3977,,                              0,                  3977,                  3977,,,                  1594,,                 31595,                 33189,                -29212,,,                  3045,,                  8416,,                 15100,                 -3639,                -32851,,                    693,                -33544,                -33544,                -33544,,                -29440,                 -4104,,                -29440,                 -4104,,                             -0.11,,                             -0.11,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2530,2015年01月01日至2015年03月31日,,                  1994,,                              0,                  1994,                  1994,,,                    731,,                 13839,                 14570,                -12576,,,                  1020,,                  4372,,                  7500,                 -2108,                -14684,,                              0,                -14684,                -14684,                -14684,,                -12848,                 -1836,,                -12848,                 -1836,,                             -0.05,,                             -0.05,,,,,                  1994,                  1994,                              0,                  1994,,                    751,                    751,                    269,                              0,                              0,                  5481,,                              0,                     29,                  1080,,,,,,,
2530,2014年第3季,,                  1974,,                              0,                  1974,                  1974,,,                  7733,,                 16312,                 24045,                -22071,,,                  3236,,                 -9917,,                  7697,                -14378,                -36449,,                              0,                -36449,                -36449,                -36449,,                -33970,                 -2479,,                -33970,                 -2479,,                             -0.13,,                             -0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2014年第2季,,                  3084,,                  2178,                    906,                    906,,,                 15763,,                 22449,                 38212,                -37306,,,                 19575,,                   -232,,                  7499,                 11844,                -25462,,                   -637,                -24825,                -24825,                -24825,,                -21968,                 -2857,,                -21968,                 -2857,,                             -0.08,,                             -0.08,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2530,2014年度,,                  9850,,                  4357,                  5493,                  5493,,,                 45327,,                 87813,                133140,               -127647,,,                 25374,,                -53125,,                 29529,                -57280,               -184927,,                    175,               -185102,               -185102,               -184467,,               -173997,                -11105,,               -173362,                -11105,,                             -0.65,,                             -0.65,,,,,,,,,,,,,,,,,,,,,                    635,                    635,,,,
2530,2014年01月01日至2014年09月30日,,                  7826,,                  4357,                  3469,                  3469,,,                 44111,,                 54575,                 98686,                -95217,,,                 24267,,                 -2902,,                 21739,                   -374,                -95591,,                   -631,                -94960,                -94960,                -94960,,                -87223,                 -7737,,                -87223,                 -7737,,                             -0.33,,                             -0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2014年01月01日至2014年06月30日,,                  5852,,                  4357,                  1495,                  1495,,,                 36378,,                 38263,                 74641,                -73146,,,                 21031,,                  7015,,                 14042,                 14004,                -59142,,                   -631,                -58511,                -58511,                -58511,,                -53253,                 -5258,,                -53253,                 -5258,,                             -0.20,,                             -0.20,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
