證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 其他收益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　　 銷貨收入,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 備供出售金融資產未實現評價損益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　 停業單位損益,　　 停業單位損益合計
1731,2015年第3季,,,,                339111,                  4542,                  1535,                333034,                333034,,,                179248,                179248,                153786,                153786,,,                101408,,                 31321,                132729,,                      8,                 21065,,,,                  1128,                  1672,                    373,                    168,                  3341,,                     61,                    225,                      2,,                              0,                    284,,                  1023,                  1023,,                 -6745,                 -4143,                 16922,,                  2503,                 14419,                 14419,,,                  9430,                              0,,                   -444,                  8986,                  8986,                 23405,,                 14419,,                 23405,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,
1731,2015年第2季,,,,                347587,                  4653,                  1461,                341473,                341473,,,                193225,                193225,                148248,                148248,,,                103154,,                 29132,                132286,,                      9,                 15971,,,,                  1460,                  1701,                  2209,                  2174,                  7544,,                    705,,                     28,,,                    174,,                  1090,                  1090,,                 -8496,                 -1868,                 14103,,                  2538,                 11565,                 11565,,,                 -3279,                              0,,                 -2646,                 -5925,                 -5925,                  5640,,                 11565,,                  5640,,                              0.09,                              0.09,,                              0.09,                              0.09,                    503,,,,,,,,,,,,
1731,2015年01月01日至2015年09月30日,,,,              1038744,                 12002,                  4675,              1022067,              1022067,,,                552051,                552051,                470016,                470016,,,                302088,,                 89988,                392076,,                     28,                 77968,,,,                  4047,                  5046,                  2582,                  2656,                 14331,,                  3856,                    321,                     33,,                              0,                  4144,,                  3203,                  3203,,                -25669,                -10397,                 67571,,                 11126,                 56445,                 56445,,,                  3397,                              0,,                 -2111,                  1286,                  1286,                 57731,,                 56445,,                 57731,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,,,,,,,,
1731,2015年01月01日至2015年06月30日,,,,                699633,                  7460,                  3140,                689033,                689033,,,                372803,                372803,                316230,                316230,,,                200680,,                 58667,                259347,,                     20,                 56903,,,,                  2919,                  3374,                  2209,                  2488,                 10990,,                  3795,,                     31,,,                  3860,,                  2180,                  2180,,                -18924,                 -6254,                 50649,,                  8623,                 42026,                 42026,,,                 -6033,                              0,,                 -1667,                 -7700,                 -7700,                 34326,,                 42026,,                 34326,,                              0.32,                              0.32,,                              0.32,                              0.32,                    -96,,,,,,,,,,,,
1731,2015年01月01日至2015年03月31日,,,,                352046,                  2807,                  1679,                347560,                347560,,,                179578,                179578,                167982,                167982,,,                 97526,,                 29535,                127061,,                     11,                 40932,,,,                  1459,                  1673,,                    314,                  3446,,                  3090,                    599,                      3,,,                  3686,,                  1090,                  1090,,                -10428,                 -4386,                 36546,,                  6085,                 30461,                 30461,,,                 -2754,,,                    979,                 -1775,                 -1775,                 28686,,                 30461,,                 28686,,                              0.23,                              0.23,,                              0.23,                              0.23,,                     11,,,,,,,,,,,
1731,2014年第3季,,,,                322203,                  3276,                  1331,                317596,                317596,,,                172303,                172303,                145293,                145293,,,                 96643,,                 39020,                135663,,                      9,                  9639,,,,                    570,                  1672,                    374,                    323,                  2939,,                 58564,                     17,                     83,,                 18701,                 39797,,                  1404,                  1404,,                -11154,                 30178,                 39817,,                  5139,                 34678,                 34678,,,                  5050,                 -2156,,                 -3686,                   -792,                   -792,                 33886,,                 34678,,                 33886,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,,,,,,,,
1731,2014年第2季,,,,                305348,                  6062,                    707,                298579,                298579,,,                167700,                167700,                130879,                130879,,,                 89728,,                 28402,                118130,,                     10,                 12759,,,,                    611,                  1702,                              0,                    755,                  3068,,                 15480,,                    640,,,                 14901,,                  1609,                  1609,,                -15145,                  1215,                 13974,,                  2068,                 11906,                 11906,,,                 -3531,                  2156,,                  1755,                    380,                    380,                 12286,,                 11906,,                 12286,,                              0.09,                              0.09,,                              0.09,                              0.09,                    -61,,,,,,,,,,,,
1731,2014年度,,,,              1259542,                 21641,                  5033,              1232868,              1232868,,,                669150,                669150,                563718,                563718,,,                362481,,                126494,                488975,,                  1404,                 76147,,,,                  2985,                  6690,                    374,                  1302,                 11351,,                 78165,,                    972,,                 18701,                 59568,,                  5712,                  5712,,                -45600,                 19607,                 95754,,                 15230,                 80524,                 80524,,,,,,,,                 10676,                 91200,,                 80524,,                 91200,,                              0.61,                              0.61,,                              0.60,                              0.60,                 -1076,,                  8111,                  4191,,                 -1626,,,,,,,
1731,2014年01月01日至2014年09月30日,,,,                931238,                 15498,                  3552,                912188,                912188,,,                498618,                498618,                413570,                413570,,,                269807,,                 97735,                367542,,                     29,                 46057,,,,                  1983,                  4989,                    374,                  1515,                  8861,,                 77969,                    214,                    972,,                 18701,                 58510,,                  4622,                  4622,,                -32208,                 30541,                 76598,,                 11654,                 64944,                 64944,,,                    657,                              0,,                 -2732,                 -2075,                 -2075,                 62869,,                 64944,,                 62869,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,,,,,,,,,,
1731,2014年01月01日至2014年06月30日,,,,                609035,                 12222,                  2221,                594592,                594592,,,                326315,                326315,                268277,                268277,,,                173164,,                 58715,                231879,,                     20,                 36418,,,,                  1413,                  3317,                              0,                  1192,                  5922,,                 19405,,                    889,,,                 18713,,                  3218,                  3218,,                -21054,                    363,                 36781,,                  6515,                 30266,                 30266,,,                 -4393,                  2156,,                    954,                 -1283,                 -1283,                 28983,,                 30266,,                 28983,,                              0.23,                              0.23,,                              0.23,                              0.23,                   -197,,,,,,,,,,,,
1731,2014年01月01日至2014年03月31日,,,,                303687,                  6160,                  1514,                296013,                296013,,,                158615,                158615,                137398,                137398,,,                 83436,,                 30313,                113749,,                     10,                 23659,,,,                    802,                  1615,,                    437,                  2854,,                  3925,                    136,                    249,,,                  3812,,                  1609,                  1609,,                 -5909,                   -852,                 22807,,                  4447,                 18360,                 18360,,,                   -862,,,                   -801,                 -1663,                 -1663,                 16697,,                 18360,,                 16697,,                              0.14,                              0.14,,                              0.14,                              0.14,,                     10,,,,,,,,,,,
1731,2013年第3季,,,,                276341,                  3690,                    283,                272368,                272368,,,                149743,                149743,                122625,                122625,,,                 78004,,                 26277,                104281,,                     10,                 18354,,,,                    729,                  1450,                    192,                    132,                  2503,,                  4983,,                    163,,                              0,                  4820,,                  1610,                  1610,,                 -6715,                 -1002,                 17352,,                  2411,                 14941,                 14941,,,,,,,,                 -4785,                 10156,,                 14941,,                 10156,,,                              0.11,,,                              0.11,,,                 -2804,,,                 -1981,                276341,                              0,                              0,                              0,,,
1731,2013年第2季,,,,                389998,                  5525,                  6779,                377694,                377694,,,                247362,                247362,                130332,                130332,,,                 91856,,                 30181,                122037,,                      9,                  8304,,,,                    731,                  1478,,                    286,                  2495,,                  2810,,                    919,,,                  1891,,                  1609,                  1609,,                 -4242,                 -1465,                  6839,,                    276,                  6563,                  6563,,,,,,,,                  3414,                  9977,,                  6563,,                  9977,,                              0.05,                              0.05,,                              0.05,                              0.05,,,                  2917,,,                    497,,,,                              0,,,
1731,2013年度,,,,              1538585,                 21543,                  4713,              1512329,              1512329,,,                982513,                982513,                529816,                529816,,,                352230,,                106505,                458735,,                  4476,                 75557,,,,                  3245,                  5903,                    192,                    870,                 10210,,                 19048,,                     23,,                              0,                 18298,,                  6437,                  6437,,                -27747,                 -5676,                 69881,,                  6308,                 63573,                 63573,,,,,,,,                  8733,                 72306,,                 63573,,                 72306,,                              0.48,                              0.48,,                              0.48,                              0.48,                    727,,                  9060,                  9395,,                 -9722,,,,,,,
1731,2013年07月01日至2013年09月30日,,,,                276341,                  3690,                    283,                272368,                272368,,,                149743,                149743,                122625,                122625,,,                 78004,,                 26277,                104281,,                     10,                 18354,,,,                    729,                  1450,                    192,                     74,                  2445,,                  4983,                              0,                              0,,                              0,                  4878,,                  1610,                  1610,,                 -6715,                 -1002,                 17352,,                  2411,                 14941,                 14941,,,,,,,,                 -4785,                 10156,,                 14941,,                 10156,,                              0.11,                              0.11,,                              0.11,                              0.11,                    163,                     10,                 -2804,,,                 -1981,,                              0,                              0,                              0,                     58,,
