證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　 未實現銷貨（損）益,　 已實現銷貨（損）益
2498,2015年第3季,,             21402111,,             17546616,              3855495,              3855495,,,              3947647,,              1229801,,              3621552,              8799000,             -4943505,,,                187300,,                270791,,                    300,,                 -2180,                455611,             -4487894,,                -10940,             -4476954,             -4476954,,,              1832569,                     15,                 -6261,              1826323,              1826323,             -2650631,,             -4476954,,             -2650631,,                             -5.41,,                             -5.41,,,,,,,,,,,,,,,,,,,,
2498,2015年第2季,,             33009698,,             26648085,              6361613,              6361613,,,              6541320,,              1351415,,              3610019,             11502754,             -5141141,,,                126212,,             -2896725,,                  2853,,                 -3481,             -2776847,             -7917988,,                116257,             -8034245,             -8034245,,,                -47594,                    -32,                    745,                -46881,                -46881,             -8081126,,             -8034245,,             -8081126,,                             -9.70,,                             -9.70,,,,,,,,,,,,,,,,,,,,
2498,2015年01月01日至2015年09月30日,,             95936081,,             77556202,             18379879,             18379879,,,             13988385,,              3780671,,             10674996,             28444052,            -10064173,,,                439105,,             -2253688,,                  4642,,                 -8229,             -1827454,            -11891627,,                259515,            -12151142,            -12151142,,,                622355,                    -34,                              0,                622321,                622321,            -11528821,,            -12151142,,            -11528821,,                            -14.68,,                            -14.68,,,,,,,,,,,,,,,,,,,,
2498,2015年01月01日至2015年06月30日,,             74533970,,             60009586,             14524384,             14524384,,,             10040738,,              2550870,,              7053444,             19645052,             -5120668,,,                251805,,             -2524479,,                  4342,,                 -6049,             -2283065,             -7403733,,                270455,             -7674188,             -7674188,,,             -1210214,                    -49,                  6261,             -1204002,             -1204002,             -8878190,,             -7674188,,             -8878190,,                             -9.27,,                             -9.27,,,,,,,,,,,,,,,,,,,,
2498,2015年01月01日至2015年03月31日,,             41524272,,             33361501,              8162771,              8162771,,,              3499418,,              1199455,,              3443425,              8142298,                 20473,,,                125593,,                372246,,                  1489,,                 -2568,                493782,                514255,,                154198,                360057,                360057,,,             -1162620,                    -17,                  5516,             -1157121,             -1157121,               -797064,,                360057,,               -797064,,                              0.43,,                              0.43,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
2498,2014年第3季,,             41863914,,             32279957,              9583957,              9583957,,,              4835532,,              1373437,,              3217781,              9426750,                157207,,,                166222,,                322373,,                  2765,,                 -2354,                483476,                640683,,                              0,                640683,                640683,,,               -110601,                    -22,                 24385,                -86238,                -86238,                554445,,                640683,,                554445,,                              0.78,,                              0.78,,,,,,,,,,,,,,,,,,,,
2498,2014年第2季,,             65060395,,             50596366,             14464029,             14464029,,,              7641960,,              1338743,,              3057495,             12038198,              2425831,,,                205797,,                137449,,                  8635,,                 -2971,                331640,              2757471,,                500054,              2257417,              2257417,,,               -604436,                     -3,                  4842,               -599597,               -599597,              1657820,,              2257417,,              1657820,,                              2.74,,                              2.74,,,,,,,,,,,,,,,,,,,,
2498,2014年度,,            187911200,,            147156105,             40755095,             40755095,,,             21834286,,              5204788,,             13047251,             40086325,                668770,,,                834124,,                506194,,                 16983,,                 -8679,              1314656,              1983426,,                500380,              1483046,              1483046,,,,,,,                873654,              2356700,,              1483046,,              2356700,,                              1.80,,                              1.80,,,,,,,,,,,,                903136,                   -146,                              0,                -33346,                  4010,,,,
2498,2014年01月01日至2014年09月30日,,            140045152,,            109033501,             31011651,             31011651,,,             16942246,,              4252072,,              9281986,             30476304,                535347,,,                478981,,                527010,,                 16263,,                 -8184,                981544,              1516891,,                500054,              1016837,              1016837,,,               -120371,                    -56,                 29227,                -91200,                -91200,                925637,,              1016837,,                925637,,                              1.23,,                              1.23,,,,,,,,,,,,,,,,,,,,
2498,2014年01月01日至2014年06月30日,,             98181238,,             76753544,             21427694,             21427694,,,             12106714,,              2878635,,              6064205,             21049554,                378140,,,                312759,,                204637,,                 13498,,                 -5830,                498068,                876208,,                500054,                376154,                376154,,,                 -9770,                    -34,                  4842,                 -4962,                 -4962,                371192,,                376154,,                371192,,                              0.46,,                              0.46,,,,,,,,,,,,,,,,,,,,
