證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 確定福利計畫之再衡量數,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主[duplicate]59,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　　　　 其他利息以外淨收益,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　 母公司業主[duplicate]52,　　 共同控制下前手權益,　　 母公司業主[duplicate]54,　　 共同控制下前手權益[duplicate]55,　　　　 手續費及佣金收入,　　　　　 手續費及佣金收入合計,　　　　 保險業務收益,　　　　　 保險業務收益合計,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　 備供出售金融資產之已實現利益,　　　　 兌換利益,　　　　 兌換損失,　　　　 資產減損損失,　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　　 採用權益法認列關聯企業及合資損失之份額,　　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　 採用權益法認列關聯企業及合資損失之份額,　　 收益 ,　　 費用 ,　　 母公司業主[duplicate]70,　　 母公司業主[duplicate]66,　　　　 投資性不動產利益,　　　　 資產減損損失（迴轉利益）,　　 母公司業主[duplicate]69,　　 母公司業主[duplicate]68
2880,2015年第3季,,,              9887251,              3359081,              6528170,,,              1686496,,                539133,,              4709799,,                 65449,,                361766,,             -4268276,,                -11848,,                   -554,,                440284,              3522249,             10050419,,              1052899,,                 53004,,              3313612,                237613,              1807052,              5358277,              3586239,               -580792,              3005447,,                              0,              3005447,,,                              0,                -14096,                              0,                -14096,,              1742944,               -999618,                   -822,                742504,                728408,              3733855,,              3005427,                     20,,              3733835,                     20,,                              0.30,                              0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2015年第2季,,,             10109326,              3406250,              6703076,,,              1801829,,                792232,,               -630977,,                 67268,,                101450,,                925683,,                  2205,,                 -1214,,                299134,              3357610,             10060686,,               -238649,,                210641,,              3456371,                215123,              1819206,              5490700,              4597994,               -679334,              3918660,,                              0,              3918660,,,                              0,                -15032,                              0,                -15032,,               -248468,                243772,                  1781,                 -2915,                -17947,              3900713,,              3918626,                     34,,              3900679,                     34,,                              0.40,                              0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2015年第1季,,,             10045471,              3432990,              6612481,,,              1828008,,                765357,,               -785250,,                 46693,,                213725,,              1157225,,                              0,,                 -1718,,                141777,              3365817,              9978298,,                126475,,                248819,,              3352007,                218819,              1724579,              5295405,              4307599,               -641325,              3666274,,                              0,              3666274,,,                              0,                -72941,                              0,                -72941,,               -124088,                381789,                    407,                258108,                185167,              3851441,,              3666262,                     12,,              3851429,                     12,,,                              0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2015年01月01日至2015年09月30日,,,             30042048,             10198321,             19843727,,,              5316333,,              2096722,,              3293572,,                179410,,                676941,,             -2185368,,                 -9643,,                 -3486,,                881195,             10245676,             30089403,,                940725,,                512464,,             10121990,                671555,              5350837,             16144382,             12491832,             -1901451,             10590381,,                              0,             10590381,,,                              0,               -102069,                              0,               -102069,,              1370388,               -374057,                  1366,                997697,                895628,             11486009,,             10590315,                     66,,             11485943,                     66,,                              1.07,                              1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2015年01月01日至2015年06月30日,,,             20154797,              6839240,             13315557,,,              3629837,,              1557589,,             -1416227,,                113961,,                315175,,              2082908,,                  2205,,                 -2932,,                440911,              6723427,             20038984,,               -112174,,                459460,,              6808378,                433942,              3543785,             10786105,              8905593,             -1320659,              7584934,,                              0,              7584934,,,                              0,                -87973,                              0,                -87973,,               -372556,                625561,                  2188,                255193,                167220,              7752154,,              7584888,                     46,,              7752108,                     46,,                              0.77,                              0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年第3季,,,              9979937,              3410479,              6569458,,,              1946438,,                617866,,                788350,,                 60040,,                429716,,               -510908,,                -16975,,                 -1103,,                164586,              3478010,             10047468,,                260093,,                151706,,              3503707,                238533,              1817485,              5559725,              4075944,               -609939,              3466005,,                              0,              3466005,,,                              0,                              0,                              0,                              0,,                295728,               -158526,                   -239,                136963,                136963,              3602968,,              3465980,                     25,,              3602943,                     25,,                              0.35,                              0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年第2季,,,              9570566,              3429781,              6140785,,,              1826846,,                651034,,               -776399,,                 55697,,                169236,,              1278437,,                -59364,,                  1395,,                280117,              3426999,              9567784,,                301226,,                124443,,              3499476,                228403,              1543791,              5271670,              3870445,               -562908,              3307537,,                              0,              3307537,,,                              0,                              0,                              0,                              0,,               -257101,                545555,                    174,                288628,                288628,              3596165,,              3307514,                     23,,              3596142,                     23,,                              0.33,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年第1季,,,              9543669,              3427566,              6116103,,,              1855168,,                627731,,              2138209,,                 73973,,                 89603,,             -1312701,,                 -4633,,                   -310,,                 75614,              3542654,              9658757,,              1034246,,                159025,,              3345516,                240248,              1322905,              4908669,              3556817,               -539224,              3017593,,                              0,              3017593,,,                    479,                              0,                    -82,                    397,,                268480,                -45193,                   -490,                222797,                223194,              3240787,,              3017589,                      4,,              3240783,                      4,,,                              0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年度,,,             39285697,             13762267,             25523430,,,              7509973,,              2301440,,              4155467,,                274055,,                675753,,             -2123600,,                -89412,,                 -4891,,                594823,             13293608,             38817038,,              1639955,,                307088,,             13952098,                923416,              6445916,             21321430,,             -2417544,             13131021,,,             13131021,,,,,,,,,,,,,             14622462,,             13130945,                     76,,,                     76,,                              1.41,                              1.41,                594823,             15548565,                884590,                882281,               -330015,                 54585,              1491441,             14622386,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年01月01日至2014年09月30日,,,             29094172,             10267826,             18826346,,,              5628452,,              1896631,,              2150160,,                189710,,                688555,,               -545172,,                -80972,,                    -18,,                520317,             10447663,             29274009,,              1595565,,                435174,,             10348699,                707184,              4684181,             15740064,             11503206,             -1712071,              9791135,,                              0,              9791135,,,                    479,                              0,                    -82,                    397,,                307107,                341836,                   -555,                648388,                648785,             10439920,,              9791083,                     52,,             10439868,                     52,,                              0.99,                              0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
