證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 營建工程成本,　　　 營建工程成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 租賃成本,　　　 租賃成本合計,　　　 採用權益法認列之關聯企業及合資利益之份額
1218,2015年第3季,,              2320798,,              1866665,                454133,                    533,                    570,                454170,,,                311526,,                 97409,                408935,                 45235,,,,                    428,                    428,,                -21583,,                 14966,,                 97445,                 61324,                106559,,                  4970,                101589,                101589,,,                  2122,                -16447,,                  1592,                              0,                -12733,                -12733,                 88856,,                101487,                    102,,                 88754,                    102,,                              0.30,,                              0.30,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2015年第2季,,              1910399,,              1613110,                297289,                    570,                    820,                297539,,,                265157,,                100000,                365157,                -67618,,,,                    903,                    903,,                 19286,,                 31941,,                 69599,                 57847,                 -9771,,                  2829,                -12600,                -12600,,,                 -4098,                  7081,,                 -1811,                              0,                  1172,                  1172,                -11428,,                -12630,                     30,,                -11458,                     30,,                             -0.04,,                              0.00,,              1613110,              1613110,,,,,,,,,,,,,,,,,,,,,,
1218,2015年01月01日至2015年09月30日,,              6213368,,              5175140,              1038228,                    533,                    182,              1037877,,,                804304,,                281375,              1085679,                -47802,,,,                  2233,                  2233,,                 -3355,,                 63652,,                200109,                135335,                 87533,,                  8271,                 79262,                 79262,,,                 -2368,                 -6040,,                -10784,                              0,                -19192,                -19192,                 60070,,                 79054,                    208,,                 59862,                    208,,                              0.23,,                              0.23,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2015年01月01日至2015年06月30日,,              3892570,,              3308475,                584095,                    570,                    182,                583707,,,                492778,,                183966,                676744,                -93037,,,,                  1805,                  1805,,                 18228,,                 48686,,                102664,                 74011,                -19026,,                  3301,                -22327,                -22327,,,                 -4490,                 10407,,                -12376,                              0,                 -6459,                 -6459,                -28786,,                -22433,                    106,,                -28892,                    106,,                             -0.07,,                              0.00,,              3308475,              3308475,,,,,,,,,,,,,,,,,,,,,,
1218,2015年01月01日至2015年03月31日,,              1982171,,              1695365,                286806,                    820,                    182,                286168,,,                227621,,                 83966,                311587,                -25419,,,,                    902,                    902,,                 -1058,,                 16745,,                 33065,                 16164,                 -9255,,                    472,                 -9727,                 -9727,,,                   -392,                  3326,,                -10565,                              0,                 -7631,                 -7631,                -17358,,                 -9803,                     76,,                -17434,                     76,,                             -0.03,,                              0.00,,              1695365,              1695365,,,,,,,,,,,,,,,,,,,,,,
1218,2014年第3季,,              2624740,,              2178615,                446125,                    192,                    610,                446543,,,                326557,,                 82418,                408975,                 37568,,,,                    495,                    495,,                -37226,,                 21939,,                 98848,                 40178,                 77746,,                  5456,                 72290,                 72290,,,                  3497,                 -4841,,                 -3458,                              0,                 -4802,                 -4802,                 67488,,                 72256,                     34,,                 67454,                     34,,                              0.21,,                              0.20,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2014年第2季,,              2337869,,              2032867,                305002,                    610,                  1107,                305499,,,                308996,,                 79245,                388241,                -82742,,,,                  1370,                  1370,,                 -9955,,                 20721,,                 90737,                 61431,                -21311,,                    120,                -21431,                -21431,,,                 -2286,                  1378,,                 -1365,                              0,                 -2273,                 -2273,                -23704,,                -21423,                     -8,,                -23696,                     -8,,                             -0.06,,                              0.00,,              2032867,              2032867,,,,,,,,,,,,,,,,,,,,,,
1218,2014年度,,              9001125,,              7638438,              1362687,                    182,                    410,              1362915,,,              1105270,,                359575,              1464845,               -101930,,,,                  6116,                  6116,,                -43421,,                 70410,,                284392,                176677,                 74747,,                  6908,                 67839,                 67839,,,,,,,,,                    143,                 67982,,                 67717,                    122,,                 67860,                    122,,                              0.20,,                              0.20,,,              7638438,,              9001125,                              0,                   -407,                  1094,                 -2629,,                  2085,                              0,,,,,,,,,,,,,
1218,2014年01月01日至2014年09月30日,,              7062840,,              5987660,              1075180,                    192,                    410,              1075398,,,                876463,,                262914,              1139377,                -63979,,,,                  3111,                  3111,,                -33564,,                 58825,,                235808,                146530,                 82551,,                  7636,                 74915,                 74915,,,                 -1693,                    407,,                 13061,                              0,                 11775,                 11775,                 86690,,                 74833,                     82,,                 86608,                     82,,                              0.22,,                              0.22,,,,,,,,,,,,,,,,,,,,,,,,,
1218,2014年01月01日至2014年06月30日,,              4438100,,              3809045,                629055,                    610,                    410,                628855,,,                549906,,                180496,                730402,               -101547,,,,                  2616,                  2616,,                  3662,,                 36886,,                136960,                106352,                  4805,,                  2180,                  2625,                  2625,,,                 -5190,                  5248,,                 16519,                              0,                 16577,                 16577,                 19202,,                  2577,                     48,,                 19154,                     48,,                              0.01,,                              0.00,,              3809045,              3809045,,,,,,,,,,,,,,,,,,,,,,
