證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計
8271,2015年第3季,,              1722938,,              1483197,                239741,                239741,,,                102137,,                 33825,,                 15544,                151506,                 88235,,,                  2280,,                -27617,,                    420,,                 -2647,                -28404,                 59831,,                 11364,                 48467,                 48467,,,                  4867,                              0,                  4867,                  4867,                 53334,,                 48467,,                 53334,,                              0.32,,                              0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2015年第2季,,              1850381,,              1632541,                217840,                217840,,,                110745,,                 32902,,                 16348,                159995,                 57845,,,                  2973,,                 19983,,                    615,,                 -2865,                 19476,                 77321,,                 14781,                 62540,                 62540,,,                 -1464,                -20417,                -21881,                -21881,                 40659,,                 62540,,                 40659,,                              0.42,,                              0.41,,,              1850381,              1850381,              1850381,                  2865,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2015年01月01日至2015年09月30日,,              5736151,,              5014078,                722073,                722073,,,                334708,,                111804,,                 53376,                499888,                222185,,,                  7888,,                 -6450,,                  2107,,                 -9988,                -10657,                211528,,                 40201,                171327,                171327,,,                  3024,                -18105,                -15081,                -15081,                156246,,                171327,,                156246,,                              1.15,,                              1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2015年01月01日至2015年06月30日,,              4013213,,              3530881,                482332,                482332,,,                232571,,                 77979,,                 37832,                348382,                133950,,,                  5608,,                 21167,,                  1687,,                 -7341,                 17747,                151697,,                 28837,                122860,                122860,,,                 -1843,                -18105,                -19948,                -19948,                102912,,                122860,,                102912,,                              0.83,,                              0.80,,,              4013213,              4013213,              4013213,                  7341,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2015年01月01日至2015年03月31日,,              2162832,,              1898340,                264492,                264492,,,                121826,,                 45077,,                 21484,                188387,                 76105,,,                  2635,,                  1184,,                  1072,,                 -4476,                 -1729,                 74376,,                 14056,                 60320,                 60320,,,                   -379,                  2312,                  1933,                  1933,                 62253,,                 60320,,                 62253,,                              0.41,,,,,,,,                  4476,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,
8271,2014年第3季,,              2730958,,              2391714,                339244,                339244,,,                116837,,                 40394,,                 19386,                176617,                162627,,,                  1765,,                  2918,,                  1389,,                 -5847,                 -2553,                160074,,                 33798,                126276,                126276,,,                   -562,                              0,                   -562,                   -562,                125714,,                126276,,                125714,,                              0.93,,                              0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2014年第2季,,              2611736,,              2267026,                344710,                344710,,,                135675,,                 36852,,                 18899,                191426,                153284,,,                  2166,,                  2150,,                  1058,,                 -5454,                 -2196,                151088,,                 29906,                121182,                121182,,,                    231,                              0,                    231,                    231,                121413,,                121182,,                121413,,                              0.90,,                              0.88,,,              2611736,              2611736,              2611736,                  5454,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2014年度,,             10218111,,              8856335,              1361776,              1361776,,,                507146,,                155730,,                 83447,                746323,                615453,,,                  8564,,                  6399,,                  4270,,                -16896,                 -6203,                609250,,                117861,                491389,                491389,,,,,,                 -5281,                486108,,                491389,,                486108,,                              3.63,,                              3.55,,,,,,                 16896,,,,,,,,,,,,                   -913,                 -1074,                 -3967,                   -673,,,,,,,,,,,,
8271,2014年01月01日至2014年09月30日,,              7746662,,              6727164,              1019498,              1019498,,,                371217,,                117257,,                 65530,                554004,                465494,,,                  5585,,                  6168,,                  3435,,                -11301,                 -2983,                462511,,                 93009,                369502,                369502,,,                   -601,                              0,                   -601,                   -601,                368901,,                369502,,                368901,,                              2.73,,                              2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2014年01月01日至2014年06月30日,,              5015704,,              4335450,                680254,                680254,,,                254380,,                 76863,,                 46144,                377387,                302867,,,                  3820,,                  3250,,                  2046,,                 -5454,                   -430,                302437,,                 59211,                243226,                243226,,,                    -39,                              0,                    -39,                    -39,                243187,,                243226,,                243187,,                              1.80,,                              1.76,,,              5015704,              5015704,              5015704,                  5454,,,,,,,,,,,,,,,,,,,,,,,,,,,
