證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位稅後損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 租金收入,　　　 股利收入,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
1463,2015年第3季,,,,                125922,                125922,                  4022,                121900,                121900,,,                100467,                100467,                100467,                 21433,                 21433,,,                  2927,,                 12581,,                  2740,                 18248,                  3185,,,                 17368,,                 -2078,,                              0,,                              0,,                              0,,                  6253,                  6253,                 21543,                 24728,,                     26,                 24702,,                              0,                              0,                 24702,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  7416,                 -1283,                              0,,                              0,                              0,                              0,                  6133,                  6133,                 30835,,                 23941,                    761,,                 30074,                    761,,                              0.15,,                              0.15,,,,,,,,,,,,
1463,2015年第2季,,,,                127680,                127680,                  2772,                124908,                124908,,,                106408,                106408,                106408,                 18500,                 18500,,,                  4157,,                 11484,,                  2819,                 18460,                     40,,,                  9708,,                 -1653,,,,,,,,,                 -1285,                  6770,                  6810,,                  1638,                  5172,,                              0,                              0,                  5172,,,                              0,                              0,,                              0,                              0,,                              0,                              0,,                              0,,                    -47,                    -36,                              0,,                              0,                              0,                              0,                    -83,                    -83,                  5089,,                  5525,                   -353,,                  5442,                   -353,,                              0.03,,                              0.03,,,,,,,,,,,,
1463,2015年01月01日至2015年09月30日,,,,                390383,                390383,                  9389,                380994,                380994,,,                314111,                314111,                314111,                 66883,                 66883,,,                 11710,,                 37293,,                  8443,                 57446,                  9437,,,                 36692,,                 -3215,,                              0,,                              0,,                              0,,                 12902,                 12902,                 46379,                 55816,,                  3704,                 52112,,                              0,                              0,                 52112,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  1673,                   -473,                              0,,                              0,                              0,                              0,                  1200,                  1200,                 53312,,                 52067,                     45,,                 53267,                     45,,                              0.32,,                              0.32,,,,,,,,,,,,
1463,2015年01月01日至2015年06月30日,,,,                264461,                264461,                  5367,                259094,                259094,,,                213644,                213644,                213644,                 45450,                 45450,,,                  8783,,                 24712,,                  5703,                 39198,                  6252,,,                 19324,,                 -1137,,,,,,,,,                  6649,                 24836,                 31088,,                  3678,                 27410,,                              0,                              0,                 27410,,,                              0,                              0,,                              0,                              0,,                              0,                              0,,                              0,,                 -5742,                    810,                              0,,                              0,                              0,                              0,                 -4932,                 -4932,                 22478,,                 28126,                   -716,,                 23194,                   -716,,                              0.17,,                              0.17,,,,,,,,,,,,
1463,2015年01月01日至2015年03月31日,,,,                136781,                136781,                  2595,                134186,                134186,,,,,                107236,                 26950,                 26950,,,                  4626,,                 13228,,                  2884,                 20738,                  6212,,,                  9616,,                    516,,                              0,,                              0,,                              0,,,                  7934,                 18066,                 24278,,                  2040,                 22238,,                              0,                              0,                 22238,,,,,,,,,,,,,,                 -5695,                    846,,,,,,                 -4849,                 -4849,                 17389,,                 22601,                   -363,,                 17752,                   -363,,                              0.14,,                              0.14,                  2040,,,,,,,,,,,
1463,2014年第3季,,,,                136910,                136910,                  3729,                133181,                133181,,,                108116,                108116,                108116,                 25065,                 25065,,,                  3957,,                 12865,,                  2841,                 19663,                  5402,,,                 14690,,                  1087,,                              0,,                              0,,                              0,,                              0,                              0,                 15777,                 21179,,                              0,                 21179,,                -10011,                -10011,                 11168,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  7154,                   -141,                              0,,                              0,                              0,                              0,                  7013,                  7013,                 18181,,                 15645,                 -4477,,                 19081,                   -900,,                              0.10,,                              0.10,,,,,,,,,,,,
1463,2014年第2季,,,,                142739,                142739,                  3876,                138863,                138863,,,                108370,                108370,                108370,                 30493,                 30493,,,                  4660,,                 12472,,                  2886,                 20018,                 10475,,,                 10182,,                  2840,,,,,,,,,                              0,                 13022,                 23497,,                  3958,                 19539,,                 -8629,                 -8629,                 10910,,,                              0,                              0,,                              0,                              0,,                              0,                              0,,                              0,,                -10118,                     78,                              0,,                              0,                              0,                              0,                -10040,                -10040,                    870,,                 15752,                 -4842,,                 10771,                 -9901,,                              0.10,,                              0.10,,,,,,,,,,,,
1463,2014年01月01日至2014年09月30日,,,,                411609,                411609,                 10855,                400754,                400754,,,                322342,                322342,                322342,                 78412,                 78412,,,                 12835,,                 37288,,                  8522,                 58645,                 19767,,,                 33762,,                  2952,,                              0,,                              0,,                              0,,                              0,                              0,                 36714,                 56481,,                  3958,                 52523,,                -24744,                -24744,                 27779,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  4422,                    296,                              0,,                              0,                              0,                              0,                  4718,                  4718,                 32497,,                 40419,                -12640,,                 42926,                -10429,,                              0.25,,                              0.25,,,,,,,,,,,,
1463,2014年01月01日至2014年06月30日,,,,                274700,                274700,                  7126,                267574,                267574,,,                214227,                214227,                214227,                 53347,                 53347,,,                  8878,,                 24423,,                  5681,                 38982,                 14365,,,                 19072,,                  1865,,,,,,,,,                              0,                 20937,                 35302,,                  3958,                 31344,,                -14733,                -14733,                 16611,,,                              0,                              0,,                              0,                              0,,                              0,                              0,,                              0,,                 -2732,                    437,                              0,,                              0,                              0,                              0,                 -2295,                 -2295,                 14316,,                 24774,                 -8163,,                 23845,                 -9529,,                              0.15,,                              0.15,,,,,,,,,,,,
1463,2014年01月01日至2014年03月31日,,,,                131961,                131961,                  3250,                128711,                128711,,,,,                105857,                 22854,                 22854,,,                  4218,,                 11951,,                  2795,                 18964,                  3890,,,                  8890,,                   -731,,                              0,,                              0,,                    244,,,                              0,                  7915,                 11805,,                              0,                 11805,,                 -6104,                 -6104,                  5701,,,,,,,,,,,,,,                  7386,                    359,,,,,,                  7745,                  7745,                 13446,,                  9022,                 -3321,,                 13074,                    372,,                              0.06,,                              0.06,                              0,,,,,,,,,,,
1463,2013年07月01日至2013年09月30日,,,,                244940,                244940,                  3763,                241177,                241177,,,                226307,                226307,                226307,                 14870,                 14870,,,                  6091,,                 18212,,                  2955,                 27258,                -12388,,,                 14508,,                 -1441,,                              0,,                              0,,                     58,,,,                 13009,                    621,,                              0,                    621,,,,                    621,,,,,,,,,,,,,,,,,,,,,,                 -4148,                 -3527,,                  1434,                   -813,,                   -594,                 -2933,,                              0.01,,,,,,                 14508,                 -4240,                     92,,                              0,                              0,                              0,                              0,
1463,2013年04月01日至2013年06月30日,,,,                239805,                239805,                  4700,                235105,                235105,,,,,                210623,                 24482,                 24482,,,                  4416,,                 19914,,                  2994,                 27324,                 -2842,,,                  7155,,                 -7740,,                              0,,                              0,,                    806,,,                              0,                 -1391,                 -4233,,                    -64,                 -4169,,,,                 -4169,,,,,,,,,,,,,,,,,,,,,,                   -481,                 -4650,,                 -1243,                 -2926,,                 -1385,                 -3265,,                             -0.01,,,,,,                  7155,                   -712,                    231,,,,,,                    -64
1463,2013年01月01日至2013年12月31日,,,,                949693,                949693,                 20183,                929510,                929510,,,,,                842008,                 87502,                 87502,,,                 28187,,                 78773,,                 12435,                119395,                -31893,,,                100695,,                 -6429,,,,,,                  2390,,,,                 91876,                 59983,,                  1309,                 58674,,,,                 58674,,,,,,,,,,,,,,,,,,,,,,                  7110,                 65784,,                 54017,                  4657,,                 58219,                  7565,,                              0.33,,                              0.33,,                              0,                              0,                100695,                  5783,                    732,                    595,,,,,
1463,2013年01月01日至2013年09月30日,,,,                691163,                691163,                 15408,                675755,                675755,,,                618303,                618303,                618303,                 57452,                 57452,,,                 19820,,                 56186,,                  9457,                 85463,                -28011,,,                 32227,,                 -6900,,                              0,,                              0,,                  1609,,,,                 23718,                 -4293,,                    -64,                 -4229,,,,                 -4229,,,,,,,,,,,,,,,,,,,,,,                  2608,                 -1621,,                  2578,                 -6807,,                  4217,                 -5838,,                              0.02,,,,,,                 32227,                  1904,                    704,,                              0,                              0,                              0,                              0,
1463,2013年01月01日至2013年06月30日,,,,                446223,                446223,                 11645,                434578,                434578,,,,,                391996,                 42582,                 42582,,,                 13729,,                 37974,,                  6502,                 58205,                -15623,,,                 17719,,                 -5459,,                              0,,                              0,,                  1551,,,                              0,                 10709,                 -4914,,                    -64,                 -4850,,,,                 -4850,,,,,,,,,,,,,,,,,,,,,,                  6756,                  1906,,                  1144,                 -5994,,                  4811,                 -2905,,                              0.01,,,,,,                 17719,                  6144,                    612,,,,,,                    -64
1463,2013年01月01日至2013年03月31日,,,,                206418,                206418,                  6945,                199473,                199473,,,                181373,                181373,                181373,                 18100,                 18100,,,                  9313,,                 18060,,                  3508,                 30881,                -12781,,,                 10564,,                  2281,,,,,,                    745,,,                              0,                 12100,                   -681,,,                   -681,,,,                   -681,,,,,,,,,,,,,,,,,,,,,,                  7237,                  6556,,                  2387,                 -3068,,                  9624,                 -3068,,                              0.01,,,,,,                 10564,                  6856,                    381,,,,,,
1463,2012年07月01日至2012年09月30日,,,,                185762,                185762,                  1862,                183900,                183900,,,                180052,                180052,                180052,                  3848,                  3848,,,                  5244,,                 20302,,                  3285,                 28831,                -24983,,,                 12553,,                  2048,,                              0,,                              0,,                              0,,,,                 14601,                -10382,,                    -76,                -10306,,,,                -10306,,,,,,,,,,,,,,,,,,,,,,                 -2164,                -12470,,                 -1609,                 -8697,,                 -3773,                 -8697,,                             -0.01,,,,,,                 12553,                 -2079,                    -85,,                              0,                              0,                              0,                              0,
1463,2012年04月01日至2012年06月30日,,,,                169606,                169606,                  8723,                160883,                160883,,,,,                159223,                  1660,                  1660,,,                  3592,,                 17099,,                  3668,                 24359,                -22699,,,                  7066,,                     45,,                              0,,                              0,,                              0,,,                              0,                  7111,                -15588,,                 -3848,                -11740,,,,                -11740,,,,,,,,,,,,,,,,,,,,,,                 29985,                 18245,,                -11545,                   -195,,                 18440,                   -195,,                             -0.07,,,,,,                  7066,                 30260,                   -275,,,,,,                 -3848
