證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 其他收益及費損淨額,　　 其他費損,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
2375,2015年第3季,,                390943,,                322561,                 68382,                 68382,,,                 18456,,                 32517,,                  1635,                 52608,                 15774,,,                 10293,,                 -7314,,                  1306,                  1673,                 17447,,                 13134,                  4313,                  4313,,,                105036,                 10290,                115326,                115326,                119639,,                  4313,,                119639,,                              0.06,,                              0.06,,,,,,,,,,,,,,,,,,,,,,,
2375,2015年第2季,,                344778,,                291043,                 53735,                 53735,,,                 18507,,                 30985,,                  1338,                 50830,                  2905,,,                    334,,                  6794,,                    728,                  6400,                  9305,,                 -6327,                 15632,                 15632,,,                -25721,                 22574,                 -3147,                 -3147,                 12485,,                 15632,,                 12485,,                              0.17,,                              0.16,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
2375,2015年01月01日至2015年09月30日,,              1077299,,                897840,                179459,                179459,,,                 52703,,                 96277,,                  4249,                153229,                 26230,,,                 10853,,                  2287,,                  2727,                 10413,                 36643,,                  1279,                 35364,                 35364,,,                 61940,                 24841,                 86781,                 86781,                122145,,                 35364,,                122145,,                              0.41,,                              0.41,,,,,,,,,,,,,,,,,,,,,,,
2375,2015年01月01日至2015年06月30日,,                686356,,                575279,                111077,                111077,,,                 34247,,                 63760,,                  2614,                100621,                 10456,,,                    560,,                  9601,,                  1421,                  8740,                 19196,,                -11855,                 31051,                 31051,,,                -43096,                 14551,                -28545,                -28545,                  2506,,                 31051,,                  2506,,                              0.33,,                              0.33,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
2375,2015年01月01日至2015年03月31日,,                341578,,                284236,                 57342,                 57342,,,                 15740,,                 32775,,                  1276,                 49791,                  7551,,,                    226,,                  2807,,                    693,                  2340,                  9891,,                 -5528,                 15419,                 15419,,,                -17375,                 -8023,                -25398,                -25398,                 -9979,,                 15419,,                 -9979,,                              0.16,,,,,,,,,,,                              0,                              0,                              0,,,,,,                              0,                              0,,,,,
2375,2014年第3季,,                408786,,                350502,                 58284,                 58284,,,                 15574,,                 31608,,                    661,                 47843,                 10441,,,                 10045,,                 21222,,                              0,                 31267,                 41708,,                 -1506,                 43214,                 43214,,,                 43771,                -22139,                 21632,                 21632,                 64846,,                 43214,,                 64846,,                              0.35,,                              0.35,,,,,,,,,,,,,,,,,,,,,,,
2375,2014年第2季,,                424121,,                347508,                 76613,                 76613,,,                 21134,,                 37712,,                    716,                 59562,                 17051,,,                    284,,                 39216,,                     51,                 39449,                 56500,,                 27077,                 29423,                 29423,,,                -36548,                -19100,                -55648,                -55648,                -26225,,                 29423,,                -26225,,                              0.22,,                              0.22,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
2375,2014年度,,              1632311,,              1356688,                275623,                275623,,,                 64212,,                127503,,                  2600,                194315,                 81308,,,                 15902,,                 68922,,                  5111,                 79713,                161021,,                 38261,                122760,                122760,,,,,,                 56028,                178788,,                122760,,                178788,,                              1.00,,                              1.00,,,,,,,,,,,,,,,,,,,                 63530,                 -7399,                   -103,,
2375,2014年01月01日至2014年09月30日,,              1245193,,              1030743,                214450,                214450,,,                 52699,,                109629,,                  1729,                164057,                 50393,,,                 12241,,                 86141,,                    105,                 98277,                148670,,                 41528,                107142,                107142,,,                  4505,                -12321,                 -7816,                 -7816,                 99326,,                107142,,                 99326,,                              0.81,,                              0.81,,,,,,,,,,,,,,,,,,,,,,,
2375,2014年01月01日至2014年06月30日,,                836407,,                680241,                156166,                156166,,,                 37125,,                 78021,,                  1068,                116214,                 39952,,,                  2196,,                 64919,,                    105,                 67010,                106962,,                 43034,                 63928,                 63928,,,                -39266,                  9818,                -29448,                -29448,                 34480,,                 63928,,                 34480,,                              0.47,,                              0.47,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
