證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入淨額,　　　 運輸收入,　　　　 海運收入（海陸運輸業適用）,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 廉價購買利益,　　　 處分無形資產利益
5608,2013年第2季,,,                758959,,,                 58593,,                304487,                304487,                363080,              1122039,,              1028451,                 93588,                 93588,,                 44698,                 48890,,,,                  1664,                 25778,                 27442,,                              0,                  5347,                 14907,                 30102,                  2939,,                              0,                 47417,,                 58081,                 58081,                 16778,                 65668,,                  5363,                 60305,                 60305,,,,,,                 62314,                122619,,                 60305,                              0,,                122619,                              0,,                              0.15,,                              0.15,,,                 61112,,                 -1202,,
5608,2013年度,,,              3147203,,,                172514,,              1337970,              1337970,              1510484,              4657687,,              4118783,                538904,                538904,,                201994,                336910,,,,                  5949,                137111,                143060,,                 22964,                  6883,                 69507,                 94653,                 14869,                              0,,                179138,,                234887,                234887,                 87311,                424221,,                 70783,                353438,                353438,,,,,,                244513,                597951,,                353600,                   -162,,                598113,                   -162,,                              0.89,,                              0.89,,,                248513,                  1647,                  5647,,
5608,2013年07月01日至2013年09月30日,,,                806247,,,                 61818,,                304871,                304871,                366689,              1172936,,              1023135,                149801,                149801,,                 51736,                 98065,,,,                  1210,                 63034,                 64244,,                              0,                    660,                              0,                  3230,                  3038,,                 18282,                -17430,,                 59259,                 59259,                -12445,                 85620,,                 14818,                 70802,                 70802,,,,,,               -154453,                -83651,,                 70802,                              0,,                -83651,                              0,,                              0.18,,                              0.18,,                              0,               -150957,,                  3496,,
5608,2013年04月01日至2013年06月30日,,,                758959,,,                 58593,,                304487,                304487,                363080,              1122039,,              1028451,                 93588,                 93588,,                 44698,                 48890,,,,                  1664,                 25778,                 27442,,                              0,                  5347,                 14907,                 30102,                  2939,,                              0,                 47417,,                 58081,                 58081,                 16778,                 65668,,                  5363,                 60305,                 60305,,,,,,                 62314,                122619,,                 60305,                              0,,                122619,                              0,,                              0.15,,                              0.15,,                              0,                 61112,,                 -1202,,
5608,2013年01月01日至2013年12月31日,,,              3147203,,,                172514,,              1337970,              1337970,              1510484,              4657687,,              4118783,                538904,                538904,,                201994,                336910,,,,                  5949,                137111,                143060,,                 22964,                  6883,                 69507,                 94653,                 14869,,,                179138,,                234887,                234887,                 87311,                424221,,                 70783,                353438,                353438,,,,,,                244513,                597951,,                353600,                   -162,,                598113,                   -162,,                              0.89,,                              0.89,,,                248513,                  1647,                  5647,                              0,                              0
5608,2013年01月01日至2013年09月30日,,,              2366349,,,                145749,,                881135,                881135,              1026884,              3393233,,              3042240,                350993,                350993,,                154168,                196825,,,,                  4516,                115944,                120460,,                              0,                  6883,                 36882,                 85895,                 13686,                              0,                              0,                115974,,                176686,                176686,                 59748,                256573,,                 36821,                219752,                219752,,,,,,                162761,                382513,,                219752,                              0,,                382513,                              0,,                              0.56,,                              0.55,,,                168168,,                  5407,,
5608,2013年01月01日至2013年06月30日,,,              1560102,,,                148496,,                511699,                511699,                660195,              2220297,,              2019105,                201192,                201192,,                102432,                 98760,,,,                  3306,                 52910,                 56216,,                              0,                  6223,                 55164,                 82665,                 10648,,                              0,                133404,,                117427,                117427,                 72193,                170953,,                 22003,                148950,                148950,,,,,,                317214,                466164,,                148950,                              0,,                466164,                              0,,                              0.38,,                              0.38,,,                319125,,                  1911,,
5608,2013年01月01日至2013年03月31日,,,                801143,,,                 57922,,                239193,                239193,                297115,              1098258,,                990654,                107604,                107604,,                 57734,                 49870,,,,                  1642,                 27132,                 28774,,                              0,                    876,                 40257,                 52563,                  7709,,,                 85987,,                 59346,                 59346,                 55415,                105285,,                 16640,                 88645,                 88645,,,,,,                254900,                343545,,                 88645,                              0,,                343545,                              0,,                              0.24,,                              0.23,,,                258013,,                  3113,,
5608,2012年07月01日至2012年09月30日,,,                879707,,,                 70344,,                132750,                132750,                203094,              1082801,,                971479,                111322,                111322,,                 43673,                 67649,,,,                  3346,                 38663,                 42009,,                  2267,                     94,                              0,                              0,                              0,,                201174,               -232472,,                 60029,                 60029,               -250492,               -182843,,                 11564,               -194407,               -194407,,,,,,               -184907,               -379314,,               -194407,                              0,,               -379314,                              0,,                             -0.53,,                             -0.53,,                 33659,               -186481,,                 -1574,,
5608,2012年04月01日至2012年06月30日,,,                806285,,,                 44944,,                151466,                151466,                196410,              1002695,,                848679,                154016,                154016,,                 45667,                108349,,,,                  5147,                 97883,                103030,,                 50398,                              0,                              0,                              0,                  7094,,                132033,               -128229,,                 53951,                 53951,                -79150,                 29199,,                 16179,                 13020,                 13020,,,,,,                114233,                127253,,                 13020,                              0,,                127253,                              0,,                              0.04,,                              0.03,,                 39500,                124993,,                 10760,,
5608,2012年01月01日至2012年12月31日,,,              3311071,,,                100906,,                726770,                726770,                827676,              4138747,,              3629194,                509553,                509553,,                200114,                309439,,,,                 15979,                108017,                202477,,                185168,                    419,                283093,                 71808,                  6118,,,                534370,,                227153,                227153,                509694,                819133,,                 94042,                725091,                725091,,,,,,               -401835,                323256,,                725091,                              0,,                323256,                              0,,                              1.98,,                              1.94,,,               -400341,                   -941,                    553,                 78481,                              0
5608,2012年01月01日至2012年09月30日,,,              2475032,,,                204432,,                399910,                399910,                604342,              3079374,,              2583703,                495671,                495671,,                147863,                347808,,,,                 13473,                 88124,                101597,,                185168,                    189,                              0,                 13861,                  8604,,                103888,                 86726,,                166128,                166128,                 22195,                370003,,                 87334,                282669,                282669,,,,,,               -314590,                -31921,,                282669,                              0,,                -31921,                              0,,                              0.77,,                              0.75,,                              0,               -313541,,                  1049,,
5608,2012年01月01日至2012年06月30日,,,              1595325,,,                 59844,,                267160,                267160,                327004,              1922329,,              1612224,                310105,                310105,,                104190,                205915,,,,                 10127,                123931,                134058,,                182901,                     95,                 97286,                 47520,                  8830,,                              0,                318972,,                106099,                106099,                346931,                552846,,                 75770,                477076,                477076,,,,,,               -129683,                347393,,                477076,                              0,,                347393,                              0,,                              1.30,,                              1.25,,                              0,               -127060,,                  2623,,
