證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2359,2015年第3季,,                949647,,                756988,                192659,                192659,,,                 63897,,                 89432,,                 10214,                163543,                 29116,,,                 34307,,                 69443,,                    178,,                    341,                103913,                133029,,                  8448,                124581,                124581,,,                              0,                              0,,                 54650,                              0,                              0,                 54650,                 54650,                179231,,                102834,                 21747,,                149174,                 30057,,                              0.60,                              0.60,,                              0.60,                              0.60,,,,
2359,2015年第2季,,              1124134,,                887416,                236718,                236718,,,                 63397,,                 82952,,                 11036,                157385,                 79333,,,                 13135,,                -22152,,                    103,,                    436,                 -8684,                 70649,,                 50723,                 19926,                 19926,,,,,,                -20435,                              0,,                -20435,                -20435,                   -509,,                 17539,                  2387,,                    194,                   -703,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,
2359,2015年01月01日至2015年09月30日,,              3344637,,              2657515,                687122,                687122,,,                185438,,                257284,,                 32314,                475036,                212086,,,                 68144,,                 31471,,                  1305,,                    795,                 99105,                311191,,                 69444,                241747,                241747,,,                              0,                              0,,                 20160,                              0,                              0,                 20160,                 20160,                261907,,                207262,                 34485,,                224363,                 37544,,                              1.21,                              1.21,,                              1.21,                              1.21,,,,
2359,2015年01月01日至2015年06月30日,,              2394990,,              1900527,                494463,                494463,,,                121541,,                167852,,                 22100,                311493,                182970,,,                 33837,,                -37972,,                  1127,,                    454,                 -4808,                178162,,                 60996,                117166,                117166,,,,,,                -34490,                              0,,                -34490,                -34490,                 82676,,                104428,                 12738,,                 75189,                  7487,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,
2359,2015年01月01日至2015年03月31日,,              1270856,,              1013111,                257745,                257745,,,                 58144,,                 84900,,                 11064,                154108,                103637,,,                 20702,,                -15820,,                  1024,,                     18,                  3876,                107513,,                 10273,                 97240,                 97240,,,,,,                -14055,                              0,,                -14055,                -14055,                 83185,,                 86889,                 10351,,                 74995,                  8190,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,
2359,2014年第3季,,              1232783,,              1000815,                231968,                231968,,,                 60471,,                 82207,,                 12854,                155532,                 76436,,,                 26437,,                 52447,,                  2369,,                   -169,                 76346,                152782,,                 13284,                139498,                139498,,,                              0,                              0,,                 34424,                -92621,                              0,                -58197,                -58197,                 81301,,                124925,                 14573,,                 59427,                 21874,,                              0.72,                              0.72,,                              0.72,                              0.72,,,,
2359,2014年第2季,,              1129934,,                893087,                236847,                236847,,,                 59713,,                 78099,,                 10812,                148624,                 88223,,,                 20448,,                -48722,,                  2245,,                   -711,                -31230,                 56993,,                 51842,                  5151,                  5151,,,,,,                -25770,                  5516,,                -20254,                -20254,                -15103,,                 -5060,                 10211,,                -21369,                  6266,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,,,
2359,2014年度,,              5162246,,              4139554,              1022692,              1022692,,,                235857,,                339956,,                 49209,                625022,                397670,,,                 92469,,                 33032,,                  9098,,                   -316,                116087,                513757,,                120935,                392822,                392822,,,,,,,,,,                -29298,                363524,,                339326,                 53496,,                300935,                 62589,,                              1.91,                              1.91,,,,                 48480,                -81200,                  4093,                    671
2359,2014年01月01日至2014年09月30日,,              3783082,,              3046939,                736143,                736143,,,                178363,,                233334,,                 37125,                448822,                287321,,,                 68741,,                 29340,,                  7013,,                 -1182,                 89886,                377207,,                 94917,                282290,                282290,,,                              0,                              0,,                  6648,                -84728,                              0,                -78080,                -78080,                204210,,                246071,                 36219,,                165507,                 38703,,                              1.37,                              1.37,,                              1.37,                              1.37,,,,
2359,2014年01月01日至2014年06月30日,,              2550299,,              2046124,                504175,                504175,,,                117892,,                151127,,                 24271,                293290,                210885,,,                 42304,,                -23107,,                  4644,,                 -1013,                 13540,                224425,,                 81633,                142792,                142792,,,,,,                -27776,                  7893,,                -19883,                -19883,                122909,,                121146,                 21646,,                106080,                 16829,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,
2359,2014年01月01日至2014年03月31日,,              1420365,,              1153037,                267328,                267328,,,                 58179,,                 73028,,                 13459,                144666,                122662,,,                 21856,,                 25615,,                  2399,,                   -302,                 44770,                167432,,                 29791,                137641,                137641,,,,,,                 -2006,                  2377,,                    371,                    371,                138012,,                126206,                 11435,,                127449,                 10563,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,
2359,2013年第3季,,              1340416,,              1147452,                192964,                192964,,,                 76575,,                 75665,,                 12679,                164919,                 28045,,,                 16283,,                 -9310,,                  2603,,                   -390,                  3980,                 32025,,                  4000,                 28025,                 28025,,,,,,,,,,                -29351,                 -1326,,                 24765,                  3260,,                 -2094,                    768,,                              0.13,                              0.13,,,,                -16325,                -13026,,
2359,2013年第2季,,              1670200,,              1412452,                257748,                257748,,,                 74029,,                 74370,,                 13479,                161878,                 95870,,,                 25957,,                -41459,,                  1180,,                   -471,                -17153,                 78717,,                 54132,                 24585,                 24585,,,,,,,,,,                125053,                149638,,                 21954,                  2631,,                143394,                  6244,,                              0.12,                              0.12,,,,                 17821,                107232,,
2359,2013年度,,              5671370,,              4838543,                832827,                832827,,,                294771,,                316147,,                 49717,                660635,                172192,,,                 82486,,                -68219,,                  5299,,                 -1505,                  7463,                179655,,                 70002,                109653,                109653,,,,,,,,,,                192268,                301921,,                 86831,                 22822,,                268349,                 33572,,                              0.47,                              0.47,,,,                 50075,                132900,                 11046,                  1753
2359,2013年07月01日至2013年09月30日,,              1340416,,              1147452,                192964,                192964,,,                 76575,,                 75665,,                 12679,                164919,                 28045,,,                 16283,,                 -9310,,                  2603,,                   -390,                  3980,                 32025,,                  4000,                 28025,                 28025,,,,,,,,,,                -29351,                 -1326,,                 24765,                  3260,,                 -2094,                    768,,                              0.13,                              0.13,,                              0.13,                              0.13,                -16325,                -13026,,
2359,2013年04月01日至2013年06月30日,,              1670200,,              1412452,                257748,                257748,,,                 74029,,                 74370,,                 13479,                161878,                 95870,,,                 25957,,                -41459,,                  1180,,                   -471,                -17153,                 78717,,                 54132,                 24585,                 24585,,,,,,,,,,                125053,                149638,,                 21954,                  2631,,                143394,                  6244,,                              0.12,                              0.12,,,,                 17821,                107232,,
2359,2013年01月01日至2013年12月31日,,              5671370,,              4838543,                832827,                832827,,,                294771,,                316147,,                 49717,                660635,                172192,,,                 82486,,                -68219,,                  5299,,                 -1505,                  7463,                179655,,                 70002,                109653,                109653,,,,,,,,,,                192268,                301921,,                 86831,                 22822,,                268349,                 33572,,                              0.47,                              0.47,,,,                 50075,                132900,                 11046,                  1753
2359,2013年01月01日至2013年09月30日,,              4370077,,              3743876,                626201,                626201,,,                223300,,                233366,,                 37252,                493918,                132283,,,                 58278,,                -35828,,                  4890,,                 -1623,                 15937,                148220,,                 64327,                 83893,                 83893,,,,,,,,,,                129000,                212893,,                 73988,                  9905,,                196111,                 16782,,                              0.40,                              0.40,,,,                 30477,                 98523,,
2359,2013年01月01日至2013年06月30日,,              3029661,,              2596424,                433237,                433237,,,                146725,,                157701,,                 24573,                328999,                104238,,,                 41995,,                -26518,,                  2287,,                 -1233,                 11957,                116195,,                 60327,                 55868,                 55868,,,,,,,,,,                158351,                214219,,                 49223,                  6645,,                198205,                 16014,,                              0.26,                              0.26,,,,                 46802,                111549,,
2359,2013年01月01日至2013年03月31日,,              1359461,,              1183972,                175489,                175489,,,                 72696,,                 83331,,                 11094,                167121,                  8368,,,                 16038,,                 14941,,                  1107,,                   -762,                 29110,                 37478,,                  6195,                 31283,                 31283,,,,,,,,,,                 33298,                 64581,,                 27269,                  4014,,                 54811,                  9770,,                              0.15,                              0.15,,,,                 28981,                  4317,,
