證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　　 營建收入,　　　 採用權益法認列之關聯企業及合資損失之份額,　 已實現銷貨（損）益,　　　 利息收入,　　　　 利息收入合計,　　　 什項支出,　　　 其他收入－其他,　　　 利息費用
5534,2015年第3季,,,                 33124,,,                975708,                975708,              1008832,,,                  2947,,                566480,                566480,                569427,                439405,                    511,                438894,,,                 27963,,                 27636,                 55599,                383295,,,                     16,,                    798,,                 14270,,                 -7275,                -20731,                362564,,                 12629,                349935,                349935,                349935,,                349922,                     13,,                349922,                     13,,                              1.28,,                              1.21,,,,,,,,,
5534,2015年第2季,,,                  9325,,,                468701,                468701,                478026,,,                 12306,,                350933,                350933,                363239,                114787,                  1000,                113787,,,                 36494,,                 24068,                 60562,                 53225,,,                    401,,                  5648,,                 18103,,                 -2726,                -14780,                 38445,,                 43116,                 -4671,                 -4671,                 -4671,,                 -4554,                   -117,,                 -4554,                   -117,,                             -0.02,,                             -0.02,,,,,,,,,
5534,2015年01月01日至2015年09月30日,,,                 48601,,,              1775124,              1775124,              1823725,,,                 15627,,              1111929,              1111929,              1127556,                696169,                  1812,                694357,,,                138067,,                 78989,                217056,                477301,,,                    435,,                  9576,,                 41982,,                -13654,                -45625,                431676,,                 85252,                346424,                346424,                346424,,                346416,                      8,,                346416,                      8,,                              1.26,,                              1.20,,,,,,,,,
5534,2015年01月01日至2015年06月30日,,,                 15477,,,                799416,                799416,                814893,,,                 12680,,                545449,                545449,                558129,                256764,                  1301,                255463,,,                110104,,                 51353,                161457,                 94006,,,                    419,,                  8778,,                 27712,,                 -6379,                -24894,                 69112,,                 72623,                 -3511,                 -3511,                 -3511,,                 -3506,                     -5,,                 -3506,                     -5,,                             -0.01,,                             -0.01,,,,,,,,,
5534,2015年01月01日至2015年03月31日,,,                  6152,,,                330715,                330715,                336867,,,                    374,,                194516,                194516,                194890,                141977,                    301,                141676,,,                 73610,,                 27285,                100895,                 40781,,,                     18,,                  3130,,                  9609,,                 -3653,                -10114,                 30667,,                 29507,                  1160,                  1160,                  1160,,                  1048,                    112,,                  1048,                    112,,                              0.00,,                              0.00,                  3130,,,,,,,,
5534,2014年第3季,,,                  4805,,,              1190784,              1190784,              1195589,,,                    162,,                609955,                609955,                610117,                585472,                    394,                585078,,,                 55969,,                 28720,                 84689,                500389,,,                     31,,                  2880,,                  9095,,                 -5481,                -11665,                488724,,                 39404,                449320,                449320,                449320,,                449444,                   -124,,                449444,                   -124,,                              1.72,,                              1.63,,,,,,,,,
5534,2014年第2季,,,                  5296,,,              1028519,              1028519,              1033815,,,                    649,,                454248,                454248,                454897,                578918,                    432,                578486,,,                289788,,                 32981,                322769,                255717,,,                    376,,                  5490,,                  2463,,                 -5331,                 -1928,                253789,,                239443,                 14346,                 14346,                 14346,,                 14328,                     18,,                 14328,                     18,,                              0.05,,                              0.05,,,,,,,,,
5534,2014年度,,,                 20859,,,              5187827,              5187827,              5208686,,,                  2439,,              2611447,              2611447,              2613886,              2594800,                  2338,              2592462,,,                388461,,                180472,                568933,              2023529,,,                    982,,                 16252,,                 47046,,                -13856,                -43668,              1979861,,                 94320,              1885541,              1885541,              1885541,,              1885665,                   -124,,              1885665,                   -124,,                              7.22,,                              6.88,,              5187827,                 13856,,,,,,
5534,2014年01月01日至2014年09月30日,,,                 16078,,,              2265374,              2265374,              2281452,,,                  1354,,              1105369,              1105369,              1106723,              1174729,                  1443,              1173286,,,                349347,,                 87724,                437071,                736215,,,                    482,,                 16848,,                 25199,,                -14337,                -22206,                714009,,                299765,                414244,                414244,                414244,,                414340,                    -96,,                414340,                    -96,,                              1.59,,                              1.50,,,,,,,,,
5534,2014年01月01日至2014年06月30日,,,                 11273,,,              1074590,              1074590,              1085863,,,                  1192,,                495414,                495414,                496606,                589257,                  1049,                588208,,,                293378,,                 59004,                352382,                235826,,,                    451,,                 13968,,                 16104,,                 -8856,                -10541,                225285,,                260361,                -35076,                -35076,                -35076,,                -35104,                     28,,                -35104,                     28,,                             -0.13,,                             -0.13,,,,,,,,,
